Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2022-01-01 00:00:00,63.06,101.62,2.44,21.37,13.33,10.89,12.38,0.71,74.62,1.59,7.47,1.20,NA,0.75,0.42,20.89,69.15,3.06,107.11,0.00,0.00,185.68,761.35,0.05
2022-01-02 00:00:00,68.25,115.39,1.77,18.15,11.01,9.85,9.95,0.58,81.46,1.43,6.91,1.01,NA,0.60,0.33,21.08,69.68,2.31,125.47,0.00,0.00,183.09,759.97,0.03
2022-01-03 00:00:00,69.81,117.26,1.79,20.24,12.14,9.56,11.28,0.63,76.06,1.42,7.01,1.20,NA,0.72,0.39,20.16,69.39,2.42,167.70,0.00,0.00,183.69,759.08,0.01
2022-01-04 00:00:00,77.78,132.43,2.06,24.70,14.81,10.27,15.73,0.64,84.16,1.91,8.59,1.55,NA,0.99,0.56,19.88,66.55,2.19,129.48,0.00,0.00,185.17,759.41,0.03
2022-01-05 00:00:00,63.76,114.79,2.23,22.80,13.87,10.45,10.19,0.69,89.19,1.70,8.95,4.11,NA,2.60,1.24,20.24,65.95,2.16,143.92,0.00,0.00,185.97,759.23,0.01
2022-01-06 00:00:00,66.77,113.31,1.85,20.88,12.58,11.13,7.26,0.66,90.80,1.85,8.71,1.94,NA,1.56,0.69,20.02,69.28,2.55,133.89,0.00,0.00,185.94,758.43,0.04
2022-01-07 00:00:00,53.52,90.93,1.86,19.25,11.73,11.78,5.27,0.56,82.84,1.53,9.64,1.62,NA,1.34,0.54,20.24,68.66,2.73,120.16,0.00,0.00,185.16,758.86,0.05
2022-01-08 00:00:00,65.41,113.67,1.96,21.66,13.04,12.19,5.39,0.71,88.47,1.77,8.56,1.70,NA,1.10,0.64,20.57,67.73,2.73,109.48,0.00,0.00,184.52,758.99,0.05
2022-01-09 00:00:00,83.46,128.19,1.94,20.35,12.39,11.87,7.34,1.02,92.49,2.04,8.22,1.38,NA,0.84,0.50,20.61,70.58,2.69,115.90,0.00,0.00,182.22,757.10,0.05
2022-01-10 00:00:00,56.16,96.01,1.90,20.87,12.60,12.44,4.22,0.59,73.04,1.94,9.22,1.59,NA,0.91,0.59,21.06,70.68,2.99,111.01,0.00,0.00,181.27,757.34,0.06
2022-01-11 00:00:00,37.31,69.59,1.96,19.05,11.69,12.55,3.84,0.50,71.74,1.59,7.49,1.43,NA,0.91,0.54,21.58,69.66,3.16,106.97,0.00,0.00,182.89,756.85,0.06
2022-01-12 00:00:00,34.93,63.01,2.16,18.60,11.64,12.56,4.05,0.50,60.77,1.45,8.93,1.69,NA,0.96,0.65,21.29,74.31,3.35,97.49,0.00,0.20,167.05,756.40,0.07
2022-01-13 00:00:00,29.45,52.98,2.19,21.09,12.98,12.59,4.34,0.55,53.03,1.51,9.18,1.79,NA,1.04,0.66,20.55,77.26,2.58,116.90,0.01,0.80,173.40,756.08,0.05
2022-01-14 00:00:00,63.30,88.23,3.51,25.09,16.17,16.16,6.57,1.00,56.79,2.27,9.43,1.89,NA,1.06,0.63,20.50,76.27,2.78,107.36,0.00,0.00,177.77,755.99,0.05
2022-01-15 00:00:00,37.29,57.06,2.14,14.21,9.30,15.22,4.45,0.60,58.55,1.33,6.13,0.93,NA,0.51,0.31,20.66,75.45,2.88,114.95,0.01,1.40,183.46,756.94,0.05
2022-01-16 00:00:00,37.58,61.72,1.87,13.11,8.48,16.12,5.21,0.53,68.46,1.08,4.61,0.64,NA,0.37,0.21,21.01,70.59,3.09,109.82,0.00,0.00,187.81,758.99,0.06
2022-01-17 00:00:00,54.40,84.52,1.85,14.21,9.04,17.06,6.38,0.49,75.10,1.09,5.77,1.17,NA,0.59,0.43,20.87,66.05,2.43,120.93,0.00,0.00,180.38,760.25,0.04
2022-01-18 00:00:00,64.76,102.16,2.08,10.42,7.19,10.86,7.91,0.62,75.34,1.24,6.25,1.20,NA,0.64,0.45,20.11,67.70,2.11,203.84,0.00,0.00,187.21,758.79,-0.01
2022-01-19 00:00:00,71.96,111.41,2.22,10.44,7.31,1.21,4.49,0.62,70.86,1.36,6.68,1.40,NA,0.76,0.47,20.26,67.73,1.97,207.61,0.00,0.00,186.75,756.74,-0.01
2022-01-20 00:00:00,74.72,115.45,2.44,7.35,5.84,4.66,5.42,0.60,70.89,1.27,6.10,1.14,NA,0.65,0.36,20.15,70.01,2.04,209.25,0.00,0.00,188.56,754.55,-0.00
2022-01-21 00:00:00,65.83,104.98,2.10,5.33,4.46,1.93,5.30,0.52,61.92,1.07,5.75,1.06,NA,0.58,0.38,20.98,71.83,2.30,206.08,0.00,0.00,185.56,754.02,-0.01
2022-01-22 00:00:00,56.64,97.54,2.04,13.07,8.61,13.85,7.25,0.62,50.77,1.14,6.94,1.27,NA,0.69,0.47,21.95,74.86,2.11,226.48,0.00,0.00,186.12,752.86,-0.01
2022-01-23 00:00:00,51.45,82.82,1.91,11.34,7.48,25.20,3.99,0.51,48.72,1.00,4.85,0.88,NA,0.50,0.33,22.38,83.95,2.40,161.12,0.00,0.00,181.11,752.70,0.02
2022-01-24 00:00:00,43.55,74.19,2.35,22.44,13.85,21.53,4.74,0.68,41.44,1.58,10.27,2.86,NA,1.57,1.14,21.54,87.08,1.99,151.39,0.13,12.90,165.04,752.45,0.01
2022-01-25 00:00:00,44.57,113.78,2.42,21.57,13.43,22.99,4.85,0.53,41.78,1.20,8.38,2.37,NA,1.37,0.81,22.36,76.22,1.83,214.99,0.00,0.00,188.39,753.49,-0.00
2022-01-26 00:00:00,44.89,92.99,1.92,14.18,9.11,23.28,6.70,0.50,50.48,1.18,6.93,1.32,NA,0.81,0.53,21.19,84.04,2.53,136.27,0.00,0.00,179.67,754.73,0.04
2022-01-27 00:00:00,48.72,141.08,1.87,12.73,8.25,21.17,5.05,0.46,55.07,0.88,4.86,1.02,NA,0.68,0.36,21.35,78.68,2.52,185.54,0.11,11.00,189.84,755.98,-0.01
2022-01-28 00:00:00,61.91,157.93,1.81,13.75,8.72,19.30,8.23,0.51,67.76,1.09,4.89,0.85,NA,0.53,0.31,20.35,78.83,2.35,185.21,0.00,0.00,190.03,757.53,-0.00
2022-01-29 00:00:00,63.50,133.96,1.68,15.31,9.51,18.45,10.16,0.56,73.65,1.35,6.54,1.45,NA,0.89,0.57,19.71,75.66,2.47,164.78,0.00,0.00,190.42,758.31,0.02
2022-01-30 00:00:00,49.26,97.80,1.77,15.10,9.46,16.18,2.94,0.47,62.18,1.01,4.87,0.95,NA,0.53,0.35,20.31,64.02,2.13,199.95,0.00,0.00,193.08,756.57,-0.01
2022-01-31 00:00:00,48.43,94.23,1.79,15.66,9.75,17.68,2.06,0.72,56.36,1.38,5.74,1.30,NA,0.70,0.47,19.75,63.01,2.22,190.28,0.00,0.00,195.43,755.65,-0.00
2022-02-01 00:00:00,54.26,100.76,1.84,13.59,8.64,19.61,7.52,0.55,53.83,1.21,5.16,1.02,NA,0.60,0.36,20.75,69.68,2.21,188.72,0.00,0.00,191.69,754.86,0.00
2022-02-02 00:00:00,41.11,77.04,1.75,14.38,9.03,25.89,6.48,0.51,44.81,1.18,5.39,1.06,NA,0.61,0.39,21.26,68.80,2.29,184.51,0.00,0.00,191.94,755.65,-0.01
2022-02-03 00:00:00,28.22,59.62,1.94,18.31,11.27,24.60,5.15,0.57,34.73,1.31,6.94,1.58,NA,0.84,0.58,21.36,66.96,2.40,126.49,0.00,0.00,188.10,755.22,0.03
2022-02-04 00:00:00,28.71,60.35,2.28,15.34,9.99,19.97,5.78,0.48,31.80,1.12,5.23,1.16,NA,0.64,0.44,21.74,71.27,2.51,193.67,0.01,0.50,184.76,753.21,0.00
