Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-01-02,34.22,47.77,2.58,9.91,7.36,0.95,1.26,0.37,51.0,0.79,1.61,,,0.91,0.42,25.16,58.4,23.73,210.26,0.0,0.0,21.37,,-11.31
2024-01-03,46.42,63.46,3.08,9.41,7.5,1.01,1.24,0.43,46.59,0.8,1.61,,,0.91,0.42,24.69,65.43,23.74,235.55,0.0,0.0,17.45,,-8.82
2024-01-04,26.35,37.65,2.64,9.42,7.15,0.85,1.26,0.46,42.18,0.8,1.6,,,0.91,0.42,24.98,66.32,23.76,238.77,0.0,0.0,16.86,,-6.0
2024-01-05,26.72,38.13,2.56,8.77,6.74,0.67,1.22,0.36,42.81,0.8,1.61,,,0.91,0.42,25.02,63.67,26.04,229.23,0.0,0.0,15.03,722.78,-4.97
2024-01-06,22.63,32.87,2.59,8.83,6.8,0.69,1.18,0.36,34.31,0.8,1.6,,,0.91,0.42,24.7,66.24,24.7,238.47,0.0,0.0,16.92,721.56,-5.27
2024-01-07,28.36,40.24,2.71,9.26,7.12,0.84,1.2,0.42,31.23,0.8,1.59,,,0.91,0.42,24.62,68.45,23.83,246.42,0.0,0.0,17.1,,-6.77
2024-01-08,55.14,74.67,2.9,9.56,7.44,0.98,1.24,0.57,25.98,0.8,1.6,,,0.91,0.42,24.1,78.63,21.77,283.05,0.0,0.0,4.77,,-8.73
2024-01-09,33.25,46.52,2.78,9.02,7.05,0.81,1.27,0.48,35.75,0.8,1.6,,,0.91,0.42,25.03,69.24,20.95,249.29,0.0,0.0,19.38,,-9.39
2024-01-10,45.9,62.79,2.84,8.68,6.92,0.75,1.2,0.46,39.86,0.8,1.59,,,0.91,0.42,25.39,62.43,20.96,224.75,0.0,0.0,18.63,,-9.73
2024-01-11,37.83,52.41,2.7,9.11,7.04,0.8,1.24,0.5,34.79,0.8,1.6,,,0.91,0.42,25.06,61.18,5.82,220.23,0.0,0.0,14.96,,-16.95
2024-01-12,38.39,53.13,3.33,10.17,8.11,1.27,1.27,0.58,34.24,0.8,1.6,,,0.91,0.42,24.49,62.09,17.78,216.78,0.0,0.0,15.12,710.94,-11.34
2024-01-13,27.68,39.36,2.88,9.37,7.32,0.92,1.21,0.57,34.86,0.8,1.6,,,0.91,0.42,25.03,63.42,13.53,195.63,0.0,0.0,15.8,712.91,-4.45
2024-01-14,37.78,52.35,2.61,9.2,7.01,0.79,1.24,0.68,42.64,0.8,1.59,,,0.91,0.42,25.76,56.29,20.85,206.05,0.0,0.0,15.23,712.53,-7.02
