Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2018-01-01 00:00:00,43.51,79.00,37.60,73.26,69.54,11.18,8.67,0.65,17.64,1.44,3.23,0.32,NA,NA,NA,19.18,71.25,1.54,195.63,0.00,0.00,21.46,NA,0.01
2018-01-02 00:00:00,45.59,74.75,26.61,62.27,54.75,11.46,12.44,0.59,24.47,1.07,2.63,0.17,NA,NA,NA,19.17,75.57,1.53,224.59,0.00,0.00,37.01,NA,-0.04
2018-01-03 00:00:00,45.27,75.00,22.98,58.36,49.71,12.25,9.61,0.50,37.73,1.13,2.40,0.20,NA,NA,NA,18.74,76.70,1.62,230.82,0.00,0.00,52.32,NA,-0.04
2018-01-04 00:00:00,65.90,101.69,11.35,53.28,37.57,13.62,3.54,0.56,47.21,1.20,2.33,0.12,NA,NA,NA,18.18,74.15,2.04,225.16,0.00,0.00,52.20,NA,-0.06
2018-01-05 00:00:00,69.55,106.25,20.81,69.15,53.79,16.56,7.13,0.61,47.69,1.21,2.48,0.19,NA,NA,NA,18.00,70.01,1.82,244.15,0.00,0.00,61.76,NA,-0.05
2018-01-06 00:00:00,65.76,98.40,24.18,80.31,62.36,18.83,7.15,0.60,41.61,1.12,2.61,0.21,NA,NA,NA,17.77,69.06,1.36,272.54,0.00,0.00,52.67,NA,-0.03
2018-01-07 00:00:00,55.37,81.85,25.50,82.92,64.85,17.05,6.40,0.53,42.94,1.02,2.17,0.12,NA,NA,NA,17.74,63.20,1.80,278.38,0.00,0.00,61.89,NA,-0.04
2018-01-08 00:00:00,58.97,96.07,15.04,60.88,44.56,18.51,5.51,0.51,56.77,0.94,1.79,0.06,NA,NA,NA,17.54,74.33,2.32,263.93,0.00,0.00,60.73,NA,-0.07
2018-01-09 00:00:00,59.08,114.49,7.60,45.73,30.50,17.52,7.47,0.55,59.63,1.12,1.86,0.15,NA,NA,NA,17.34,85.76,3.21,121.75,0.00,0.00,17.66,NA,0.00
2018-01-10 00:00:00,58.95,112.59,7.96,52.52,34.41,16.15,7.79,0.58,54.12,1.17,2.01,0.09,NA,NA,NA,17.86,82.44,2.77,73.42,0.00,0.00,5.43,NA,0.01
2018-01-11 00:00:00,67.20,116.25,14.31,58.81,42.91,15.74,4.54,0.69,44.79,1.44,2.64,0.15,NA,NA,NA,19.81,75.87,1.85,102.07,0.00,0.00,65.59,NA,-0.05
2018-01-12 00:00:00,64.10,98.98,32.19,80.28,68.86,14.30,3.68,0.66,30.67,1.35,3.23,0.22,NA,NA,NA,20.37,66.15,1.00,144.44,0.00,0.00,65.65,NA,-0.04
