Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01,179.65,282.41,11.25,42.99,32.01,10.71,14.17,1.63,6.18,0.5,1.35,,,0.36,0.48,18.26,82.32,1.08,85.01,0.0,0.0,,,
2024-01-02,150.31,236.32,8.75,42.5,29.73,10.9,12.4,4.09,6.23,0.39,1.05,,,0.28,0.38,17.87,86.33,1.11,93.59,0.0,0.0,,,
2024-01-03,156.18,245.45,12.67,43.48,33.43,10.62,11.98,1.8,6.23,0.56,1.52,,,0.4,0.54,18.07,84.35,1.14,98.4,0.0,0.0,,,
2024-01-04,158.47,249.04,12.16,44.43,33.52,10.91,13.41,1.34,6.27,0.54,1.46,,,0.39,0.51,17.88,83.86,1.11,107.4,0.0,0.0,,,
2024-01-05,159.67,250.85,10.49,41.23,30.12,11.67,15.24,2.59,6.37,0.46,1.24,,,0.34,0.45,17.18,86.06,1.1,109.05,0.0,0.0,,,
2024-01-06,161.04,253.02,12.99,41.74,32.76,10.73,13.86,2.27,6.25,0.58,1.55,,,0.42,0.55,17.05,82.39,1.05,105.09,0.0,0.0,,,
2024-01-07,165.4,259.9,12.44,41.05,31.95,10.83,12.95,3.16,6.32,0.56,1.49,,,0.4,0.53,17.18,83.68,1.11,109.94,0.0,0.0,,,
2024-01-08,168.22,264.37,9.81,40.13,28.99,11.03,11.58,1.43,6.23,0.43,1.16,,,0.3,0.42,16.5,85.81,1.04,105.69,0.0,0.0,,,
2024-01-09,213.41,335.29,10.9,40.26,30.28,11.07,13.59,3.07,6.27,0.49,1.31,,,0.36,0.47,16.26,89.9,1.07,146.54,0.0,0.0,,,
2024-01-10,200.85,315.51,6.63,32.71,22.79,11.65,12.09,1.78,6.28,0.3,0.8,,,0.24,0.3,16.2,92.21,1.31,138.43,0.0,0.0,,,
2024-01-11,145.84,229.23,7.54,37.24,25.94,11.39,12.88,1.82,6.3,0.33,0.9,,,0.28,0.34,16.39,92.5,1.04,126.11,0.0,0.0,,,
2024-01-12,120.19,189.1,8.69,63.71,40.95,10.35,12.58,3.37,6.25,0.38,1.04,,,0.28,0.36,16.82,88.94,1.27,127.38,0.0,0.0,,,
2024-01-13,172.3,235.79,7.86,58.67,37.6,10.56,12.61,0.52,6.26,0.35,0.95,,,0.26,0.34,17.59,85.52,1.33,148.08,0.0,0.0,,,
2024-01-14,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-01-15,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-01-16,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-01-17,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-01-18,116.78,183.53,3.78,31.69,19.94,10.14,17.1,6.42,5.86,0.17,0.46,,,0.13,0.17,14.9,91.32,0.88,162.45,0.0,0.0,17.93,,
2024-01-19,162.99,255.83,8.24,55.76,35.95,7.35,15.49,2.15,5.78,0.37,0.97,,,0.28,0.35,15.57,87.68,1.23,119.61,0.0,0.0,17.64,,
2024-01-20,144.7,227.44,9.63,59.87,39.67,6.41,11.59,2.33,5.85,0.43,1.15,,,0.31,0.41,16.25,81.57,1.2,141.25,0.0,0.0,17.57,,
2024-01-21,176.22,276.9,6.39,52.11,32.54,7.89,12.11,1.75,5.82,0.28,0.75,,,0.2,0.28,17.11,85.87,1.14,167.64,0.0,0.0,17.49,,
2024-01-22,150.38,236.4,4.22,41.91,25.72,9.31,21.92,1.03,6.07,0.19,0.51,,,0.13,0.18,15.07,91.47,1.16,165.8,0.0,0.0,17.9,,
2024-01-23,151.31,237.94,6.72,45.39,29.62,8.5,15.48,2.68,5.99,0.3,0.8,,,0.22,0.29,16.31,85.76,1.28,151.11,0.0,0.0,17.86,,
2024-01-24,162.11,254.73,6.2,41.5,27.11,8.54,9.79,0.7,6.3,0.27,0.75,,,0.19,0.26,17.06,84.87,1.18,164.16,0.0,0.0,18.1,,
2024-01-25,161.59,245.35,5.05,42.09,26.49,8.61,9.31,0.62,6.27,0.23,0.6,,,0.16,0.21,17.41,86.79,1.18,153.39,0.0,0.0,18.12,,
2024-01-26,165.01,235.42,5.12,44.53,27.84,9.48,7.58,5.1,6.37,0.24,0.62,,,0.16,0.22,16.69,84.62,1.23,125.09,0.0,0.0,18.23,,
2024-01-27,222.0,295.15,6.21,58.44,36.14,11.03,8.35,3.28,6.31,0.28,0.74,,,0.21,0.27,16.18,86.62,1.21,138.13,0.0,0.0,18.17,,
2024-01-28,191.98,293.17,7.45,65.69,41.0,9.41,9.37,2.12,6.42,0.33,0.9,,,0.24,0.31,15.8,85.25,1.17,126.29,0.0,0.0,18.27,,
2024-01-29,214.44,339.87,7.15,48.93,31.84,11.93,8.76,2.74,10.0,0.32,0.86,,,0.22,0.31,16.44,81.77,1.17,93.29,0.0,0.0,22.62,,
2024-01-30,249.91,366.41,6.5,39.43,26.26,16.15,9.47,0.78,12.73,0.29,0.78,,,0.21,0.28,16.72,82.61,1.21,164.98,0.0,0.0,26.41,,
2024-01-31,247.09,396.93,5.81,45.33,28.83,15.59,11.2,2.79,12.66,0.27,0.7,,,0.19,0.25,16.18,85.79,1.19,129.44,0.0,0.0,26.18,,
2024-02-01,262.18,449.78,6.41,48.73,31.13,21.85,9.84,2.82,12.68,0.29,0.76,,,0.2,0.27,15.86,87.7,1.25,141.28,0.0,0.0,26.18,,
2024-02-02,240.26,388.17,5.26,46.02,28.76,28.53,9.5,2.64,12.53,0.24,0.63,,,0.17,0.23,17.26,85.44,1.26,161.32,0.0,0.0,26.14,,
2024-02-03,320.88,433.22,5.47,57.15,34.84,25.59,11.25,2.81,12.97,0.25,0.66,,,0.18,0.24,17.11,83.24,1.47,169.35,0.0,0.0,26.64,,
2024-02-04,268.08,451.33,5.27,57.61,34.93,25.63,9.38,2.41,13.12,0.24,0.63,,,0.17,0.23,17.17,80.99,1.34,142.6,0.0,0.0,26.74,,
2024-02-05,228.32,351.43,4.68,57.12,34.19,25.83,8.5,0.81,13.3,0.21,0.56,,,0.14,0.2,17.3,79.67,1.41,149.83,0.0,0.0,26.95,,
2024-02-06,262.93,356.9,6.04,44.33,28.5,28.56,9.35,0.23,12.4,0.28,0.73,,,0.19,0.27,15.4,89.4,1.09,169.0,0.0,0.0,25.78,,
2024-02-07,220.77,331.83,8.01,59.63,38.23,23.86,8.38,1.76,12.17,0.36,0.96,,,0.26,0.34,16.48,84.6,1.23,164.31,0.0,0.0,25.59,,
2024-02-08,209.41,364.6,4.89,45.16,28.0,29.09,9.61,2.08,13.4,0.23,0.59,,,0.15,0.22,16.32,80.59,1.29,172.59,0.0,0.0,27.13,,
2024-02-09,137.47,287.18,5.72,58.45,35.34,25.16,11.16,0.95,13.02,0.26,0.68,,,0.19,0.25,16.51,82.11,1.24,132.55,0.0,0.0,26.72,,
2024-02-10,157.93,300.66,7.4,62.74,39.4,23.52,8.85,2.92,13.25,0.33,0.89,,,0.24,0.31,16.75,80.11,1.31,109.49,0.0,0.0,26.91,,
2024-02-11,193.58,398.0,6.73,67.09,41.09,22.83,10.1,1.25,12.99,0.31,0.8,,,0.21,0.28,17.83,79.52,1.3,149.91,0.0,0.0,26.76,,
2024-02-12,156.61,324.29,5.42,62.15,37.46,24.55,8.36,3.45,13.65,0.25,0.65,,,0.17,0.23,19.03,76.33,1.34,181.17,0.0,0.0,27.36,,
2024-02-13,163.55,298.86,5.9,59.16,36.26,24.97,9.68,1.08,13.22,0.26,0.71,,,0.18,0.25,18.87,76.4,1.21,172.16,0.0,0.0,26.9,,
2024-02-14,191.44,408.37,5.9,59.21,36.29,24.87,8.31,0.9,13.9,0.26,0.71,,,0.19,0.24,18.93,76.47,1.37,153.42,0.0,0.0,27.77,,
2024-02-15,160.71,326.88,5.24,65.71,39.22,23.21,10.14,2.04,14.96,0.24,0.64,,,0.16,0.23,20.25,77.09,1.21,179.03,0.0,0.0,29.22,,
2024-02-16,129.78,262.72,8.99,74.36,46.87,19.17,9.42,2.56,13.13,0.4,1.08,,,0.28,0.38,19.0,83.86,0.92,100.67,0.0,0.0,26.8,,
2024-02-17,142.67,274.27,10.12,72.93,47.02,19.04,9.83,2.78,12.9,0.45,1.21,,,0.32,0.43,20.15,81.44,1.28,147.58,0.0,0.0,26.47,,
2024-02-18,140.09,298.14,6.6,62.84,38.8,23.33,7.93,2.08,13.88,0.3,0.78,,,0.21,0.28,19.98,78.96,1.26,176.35,0.0,0.0,27.71,,
2024-02-19,158.97,338.48,7.3,63.21,39.56,22.99,8.17,1.0,13.5,0.32,0.87,,,0.23,0.31,19.44,80.48,1.23,154.49,0.0,0.0,27.2,,
2024-02-20,217.82,394.54,7.84,78.48,48.12,19.72,9.16,1.23,13.73,0.35,0.94,,,0.25,0.33,19.05,80.64,1.22,137.98,0.0,0.0,27.54,,
2024-02-21,121.35,214.15,7.41,58.09,36.91,23.75,7.62,3.99,15.63,0.33,0.88,,,0.25,0.32,18.39,88.67,1.28,120.01,0.0,0.0,30.01,,
2024-02-22,192.3,385.26,5.81,33.71,22.4,31.67,9.46,1.0,13.82,0.26,0.69,,,0.18,0.25,17.74,94.04,1.4,172.98,0.0,0.0,27.76,,
2024-02-23,110.69,225.16,6.03,45.62,29.16,28.15,6.81,1.52,13.06,0.28,0.72,,,0.2,0.25,20.32,81.68,1.53,197.0,0.0,0.0,26.62,,
2024-02-24,154.46,319.1,4.55,44.36,27.3,28.8,9.2,0.71,14.77,0.21,0.54,,,0.16,0.19,19.35,75.29,1.41,177.48,0.0,0.0,29.07,,
2024-02-25,192.97,342.15,4.59,36.68,23.25,31.37,9.49,0.0,14.04,0.21,0.56,,,0.14,0.2,17.07,81.89,1.23,174.3,0.0,0.0,27.98,,
2024-02-26,150.96,320.87,5.46,59.72,36.21,24.9,9.78,0.77,14.84,0.25,0.66,,,0.17,0.24,17.17,82.36,1.7,140.67,0.0,0.0,29.03,,
2024-02-27,166.39,296.86,7.14,67.81,41.88,21.72,9.76,2.96,13.29,0.32,0.86,,,0.23,0.3,18.75,78.33,1.38,167.71,0.0,0.0,27.0,,
2024-02-28,222.71,442.3,6.81,61.7,38.35,23.9,7.63,1.25,14.66,0.3,0.81,,,0.21,0.28,19.83,74.59,1.37,168.34,0.0,0.0,28.72,,
2024-02-29,206.73,421.84,4.0,50.4,30.02,28.09,8.28,2.57,17.28,0.18,0.48,,,0.13,0.18,20.53,73.36,1.56,182.18,0.0,0.0,32.1,,
2024-03-01,161.45,331.66,6.22,66.06,40.2,22.63,7.48,0.78,13.96,0.29,0.75,,,0.21,0.26,20.8,77.77,1.39,151.06,0.0,0.0,27.82,,
2024-03-02,156.55,344.8,6.23,62.86,38.5,23.56,10.96,0.96,14.08,0.28,0.75,,,0.21,0.26,21.7,76.83,1.31,140.93,0.0,0.0,28.03,,
2024-03-03,174.51,351.21,5.94,53.85,33.47,25.72,10.57,1.1,14.73,0.26,0.71,,,0.19,0.25,22.87,75.76,1.31,177.21,0.0,0.0,28.85,,
2024-03-04,177.31,332.22,5.05,44.23,27.63,28.34,9.86,0.71,14.5,0.23,0.61,,,0.17,0.22,21.76,80.15,1.42,175.75,0.0,0.0,28.98,,
2024-03-05,245.58,508.26,6.1,41.95,26.88,27.71,9.98,0.11,14.7,0.28,0.73,,,0.21,0.29,20.27,77.4,1.59,158.98,0.0,0.0,29.14,,
2024-03-06,194.92,352.52,4.84,39.75,25.07,29.71,10.36,0.0,14.16,0.22,0.58,,,0.16,0.21,19.8,70.71,1.49,182.08,0.0,0.0,27.85,,
2024-03-07,169.6,331.54,4.97,45.51,28.25,28.5,8.45,0.0,13.83,0.23,0.6,,,0.15,0.21,20.54,72.11,1.45,200.9,0.0,0.0,27.4,,
