Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2018-01-01 00:00:00,448.44,507.86,,29.55,17.75,41.42,16.28,1.89,109.46,0.32,23.68,,,0.26,,23.1,58.25,2.39,81.57,0.0,0.0,75.71,,
2018-01-02 00:00:00,77.23,148.37,,25.75,15.56,32.91,12.88,1.27,107.41,0.29,18.74,,,0.16,,22.31,48.24,2.62,69.1,0.0,0.0,84.29,,
2018-01-03 00:00:00,94.17,148.75,,32.61,23.02,31.25,13.19,1.67,89.34,0.36,18.09,,,0.21,,22.08,43.33,2.02,105.79,0.0,0.0,88.44,,
2018-01-04 00:00:00,120.42,215.22,,45.87,39.05,45.98,15.13,2.06,60.89,0.57,21.45,,,0.41,,22.53,54.86,1.27,158.56,0.0,0.0,82.7,,
2018-01-05 00:00:00,149.25,233.79,,39.48,34.37,65.31,14.44,2.87,42.82,0.84,23.44,,,0.58,,21.12,71.91,1.25,196.6,0.0,0.0,90.49,,
2018-01-06 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2018-01-07 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2018-01-08 00:00:00,67.74,153.18,,32.92,19.32,30.72,14.11,2.04,98.56,0.3,16.16,,,0.17,,23.76,43.03,2.69,67.29,0.0,0.0,26.79,,
2018-01-09 00:00:00,69.81,140.19,,26.0,15.92,33.14,14.45,1.42,103.77,0.3,18.46,,,0.27,,22.79,46.96,2.1,97.14,0.0,0.0,91.97,,
2018-01-10 00:00:00,98.86,176.72,,32.59,23.73,43.33,15.61,1.98,76.56,0.4,19.21,,,0.28,,22.46,47.91,1.71,114.23,0.0,0.0,99.48,,
2018-01-11 00:00:00,108.44,189.18,,32.85,23.68,49.42,14.73,1.99,71.41,0.45,18.76,,,0.37,,22.69,50.86,1.52,138.36,0.0,0.0,91.71,,
2018-01-12 00:00:00,99.28,187.92,,37.79,28.34,49.94,13.25,2.04,69.35,0.43,18.21,,,0.47,,23.45,48.97,1.65,134.65,0.0,0.0,90.66,,
2018-01-13 00:00:00,75.68,165.6,,38.51,23.28,44.67,13.76,2.04,71.0,0.38,15.81,,,0.49,,24.46,42.39,1.42,115.53,0.0,0.0,54.94,,
2018-01-14 00:00:00,97.38,178.99,,33.79,22.98,54.91,16.46,2.14,75.3,0.47,22.95,,,0.68,,25.07,50.66,1.68,140.53,0.0,0.0,81.23,,
2018-01-15 00:00:00,69.29,136.46,,26.94,16.12,40.08,16.47,1.58,102.46,0.31,21.09,,,0.51,,25.07,45.45,1.8,109.75,0.0,0.0,97.67,,
2018-01-16 00:00:00,86.83,174.32,,37.98,24.33,47.81,14.51,2.05,70.46,0.41,16.73,,,0.4,,23.9,52.13,1.43,177.03,0.0,0.0,95.62,,
2018-01-17 00:00:00,74.97,159.4,,34.86,26.12,45.07,18.69,2.04,53.66,0.4,19.76,,,0.64,,24.22,54.26,1.32,176.91,0.0,0.0,95.42,,
2018-01-18 00:00:00,72.36,135.42,,29.13,27.32,48.19,14.6,2.2,44.95,0.39,17.48,,,0.57,,24.03,56.01,2.0,201.25,0.0,0.0,103.41,,
2018-01-19 00:00:00,70.95,143.13,,33.76,30.27,45.44,11.49,2.16,54.91,0.4,18.54,,,0.24,,23.8,56.74,1.67,179.66,0.0,0.0,89.53,,
2018-01-20 00:00:00,74.29,139.74,,31.8,22.87,48.64,16.07,2.02,57.85,0.42,21.71,,,0.21,,24.1,54.94,1.51,162.58,0.0,0.0,100.85,,
2018-01-21 00:00:00,72.35,147.74,,36.81,26.29,51.04,12.67,1.65,62.7,0.46,24.66,,,0.07,,24.06,53.89,1.5,188.35,0.0,0.0,97.89,,
2018-01-22 00:00:00,77.57,168.82,,41.92,30.19,47.67,15.15,2.01,68.75,0.43,19.16,,,0.27,,24.38,51.51,1.5,168.25,0.0,0.0,95.39,,
2018-01-23 00:00:00,60.05,130.53,,19.58,11.86,38.43,17.84,1.32,96.03,0.22,14.35,,,0.38,,23.37,53.7,3.09,248.19,0.0,0.0,87.6,,
2018-01-24 00:00:00,74.48,166.65,,25.96,15.51,31.36,16.16,1.14,91.25,0.2,13.1,,,0.28,,22.28,48.8,1.86,146.76,0.0,0.0,103.12,,
2018-01-25 00:00:00,114.81,215.21,,40.74,28.77,41.87,15.96,2.11,69.39,0.43,14.37,,,0.42,,21.68,49.24,1.46,167.19,0.0,0.0,95.35,,
2018-01-26 00:00:00,93.27,166.4,,41.01,29.82,41.78,13.61,2.1,63.05,0.46,15.36,,,0.54,,22.36,45.69,1.46,173.91,0.0,0.0,102.77,,
2018-01-27 00:00:00,95.75,175.71,,40.36,29.18,45.01,14.59,2.16,70.65,0.45,15.29,,,0.44,,22.85,46.71,1.5,168.64,0.0,0.0,100.1,,
2018-01-28 00:00:00,90.21,181.82,,45.79,31.72,44.59,12.39,2.28,67.3,0.46,17.28,,,0.4,,23.5,48.54,1.51,174.85,0.0,0.0,92.75,,
2018-01-29 00:00:00,155.39,187.62,,45.01,31.13,47.85,13.58,2.41,77.5,0.42,14.13,,,0.47,,24.09,49.97,1.53,157.02,0.0,0.0,95.51,,
2018-01-30 00:00:00,101.76,196.07,,33.37,28.97,45.95,14.12,2.18,69.31,0.43,15.62,,,0.61,,24.46,47.93,1.43,156.89,0.0,0.0,100.51,,
2018-01-31 00:00:00,89.93,186.85,,34.95,34.75,48.48,16.06,2.25,58.38,0.43,14.23,,,0.64,,24.62,43.51,1.44,141.52,0.0,0.0,107.57,,
2018-02-01 00:00:00,81.6,167.09,,34.23,31.15,46.31,11.77,1.67,62.38,0.39,13.58,,,0.65,,24.96,40.67,1.65,184.64,0.0,0.0,100.45,,
2018-02-02 00:00:00,74.09,151.12,,29.16,22.83,48.87,13.32,1.33,91.84,0.33,13.33,,,0.62,,24.84,44.81,1.52,202.01,0.0,0.0,96.32,,
2018-02-03 00:00:00,73.8,162.09,,26.54,18.16,45.3,11.28,1.15,88.93,0.25,11.18,,,0.35,,24.36,47.58,2.13,140.06,0.0,0.0,104.2,,
2018-02-04 00:00:00,74.15,171.78,,17.41,11.19,37.12,12.38,0.92,136.08,0.21,8.54,,,0.32,,24.38,50.0,2.83,77.85,0.0,0.0,95.25,,
2018-02-05 00:00:00,70.57,164.04,,20.77,13.13,36.69,12.94,0.82,126.38,0.21,8.96,,,0.3,,25.16,48.2,2.13,116.4,0.0,0.0,87.47,,
2018-02-06 00:00:00,72.58,171.27,,22.09,14.03,36.89,13.56,1.26,94.15,0.23,8.88,,,0.3,,23.87,54.16,2.06,116.61,0.0,0.0,46.89,,
2018-02-07 00:00:00,68.88,148.97,,24.21,15.47,39.15,9.92,1.23,71.32,0.23,10.53,,,0.36,,23.82,55.35,1.83,146.51,0.0,0.0,49.92,,
2018-02-08 00:00:00,66.79,144.26,,25.65,18.26,42.55,13.87,1.12,67.11,0.24,10.59,,,0.33,,24.1,50.33,2.1,217.2,0.0,0.0,100.25,,
2018-02-09 00:00:00,77.31,173.32,,36.26,25.98,40.58,12.74,1.5,73.33,0.31,11.19,,,0.33,,23.83,41.31,1.35,203.54,0.0,0.0,103.39,,
