Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2021-01-01 00:00:00,54.68,94.95,3.97,27.41,10.07,12.41,14.99,0.62,71.37,1.92,2.62,NA,NA,1.54,0.77,NA,77.89,1.32,193.08,0.00,0.00,334.13,NA,NA
2021-01-02 00:00:00,62.29,102.30,4.00,27.54,9.91,12.56,15.07,0.79,62.01,2.90,3.20,NA,NA,2.51,1.00,NA,77.23,1.32,193.09,0.00,0.00,298.87,NA,NA
2021-01-03 00:00:00,57.40,96.11,4.04,27.50,9.89,12.46,15.21,0.65,67.34,2.13,3.05,NA,NA,2.22,0.83,NA,72.99,1.30,165.54,0.00,0.00,357.29,NA,NA
2021-01-04 00:00:00,54.66,93.80,4.02,27.57,9.95,12.24,15.21,0.65,59.72,2.03,3.29,NA,NA,1.86,0.78,NA,77.69,1.29,116.62,0.01,1.00,261.63,NA,NA
2021-01-05 00:00:00,39.48,75.81,4.02,27.74,9.66,12.61,14.98,0.62,44.59,1.89,3.48,NA,NA,1.50,0.75,NA,82.60,1.31,166.45,0.00,0.00,164.58,NA,NA
2021-01-06 00:00:00,46.60,86.82,4.03,27.91,9.97,12.46,15.04,0.69,42.60,2.35,3.64,NA,NA,2.03,0.98,NA,76.62,1.32,179.35,0.04,3.40,361.28,NA,NA
2021-01-07 00:00:00,39.14,71.15,3.96,27.65,10.07,12.36,14.74,0.62,31.05,1.74,2.68,NA,NA,1.59,0.64,NA,80.75,1.32,184.59,0.00,0.00,302.78,NA,NA
2021-01-08 00:00:00,38.70,73.90,4.07,27.61,9.95,12.47,15.14,0.62,28.77,3.05,3.51,NA,NA,1.57,1.05,NA,90.25,1.32,186.17,0.04,3.80,197.40,NA,NA
2021-01-09 00:00:00,48.57,83.69,3.98,27.67,9.98,12.43,14.87,0.54,36.12,2.17,3.18,NA,NA,2.08,0.91,NA,82.18,1.32,193.41,0.00,0.00,379.47,NA,NA
2021-01-10 00:00:00,21.69,73.59,4.03,27.30,9.94,12.53,15.24,0.74,37.31,3.05,4.12,NA,NA,1.95,1.36,NA,73.90,1.33,187.44,0.00,0.00,332.04,NA,NA
2021-01-11 00:00:00,23.77,83.93,4.00,27.32,9.82,12.58,14.95,0.92,27.67,4.48,6.39,NA,NA,2.50,1.95,NA,69.49,1.32,181.36,0.00,0.00,531.71,NA,NA
2021-01-12 00:00:00,46.28,90.97,4.05,27.33,10.02,12.34,15.07,0.87,39.60,3.68,6.89,NA,NA,2.53,2.42,NA,68.89,1.32,176.86,0.00,0.00,389.18,NA,NA
2021-01-13 00:00:00,48.44,87.98,4.00,27.44,9.88,12.40,14.88,0.70,34.78,3.14,5.54,NA,NA,2.25,2.01,NA,66.22,1.32,174.79,0.00,0.00,518.44,NA,NA
2021-01-14 00:00:00,37.37,86.91,3.99,27.32,9.80,12.48,15.01,0.89,33.70,5.73,6.44,NA,NA,2.12,3.34,NA,65.50,1.32,171.77,0.00,0.00,461.23,NA,NA
2021-01-15 00:00:00,39.52,92.96,4.02,27.54,9.87,12.47,15.21,0.70,42.16,3.69,4.74,NA,NA,1.88,1.58,NA,68.01,1.32,173.24,0.00,0.00,421.50,NA,NA
2021-01-16 00:00:00,46.09,84.05,3.98,27.54,10.03,12.61,15.03,0.62,50.55,2.84,3.86,NA,NA,1.64,1.27,NA,72.12,1.32,173.95,0.00,0.00,386.21,NA,NA
2021-01-17 00:00:00,44.52,89.89,4.00,27.61,9.90,12.51,14.97,0.42,65.11,2.22,2.67,NA,NA,1.22,0.82,NA,70.87,1.32,167.85,0.00,0.00,353.46,NA,NA
2021-01-18 00:00:00,37.71,94.63,4.03,27.74,9.72,12.65,15.07,0.39,59.69,2.14,1.91,NA,NA,0.80,0.96,NA,66.80,1.33,170.07,0.00,0.00,343.46,NA,NA
2021-01-19 00:00:00,51.24,96.34,4.00,27.49,10.03,12.43,14.99,0.93,44.44,5.63,6.55,NA,NA,2.36,2.81,NA,71.89,1.33,167.62,0.00,0.00,358.71,NA,NA
2021-01-20 00:00:00,47.13,105.18,3.95,27.56,9.93,12.45,14.81,0.75,45.09,4.29,6.84,NA,NA,2.38,1.95,NA,67.32,1.32,166.97,0.00,0.00,503.84,NA,NA
2021-01-21 00:00:00,52.15,93.26,3.98,27.48,9.97,12.43,14.79,1.03,51.77,3.96,5.87,NA,NA,2.41,2.45,NA,64.29,1.32,164.17,0.00,0.00,437.08,NA,NA
2021-01-22 00:00:00,51.71,99.80,3.95,27.66,9.88,12.69,15.09,1.02,50.28,4.58,8.08,NA,NA,2.73,2.17,NA,66.07,1.32,165.39,0.00,0.00,465.56,NA,NA
2021-01-23 00:00:00,64.73,108.99,3.99,27.39,9.84,12.53,15.11,1.39,40.89,6.24,11.65,NA,NA,3.70,2.98,NA,70.57,1.32,167.37,0.00,0.00,511.76,NA,NA
2021-01-24 00:00:00,56.36,104.80,12.07,29.58,13.45,10.36,14.96,0.90,64.14,4.11,7.42,NA,NA,2.97,2.62,NA,58.46,1.33,168.52,0.00,0.00,532.34,NA,NA
2021-01-25 00:00:00,46.92,94.24,13.20,29.66,14.92,9.97,14.99,1.10,51.53,3.86,6.84,NA,NA,2.80,2.09,NA,66.78,1.32,166.41,0.00,0.00,458.13,NA,NA
2021-01-26 00:00:00,46.74,88.35,10.08,30.39,15.22,9.81,14.96,0.87,66.02,2.93,4.75,NA,NA,2.45,1.27,NA,65.11,1.33,165.95,0.00,0.00,426.53,NA,NA
2021-01-27 00:00:00,48.12,93.33,10.33,30.02,15.03,9.95,14.91,0.77,68.30,2.31,4.11,NA,NA,2.51,1.33,NA,63.55,1.33,164.99,0.00,0.00,424.57,NA,NA
2021-01-28 00:00:00,60.38,108.88,12.26,29.32,15.48,9.96,14.81,1.16,51.12,3.77,7.01,NA,NA,3.08,2.43,NA,69.14,1.33,168.59,0.00,0.00,390.62,NA,NA
2021-01-29 00:00:00,43.35,84.81,17.74,28.57,8.59,10.06,15.06,0.33,92.80,0.80,1.41,NA,NA,1.21,0.46,NA,63.08,1.33,169.72,0.00,0.00,425.79,NA,NA
2021-01-30 00:00:00,42.06,88.46,18.34,27.09,7.24,22.56,14.88,0.33,74.99,0.98,1.51,NA,NA,1.02,0.65,NA,51.42,1.32,158.95,0.00,0.00,430.06,NA,NA
2021-01-31 00:00:00,46.27,89.16,NA,NA,0.00,NA,15.09,0.40,46.41,1.17,2.71,NA,NA,1.82,0.62,NA,59.26,1.32,160.20,0.00,0.00,364.81,NA,NA
2021-02-01 00:00:00,42.74,86.01,NA,NA,NA,NA,15.09,0.22,78.52,2.21,3.46,NA,NA,1.27,0.97,NA,55.37,1.32,159.59,0.00,0.00,437.47,NA,NA
2021-02-02 00:00:00,NA,NA,49.40,24.84,39.05,25.60,14.95,0.74,43.74,4.26,7.40,NA,NA,2.80,1.88,NA,50.04,1.32,159.45,0.00,0.00,429.66,NA,NA
2021-02-03 00:00:00,NA,NA,90.41,24.45,77.74,32.44,14.79,1.19,36.23,3.64,6.06,NA,NA,2.40,1.84,NA,50.01,1.32,155.20,0.00,0.00,430.80,NA,NA
2021-02-04 00:00:00,NA,NA,20.29,29.72,18.93,13.71,15.17,1.08,35.15,4.00,5.96,NA,NA,2.65,2.05,NA,48.37,1.33,151.90,0.00,0.00,403.86,NA,NA
2021-02-05 00:00:00,NA,NA,11.69,29.64,14.65,10.45,15.06,0.90,44.37,4.37,6.75,NA,NA,2.98,2.01,NA,55.07,1.33,148.76,0.00,0.00,375.61,NA,NA
2021-02-06 00:00:00,NA,NA,23.23,29.16,19.72,14.44,14.73,0.47,68.60,1.91,2.48,NA,NA,1.31,0.71,NA,56.82,1.33,147.67,0.00,0.00,521.01,NA,NA
2021-02-07 00:00:00,NA,NA,19.63,29.00,20.94,11.63,14.67,0.46,68.89,1.88,3.34,NA,NA,1.43,0.85,NA,48.63,1.33,148.30,0.00,0.00,451.39,NA,NA
2021-02-08 00:00:00,NA,NA,14.05,NA,18.07,14.82,15.87,0.99,45.99,4.50,6.67,NA,NA,2.55,1.81,NA,48.30,1.33,151.64,0.00,0.00,518.43,NA,NA
2021-02-09 00:00:00,NA,NA,10.00,32.88,13.56,20.17,14.80,1.17,46.97,4.96,7.73,NA,NA,3.03,2.47,NA,48.97,1.33,149.85,0.00,0.00,482.12,NA,NA
2021-02-10 00:00:00,49.27,107.99,13.81,29.54,17.15,10.24,15.13,1.11,42.47,5.58,9.62,NA,NA,3.30,3.29,NA,49.92,1.33,146.07,0.00,0.00,458.01,NA,NA
2021-02-11 00:00:00,53.09,118.71,11.73,29.71,16.00,10.08,15.22,1.20,41.91,6.60,10.23,NA,NA,3.82,3.37,NA,50.02,1.33,144.49,0.00,0.00,416.56,NA,NA
2021-02-12 00:00:00,49.47,100.29,10.44,29.85,15.18,9.94,14.95,1.12,41.49,5.81,8.98,NA,NA,3.17,2.65,NA,51.72,1.33,143.53,0.00,0.00,374.00,NA,NA
2021-02-13 00:00:00,50.16,101.38,9.74,29.96,14.78,9.98,15.07,1.11,37.85,6.58,9.33,NA,NA,3.32,4.95,NA,57.96,1.33,145.04,0.00,0.00,398.38,NA,NA
2021-02-14 00:00:00,44.99,90.44,9.71,29.84,8.58,9.97,14.96,0.74,51.74,3.78,5.62,NA,NA,1.81,2.18,NA,57.37,1.33,145.42,0.00,0.00,395.29,NA,NA
2021-02-15 00:00:00,51.82,105.08,10.33,29.83,14.93,9.88,14.94,1.21,42.06,5.63,9.29,NA,NA,3.07,3.30,NA,59.67,1.33,143.57,0.00,0.00,335.85,NA,NA
2021-02-16 00:00:00,42.69,94.24,10.07,30.04,9.36,9.81,14.95,0.45,77.57,2.48,3.83,NA,NA,1.31,1.54,NA,57.52,1.33,149.87,0.00,0.00,344.73,NA,NA
2021-02-17 00:00:00,35.01,77.21,9.99,30.14,14.81,9.98,14.95,0.57,75.80,2.72,4.11,NA,NA,1.43,1.24,NA,58.36,1.33,149.33,0.00,0.00,382.47,NA,NA
