Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2018-01-01 00:00:00,101.4,172.82,15.01,53.19,39.85,34.21,6.59,1.63,54.98,6.59,42.4,,,7.84,20.93,,44.5,1.8,154.86,0.0,0.0,595.71,,
2018-01-02 00:00:00,70.01,133.64,9.15,51.09,34.31,32.42,6.28,1.11,76.93,4.64,33.78,,,5.32,14.83,,41.63,2.09,209.89,0.0,0.0,560.86,,
2018-01-03 00:00:00,74.13,105.53,7.71,52.58,33.65,32.55,6.79,1.05,82.09,3.46,27.51,,,6.16,13.43,,42.88,1.88,224.24,0.0,0.0,605.8,,
2018-01-04 00:00:00,59.51,169.95,13.9,51.63,38.11,32.03,6.91,1.41,64.49,5.2,35.29,,,8.33,19.8,,42.05,1.84,201.97,0.0,0.0,573.8,,
2018-01-05 00:00:00,68.41,163.8,12.55,59.25,41.18,36.42,5.95,1.64,53.57,6.25,44.1,,,8.33,20.53,,45.15,1.76,170.94,0.0,0.0,570.76,,
2018-01-06 00:00:00,58.51,180.0,19.58,60.72,47.5,43.38,6.76,1.44,80.94,6.02,38.12,,,7.07,17.3,,44.96,1.83,159.93,0.0,0.0,550.45,,
2018-01-07 00:00:00,53.84,117.6,12.74,66.97,46.1,45.42,5.63,1.09,59.96,4.62,32.63,,,6.51,15.72,,43.19,1.82,185.86,0.0,0.0,575.49,,
2018-01-08 00:00:00,57.44,115.47,10.27,68.44,45.08,45.58,5.91,1.24,57.52,4.56,33.46,,,6.12,15.02,,43.72,1.73,186.01,0.0,0.0,586.72,,
2018-01-09 00:00:00,55.56,75.62,8.71,66.82,42.43,43.9,6.96,1.08,71.53,3.66,29.14,,,5.07,17.03,,43.48,2.29,253.84,0.0,0.0,536.53,,
2018-01-10 00:00:00,48.5,45.26,8.72,71.78,46.14,45.07,6.69,1.04,80.4,3.51,30.03,,,4.79,15.3,,39.77,1.98,279.09,0.0,0.0,554.24,,
2018-01-11 00:00:00,52.73,111.65,11.94,67.39,45.61,43.94,6.25,1.02,77.49,3.62,31.42,,,5.33,14.89,,37.56,1.65,219.68,0.0,0.0,575.22,,
2018-01-12 00:00:00,64.61,144.95,14.16,67.65,52.6,60.05,7.47,1.76,67.0,4.78,35.59,,,7.28,19.68,,38.65,1.62,187.05,0.0,0.0,442.2,,
2018-01-13 00:00:00,71.55,153.89,16.16,70.36,51.54,62.73,7.02,1.19,57.01,4.5,35.1,,,9.76,20.49,,33.95,1.96,185.03,0.0,0.0,547.75,,
2018-01-14 00:00:00,93.97,139.97,16.64,65.55,50.88,59.68,5.74,1.28,57.68,4.65,35.27,,,8.32,20.65,,38.37,1.71,178.18,0.0,0.0,517.12,,
2018-01-15 00:00:00,82.47,112.66,7.05,53.06,33.93,51.83,6.94,0.99,72.32,3.7,22.78,,,3.59,11.34,,36.63,1.44,227.83,0.0,0.0,494.06,,
2018-01-16 00:00:00,90.52,119.45,9.97,63.78,43.27,48.09,6.95,1.02,66.09,3.88,27.41,,,4.71,13.76,,40.87,1.62,206.21,0.0,0.0,605.39,,
2018-01-17 00:00:00,58.69,126.14,9.09,51.62,34.76,42.07,7.35,0.78,55.29,2.09,20.4,,,2.36,8.52,,37.06,1.69,233.59,0.0,0.0,626.24,,
