Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2022-01-01 00:00:00,36.21,56.86,4.70,2.65,5.21,NA,32.37,0.40,9.52,0.00,NA,NA,NA,NA,NA,12.10,72.08,1.20,214.56,0.00,0.00,125.75,855.61,NA
2022-01-02 00:00:00,27.70,51.34,3.87,2.63,5.15,NA,31.67,0.33,9.33,0.00,NA,NA,NA,NA,NA,13.22,64.53,1.02,226.69,0.00,0.00,165.55,854.36,NA
2022-01-03 00:00:00,27.89,54.90,14.48,2.65,5.16,NA,31.80,0.36,11.93,0.00,NA,NA,NA,NA,NA,13.29,62.55,1.11,199.42,0.00,0.00,156.30,853.32,NA
2022-01-04 00:00:00,31.88,59.08,10.75,2.63,5.16,NA,31.66,0.37,9.99,0.08,NA,NA,NA,NA,0.03,12.91,65.51,1.44,165.03,0.00,0.00,171.97,854.11,NA
2022-01-05 00:00:00,34.08,61.05,6.65,2.65,5.22,NA,32.01,0.37,9.60,0.02,NA,NA,NA,NA,NA,13.27,61.96,1.22,183.44,0.00,0.00,195.26,853.57,NA
2022-01-06 00:00:00,25.29,54.84,9.23,2.61,5.06,NA,32.85,0.37,10.64,0.01,NA,NA,NA,NA,NA,13.98,55.74,1.23,193.68,0.00,0.00,163.96,853.28,NA
2022-01-07 00:00:00,16.06,47.94,13.04,2.64,5.14,NA,31.98,0.31,10.38,0.00,NA,NA,NA,NA,0.04,15.02,50.00,1.30,170.82,0.00,0.00,176.10,854.30,NA
2022-01-08 00:00:00,26.43,56.22,2.18,2.68,5.20,NA,33.26,0.32,10.87,0.00,NA,NA,NA,0.01,0.09,14.99,59.37,1.36,185.75,0.00,0.00,160.43,854.22,NA
2022-01-09 00:00:00,27.11,48.30,7.48,2.65,5.17,NA,32.40,0.35,10.47,0.00,NA,NA,NA,NA,0.01,14.46,65.74,1.33,177.28,0.00,0.00,147.34,852.82,NA
2022-01-10 00:00:00,32.96,70.85,4.02,2.64,5.22,NA,33.01,0.38,9.76,0.00,NA,NA,NA,NA,0.02,15.01,59.33,1.17,204.92,0.00,0.00,154.19,853.15,NA
2022-01-11 00:00:00,38.70,75.47,4.76,2.58,5.16,NA,32.27,0.52,10.39,0.00,NA,NA,NA,NA,0.03,14.72,65.98,1.28,180.90,0.00,0.00,128.83,853.43,NA
2022-01-12 00:00:00,50.72,80.70,11.33,2.61,5.14,NA,31.81,0.58,8.79,0.00,NA,NA,NA,NA,NA,12.01,76.52,1.10,138.93,0.00,0.00,45.83,852.41,NA
2022-01-13 00:00:00,26.93,73.86,5.67,2.60,6.98,NA,32.03,0.41,9.27,0.00,NA,NA,NA,NA,0.01,11.04,74.56,1.37,185.77,0.15,11.66,130.76,851.98,NA
2022-01-14 00:00:00,44.51,83.64,11.93,2.62,5.14,NA,32.10,0.46,9.00,0.00,NA,NA,NA,NA,0.02,10.39,73.74,1.18,167.55,0.00,0.00,116.58,853.34,NA
2022-01-15 00:00:00,45.64,61.76,7.27,2.62,5.11,NA,31.60,0.56,10.49,0.00,NA,NA,NA,NA,0.01,10.64,76.28,1.13,142.93,0.04,3.03,52.50,852.59,NA
2022-01-16 00:00:00,38.08,62.80,7.50,2.60,5.21,NA,32.11,0.41,9.05,0.00,NA,NA,NA,NA,NA,11.70,72.67,1.18,178.35,0.00,0.00,105.94,853.53,NA
2022-01-17 00:00:00,27.92,58.14,5.91,2.64,5.22,NA,32.11,0.39,9.46,0.00,NA,NA,NA,NA,0.07,13.69,60.21,1.38,181.51,0.00,0.00,211.94,854.91,NA
2022-01-18 00:00:00,36.64,79.10,14.24,2.57,5.15,NA,32.47,0.47,8.60,0.00,NA,NA,NA,0.02,0.08,12.57,60.70,1.07,190.35,0.00,0.00,127.33,852.93,NA
2022-01-19 00:00:00,30.49,63.81,10.96,2.57,5.15,NA,32.33,0.43,8.74,0.00,NA,NA,NA,NA,0.05,12.31,59.66,1.09,192.25,0.00,0.00,126.47,850.85,NA
2022-01-20 00:00:00,37.63,58.32,8.49,2.64,6.72,NA,32.32,0.45,8.79,0.00,NA,NA,NA,0.02,0.05,10.64,70.05,1.00,177.06,0.14,10.20,55.39,848.60,NA
2022-01-21 00:00:00,76.57,142.43,5.82,2.56,5.17,8.98,32.31,0.74,12.79,0.00,NA,NA,NA,NA,0.05,9.18,75.94,1.00,219.54,0.00,0.00,50.34,848.57,NA
2022-01-22 00:00:00,66.83,105.68,8.93,2.60,5.20,6.52,31.72,0.51,9.24,0.00,NA,NA,NA,NA,0.01,10.11,71.11,1.01,201.74,0.00,0.00,107.18,848.43,NA
2022-01-23 00:00:00,46.63,71.80,5.87,2.58,5.22,4.48,32.03,0.50,9.05,0.00,NA,NA,NA,NA,NA,9.86,67.04,1.02,168.41,0.08,7.07,63.28,849.47,NA
2022-01-24 00:00:00,46.29,61.82,8.64,2.55,5.11,9.81,31.99,0.51,12.47,0.00,NA,NA,NA,NA,0.02,9.52,74.59,1.04,155.25,0.18,11.55,59.21,849.27,NA
2022-01-25 00:00:00,54.06,119.41,10.18,2.63,5.16,8.65,32.51,0.61,9.09,0.00,NA,NA,NA,NA,0.05,9.90,75.53,1.04,189.03,0.03,2.16,51.97,849.53,NA
2022-01-26 00:00:00,58.44,119.58,7.90,2.58,7.97,5.79,32.45,0.54,8.59,0.00,NA,NA,NA,NA,0.02,10.89,73.01,0.95,181.36,0.04,3.06,78.95,849.99,NA
2022-01-27 00:00:00,57.24,132.05,2.30,2.56,5.23,17.34,32.29,0.69,8.76,0.03,NA,NA,NA,NA,NA,8.89,75.73,1.50,155.61,0.00,0.00,47.34,849.38,NA
2022-01-28 00:00:00,54.64,134.56,7.07,2.77,5.22,6.88,32.08,0.50,8.69,0.00,NA,NA,NA,NA,0.01,7.63,77.26,0.93,208.40,0.00,0.00,71.07,850.09,NA
2022-01-29 00:00:00,56.06,123.39,9.77,2.49,5.07,14.52,32.20,0.51,10.06,0.00,NA,NA,NA,NA,NA,7.66,75.67,1.19,193.39,0.00,0.00,108.22,849.81,NA
2022-01-30 00:00:00,60.20,120.43,20.74,2.54,7.29,16.44,32.17,0.59,10.02,0.00,NA,NA,NA,NA,0.01,7.55,76.17,0.95,212.39,0.00,0.00,101.23,847.73,NA
2022-01-31 00:00:00,58.28,116.23,18.28,2.60,5.00,17.91,32.24,0.60,8.71,0.01,NA,NA,NA,NA,0.02,9.04,75.07,0.89,225.06,0.00,0.00,79.18,848.14,NA
2022-02-01 00:00:00,67.93,123.23,6.72,2.62,6.23,4.78,32.55,0.62,12.11,0.00,NA,NA,NA,NA,0.02,9.06,71.91,0.92,184.20,0.02,1.87,78.01,847.21,NA
2022-02-02 00:00:00,45.40,86.87,5.33,2.64,5.15,8.16,32.74,0.50,10.38,0.00,NA,NA,NA,NA,0.02,9.63,69.19,1.25,146.21,0.04,3.09,133.71,850.00,NA
2022-02-03 00:00:00,69.36,111.97,7.70,2.60,5.21,5.60,32.56,0.59,12.75,0.00,NA,NA,NA,NA,0.02,10.54,68.00,1.08,128.13,0.00,0.00,50.43,851.60,NA
2022-02-04 00:00:00,42.98,104.58,3.72,2.60,5.20,4.60,33.11,0.43,12.15,0.00,NA,NA,NA,NA,0.01,10.91,72.33,1.86,180.66,0.05,4.49,111.72,850.50,NA
2022-02-05 00:00:00,18.13,37.18,10.59,2.63,10.89,7.50,33.13,0.38,12.50,0.00,NA,NA,NA,NA,NA,9.48,78.08,1.50,167.89,0.15,12.64,81.31,848.11,NA
2022-02-06 00:00:00,19.52,46.98,17.76,2.56,5.06,15.42,32.73,0.38,11.60,0.00,NA,NA,NA,NA,NA,7.36,76.59,1.38,165.20,0.05,3.98,72.03,850.38,NA
2022-02-07 00:00:00,44.65,89.24,7.87,2.58,5.21,5.93,32.73,0.58,11.58,0.00,NA,NA,NA,NA,0.03,9.30,70.58,1.02,198.11,0.00,0.00,149.41,850.62,NA
2022-02-08 00:00:00,53.06,102.33,7.41,2.64,5.23,6.50,32.74,0.59,10.58,0.00,NA,NA,NA,NA,0.02,9.94,72.27,1.18,193.96,0.00,0.00,175.16,850.65,NA
2022-02-09 00:00:00,48.76,91.94,4.62,2.62,5.22,3.74,33.14,0.43,10.00,0.00,NA,NA,NA,NA,NA,11.27,71.51,1.07,212.68,0.00,0.00,186.92,851.52,NA
2022-02-10 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2022-02-11 00:00:00,64.24,130.69,10.30,2.57,5.11,7.40,34.19,0.68,14.71,0.00,NA,NA,NA,NA,0.04,11.82,73.10,1.20,236.62,0.00,0.00,94.34,849.69,NA
2022-02-12 00:00:00,36.48,77.62,8.50,2.60,5.18,5.88,33.07,0.34,10.01,0.00,NA,NA,NA,NA,NA,8.88,65.08,0.98,204.37,0.00,0.00,81.06,849.98,NA
2022-02-13 00:00:00,45.29,74.06,10.51,2.67,5.14,10.76,32.88,0.47,12.25,0.00,NA,NA,NA,NA,NA,14.58,56.43,1.60,189.53,0.00,0.00,457.96,850.47,NA
2022-02-14 00:00:00,32.72,74.65,5.73,2.59,5.19,4.38,33.02,0.42,10.46,0.00,NA,NA,NA,NA,0.03,14.12,52.06,1.32,197.12,0.00,0.00,327.14,850.45,NA
2022-02-15 00:00:00,33.32,74.63,6.46,2.63,5.16,4.61,33.36,0.42,12.89,0.43,NA,NA,NA,0.48,0.42,14.56,54.31,1.27,198.80,0.00,0.00,354.21,849.76,NA
2022-02-16 00:00:00,37.51,85.39,4.54,2.67,5.17,3.62,33.55,0.47,12.00,0.74,NA,NA,NA,0.93,0.70,13.96,55.59,1.13,220.26,0.00,0.00,330.10,847.86,NA
2022-02-17 00:00:00,41.51,81.28,5.65,2.66,9.60,4.13,34.16,0.42,15.83,0.67,NA,NA,NA,0.84,0.63,13.79,53.12,1.20,177.79,0.00,0.00,297.53,848.14,NA
2022-02-18 00:00:00,52.65,103.19,2.20,2.64,5.19,1.97,33.64,0.49,13.35,0.78,NA,NA,NA,0.97,0.73,13.42,61.06,1.21,213.03,0.00,0.00,239.57,849.72,NA
2022-02-19 00:00:00,52.99,90.21,23.42,2.61,18.49,1.90,33.79,0.56,10.51,0.90,NA,NA,NA,1.13,0.85,11.57,73.03,0.82,227.76,0.00,0.00,141.44,849.28,NA
2022-02-20 00:00:00,40.91,86.41,8.82,2.59,5.09,NA,34.11,0.45,12.97,0.72,NA,NA,NA,0.90,0.68,12.05,58.23,1.02,189.57,0.03,2.80,291.96,846.97,NA
2022-02-21 00:00:00,28.80,61.66,7.16,2.59,8.01,NA,33.37,0.44,13.74,0.71,NA,NA,NA,0.88,0.66,7.37,76.79,1.46,160.34,0.26,22.28,80.71,847.77,NA
2022-02-22 00:00:00,45.43,109.54,16.98,2.58,5.09,1.91,32.89,0.44,13.74,0.71,NA,NA,NA,0.89,0.67,10.77,68.07,1.17,189.56,0.00,0.00,135.05,852.38,NA
2022-02-23 00:00:00,49.78,101.31,6.94,2.61,5.18,NA,33.25,0.49,11.40,0.78,NA,NA,NA,0.97,0.73,12.74,60.08,1.26,169.49,0.00,0.00,163.72,854.65,NA
2022-02-24 00:00:00,76.62,122.93,7.35,2.65,5.15,NA,33.77,0.54,11.58,0.86,NA,NA,NA,1.08,0.81,13.13,70.62,1.32,175.01,0.07,6.95,173.09,854.59,NA
2022-02-25 00:00:00,46.30,88.71,12.92,2.63,5.08,NA,33.46,0.46,10.82,0.74,NA,NA,NA,0.92,0.69,12.57,75.14,1.26,160.81,0.09,6.41,57.99,854.73,NA
2022-02-26 00:00:00,38.96,91.02,3.37,2.67,5.21,NA,34.01,0.39,10.68,0.63,NA,NA,NA,0.78,0.59,14.27,71.02,1.25,177.38,0.00,0.00,101.98,855.18,NA
2022-02-27 00:00:00,41.01,98.63,8.94,2.61,5.16,NA,34.00,0.37,10.74,0.60,NA,NA,NA,0.75,0.56,14.84,63.78,1.12,187.62,0.00,0.00,130.98,853.73,NA
2022-02-28 00:00:00,51.24,116.62,13.38,2.62,5.07,NA,33.83,0.44,11.72,0.71,NA,NA,NA,0.89,0.66,14.38,63.57,1.26,159.02,0.09,7.02,84.86,853.10,NA
2022-03-01 00:00:00,49.36,101.25,2.16,2.69,5.17,NA,35.15,0.44,13.43,0.70,NA,NA,NA,0.88,0.66,14.96,68.70,1.58,166.98,0.00,0.00,115.13,854.32,NA
2022-03-02 00:00:00,52.96,108.25,2.14,2.71,5.17,NA,36.27,0.50,12.89,0.80,NA,NA,NA,1.01,0.76,16.43,67.31,1.17,205.91,0.00,0.00,177.87,853.57,NA
2022-03-03 00:00:00,49.44,100.83,2.39,2.55,5.27,NA,36.57,0.74,10.20,1.19,NA,NA,NA,1.50,1.13,12.75,75.05,0.46,237.25,0.00,0.00,NA,853.29,NA
2022-03-04 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2022-03-05 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2022-03-06 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2022-03-07 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2022-03-08 00:00:00,31.67,103.33,27.73,2.81,22.28,NA,34.74,0.44,24.79,0.69,NA,NA,NA,0.88,0.65,25.55,37.88,1.45,218.78,0.00,0.00,206.65,851.66,NA
2022-03-09 00:00:00,36.42,132.94,2.21,2.60,5.16,1.96,34.49,0.58,15.11,0.92,NA,NA,NA,1.15,0.86,21.38,52.76,1.09,198.04,0.00,0.00,172.64,851.55,NA
2022-03-10 00:00:00,79.01,117.37,2.19,2.63,5.17,2.00,34.43,0.58,12.82,0.93,NA,NA,NA,1.16,0.87,20.93,54.95,1.12,192.31,0.00,0.00,177.67,851.69,NA
2022-03-11 00:00:00,46.03,127.22,2.24,2.64,5.24,1.96,34.46,0.59,14.36,0.95,NA,NA,NA,1.18,0.89,20.92,57.10,1.05,198.07,0.00,0.00,156.32,850.91,NA
2022-03-12 00:00:00,NA,146.11,2.23,2.65,5.23,1.98,34.50,0.65,12.97,1.05,NA,NA,NA,1.31,0.98,20.39,60.17,0.97,215.23,0.00,0.00,124.69,850.53,NA
2022-03-13 00:00:00,NA,122.50,2.24,2.61,5.20,1.99,34.91,0.63,13.42,1.01,NA,NA,NA,1.26,0.95,21.39,58.04,1.15,208.76,0.00,0.00,143.32,851.12,NA
2022-03-14 00:00:00,70.36,132.64,2.24,2.63,5.23,1.95,34.54,0.70,13.38,1.12,NA,NA,NA,1.40,1.05,22.06,53.75,1.04,212.95,0.00,0.00,146.46,850.96,NA
2022-03-15 00:00:00,68.14,135.55,2.16,2.66,5.13,1.99,36.47,0.70,14.86,1.12,NA,NA,NA,1.41,1.05,21.57,57.84,1.15,228.28,0.00,0.00,134.99,849.09,NA
2022-03-16 00:00:00,85.18,157.12,2.16,2.67,5.15,2.00,37.35,0.72,17.86,1.15,NA,NA,NA,1.44,1.08,21.19,58.54,1.20,188.19,0.00,0.00,160.31,848.68,NA
2022-03-17 00:00:00,75.07,167.48,2.17,2.68,5.19,2.01,36.49,0.62,18.04,0.99,NA,NA,NA,1.24,0.93,21.74,49.96,0.97,196.00,0.00,0.00,170.43,850.22,NA
2022-03-18 00:00:00,NA,185.32,2.18,2.66,5.18,2.00,36.03,0.61,19.79,0.97,NA,NA,NA,1.22,0.91,22.24,53.68,1.12,198.34,0.00,0.00,158.21,850.51,NA
2022-03-19 00:00:00,NA,181.62,2.20,2.66,5.20,1.98,35.07,0.59,17.96,0.95,NA,NA,NA,1.18,0.89,22.27,54.80,1.07,202.74,0.00,0.00,162.21,848.81,NA
2022-03-20 00:00:00,NA,164.19,2.21,2.64,5.20,1.99,35.29,0.58,15.69,0.92,NA,NA,NA,1.16,0.87,22.75,52.35,1.21,183.97,0.00,0.00,180.00,848.27,NA
2022-03-21 00:00:00,95.61,123.57,2.18,2.65,5.18,2.01,35.68,0.53,16.27,0.84,NA,NA,NA,1.05,0.79,23.22,40.74,1.25,171.38,0.00,0.00,177.86,849.14,NA
2022-03-22 00:00:00,65.08,140.82,2.11,2.71,5.11,1.98,38.90,0.60,17.62,0.96,NA,NA,NA,1.20,0.90,22.52,45.71,1.33,176.07,0.00,0.00,178.25,849.92,NA
