Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2022-01-01 00:00:00,21.88,38.25,2.27,8.85,6.55,7.95,8.17,0.61,40.94,0.90,7.68,NA,NA,NA,NA,27.55,84.95,2.49,73.64,0.06,6.00,84.56,760.92,NA
2022-01-02 00:00:00,18.52,37.09,2.24,7.92,6.03,6.98,6.93,0.51,37.79,0.68,6.05,NA,NA,NA,NA,27.63,80.82,2.31,79.84,0.00,0.00,114.45,760.38,NA
2022-01-03 00:00:00,37.51,65.80,2.80,11.47,8.38,9.42,8.32,0.64,46.60,0.85,6.90,NA,NA,NA,NA,27.35,77.22,2.09,73.45,0.00,0.00,106.12,759.88,NA
2022-01-04 00:00:00,51.59,82.66,3.21,15.72,10.97,11.69,11.83,0.72,46.76,1.02,8.24,NA,NA,NA,NA,26.43,75.69,2.03,70.36,0.00,0.00,86.75,760.21,NA
2022-01-05 00:00:00,38.97,65.39,3.33,15.36,10.88,9.85,9.52,0.67,44.34,1.18,8.56,NA,NA,NA,NA,26.57,77.06,1.93,73.58,0.00,0.00,101.35,759.93,NA
2022-01-06 00:00:00,24.80,49.02,3.77,14.14,10.59,8.54,8.54,0.65,31.04,1.12,8.83,NA,NA,NA,NA,26.93,80.85,1.94,79.07,0.00,0.00,111.73,759.08,NA
2022-01-07 00:00:00,17.16,42.31,4.70,14.08,11.31,6.97,10.04,0.65,25.04,1.06,8.74,NA,NA,NA,NA,27.26,79.80,2.00,91.57,0.00,0.00,93.90,759.18,NA
2022-01-08 00:00:00,11.48,33.45,3.82,13.34,10.21,6.45,6.48,0.59,29.61,0.95,8.32,NA,NA,NA,NA,28.01,77.14,1.99,99.09,0.00,0.00,107.60,759.74,NA
2022-01-09 00:00:00,11.78,28.64,2.78,11.08,8.15,6.47,6.73,0.53,31.36,0.86,7.24,NA,NA,NA,NA,27.79,77.06,1.80,97.80,0.00,0.00,110.38,758.20,NA
2022-01-10 00:00:00,13.93,31.07,4.66,11.91,10.13,6.98,9.59,0.61,23.24,0.90,8.38,NA,NA,NA,NA,27.89,78.40,1.55,96.84,0.00,0.00,110.22,758.17,NA
2022-01-11 00:00:00,8.44,26.03,4.37,11.37,9.61,6.18,4.99,0.57,17.15,0.83,8.37,NA,NA,NA,NA,28.08,79.69,2.01,102.19,0.00,0.00,112.45,757.81,NA
2022-01-12 00:00:00,8.58,25.28,4.71,10.26,9.28,6.52,6.60,0.56,18.21,0.78,8.07,NA,NA,NA,NA,28.36,79.15,1.80,120.60,0.00,0.00,114.53,757.32,NA
2022-01-13 00:00:00,58.69,67.36,4.51,10.26,9.12,9.24,17.01,0.63,22.67,3.19,11.44,NA,NA,NA,NA,28.64,80.21,1.92,149.20,0.00,0.00,102.00,756.75,NA
2022-01-14 00:00:00,12.89,25.70,2.23,4.87,4.38,5.36,11.79,0.43,20.95,0.52,7.79,NA,NA,NA,NA,28.83,79.80,1.71,154.35,0.00,0.00,104.33,756.45,NA
2022-01-15 00:00:00,5.89,12.97,2.15,5.56,4.71,4.82,8.47,0.46,18.57,0.42,5.10,NA,NA,NA,NA,28.77,79.97,1.91,137.32,0.00,0.00,109.36,757.32,NA
2022-01-16 00:00:00,5.11,16.75,1.81,4.59,3.92,5.44,7.19,0.42,27.42,0.41,4.93,NA,NA,NA,NA,28.45,78.39,2.10,99.73,0.10,10.00,95.91,758.79,NA
