Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2018-01-01 00:00:00,164.0,294.0,7.88,30.43,38.31,3.71,2.78,1.68,18.75,5.69,11.41,10.59,,,,,73.41,1.1,217.42,,,149.57,,
2018-01-02 00:00:00,136.98,243.1,8.8,30.82,39.62,3.82,2.95,1.65,18.82,5.32,10.69,8.86,,,,,94.32,1.26,130.59,,,153.77,,
2018-01-03 00:00:00,89.22,182.84,7.51,29.99,37.5,3.66,3.67,1.43,18.72,4.73,8.46,5.63,,,,,98.92,1.09,151.04,,,178.64,,
2018-01-04 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-05 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-06 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-07 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-08 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-09 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-10 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-11 00:00:00,,,,,,,,,,,,0.0,,,,,,,,,,,,
2018-01-12 00:00:00,103.02,201.69,5.27,76.19,90.51,13.91,5.53,1.5,26.09,12.76,10.13,6.07,,,,,,,,,,,,
2018-01-13 00:00:00,104.45,189.27,7.41,78.13,86.15,14.21,3.34,1.66,19.77,6.06,10.29,9.47,,,,,,,,,,,,
2018-01-14 00:00:00,117.8,190.57,25.29,95.4,137.71,17.02,5.5,1.86,20.11,9.47,10.26,8.63,,,,,,,,,,,,
2018-01-15 00:00:00,68.63,142.77,15.98,85.74,101.75,15.64,3.27,1.39,22.8,8.79,8.52,7.62,,,,,76.58,0.75,177.14,,,131.63,,
2018-01-16 00:00:00,75.37,153.93,7.08,79.2,86.74,14.28,9.83,1.42,23.02,12.98,10.19,10.56,,,,,62.34,0.99,201.47,,,266.95,,
2018-01-17 00:00:00,78.89,153.34,5.2,77.4,96.46,14.01,3.31,1.23,19.17,5.37,7.96,7.1,,,,,71.56,1.78,123.11,,,259.35,,
2018-01-18 00:00:00,72.01,143.1,5.84,78.11,84.11,14.17,5.05,1.2,19.15,4.93,7.97,6.31,,,,,66.45,0.96,227.23,,,276.65,,
2018-01-19 00:00:00,61.34,131.36,5.36,77.49,96.34,14.09,3.57,1.25,20.28,4.69,7.6,5.76,,,,,59.72,1.12,283.57,,,253.42,,
2018-01-20 00:00:00,72.34,159.06,5.86,77.09,82.95,13.99,3.97,1.23,21.09,8.25,8.17,6.6,,,,,51.34,1.12,255.94,,,263.39,,
2018-01-21 00:00:00,72.44,159.67,6.16,76.94,83.1,13.91,3.17,1.2,22.65,7.27,8.39,6.94,,,,,63.09,1.06,179.91,,,263.03,,
2018-01-22 00:00:00,60.05,133.27,5.37,77.11,82.63,13.85,2.88,1.1,19.73,5.33,7.7,6.47,,,,,69.77,1.12,142.64,,,252.79,,
2018-01-23 00:00:00,56.01,105.49,6.42,78.68,88.89,14.04,3.16,0.79,17.76,4.51,7.48,5.7,,,,,94.06,1.75,153.81,,,212.05,,
2018-01-24 00:00:00,28.41,63.43,7.09,78.53,99.63,14.01,2.96,0.71,18.49,4.91,6.81,5.48,,,,,81.34,1.13,250.82,,,289.45,,
2018-01-25 00:00:00,63.23,122.63,7.38,79.24,86.62,14.09,3.09,2.01,17.28,4.28,7.86,6.36,,,,,84.94,1.52,268.79,,,268.31,,
2018-01-26 00:00:00,57.02,121.54,7.25,79.11,100.46,14.1,2.59,1.27,17.81,4.52,7.74,5.05,,,,,97.31,1.15,236.95,,,302.78,,
2018-01-27 00:00:00,68.86,162.23,16.57,60.11,83.55,12.92,5.41,1.04,17.12,5.6,7.23,5.38,,,,,93.03,1.01,221.43,,,279.4,,
2018-01-28 00:00:00,52.26,111.29,78.21,36.86,103.07,13.49,3.81,0.92,13.76,10.2,8.25,5.74,,,,,98.12,1.15,234.64,,,266.04,,
2018-01-29 00:00:00,47.12,104.77,58.74,46.06,117.7,14.32,3.4,0.94,15.69,10.67,8.38,6.32,,,,,89.02,1.07,233.94,,,294.85,,
2018-01-30 00:00:00,60.26,131.58,71.91,48.67,120.59,17.23,3.59,0.91,13.33,12.56,8.41,6.88,,,,,75.06,1.24,282.5,,,274.69,,
2018-01-31 00:00:00,57.84,136.74,72.34,53.39,141.53,16.36,3.02,0.95,13.13,12.49,8.19,6.71,,,,,64.89,1.11,279.24,,,268.74,,
2018-02-01 00:00:00,41.97,110.7,71.19,54.84,126.74,16.29,3.44,0.92,13.83,12.55,7.88,6.9,,,,,61.13,1.39,294.65,,,283.37,,
2018-02-02 00:00:00,33.6,99.86,67.08,59.47,140.91,14.95,2.43,0.81,13.14,11.74,7.31,6.14,,,,,49.06,1.36,283.46,,,278.19,,
2018-02-03 00:00:00,54.76,136.17,70.79,66.32,151.66,15.09,2.81,0.76,14.21,13.4,8.6,7.22,,,,,53.29,1.17,231.77,,,274.24,,
2018-02-04 00:00:00,50.97,133.05,58.21,71.46,143.23,14.16,2.77,0.65,14.03,11.05,7.45,5.76,,,,,51.48,1.28,271.32,,,275.18,,
2018-02-05 00:00:00,56.32,148.34,41.44,56.31,96.65,8.96,3.23,0.64,17.09,10.46,7.92,6.28,,,,,44.54,1.04,245.94,,,274.23,,
2018-02-06 00:00:00,48.51,137.02,28.33,49.11,82.1,4.71,2.83,0.62,13.77,11.82,7.82,6.55,,,,,45.43,1.34,283.32,,,278.76,,
2018-02-07 00:00:00,61.02,158.72,22.36,42.63,67.99,3.51,3.96,0.64,16.21,10.11,7.78,6.08,,,,,49.2,1.04,215.57,,,252.77,,
2018-02-08 00:00:00,67.24,159.65,20.06,50.75,73.96,4.74,3.43,0.61,14.31,11.29,8.27,6.41,,,,,56.92,1.12,187.04,,,274.39,,
2018-02-09 00:00:00,70.35,163.57,17.86,51.55,68.4,5.67,7.84,0.65,18.71,10.51,8.34,7.05,,,,,54.68,1.14,211.05,,,270.57,,
2018-02-10 00:00:00,66.49,167.08,30.39,62.43,104.51,13.5,4.29,0.63,19.44,11.42,8.22,6.96,,,,,61.7,1.31,186.25,,,267.62,,
2018-02-11 00:00:00,57.35,175.77,17.24,48.55,64.79,16.19,5.75,0.57,12.37,10.31,7.66,6.01,,,,,55.85,1.41,197.88,,,263.11,,
2018-02-12 00:00:00,47.48,83.79,12.77,34.5,60.29,14.82,2.8,0.52,12.58,8.41,6.71,4.99,,,,,90.42,2.59,144.36,,,231.28,,
2018-02-13 00:00:00,15.96,51.41,13.01,28.77,40.78,12.89,2.7,0.43,12.27,8.9,6.54,4.99,,,,,78.45,2.03,198.28,,,325.29,,
2018-02-14 00:00:00,15.99,50.22,16.28,33.57,48.84,13.44,2.64,0.54,11.91,9.28,6.59,5.09,,,,,73.38,1.91,312.86,,,307.53,,
2018-02-15 00:00:00,33.0,97.99,14.53,33.35,47.17,13.17,2.72,0.6,12.7,9.81,7.06,5.39,,,,,62.34,1.35,282.35,,,316.06,,
2018-02-16 00:00:00,67.19,183.11,18.79,29.29,57.25,13.12,5.04,1.66,12.98,10.48,7.92,6.31,,,,,69.68,1.33,280.88,,,246.54,,
2018-02-17 00:00:00,41.0,133.47,15.26,9.16,34.46,10.76,3.04,0.75,16.37,9.67,7.55,6.13,,,,,62.15,1.99,260.72,,,302.14,,
2018-02-18 00:00:00,54.26,161.75,15.39,11.65,37.71,11.03,3.09,0.73,15.92,10.01,8.05,6.21,,,,,51.96,1.13,260.35,,,309.9,,
2018-02-19 00:00:00,52.54,166.38,15.66,13.01,39.7,11.03,3.33,0.7,16.97,10.29,7.64,6.22,,,,,60.15,1.43,247.17,,,308.5,,
2018-02-20 00:00:00,69.4,205.47,16.65,13.21,40.35,10.93,3.89,0.65,12.87,11.45,8.09,6.16,,,,,57.42,1.84,248.96,,,310.62,,
2018-02-21 00:00:00,53.2,162.48,14.11,9.83,34.69,10.9,4.92,0.69,17.86,9.86,7.67,6.02,,,,,62.18,1.95,251.94,,,296.22,,
2018-02-22 00:00:00,43.74,124.36,14.77,10.26,36.67,11.63,4.78,0.61,17.04,9.72,7.5,5.86,,,,,65.83,2.16,267.49,,,285.09,,
2018-02-23 00:00:00,52.53,143.75,18.3,13.32,43.24,11.73,4.57,0.59,17.25,11.41,7.69,5.91,,,,,68.05,2.19,233.43,,,293.4,,
2018-02-24 00:00:00,28.32,86.07,16.56,11.04,39.03,11.43,4.26,0.53,17.83,10.48,7.1,5.42,,,,,66.08,2.57,160.28,,,291.95,,
2018-02-25 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-26 00:00:00,28.89,86.11,12.63,6.2,19.04,10.32,3.87,0.52,22.72,8.73,6.88,5.29,,,,,56.7,2.01,254.9,,,385.0,,
2018-02-27 00:00:00,58.96,153.94,15.74,9.88,35.71,10.58,4.1,0.55,18.44,11.45,7.71,5.83,,,,,66.19,1.81,259.17,,,325.87,,
2018-02-28 00:00:00,58.25,150.62,15.56,9.28,35.35,10.51,3.48,0.47,17.85,11.78,7.77,5.94,,,,,64.09,2.41,242.87,,,289.39,,
2018-03-01 00:00:00,45.12,122.79,16.36,9.45,35.82,10.49,3.91,0.54,16.53,12.07,7.79,6.14,,,,,66.0,2.97,193.2,,,255.71,,
2018-03-02 00:00:00,16.9,59.44,14.35,7.5,22.31,10.16,3.54,0.63,17.52,9.71,6.56,5.01,,,,,61.08,3.37,167.39,,,346.15,,
2018-03-03 00:00:00,25.23,75.83,16.15,9.03,35.35,10.16,3.51,0.64,17.97,11.06,7.15,5.67,,,,,71.38,3.19,218.67,,,222.87,,
2018-03-04 00:00:00,20.01,58.01,16.67,9.6,35.74,9.77,4.24,0.76,19.1,10.39,6.66,5.16,,,,,63.53,3.54,296.03,,,336.05,,
