Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2020-01-01 00:00:00,95.33,138.96,9.96,10.51,19.10,5.02,16.46,0.41,31.72,2.68,2.48,1.98,NA,NA,NA,NA,88.99,0.32,224.20,NA,NA,348.77,NA,NA
2020-01-02 00:00:00,80.37,112.63,10.00,10.39,18.81,9.14,12.58,0.32,9.70,2.76,2.79,1.90,NA,NA,NA,NA,85.92,0.33,262.35,NA,NA,344.05,NA,NA
2020-01-03 00:00:00,79.20,112.76,9.75,10.08,18.38,12.05,11.58,0.62,26.56,2.68,3.08,1.83,NA,NA,NA,NA,74.52,0.25,245.74,NA,NA,353.87,NA,NA
2020-01-04 00:00:00,93.99,131.33,9.31,9.87,19.08,12.01,7.64,0.07,36.93,3.32,3.65,2.00,NA,NA,NA,NA,76.56,0.24,193.71,NA,NA,348.28,NA,NA
2020-01-05 00:00:00,62.54,90.99,9.51,9.70,17.78,12.12,10.82,0.29,31.87,2.23,2.42,1.87,NA,NA,NA,NA,86.71,0.26,242.98,NA,NA,342.77,NA,NA
2020-01-06 00:00:00,33.13,46.47,10.39,10.34,20.40,11.89,6.79,0.61,37.07,1.74,1.78,2.00,NA,NA,NA,NA,97.59,0.48,251.87,NA,NA,345.01,NA,NA
2020-01-07 00:00:00,36.02,45.14,9.61,9.79,19.17,12.01,7.59,0.56,9.57,1.75,1.70,2.00,NA,NA,NA,NA,99.24,0.30,242.10,NA,NA,345.00,NA,NA
2020-01-08 00:00:00,24.49,33.08,9.90,10.14,18.64,11.98,6.29,0.63,22.93,1.49,1.49,1.87,NA,NA,NA,NA,97.06,0.47,276.64,NA,NA,351.15,NA,NA
2020-01-09 00:00:00,59.25,83.49,9.66,9.94,19.51,11.93,21.20,0.70,23.27,2.22,1.95,1.97,NA,NA,NA,NA,88.15,0.25,194.30,NA,NA,370.48,NA,NA
2020-01-10 00:00:00,54.58,75.09,9.71,9.80,19.47,12.03,6.73,0.47,40.76,2.09,2.06,2.00,NA,NA,NA,NA,77.19,0.43,241.07,NA,NA,367.46,NA,NA
2020-01-11 00:00:00,55.39,80.68,9.48,10.14,19.56,12.01,11.14,0.74,34.79,2.02,2.14,2.00,NA,NA,NA,NA,71.88,0.40,273.85,NA,NA,373.01,NA,NA
2020-01-12 00:00:00,43.54,71.51,9.49,9.97,18.95,12.06,18.41,0.80,18.35,2.31,2.84,1.96,NA,NA,NA,NA,66.36,0.35,237.76,NA,NA,373.70,NA,NA
2020-01-13 00:00:00,48.35,63.15,9.58,9.97,19.56,12.07,5.83,0.39,25.82,1.80,2.04,2.00,NA,NA,NA,NA,99.20,0.71,179.14,NA,NA,361.03,NA,NA
2020-01-14 00:00:00,29.05,65.60,9.21,9.88,18.04,12.00,6.73,0.68,19.35,1.46,1.58,1.87,NA,NA,NA,NA,92.38,0.39,246.61,NA,NA,376.77,NA,NA
2020-01-15 00:00:00,53.04,155.84,9.81,9.77,19.35,12.02,7.17,0.72,NA,2.00,1.84,1.94,NA,NA,NA,NA,98.88,0.33,196.16,NA,NA,367.00,NA,NA
2020-01-16 00:00:00,47.18,84.43,9.47,9.85,19.31,12.00,7.72,0.93,NA,2.31,2.21,2.00,NA,NA,NA,NA,92.28,0.28,238.08,NA,NA,377.08,NA,NA
2020-01-17 00:00:00,77.23,109.47,9.66,10.07,19.72,12.05,7.36,0.90,NA,2.51,2.45,2.00,NA,NA,NA,NA,95.43,0.32,178.63,NA,NA,373.04,NA,NA
2020-01-18 00:00:00,68.24,98.46,9.40,9.96,18.92,12.02,6.73,0.59,NA,2.15,2.28,1.95,NA,NA,NA,NA,94.26,0.24,208.14,NA,NA,367.56,NA,NA
2020-01-19 00:00:00,56.89,81.53,9.29,9.96,19.19,11.95,6.55,0.64,NA,2.05,2.16,2.00,NA,NA,NA,NA,88.57,0.38,251.35,NA,NA,373.67,NA,NA
2020-01-20 00:00:00,64.13,108.48,9.53,10.23,19.08,11.92,7.94,0.67,16.77,2.10,2.02,1.93,NA,NA,NA,NA,71.41,0.28,231.97,NA,NA,378.50,NA,NA
2020-01-21 00:00:00,36.23,68.04,9.45,10.07,19.15,12.05,15.30,0.65,23.29,1.82,1.89,1.95,NA,NA,NA,NA,80.83,0.52,187.01,NA,NA,368.34,NA,NA
2020-01-22 00:00:00,21.22,40.20,9.70,10.04,19.53,11.89,7.62,0.80,40.44,1.59,1.84,2.00,NA,NA,NA,NA,74.84,0.63,302.68,NA,NA,375.89,NA,NA
2020-01-23 00:00:00,28.53,53.10,9.63,10.08,18.33,11.97,7.12,0.76,39.05,1.56,1.58,1.89,NA,NA,NA,NA,70.55,0.42,265.13,NA,NA,361.12,NA,NA
2020-01-24 00:00:00,44.14,78.24,9.61,9.89,19.18,11.99,8.43,0.59,44.35,1.86,1.84,2.00,NA,NA,NA,NA,60.96,0.44,268.22,NA,NA,372.59,NA,NA
2020-01-25 00:00:00,71.19,129.13,10.26,10.21,20.16,11.98,11.03,0.70,42.67,2.33,2.28,2.00,NA,NA,NA,NA,60.98,0.30,218.94,NA,NA,368.63,NA,NA
2020-01-26 00:00:00,44.69,83.40,9.84,10.62,18.17,11.83,14.32,0.75,38.04,1.88,2.09,1.83,NA,NA,NA,NA,67.75,0.35,229.96,NA,NA,376.56,NA,NA
2020-01-27 00:00:00,61.97,93.70,10.15,10.80,19.74,12.32,11.43,0.61,30.99,2.09,2.08,2.00,NA,NA,NA,NA,83.30,0.37,170.63,NA,NA,370.95,NA,NA
2020-01-28 00:00:00,42.70,56.05,10.90,10.84,20.57,11.93,10.26,0.64,24.19,1.65,1.66,2.00,NA,NA,NA,NA,96.96,0.59,131.00,NA,NA,365.93,NA,NA
2020-01-29 00:00:00,21.23,39.25,9.57,10.74,19.59,11.81,6.94,1.00,28.33,1.66,1.90,2.00,NA,NA,NA,NA,94.26,0.45,173.48,NA,NA,373.48,NA,NA
2020-01-30 00:00:00,24.91,58.01,9.95,10.34,19.32,11.83,6.83,0.52,30.82,1.68,1.78,1.96,NA,NA,NA,NA,90.92,0.45,281.68,NA,NA,375.57,NA,NA
2020-01-31 00:00:00,19.81,142.93,10.18,10.05,19.24,12.13,10.20,0.48,26.76,1.98,1.71,1.95,NA,NA,NA,NA,91.61,0.32,225.13,NA,NA,374.58,NA,NA
2020-02-01 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-02 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-03 00:00:00,124.31,64.75,57.29,77.46,71.89,26.63,14.19,1.42,18.42,3.05,3.85,1.74,NA,NA,NA,NA,80.29,0.12,220.69,NA,NA,350.12,NA,NA
2020-02-04 00:00:00,45.58,99.62,26.79,20.15,35.85,14.23,6.61,0.45,38.27,2.02,2.06,2.00,NA,NA,NA,NA,78.25,0.40,190.42,NA,NA,368.27,NA,NA
2020-02-05 00:00:00,54.65,93.76,17.40,12.20,26.84,12.12,7.49,0.55,31.93,1.76,1.70,2.03,NA,NA,NA,NA,72.05,0.45,246.13,NA,NA,379.58,NA,NA
