Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2018-01-01 00:00:00,106.5,182.94,16.24,16.54,31.78,12.35,8.03,1.11,3.53,2.15,,,,0.51,,,96.19,0.35,143.7,0.0,0.0,73.19,,
2018-01-02 00:00:00,86.09,166.65,13.96,14.83,27.8,9.95,5.95,1.13,4.3,1.92,,,,0.65,,,96.23,0.93,319.59,0.0,0.0,98.34,,
2018-01-03 00:00:00,63.46,106.35,10.07,13.5,22.57,7.38,7.56,1.19,6.68,1.39,,,,0.35,,,96.22,1.0,261.11,0.0,0.0,163.27,,
2018-01-04 00:00:00,38.82,68.65,10.66,14.0,23.66,5.87,7.55,1.34,5.34,1.32,,,,0.3,,,96.22,0.81,173.06,0.0,0.0,161.77,,
2018-01-05 00:00:00,50.03,87.26,14.02,15.19,28.2,6.26,7.52,1.16,2.76,1.72,,,,0.4,,,96.23,0.69,146.47,0.0,0.0,135.37,,
2018-01-06 00:00:00,67.81,124.01,22.65,19.95,41.59,9.66,14.19,1.03,3.52,1.72,,,,0.53,,,88.0,0.92,275.02,0.01,0.5,173.27,,
2018-01-07 00:00:00,110.06,165.31,8.12,12.99,20.1,5.96,21.35,1.11,11.95,1.35,,,,0.38,,,69.0,1.57,296.87,0.0,0.0,200.33,,
2018-01-08 00:00:00,122.0,191.06,14.25,16.4,29.65,7.66,29.76,1.26,12.51,1.61,,,,0.44,,,70.2,1.17,269.52,0.0,0.0,189.53,,
2018-01-09 00:00:00,104.16,162.33,8.17,10.95,17.92,5.67,18.16,1.15,14.01,1.43,,,,0.54,,,73.65,1.23,262.05,0.0,0.0,201.59,,
2018-01-10 00:00:00,101.42,171.89,6.19,6.92,12.11,7.67,20.44,1.32,15.23,1.61,,,,0.53,,,68.18,1.57,290.0,0.0,0.0,192.17,,
2018-01-11 00:00:00,136.47,218.71,13.9,10.67,23.56,9.71,33.09,1.23,14.65,1.78,,,,0.56,,,57.31,1.6,300.18,0.0,0.0,179.57,,
2018-01-12 00:00:00,129.83,206.28,15.72,11.28,26.0,10.27,30.72,1.14,13.5,1.6,,,,0.47,,,64.43,1.18,292.48,0.0,0.0,175.33,,
2018-01-13 00:00:00,95.03,144.7,16.44,11.69,27.12,8.19,15.13,1.21,12.81,1.44,,,,0.39,,,76.41,0.91,219.6,0.0,0.0,156.88,,
