Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01,66.98,134.68,15.89,28.66,44.52,129.16,9.17,0.63,31.82,0.03,0.02,,,0.36,,,78.03,1.14,199.38,0.0,0.0,,731.36,
2024-01-02,57.43,115.05,8.92,24.88,33.79,135.43,12.36,0.66,17.44,0.03,0.02,,,0.35,,,86.41,1.34,172.74,0.0,0.0,,730.42,
2024-01-03,53.18,106.6,7.67,24.03,31.68,126.27,9.65,0.55,19.04,0.03,0.02,,,3.88,,,80.99,1.35,188.78,0.0,0.0,,737.65,
2024-01-04,58.59,120.59,8.79,25.82,34.6,123.64,12.85,0.72,34.12,0.01,0.02,,,0.37,,,77.72,1.31,212.6,0.0,0.0,,734.34,
2024-01-05,37.82,78.95,9.45,20.45,29.9,118.37,11.13,0.56,39.5,0.02,0.02,,,1.13,,,81.99,1.26,166.65,0.0,0.0,,727.73,
2024-01-06,60.23,121.21,11.27,42.55,51.78,127.13,12.31,0.72,29.26,0.02,0.02,,,0.28,,,88.7,1.35,181.12,0.0,0.0,,729.58,
2024-01-07,62.26,116.04,9.81,44.7,54.48,143.85,11.15,0.6,20.47,0.02,0.02,,,0.17,,,83.39,1.18,187.67,0.0,0.0,,730.23,
2024-01-08,68.11,135.33,10.02,32.21,42.23,145.65,11.88,0.64,22.36,0.02,0.02,,,0.2,,,86.31,1.14,198.43,0.0,0.0,,730.64,
2024-01-09,70.35,112.01,13.09,26.96,40.04,126.47,11.7,0.62,16.21,0.08,4.23,,,0.8,,,83.94,1.51,220.51,0.0,0.0,,731.37,
2024-01-10,49.2,91.19,13.45,23.85,37.32,144.32,12.57,0.69,23.96,0.02,0.24,,,0.39,,,64.76,1.49,209.15,0.0,0.0,,731.09,
2024-01-11,51.07,113.33,15.76,32.6,48.36,139.97,11.23,0.73,22.05,0.02,0.96,,,1.15,,,60.85,1.35,197.58,0.0,0.0,,730.94,
2024-01-12,68.1,140.63,23.32,34.22,57.55,144.58,12.35,0.98,20.26,0.1,4.17,,,2.97,,,59.8,1.26,196.25,0.0,0.0,,729.25,
2024-01-13,50.79,108.17,18.9,30.82,49.72,160.21,11.54,0.71,75.73,0.04,1.46,,,0.89,,,63.46,1.45,197.51,0.0,0.0,,727.32,
2024-01-14,38.05,82.65,22.18,28.92,51.1,181.27,11.11,0.67,30.33,0.01,0.66,,,0.85,,,47.9,1.66,204.32,0.0,0.0,,727.53,
2024-01-15,56.07,122.78,20.53,38.57,59.1,142.85,9.74,0.76,25.21,0.02,1.02,,,0.81,,,59.27,1.38,200.19,0.0,0.0,,727.68,
2024-01-16,54.14,116.98,16.17,36.31,52.47,114.01,12.0,0.66,22.92,0.03,0.78,,,0.75,,,70.35,1.29,199.42,0.0,0.0,,725.57,
2024-01-17,60.23,121.9,13.65,30.22,43.87,123.26,11.56,0.7,27.26,0.03,0.39,,,0.32,,,72.2,1.24,185.03,0.0,0.0,,727.24,
2024-01-18,59.66,120.16,14.58,33.67,48.24,134.08,10.81,0.69,21.71,0.02,0.6,,,0.62,,,71.87,1.26,170.32,0.0,0.0,,736.43,
2024-01-19,46.5,96.23,9.97,30.75,40.72,131.93,9.47,0.51,17.67,0.02,0.11,,,0.37,,,69.17,1.15,154.57,0.0,0.0,,734.57,
2024-01-20,53.87,101.55,22.77,28.13,50.9,107.96,11.34,0.7,22.16,0.01,0.43,,,0.75,,,74.07,1.3,173.44,0.0,0.0,,733.51,
2024-01-21,66.04,111.54,27.19,30.33,57.52,144.84,11.01,0.75,22.94,0.02,0.59,,,1.2,,,61.47,1.58,201.59,0.0,0.0,,734.83,
2024-01-22,53.32,109.74,14.64,32.92,47.56,126.19,9.44,0.64,23.97,0.01,0.61,,,0.93,,,55.31,1.61,197.9,0.0,0.0,,734.58,
2024-01-23,54.09,110.29,8.38,26.55,34.92,119.74,9.46,0.43,36.73,0.01,0.3,,,1.55,,,46.64,1.5,162.56,0.0,0.0,,734.25,
2024-01-24,62.48,119.72,13.47,27.43,40.89,131.73,10.4,0.81,30.45,0.02,0.3,,,0.52,,,53.11,1.6,207.75,0.0,0.0,,733.97,
2024-01-25,60.7,122.57,13.67,35.37,49.04,117.91,9.67,0.73,28.89,0.03,1.41,,,1.12,,,63.75,1.45,178.14,0.0,0.0,,734.69,
2024-01-26,58.22,113.25,12.61,31.88,44.5,137.45,12.27,0.84,29.32,0.04,0.7,,,0.78,,,65.02,1.19,187.54,0.0,0.0,,736.55,
2024-01-27,60.02,114.04,14.6,34.3,48.9,146.22,8.07,0.68,28.01,0.09,3.6,,,2.95,,,64.66,1.39,207.04,0.0,0.0,,735.58,
2024-01-28,51.11,112.04,15.75,38.2,53.94,113.93,10.34,0.68,25.62,0.01,0.21,,,0.52,,,54.76,1.55,177.7,0.0,0.0,,733.29,
2024-01-29,37.03,87.46,18.31,34.07,52.37,107.49,13.66,0.78,18.51,0.08,0.36,,,0.71,,,61.17,1.45,210.02,0.0,0.0,,732.1,
2024-01-30,57.59,119.78,20.57,34.52,54.65,106.08,9.7,0.7,23.79,0.15,0.83,,,0.65,,,63.13,1.57,211.25,0.0,0.0,,729.51,
2024-01-31,52.9,115.42,16.71,37.37,54.08,83.46,12.67,0.71,27.26,0.15,0.51,,,0.28,,,61.31,1.58,192.16,0.0,0.0,,728.16,
2024-02-01,34.11,79.58,8.26,28.33,36.57,64.28,11.64,0.44,36.58,0.08,0.37,,,0.47,,,54.49,1.81,176.34,0.0,0.0,,728.45,
2024-02-02,61.81,106.72,6.35,20.14,26.49,74.49,13.0,0.57,40.8,0.22,0.17,,,0.37,,,64.18,1.36,230.45,0.0,0.0,,730.8,
2024-02-03,39.78,79.0,7.66,25.41,33.05,77.81,12.24,0.48,37.09,0.04,0.14,,,0.06,,,48.44,1.41,158.02,0.0,0.0,,729.96,
2024-02-04,32.85,80.49,13.76,29.16,42.91,103.6,11.65,0.55,22.27,0.04,0.16,,,0.1,,,72.56,1.41,169.48,0.23,0.23,,729.61,
