Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2018-01-01 00:00:00,167.41,307.16,30.36,47.13,77.50,56.03,8.05,1.81,26.85,4.21,0.67,NA,NA,1.57,3.36,NA,NA,0.33,131.10,0.00,0.00,204.01,744.88,NA
2018-01-02 00:00:00,186.72,328.01,29.79,42.46,72.25,53.07,8.24,1.79,23.41,4.67,0.66,NA,NA,2.09,2.93,NA,NA,0.31,129.36,0.00,0.00,204.57,744.88,NA
2018-01-03 00:00:00,153.45,268.00,27.37,42.13,69.51,53.97,9.18,1.97,20.83,5.23,0.68,NA,NA,2.60,3.29,NA,NA,0.37,132.65,0.00,0.00,234.97,744.88,NA
2018-01-04 00:00:00,110.72,213.96,19.89,44.69,64.58,45.13,15.76,1.28,32.89,3.13,0.44,NA,NA,1.98,2.25,NA,NA,0.34,148.88,0.00,0.00,211.05,744.88,NA
2018-01-05 00:00:00,123.20,212.19,7.44,32.98,40.41,38.86,8.50,1.48,28.27,3.87,0.46,NA,NA,0.93,1.41,NA,NA,0.47,148.68,0.00,0.20,242.68,744.88,NA
2018-01-06 00:00:00,135.73,257.77,22.81,42.96,65.77,51.20,10.08,1.49,31.84,3.78,0.54,NA,NA,0.66,0.58,NA,NA,0.38,123.26,0.00,0.00,220.91,744.88,NA
2018-01-07 00:00:00,97.22,198.24,21.82,43.97,65.79,42.55,10.74,1.13,37.23,2.60,0.45,NA,NA,NA,NA,NA,NA,0.41,154.55,0.00,0.00,231.85,744.88,NA
2018-01-08 00:00:00,102.31,222.50,32.67,54.32,86.99,53.46,13.12,1.46,48.51,3.10,0.57,NA,NA,0.72,2.10,NA,NA,0.40,167.99,0.00,0.00,218.34,744.88,NA
2018-01-09 00:00:00,74.70,210.95,27.46,53.65,81.11,48.71,16.57,1.33,32.81,2.90,0.57,NA,NA,1.16,3.25,NA,NA,0.33,176.30,0.00,0.00,217.83,744.88,NA
2018-01-10 00:00:00,100.82,247.86,40.25,53.94,94.19,56.77,23.01,1.51,33.91,2.92,0.62,NA,NA,1.54,3.62,NA,NA,0.31,202.15,0.00,0.00,226.19,744.88,NA
2018-01-11 00:00:00,78.20,207.18,38.18,52.58,90.76,51.47,12.57,1.73,29.89,3.55,0.93,NA,NA,1.80,3.90,NA,NA,0.38,197.12,0.00,0.00,230.44,744.88,NA
2018-01-12 00:00:00,95.75,232.69,26.37,48.91,75.28,44.36,13.16,1.24,26.50,3.06,0.61,NA,NA,1.49,3.37,NA,NA,0.37,191.43,0.00,0.00,223.01,744.88,NA
2018-01-13 00:00:00,97.87,153.58,29.67,48.05,77.72,55.70,13.92,1.18,32.86,2.74,0.49,NA,NA,0.44,1.32,NA,NA,0.40,154.58,0.00,0.00,223.68,744.88,NA
2018-01-14 00:00:00,91.26,297.17,28.43,58.97,87.40,78.15,26.17,0.85,26.11,2.36,0.49,NA,NA,1.10,2.01,NA,NA,0.35,169.00,0.00,0.00,225.93,744.88,NA
2018-01-15 00:00:00,90.96,280.73,40.61,62.03,102.63,78.67,21.58,1.68,31.48,2.62,0.59,NA,NA,1.36,3.34,NA,NA,0.37,172.97,0.00,0.00,230.55,744.88,NA
2018-01-16 00:00:00,102.49,274.90,28.99,53.33,82.32,66.25,18.51,1.28,31.57,2.83,0.62,NA,NA,1.27,3.41,NA,NA,0.34,193.31,0.00,0.00,222.47,744.88,NA
2018-01-17 00:00:00,103.79,259.62,29.37,50.95,80.32,50.97,10.42,1.49,30.63,3.00,0.66,NA,NA,1.80,3.52,NA,NA,0.33,202.69,0.00,0.00,225.27,744.88,NA
2018-01-18 00:00:00,142.93,333.29,39.54,50.59,90.14,69.09,15.04,1.66,29.34,3.93,0.74,NA,NA,1.75,4.36,NA,NA,0.32,173.09,0.00,0.00,234.41,744.88,NA
2018-01-19 00:00:00,93.75,193.02,21.57,44.79,66.37,54.28,12.91,1.02,39.73,2.51,0.41,NA,NA,0.98,2.16,NA,NA,0.51,128.41,0.00,0.00,213.07,744.88,NA
2018-01-20 00:00:00,100.40,100.48,8.97,44.03,53.00,42.48,12.22,0.75,61.88,1.80,0.25,NA,NA,1.00,1.38,NA,NA,0.66,129.53,0.00,0.00,249.44,744.88,NA
2018-01-21 00:00:00,102.05,NA,50.85,51.40,102.25,55.24,15.93,1.47,56.33,1.35,0.23,NA,NA,1.26,1.43,NA,NA,0.47,193.04,0.00,0.00,317.98,744.87,NA
2018-01-22 00:00:00,115.16,NA,53.06,52.93,105.98,64.98,16.33,1.67,45.01,2.49,0.43,NA,NA,1.73,2.51,NA,NA,0.41,150.23,0.00,0.00,243.40,744.88,NA
2018-01-23 00:00:00,147.57,NA,24.50,42.73,66.31,54.92,13.53,0.96,32.54,2.22,0.32,NA,NA,0.95,1.91,NA,NA,0.37,140.56,0.01,0.60,245.39,744.88,NA
2018-01-24 00:00:00,79.09,NA,10.58,27.28,37.85,36.53,10.95,0.65,28.36,0.83,0.07,NA,NA,0.12,0.38,NA,NA,0.89,70.25,0.01,0.60,289.65,744.88,NA
2018-01-25 00:00:00,59.01,NA,28.77,37.96,65.75,45.49,7.78,0.94,27.26,0.00,0.00,NA,NA,NA,NA,NA,NA,0.43,117.60,0.00,0.00,263.32,744.88,NA
2018-01-26 00:00:00,52.94,NA,15.60,34.97,50.57,36.73,10.36,0.79,37.27,2.57,2.65,NA,NA,1.91,3.66,NA,NA,0.68,109.49,0.00,0.00,230.94,744.88,NA
2018-01-27 00:00:00,80.25,NA,28.58,40.84,69.42,43.17,8.15,1.73,26.84,2.56,2.19,NA,NA,1.33,2.25,NA,NA,0.44,126.79,0.00,0.20,245.33,744.88,NA
2018-01-28 00:00:00,9.77,NA,19.60,40.46,60.06,32.91,9.31,1.29,36.67,2.57,25.65,NA,NA,1.37,2.33,NA,NA,0.45,153.50,0.00,0.20,239.46,744.88,NA
2018-01-29 00:00:00,8.00,NA,44.35,51.62,95.58,33.03,8.82,1.20,32.21,2.37,1.35,NA,NA,0.99,1.79,NA,NA,0.37,137.20,0.00,0.00,229.97,744.88,NA
2018-01-30 00:00:00,42.65,NA,64.69,70.45,135.14,34.27,13.39,1.77,39.20,1.57,0.00,NA,NA,0.84,1.87,NA,NA,0.43,199.78,0.00,0.00,215.83,744.88,NA
2018-01-31 00:00:00,58.53,NA,7.74,35.34,43.08,15.09,9.53,0.72,70.23,2.37,0.37,NA,NA,2.72,3.54,NA,NA,0.75,228.04,0.00,0.00,234.61,744.88,NA
2018-02-01 00:00:00,77.95,NA,32.98,65.33,98.31,30.20,13.08,1.63,35.56,0.88,5.88,NA,NA,0.87,1.44,NA,NA,0.49,174.95,0.00,0.00,234.89,744.88,NA
2018-02-02 00:00:00,77.34,NA,9.18,47.75,52.55,23.21,10.07,0.86,42.36,1.32,0.00,NA,NA,1.22,2.13,NA,NA,0.46,66.15,0.00,0.00,300.10,744.88,NA
2018-02-03 00:00:00,47.25,NA,2.98,26.03,29.01,10.54,18.39,0.52,94.41,0.73,0.00,NA,NA,1.03,1.61,NA,NA,1.13,21.02,0.00,0.00,386.87,744.88,NA
2018-02-04 00:00:00,61.47,NA,32.83,64.95,97.78,17.14,17.69,1.25,65.29,1.60,NA,NA,NA,1.91,3.03,NA,NA,0.95,127.28,0.00,0.00,280.02,744.88,NA
2018-02-05 00:00:00,87.22,NA,63.25,87.32,150.56,28.39,10.33,1.56,16.38,3.03,3.83,NA,NA,2.66,4.36,NA,NA,0.17,157.57,0.00,0.00,145.42,744.88,NA
2018-02-06 00:00:00,70.33,NA,17.05,61.18,77.71,24.16,32.26,0.94,53.32,NA,NA,NA,NA,2.49,4.13,NA,NA,0.97,110.27,0.00,0.00,233.16,744.88,NA
2018-02-07 00:00:00,24.16,NA,3.74,34.05,37.72,20.01,14.53,0.57,70.08,NA,NA,NA,NA,NA,NA,NA,NA,1.07,98.75,0.00,0.00,393.20,744.88,NA
