Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2018-01-01 00:00:00,84.1,188.46,2.02,60.56,33.28,17.61,10.86,0.32,0.63,0.89,11.09,,,,3.82,,40.32,0.97,111.2,,,173.43,764.72,0.09
2018-01-02 00:00:00,92.26,223.49,10.39,72.63,46.31,18.97,10.33,0.4,0.56,0.19,11.25,,,,5.74,,46.25,0.87,109.53,,,162.27,767.53,-0.0
2018-01-03 00:00:00,102.29,253.69,42.82,138.89,106.96,33.67,8.31,0.6,0.76,3.34,24.93,,,1.9,13.47,,44.34,0.91,115.66,,,165.39,767.58,-0.0
2018-01-04 00:00:00,90.95,184.39,36.08,156.7,102.06,31.63,16.68,0.39,1.13,2.5,16.82,,,,8.33,,42.29,0.87,97.9,,,155.25,767.51,0.0
2018-01-05 00:00:00,113.48,196.44,10.5,135.16,80.76,21.6,8.71,0.0,0.25,2.66,18.37,,,0.34,11.52,,40.64,0.97,85.22,,,165.27,767.52,0.0
2018-01-06 00:00:00,119.2,201.13,21.97,128.04,84.31,22.85,9.04,0.0,0.24,0.0,12.15,,,,6.98,,48.62,0.92,97.4,,,165.34,767.53,0.0
2018-01-07 00:00:00,82.86,157.59,2.4,96.05,52.06,17.03,10.6,0.0,0.24,0.0,2.57,,,,0.44,,36.11,0.84,102.9,,,155.13,767.46,0.0
2018-01-08 00:00:00,103.33,206.94,36.59,164.35,115.42,22.09,11.36,0.0,0.33,1.56,15.08,,,0.4,8.13,,29.77,0.93,109.26,,,176.14,767.64,-0.0
2018-01-09 00:00:00,100.69,205.27,35.43,135.85,98.8,21.08,10.55,0.0,,2.25,14.22,,,0.79,9.63,,36.51,0.94,89.63,,,161.89,740.49,-0.0
2018-01-10 00:00:00,117.28,228.24,75.02,212.91,168.41,27.52,11.08,0.0,,2.48,28.23,,,,15.94,,35.49,0.79,125.8,,,152.78,767.51,0.0
2018-01-11 00:00:00,129.66,260.28,98.98,213.73,191.38,29.26,13.02,0.0,0.4,0.0,18.37,,,0.31,6.59,,31.04,0.8,134.62,,,166.57,767.61,0.0
2018-01-12 00:00:00,105.7,204.66,48.66,131.3,86.27,20.27,13.66,0.0,,2.45,14.67,,,1.5,9.92,,28.27,0.84,129.67,,,173.31,767.65,-0.0
2018-01-13 00:00:00,196.12,353.36,151.93,262.4,270.46,37.85,9.08,0.0,,10.93,56.76,,,0.06,37.18,,41.91,0.87,103.24,,,161.75,767.55,0.0
2018-01-14 00:00:00,37.54,74.34,1.89,15.0,7.87,2.75,3.29,0.0,,0.0,4.81,,,,2.71,,15.14,0.31,40.99,,,71.81,,-0.0
