Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01,36.13,162.94,16.96,18.06,35.01,,14.48,1.26,67.07,0.0,0.0,,,,,,54.0,1.04,60.81,,,110.32,,0.87
2024-01-02,62.82,160.99,17.07,18.05,34.97,,14.24,1.21,69.04,0.0,0.0,,,,,,57.56,1.0,70.77,,,129.31,,0.93
2024-01-03,65.86,160.47,17.06,18.04,34.93,,14.22,1.23,60.32,0.0,0.0,,,,,,61.61,0.98,76.35,,,122.47,,1.0
2024-01-04,58.29,138.2,16.94,18.03,34.67,,14.29,1.25,61.05,0.0,0.0,,,,,,55.94,1.01,66.27,,,111.58,,0.93
2024-01-05,47.96,152.91,17.05,17.91,35.0,,13.97,1.24,63.9,0.0,0.0,,,,,,50.95,0.99,70.19,,,117.03,,0.89
2024-01-06,79.22,159.68,17.04,18.08,35.23,,14.33,1.25,60.88,0.0,0.0,,,,,,61.01,0.97,77.64,,,107.76,,1.0
2024-01-07,68.19,160.98,16.89,18.01,35.17,,14.58,1.23,61.7,0.0,0.0,,,,,,70.04,1.0,71.44,,,116.76,,1.0
2024-01-08,78.48,142.43,17.04,17.95,34.9,,14.5,1.25,62.07,0.0,0.0,,,,,,66.76,1.03,54.21,,,119.89,,1.0
2024-01-09,71.54,168.46,17.07,17.8,35.1,,14.08,1.24,61.04,0.0,0.0,,,,,,67.92,1.03,56.07,,,119.74,,1.01
2024-01-10,79.31,162.25,17.11,18.15,34.85,,14.28,1.24,65.3,0.0,0.0,,,,,,58.72,1.02,61.64,,,123.33,,1.01
2024-01-11,80.2,218.5,17.07,18.02,34.94,,14.36,1.23,63.61,0.61,0.23,,,,,,46.55,0.99,81.05,,,128.88,,0.94
2024-01-12,96.8,282.33,16.96,18.07,34.82,,14.25,1.24,61.86,2.57,1.82,,,5.44,3.32,,42.69,0.95,119.79,,,121.94,,0.91
2024-01-13,147.36,369.62,16.92,17.95,34.84,,14.4,1.24,55.57,2.55,1.79,,,5.47,3.31,,50.12,0.87,152.46,,,122.68,,0.89
2024-01-14,113.69,246.43,17.01,17.94,34.99,,14.28,1.25,66.02,2.51,1.78,,,5.43,3.31,,44.15,0.96,92.37,,,120.74,,0.86
2024-01-15,102.78,348.15,17.03,17.96,35.14,,14.65,1.25,75.77,2.59,1.89,,,5.34,3.23,,45.24,1.0,86.9,,,139.29,,0.9
2024-01-16,126.42,273.43,16.94,18.06,34.82,,14.28,1.24,57.04,2.53,1.79,,,5.34,3.29,,43.54,0.91,159.06,,,129.54,,0.83
2024-01-17,129.19,336.33,16.85,17.88,35.22,,13.54,1.26,59.56,2.65,2.1,,,5.56,3.33,,50.2,0.96,108.8,,,104.75,,0.77
2024-01-18,106.84,251.96,16.97,18.19,34.89,,14.44,1.24,71.52,2.56,1.82,,,5.5,3.32,,62.32,1.02,64.33,,,132.83,,0.82
2024-01-19,95.48,284.53,17.1,18.16,34.93,,14.31,1.24,67.76,2.5,1.8,,,5.59,3.28,,56.39,0.97,111.42,,,129.04,,0.88
2024-01-20,62.57,190.81,16.89,18.08,34.86,,14.42,1.26,69.27,2.55,1.79,,,5.46,3.29,,47.6,1.01,61.42,,,145.56,,0.93
2024-01-21,67.65,181.77,17.06,17.89,34.83,,14.57,1.23,74.28,2.56,1.82,,,5.39,3.28,,44.7,0.98,79.72,,,144.89,,0.76
