Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2018-01-01 00:00:00,113.28,215.20,22.82,41.79,64.78,16.44,8.33,1.18,40.31,6.36,NA,NA,NA,2.45,6.93,NA,62.34,0.74,173.89,0.00,0.00,NA,745.17,NA
2018-01-02 00:00:00,90.24,181.80,21.60,36.55,58.15,14.46,7.96,1.00,35.82,5.74,NA,NA,NA,2.15,6.28,NA,58.13,0.73,155.79,0.00,0.00,NA,744.93,NA
2018-01-03 00:00:00,67.63,154.42,11.47,39.99,51.46,12.75,4.60,0.83,34.81,3.78,NA,NA,NA,1.24,4.06,NA,52.29,0.72,193.92,0.00,0.00,NA,742.85,NA
2018-01-04 00:00:00,72.72,189.84,12.82,41.17,50.96,15.24,7.51,1.04,41.76,4.98,NA,NA,NA,1.84,5.38,NA,51.89,1.06,146.71,0.00,0.00,NA,742.88,NA
2018-01-05 00:00:00,71.63,158.93,11.77,46.01,53.63,17.65,8.34,0.92,42.49,4.16,NA,NA,NA,1.73,4.88,NA,59.62,0.85,165.04,0.00,0.00,NA,744.05,NA
2018-01-06 00:00:00,73.17,170.39,25.10,43.41,68.51,14.11,7.50,1.00,34.10,5.46,NA,NA,NA,2.36,6.49,NA,56.30,0.80,178.43,0.00,0.00,NA,741.34,NA
2018-01-07 00:00:00,59.31,158.51,12.51,44.56,57.08,13.97,8.32,0.83,39.01,3.96,NA,NA,NA,1.46,4.49,NA,47.15,0.84,177.09,0.00,0.00,NA,739.31,NA
2018-01-08 00:00:00,64.78,160.69,21.87,46.56,68.42,14.18,7.13,0.94,41.12,5.23,NA,NA,NA,2.82,7.37,NA,50.41,0.81,151.05,0.00,0.00,NA,724.72,NA
2018-01-09 00:00:00,84.58,191.34,15.74,40.90,56.64,15.67,12.45,1.07,37.78,5.64,NA,NA,NA,2.61,6.83,NA,55.42,0.75,176.55,0.00,0.00,NA,724.09,NA
2018-01-10 00:00:00,73.29,182.15,12.96,32.89,45.84,11.83,19.89,0.96,39.71,4.70,NA,NA,NA,1.81,5.48,NA,48.33,0.74,162.04,0.00,0.00,NA,743.08,NA
2018-01-11 00:00:00,56.45,145.24,14.56,19.73,34.11,13.13,10.38,0.73,47.52,3.44,NA,NA,NA,1.07,3.54,NA,40.66,0.84,214.86,0.00,0.00,NA,760.13,NA
2018-01-12 00:00:00,50.94,140.72,19.68,14.26,33.94,10.13,11.38,0.91,46.32,3.77,NA,NA,NA,1.90,5.57,NA,31.04,0.84,163.97,0.00,0.00,NA,763.52,NA
2018-01-13 00:00:00,60.53,171.39,16.02,25.23,41.24,14.15,18.19,0.92,30.87,4.95,NA,NA,NA,2.08,6.65,NA,37.83,0.83,136.22,0.00,0.00,NA,767.16,NA
2018-01-14 00:00:00,65.52,160.70,12.76,24.83,37.60,16.10,17.18,0.82,27.82,3.85,NA,NA,NA,1.46,4.69,NA,52.36,0.92,156.15,0.00,0.00,NA,767.58,NA
2018-01-15 00:00:00,50.48,155.01,12.60,22.61,35.21,13.70,16.96,0.68,36.60,2.74,NA,NA,NA,1.35,3.91,NA,46.55,0.80,197.05,0.00,0.00,NA,766.20,NA
2018-01-16 00:00:00,58.57,134.95,11.17,21.75,32.93,11.79,21.28,0.71,41.93,3.27,NA,NA,NA,1.17,4.04,NA,41.00,1.05,148.12,0.00,0.00,NA,758.10,NA
2018-01-17 00:00:00,56.65,147.21,14.02,18.28,32.30,14.99,23.88,0.80,30.94,3.75,NA,NA,NA,1.34,4.81,NA,47.41,1.07,131.16,0.00,0.00,NA,757.58,NA
2018-01-18 00:00:00,49.58,138.06,13.89,22.12,36.01,15.54,14.43,0.92,29.79,2.25,NA,NA,NA,0.63,1.94,NA,58.22,0.86,159.75,0.00,0.00,NA,755.27,NA
2018-01-19 00:00:00,50.30,141.14,16.35,17.90,34.25,12.91,14.96,1.00,35.44,2.51,NA,NA,NA,2.76,6.35,NA,55.72,0.80,163.42,0.00,0.00,NA,751.16,NA
2018-01-20 00:00:00,71.90,179.93,13.46,19.66,33.12,10.76,16.66,0.95,57.56,2.29,NA,NA,NA,5.25,7.21,NA,53.36,1.08,180.63,0.00,0.00,NA,751.77,NA
2018-01-21 00:00:00,76.08,177.88,12.58,17.03,29.61,13.28,7.51,0.88,47.88,1.81,NA,NA,NA,3.67,3.84,NA,59.88,1.13,135.04,0.00,0.00,NA,759.55,NA
2018-01-22 00:00:00,65.90,179.33,11.12,23.11,34.23,12.45,22.18,0.80,34.02,2.71,NA,NA,NA,4.69,4.47,NA,57.19,1.22,171.81,0.00,0.00,NA,768.51,NA
2018-01-23 00:00:00,34.52,141.56,11.39,11.05,22.44,11.29,6.16,0.48,54.35,3.22,NA,NA,NA,4.01,4.87,NA,44.10,1.84,252.17,0.00,0.00,NA,765.42,NA
2018-01-24 00:00:00,45.37,137.72,11.01,13.44,24.45,8.47,14.47,0.73,74.85,2.69,NA,NA,NA,3.75,3.64,NA,35.63,1.56,280.54,0.00,0.00,NA,765.79,NA
2018-01-25 00:00:00,49.31,120.06,9.56,14.11,23.62,9.12,12.36,0.90,53.39,2.38,NA,NA,NA,4.20,2.55,NA,46.24,1.01,186.38,0.00,0.00,NA,765.83,NA
2018-01-26 00:00:00,48.18,137.00,10.27,17.80,27.77,8.79,18.69,1.38,45.13,4.73,NA,NA,NA,5.12,5.53,NA,37.41,0.88,151.74,0.00,0.00,NA,765.75,NA
2018-01-27 00:00:00,52.49,159.88,12.35,20.05,32.40,10.25,20.13,1.36,47.32,2.99,NA,NA,NA,1.32,2.99,NA,36.73,0.99,158.44,0.00,0.00,NA,765.50,NA
2018-01-28 00:00:00,65.14,185.57,11.45,20.69,32.14,12.96,26.96,1.21,35.59,1.85,NA,NA,NA,0.52,1.65,NA,42.83,1.07,143.79,0.00,0.00,NA,765.26,NA
2018-01-29 00:00:00,63.24,166.82,11.75,13.37,25.12,15.44,11.29,1.44,19.61,1.54,NA,NA,NA,0.87,1.31,NA,51.15,0.60,169.87,0.00,0.00,NA,764.80,NA
2018-01-30 00:00:00,61.02,196.60,14.84,13.71,28.56,11.59,13.27,1.69,30.96,3.36,NA,NA,NA,2.19,2.71,NA,41.42,0.64,160.62,0.00,0.00,NA,764.11,NA
2018-01-31 00:00:00,37.15,139.01,10.65,12.40,23.05,11.70,22.16,0.68,49.50,1.27,NA,NA,NA,1.65,1.41,NA,30.88,1.59,178.72,0.00,0.00,NA,764.32,NA
2018-02-01 00:00:00,50.15,181.61,11.18,18.16,29.34,13.46,44.19,1.02,44.38,1.98,NA,NA,NA,4.35,2.03,NA,33.47,1.12,143.79,0.00,0.00,NA,764.29,NA
2018-02-02 00:00:00,48.55,154.23,10.21,10.90,21.11,12.47,11.70,0.94,54.00,4.63,NA,NA,NA,5.90,3.18,NA,34.08,1.18,134.85,0.00,0.00,NA,765.27,NA
2018-02-03 00:00:00,54.87,184.21,10.87,7.33,18.20,11.61,11.36,0.85,39.11,1.33,NA,NA,NA,2.81,3.77,NA,44.75,1.29,197.18,0.00,0.00,NA,765.28,NA
2018-02-04 00:00:00,58.17,189.12,13.62,8.97,22.67,10.74,12.00,1.05,38.93,2.11,NA,NA,NA,2.76,3.11,NA,40.50,1.05,158.96,0.00,0.00,NA,765.05,NA
2018-02-05 00:00:00,49.45,150.18,9.34,8.66,18.01,9.33,5.33,0.85,29.36,3.93,NA,NA,NA,3.32,2.31,NA,48.85,1.04,121.05,0.00,0.00,NA,765.06,NA
2018-02-06 00:00:00,42.93,133.49,10.61,6.34,16.95,10.47,13.87,0.74,41.50,2.59,NA,NA,NA,2.11,3.40,NA,40.65,1.09,61.04,0.00,0.00,NA,765.32,NA
2018-02-07 00:00:00,44.73,153.75,15.29,13.52,29.06,9.54,24.98,1.02,27.70,1.60,NA,NA,NA,3.01,2.31,NA,31.44,1.38,101.88,0.00,0.00,NA,764.04,NA
2018-02-08 00:00:00,51.34,151.13,9.79,31.45,40.54,30.99,9.06,0.78,34.85,1.40,NA,NA,NA,1.94,2.33,NA,43.26,0.82,120.43,0.00,0.00,NA,759.45,NA
2018-02-09 00:00:00,32.59,143.34,3.87,27.10,30.34,15.77,80.02,0.45,69.63,3.15,NA,NA,NA,2.58,2.56,NA,30.87,2.05,84.00,0.00,0.00,NA,761.45,NA
2018-02-10 00:00:00,54.10,176.01,15.07,25.21,40.27,14.41,9.66,0.56,33.53,2.39,NA,NA,NA,2.53,2.54,NA,36.82,1.21,153.19,0.00,0.00,NA,763.10,NA
2018-02-11 00:00:00,43.89,153.84,13.99,13.11,25.24,13.03,28.80,0.32,67.91,1.10,NA,NA,NA,1.82,2.50,NA,43.26,2.50,80.77,0.00,0.00,NA,762.15,NA
2018-02-12 00:00:00,35.52,91.00,14.73,9.45,23.99,12.12,6.37,0.64,28.07,2.03,NA,NA,NA,2.17,1.41,NA,67.90,0.98,200.20,0.00,0.00,NA,762.31,NA
2018-02-13 00:00:00,45.58,159.16,15.18,17.98,33.16,9.35,7.87,0.87,35.23,0.75,NA,NA,NA,1.24,2.14,NA,46.05,1.21,150.48,0.00,0.00,NA,762.01,NA
2018-02-14 00:00:00,45.18,120.72,14.50,14.18,28.68,5.61,9.12,0.67,21.72,0.76,NA,NA,NA,1.24,2.08,NA,57.74,0.60,175.69,0.00,0.00,NA,762.37,NA
2018-02-15 00:00:00,36.54,123.68,15.25,18.89,34.14,5.29,21.95,0.62,29.88,1.22,NA,NA,NA,0.93,0.65,NA,40.30,0.94,193.73,0.00,0.00,NA,761.66,NA
2018-02-16 00:00:00,28.50,104.10,13.35,14.83,18.79,5.89,38.87,0.46,46.24,0.97,NA,NA,NA,0.74,1.25,NA,36.75,1.25,120.73,0.00,0.00,NA,761.12,NA
2018-02-17 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2018-02-18 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2018-02-19 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2018-02-20 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2018-02-21 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2018-02-22 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2018-02-23 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2018-02-24 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2018-02-25 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2018-02-26 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2018-02-27 00:00:00,25.59,88.17,NA,17.09,NA,NA,33.55,0.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2018-02-28 00:00:00,52.68,181.58,21.06,22.00,43.04,6.17,40.84,0.73,51.45,0.53,NA,NA,NA,1.77,0.50,NA,36.29,1.63,93.04,0.00,0.00,NA,757.43,NA
2018-03-01 00:00:00,59.39,184.54,NA,27.12,NA,NA,18.98,1.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2018-03-02 00:00:00,37.49,110.39,NA,15.25,NA,NA,16.88,0.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2018-03-03 00:00:00,27.78,96.56,NA,NA,NA,3.93,3.16,0.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2018-03-04 00:00:00,33.84,126.46,NA,NA,NA,3.63,9.15,0.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2018-03-05 00:00:00,35.14,132.98,NA,19.13,NA,NA,7.85,0.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2018-03-06 00:00:00,55.19,160.09,NA,29.08,NA,NA,39.79,1.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2018-03-07 00:00:00,37.55,137.61,NA,27.20,NA,NA,30.77,0.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2018-03-08 00:00:00,40.60,131.30,NA,23.23,NA,NA,13.63,0.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2018-03-09 00:00:00,34.98,116.71,NA,NA,NA,7.53,11.80,0.60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2018-03-10 00:00:00,NA,114.00,NA,18.68,NA,6.84,10.80,0.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2018-03-11 00:00:00,30.10,119.25,NA,20.70,NA,6.05,20.98,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2018-03-12 00:00:00,32.68,153.13,NA,22.15,NA,NA,13.16,0.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2018-03-13 00:00:00,41.45,154.12,NA,23.87,NA,3.95,31.56,0.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2018-03-14 00:00:00,34.78,128.86,NA,11.07,NA,6.36,10.14,0.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2018-03-15 00:00:00,30.87,136.57,NA,11.71,NA,5.95,14.45,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2018-03-16 00:00:00,44.03,177.71,NA,15.76,NA,4.51,21.97,0.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2018-03-17 00:00:00,60.54,207.94,NA,22.15,NA,3.68,29.61,1.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
