Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2019-01-01 00:00:00,88.51,189.48,38.33,38.74,68.11,46.33,16.49,1.57,27.12,1.88,NA,NA,NA,0.38,0.20,NA,32.14,0.75,177.96,0.00,0.00,136.73,760.78,NA
2019-01-02 00:00:00,85.36,179.61,36.87,33.21,64.01,47.22,13.47,1.54,31.04,1.96,NA,NA,NA,0.26,0.12,NA,33.58,0.83,194.84,0.00,0.00,141.39,761.12,NA
2019-01-03 00:00:00,75.71,176.49,29.58,30.04,56.51,46.19,6.01,0.85,40.52,0.97,NA,NA,NA,0.04,0.01,NA,35.91,0.86,130.03,0.00,0.00,150.93,761.47,NA
2019-01-04 00:00:00,87.15,156.96,28.50,32.80,55.46,44.87,18.33,1.15,41.13,1.45,NA,NA,NA,0.19,0.07,NA,34.51,0.95,145.56,0.00,0.00,145.37,759.73,NA
2019-01-05 00:00:00,75.08,131.09,25.91,32.19,53.69,53.78,26.10,0.98,44.16,1.10,NA,NA,NA,0.08,0.03,NA,38.57,1.25,195.36,0.00,0.00,149.07,758.33,NA
2019-01-06 00:00:00,144.17,188.04,25.05,33.42,53.35,58.03,11.66,1.05,42.79,1.34,NA,NA,NA,0.02,NA,NA,63.73,1.31,257.49,0.00,0.00,135.47,759.71,NA
2019-01-07 00:00:00,88.41,142.41,26.80,35.89,60.32,44.37,5.41,0.74,51.56,0.70,NA,NA,NA,NA,NA,NA,54.91,1.48,82.96,0.00,0.00,163.52,760.69,NA
2019-01-08 00:00:00,61.64,116.47,28.11,39.22,67.35,36.05,8.90,0.81,48.60,0.80,NA,NA,NA,0.03,NA,NA,44.01,0.98,173.55,0.00,0.00,150.88,760.24,NA
2019-01-09 00:00:00,61.46,224.20,28.75,35.00,63.66,31.42,2.96,0.68,44.10,0.61,NA,NA,NA,NA,NA,NA,41.50,1.18,87.82,0.00,0.00,154.23,760.31,NA
2019-01-10 00:00:00,70.59,151.84,29.02,31.11,59.51,36.03,6.12,0.93,31.61,1.03,NA,NA,NA,0.07,0.03,NA,38.75,1.14,123.94,0.00,0.00,155.48,759.69,NA
