Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2018-01-01 00:00:00,90.27,186.35,24.2,78.61,0.0,51.33,14.61,1.36,32.35,7.63,,,,5.26,15.21,,44.65,2.22,265.05,0.0,0.0,207.34,762.77,
2018-01-02 00:00:00,68.05,165.98,62.19,72.65,0.0,46.24,15.99,1.72,29.1,8.87,,,,7.91,20.86,,31.42,2.33,237.35,0.0,0.0,214.49,761.95,
2018-01-03 00:00:00,83.22,183.59,59.6,74.27,0.0,53.19,10.73,1.87,22.64,11.01,,,,9.24,23.09,,43.14,2.17,251.52,0.0,0.0,220.63,759.78,
2018-01-04 00:00:00,75.72,181.11,57.2,71.03,0.0,55.76,12.06,0.46,19.1,10.83,,,,8.55,20.35,,44.73,2.44,263.6,0.0,0.0,223.38,759.9,
2018-01-05 00:00:00,123.08,185.46,40.9,63.14,0.0,53.63,13.34,0.0,24.27,9.34,,,,7.79,20.09,,44.17,2.26,229.43,0.0,0.0,222.75,762.7,
2018-01-06 00:00:00,89.91,191.79,25.75,62.74,44.12,49.94,15.85,0.0,23.95,6.86,,,,5.63,15.37,,50.65,2.21,242.13,0.0,0.0,203.37,763.48,
2018-01-07 00:00:00,78.73,192.29,35.33,67.2,102.18,47.88,11.75,0.0,26.57,7.29,,,,4.51,13.14,,43.42,2.06,230.3,0.0,0.0,215.43,761.82,
2018-01-08 00:00:00,95.89,227.27,75.45,78.71,154.11,54.73,15.48,0.0,21.88,13.02,,,,11.28,28.67,,47.44,2.15,243.09,0.0,0.0,214.4,761.43,
2018-01-09 00:00:00,99.89,224.71,56.41,84.95,141.27,48.38,22.3,0.0,22.75,12.06,,,,10.19,25.66,,48.18,2.17,244.54,0.0,0.0,209.07,761.84,
2018-01-10 00:00:00,99.57,216.3,57.81,77.6,132.73,54.83,17.34,0.0,19.8,12.7,,,,10.36,26.4,,53.21,2.24,249.07,0.0,0.0,215.26,761.53,
2018-01-11 00:00:00,85.06,182.24,36.15,67.16,102.06,53.63,7.74,0.0,21.53,10.58,,,,8.06,21.51,,49.02,2.44,276.15,0.0,0.0,212.0,761.61,
2018-01-12 00:00:00,98.74,223.15,66.25,77.29,142.32,60.73,12.67,0.0,19.32,12.59,,,,11.09,27.47,,45.84,2.21,229.01,0.0,0.0,214.36,761.04,
2018-01-13 00:00:00,104.65,239.12,77.67,82.35,170.32,67.15,14.84,0.0,15.96,14.36,,,,12.37,30.72,,45.76,2.05,236.52,0.0,0.0,216.47,761.74,
2018-01-14 00:00:00,91.98,196.52,34.87,71.99,106.64,57.46,15.01,0.0,21.39,9.02,,,,5.88,16.73,,50.44,2.31,243.37,0.0,0.0,222.75,760.94,
2018-01-15 00:00:00,78.8,209.72,68.15,72.45,116.34,58.42,10.67,0.0,15.01,11.21,,,,9.67,24.79,,46.68,2.27,245.35,0.0,0.0,226.18,762.88,
2018-01-16 00:00:00,91.5,219.98,51.87,67.9,119.0,67.41,10.77,0.0,20.3,13.84,,,,9.7,19.88,,37.93,2.32,222.74,0.0,0.0,244.42,763.74,
2018-01-17 00:00:00,62.27,173.12,33.74,40.91,71.63,48.43,5.83,0.0,9.83,6.64,,,,4.89,11.84,,46.52,2.35,244.61,0.0,0.0,222.19,766.83,
2018-01-18 00:00:00,58.36,153.2,57.07,29.52,86.57,26.39,7.19,0.0,12.57,2.56,,,,1.91,4.87,,41.59,2.1,238.03,0.0,0.0,231.17,765.72,
2018-01-19 00:00:00,83.06,171.78,65.92,19.81,85.4,53.34,9.6,0.0,29.82,2.2,,,,1.19,2.95,,47.59,2.21,256.84,0.0,0.0,211.0,775.33,
2018-01-20 00:00:00,71.4,150.23,65.44,16.95,81.87,54.75,21.5,0.0,46.01,0.93,,,,0.47,1.03,,46.19,2.14,245.19,0.0,0.0,220.34,778.94,
2018-01-21 00:00:00,103.66,122.37,42.58,15.01,57.56,41.06,8.71,0.0,43.9,2.36,,,,0.74,0.12,,46.97,2.41,271.39,0.0,0.0,229.11,772.99,
2018-01-22 00:00:00,74.07,142.9,40.45,12.79,53.03,45.82,11.32,0.0,38.72,4.26,,,,3.17,5.14,,45.45,2.26,228.69,0.0,0.0,223.62,771.76,
2018-01-23 00:00:00,75.9,142.79,20.39,8.34,28.58,27.28,5.59,0.0,47.51,2.54,,,,2.47,6.38,,41.18,2.35,266.54,0.0,0.0,229.5,767.42,
2018-01-24 00:00:00,66.82,149.66,29.94,5.18,35.06,25.05,5.65,0.0,49.17,2.4,,,,3.42,6.04,,32.64,2.24,257.44,0.0,0.0,227.92,768.11,
2018-01-25 00:00:00,72.18,124.55,31.8,5.23,35.43,33.72,8.32,0.0,45.78,2.47,,,,3.27,5.76,,38.17,2.36,240.56,0.0,0.0,210.54,764.68,
2018-01-26 00:00:00,69.82,116.58,35.08,4.81,39.63,33.04,10.82,0.0,43.43,3.56,,,,2.83,6.33,,38.99,2.48,253.32,0.0,0.0,223.79,761.93,
2018-01-27 00:00:00,66.77,141.91,15.15,6.43,20.72,22.46,8.37,0.0,29.17,4.0,,,,3.4,6.3,,38.63,2.44,237.23,0.0,0.0,228.87,759.06,
2018-01-28 00:00:00,55.2,128.75,7.51,5.69,10.69,17.46,10.43,0.0,43.48,3.66,,,,2.84,5.9,,41.15,2.34,234.26,0.0,0.0,228.01,758.49,
2018-01-29 00:00:00,70.3,135.09,5.97,2.27,6.26,7.09,9.26,0.0,35.66,4.18,,,,3.46,6.24,,43.15,2.23,241.02,0.0,0.0,223.66,759.01,
2018-01-30 00:00:00,77.0,123.89,14.63,7.63,20.93,19.05,6.68,0.0,26.28,1.99,,,,3.18,4.65,,35.36,2.3,261.52,0.0,0.0,215.41,759.03,
2018-01-31 00:00:00,59.89,148.32,16.56,5.78,21.35,20.22,10.75,1.01,21.44,2.37,,,,3.7,3.83,,35.26,2.35,280.48,0.0,0.4,223.13,757.92,
2018-02-01 00:00:00,46.17,112.87,12.31,16.95,27.79,57.6,17.11,1.5,25.1,3.24,,,,3.8,3.12,,37.16,2.6,279.32,0.0,0.0,217.7,757.43,
2018-02-02 00:00:00,54.64,105.39,16.25,47.0,59.7,48.76,15.75,1.01,34.65,3.21,,,,3.4,2.33,,42.57,2.64,260.78,0.0,0.0,226.25,757.84,
2018-02-03 00:00:00,37.41,154.43,12.37,20.92,15.57,23.78,17.45,0.75,47.38,1.53,,,,2.21,2.49,,31.62,2.02,245.88,0.0,0.0,303.6,758.5,
2018-02-04 00:00:00,56.09,133.63,13.67,0.27,12.75,0.54,23.91,1.43,50.81,4.92,,,,3.94,6.31,,34.86,2.1,211.57,0.0,0.0,248.76,758.54,
2018-02-05 00:00:00,56.38,114.56,13.96,4.79,16.21,6.48,20.74,1.2,36.18,4.52,,,,3.45,5.08,,45.55,2.13,239.91,0.0,0.0,202.24,758.53,
2018-02-06 00:00:00,60.55,159.28,,,0.0,,22.39,1.43,31.16,3.39,,,,3.59,5.25,,45.18,1.94,189.62,0.0,0.0,184.59,756.93,
2018-02-07 00:00:00,62.92,160.14,,,0.0,,18.76,1.48,26.25,4.18,,,,4.22,4.43,,38.76,1.99,193.06,0.0,0.0,270.09,756.2,
2018-02-08 00:00:00,19.3,110.01,39.42,17.13,1.77,43.44,9.19,0.64,45.91,1.64,,,,2.24,2.41,,19.46,2.2,271.23,0.0,0.0,305.47,757.71,
2018-02-09 00:00:00,54.59,140.7,,,,,15.67,2.16,40.55,3.9,,,,9.28,8.03,,20.33,1.85,163.38,0.0,0.0,299.22,757.93,
2018-02-10 00:00:00,57.91,153.72,,,,,11.69,1.29,33.31,4.53,,,,8.3,9.14,,29.37,2.86,197.36,0.0,0.0,278.65,757.75,
2018-02-11 00:00:00,29.41,109.44,,,0.0,,12.27,0.71,46.51,2.76,,,,3.02,4.79,,37.49,2.68,241.14,0.0,0.0,258.72,758.18,
2018-02-12 00:00:00,49.97,94.29,,,,,9.73,0.88,34.98,2.67,,,,7.6,5.74,,46.77,2.31,242.74,0.0,0.0,159.83,758.3,
2018-02-13 00:00:00,34.99,158.28,15.55,12.22,11.9,30.0,11.37,0.85,30.93,1.76,,,,3.24,3.55,,34.17,1.74,174.97,0.0,0.0,183.51,757.67,
2018-02-14 00:00:00,58.47,106.71,15.26,15.49,30.75,29.91,13.29,1.18,28.61,1.74,,,,6.78,5.85,,42.91,2.4,245.32,0.0,0.0,181.5,758.04,
2018-02-15 00:00:00,60.43,120.05,20.3,16.55,31.19,44.55,28.0,1.56,24.23,2.9,,,,5.78,6.46,,35.97,2.17,224.51,0.0,0.0,223.37,759.15,
2018-02-16 00:00:00,46.35,84.35,23.85,20.24,44.07,45.4,10.8,0.91,47.52,4.19,,,,7.19,8.02,,34.78,2.18,257.99,0.0,0.0,204.4,759.65,
2018-02-17 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2018-02-18 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2018-02-19 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2018-02-20 00:00:00,175.46,143.11,21.57,28.25,49.75,25.19,11.38,1.83,3.79,4.25,,,,5.86,9.42,,27.88,1.93,162.04,0.0,0.0,211.98,761.4,
2018-02-21 00:00:00,77.06,125.21,20.24,32.19,52.42,27.87,8.26,1.47,49.6,4.39,,,,3.47,6.59,,31.83,2.13,261.14,0.0,0.0,338.53,758.96,
2018-02-22 00:00:00,60.29,114.29,20.61,28.34,48.95,18.18,7.94,0.99,42.52,5.5,,,,4.56,12.66,,24.18,2.06,221.56,0.0,0.0,399.79,757.0,
2018-02-23 00:00:00,104.1,158.93,19.08,26.26,45.33,32.01,10.92,1.54,23.48,2.34,,,,7.57,5.2,,30.13,2.49,259.88,0.0,0.0,294.59,757.29,
2018-02-24 00:00:00,47.71,102.58,19.77,22.44,28.14,24.25,2.99,0.83,21.97,2.91,,,,2.77,7.32,,24.8,2.36,298.4,0.0,0.0,218.69,756.94,
2018-02-25 00:00:00,77.47,135.1,24.36,26.3,50.67,26.25,15.12,0.77,23.21,3.78,,,,2.74,7.1,,35.39,2.18,220.98,0.0,0.0,231.29,756.79,
2018-02-26 00:00:00,91.71,146.67,,,,,8.24,1.42,20.65,3.38,,,,2.68,6.7,,35.74,2.41,269.92,0.0,0.0,187.28,756.69,
2018-02-27 00:00:00,174.3,231.98,,,,,12.95,1.63,14.57,2.72,,,,3.71,4.98,,30.38,,,0.0,0.0,80.57,758.57,
2018-02-28 00:00:00,51.69,77.01,,,,,4.58,1.19,31.86,3.3,,,,2.4,6.27,,36.78,2.62,283.51,0.0,0.0,154.43,724.65,
2018-03-01 00:00:00,75.77,110.71,,0.54,,0.54,,1.3,,,,,,,,,,,,,0.0,,,
2018-03-02 00:00:00,,107.66,,,,,5.92,1.04,,,,,,,,,,,,,0.0,,,
2018-03-03 00:00:00,73.59,,,,,,5.89,0.92,,,,,,,,,,,,,0.0,,,
2018-03-04 00:00:00,71.02,106.88,,,,,,0.84,,,,,,,,,,,,,0.0,,,
2018-03-05 00:00:00,,86.79,,,,,6.44,0.85,,,,,,,,,,,,,0.0,,,
2018-03-06 00:00:00,54.66,,,0.45,,0.43,19.78,1.22,,,,,,,,,,,,,0.0,,,
2018-03-07 00:00:00,52.65,101.98,,,,,7.62,1.42,,,,,,,,,,,,,0.0,,,
2018-03-08 00:00:00,60.42,117.17,,,,,8.77,,,,,,,,,,,,,,0.0,,,
2018-03-09 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2018-03-10 00:00:00,44.54,94.71,,,,,7.45,0.93,,,,,,,,,,,,,0.0,,,
2018-03-11 00:00:00,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,
2018-03-12 00:00:00,18.57,158.57,,,,,5.6,0.22,,,,,,,,,,,,,0.0,,,
2018-03-13 00:00:00,86.59,173.61,,24.59,,63.49,5.78,1.08,,,,,,,,,,,,,0.0,,,
2018-03-14 00:00:00,79.89,200.88,,22.3,,42.82,6.55,0.98,,,,,,,,,,,,,0.0,,,
2018-03-15 00:00:00,84.32,208.15,,27.21,,44.73,5.13,0.88,,,,,,,,,,,,,0.0,,,
2018-03-16 00:00:00,96.37,167.96,,19.77,,40.62,4.45,1.11,,,,,,,,,,,,,0.0,,,
2018-03-17 00:00:00,91.66,146.66,,20.16,,41.53,7.31,2.19,,,,,,,,,,,,,0.0,,,
2018-03-18 00:00:00,101.94,177.21,,22.36,,38.24,8.43,1.13,,,,,,,,,,,,,0.0,,,
2018-03-19 00:00:00,90.25,162.14,,19.67,,31.35,13.17,1.3,,,,,,,,,,,,,0.0,,,
2018-03-20 00:00:00,68.67,128.0,,16.09,,26.02,6.89,0.94,,,,,,,,,,,,,0.0,,,
2018-03-21 00:00:00,87.35,164.2,,21.64,,23.33,6.43,0.97,,,,,,,,,,,,,0.0,,,
2018-03-22 00:00:00,47.66,110.91,,13.4,,20.57,6.19,0.85,,,,,,,,,,,,,0.0,,,
2018-03-23 00:00:00,41.29,95.92,,33.55,,12.23,7.5,1.08,,,,,,,,,,,,,0.0,,,
2018-03-24 00:00:00,61.21,110.8,,44.74,,14.29,13.5,0.98,,,,,,,,,,,,,0.0,,,
2018-03-25 00:00:00,65.96,127.43,,36.88,,8.4,9.92,,,,,,,,,,,,,,0.0,,,
2018-03-26 00:00:00,109.37,155.72,,38.76,,23.58,9.76,,,,,,,,,,,,,,0.0,,,
