Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01,37.27,78.83,6.12,4.0,4.98,11.51,2.74,,,,,,,,,26.27,71.15,1.36,82.63,,0.0,9.11,1006.7,
2024-01-02,36.2,76.53,6.23,4.02,5.08,11.5,2.95,,,,,,,,,26.31,71.42,1.46,66.01,,0.0,8.98,1005.92,
2024-01-03,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-01-04,32.07,67.55,6.35,4.02,5.18,11.5,2.91,,,,,,,,,28.36,69.46,1.75,70.16,,0.0,20.64,1005.83,
2024-01-05,42.77,90.81,6.26,4.03,5.11,11.5,2.71,,,,,,,,,27.31,72.58,1.52,77.9,,0.0,11.03,1005.36,
2024-01-06,25.38,52.99,6.17,4.0,5.02,11.5,2.81,,,,,,,,,27.11,74.21,1.84,64.31,,0.0,8.47,1005.15,
2024-01-07,17.87,36.68,6.1,4.02,4.98,11.51,2.78,,,,,,,,,26.64,75.95,1.81,69.14,,0.0,12.38,1005.46,
2024-01-08,13.48,27.13,5.91,4.01,4.82,11.51,2.9,,,,,,,,,25.87,84.14,1.45,67.17,,0.0,13.27,1006.69,
2024-01-09,25.06,52.31,5.9,4.04,4.83,11.51,3.51,,,,,,,,,25.62,84.15,1.53,70.29,,0.0,7.53,1006.1,
2024-01-10,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-01-11,41.13,87.24,5.94,4.03,4.84,11.51,3.18,,,,,,,,,27.58,66.59,2.04,65.43,,0.0,12.45,1006.59,
2024-01-12,35.68,75.38,5.92,4.03,4.83,11.51,3.23,,,,,,,,,26.44,70.71,1.52,88.3,,0.0,8.75,1006.74,
2024-01-13,39.75,84.24,5.99,4.0,4.87,11.51,3.1,,,,,,,,,25.64,77.28,1.12,160.98,,0.0,8.45,1007.32,
2024-01-14,59.41,126.98,6.03,4.03,4.93,11.51,3.01,,,,,,,,,26.43,74.51,1.2,139.76,,0.0,11.87,1006.6,
2024-01-15,46.02,97.89,6.08,4.04,4.98,11.51,3.24,,,,,,,,,27.55,64.85,1.32,100.34,,0.0,0.77,1004.52,
2024-01-16,41.08,87.13,6.04,4.04,4.96,11.51,3.2,,,,,,,,,28.04,60.81,1.3,130.17,,0.0,12.45,1005.06,
2024-01-17,28.69,60.19,6.02,4.03,4.92,11.51,3.36,,,,,,,,,25.71,69.84,0.88,169.94,,0.0,7.54,1004.5,
2024-01-18,27.33,57.23,26.16,3.61,20.94,10.68,3.26,,,,,,,,,26.51,74.66,0.99,136.4,,0.0,8.72,1005.08,
2024-01-19,19.86,41.0,12.26,3.88,9.87,11.24,,,,,,,,,,26.7,76.22,1.23,114.32,,0.0,9.06,1004.69,
2024-01-20,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-01-21,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-01-22,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-01-23,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-01-24,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-01-25,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-01-26,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-01-27,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-01-28,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-01-29,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-01-30,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-01-31,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-02-01,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-02-02,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-02-03,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-02-04,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-02-05,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-02-06,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-02-07,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-02-08,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-02-09,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-02-10,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-02-11,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-02-12,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-02-13,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-02-14,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-02-15,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-02-16,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-02-17,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-02-18,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-02-19,,,,,,,,,,,,,,,,,,,,,0.0,,,
