Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01,25.47,70.72,2.55,5.86,7.81,5.94,5.7,0.28,3.89,0.0,0.0,0.0,,,,,,,,,0.0,,,
2024-01-02,39.64,94.71,2.62,6.45,9.11,5.31,5.4,0.28,4.39,0.0,0.0,0.0,,,,,,,,,0.0,,,
2024-01-03,27.23,77.05,2.32,4.5,6.73,3.99,5.97,0.39,4.32,0.0,0.0,0.0,,,,,,,,,0.0,,,
2024-01-04,32.66,81.7,2.94,5.0,7.72,4.65,5.88,0.35,3.65,0.0,0.0,0.0,,,,,,,,,0.0,,,
2024-01-05,32.21,84.36,2.5,5.21,7.77,4.65,4.66,0.27,3.86,0.0,0.0,0.0,,,,,,,,,0.0,,,
2024-01-06,43.22,77.01,2.98,6.08,9.26,5.15,5.87,0.33,4.39,0.0,0.0,0.0,,,,,,,,,0.0,,,
2024-01-07,31.36,70.48,3.39,6.26,9.66,5.36,6.25,0.36,3.12,0.0,0.0,0.0,,,,,,,,,0.0,,,
2024-01-08,31.18,68.51,4.15,7.27,10.99,6.4,6.64,0.33,3.37,0.0,0.0,0.0,,,,,,,,,0.0,,,
2024-01-09,34.71,74.46,3.51,7.45,10.14,7.89,5.36,0.33,3.97,0.0,0.0,0.0,,,,,,,,,0.0,,,
2024-01-10,37.24,74.61,3.27,6.23,9.03,5.63,4.97,0.32,3.23,0.0,0.0,0.0,,,,,,,,,0.0,,,
2024-01-11,32.59,76.36,3.49,6.97,10.44,5.83,5.46,0.31,3.62,0.0,0.0,0.0,,,,,,,,,0.0,,,
2024-01-12,34.37,72.67,3.41,6.53,9.94,5.4,4.96,0.28,3.83,0.0,0.0,0.0,,,,,,,,,0.0,,,
2024-01-13,32.85,71.81,3.26,6.64,9.87,5.36,5.32,0.29,4.93,0.0,0.0,0.0,,,,,,,,,0.0,,,
2024-01-14,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-01-15,28.73,70.44,2.95,6.85,8.57,5.21,5.48,0.29,3.74,0.0,0.0,0.0,,,,,,,,,0.0,,,
2024-01-16,30.64,70.89,2.32,5.9,8.21,4.26,4.65,0.25,3.76,0.0,0.0,0.0,,,,,,,,,0.0,,,
2024-01-17,30.46,71.12,3.15,6.86,10.11,5.25,5.47,0.29,3.64,0.0,0.0,0.0,,,,,,,,,0.0,,,
2024-01-18,30.43,72.74,4.34,8.2,12.57,6.78,6.65,0.34,4.39,0.0,0.0,0.0,,,,,,,,,0.0,,,
2024-01-19,39.19,75.16,4.34,8.22,12.56,6.78,6.66,0.34,11.42,0.0,0.0,0.0,,,,,,,,,0.0,,,
2024-01-20,42.96,76.64,2.91,6.47,9.9,8.12,5.17,0.45,10.66,0.0,0.0,0.0,,,,,,,,,0.0,,,
2024-01-21,27.04,69.39,3.21,7.3,11.91,8.29,4.2,0.41,2.42,0.0,0.0,0.0,,,,,,,,,0.0,,,
2024-01-22,33.85,70.42,3.39,5.89,9.41,5.89,5.15,0.29,6.16,0.0,0.0,0.0,,,,,,,,,0.0,,,
2024-01-23,35.77,70.73,6.05,8.88,15.24,8.24,5.85,0.36,4.34,0.0,0.0,0.0,,,,,,,,,0.0,,,
2024-01-24,31.34,73.09,3.24,6.14,9.38,5.91,4.58,0.27,3.62,0.0,0.0,0.0,,,,,,,,,0.0,,,
2024-01-25,35.47,74.41,3.6,6.73,10.33,6.22,4.57,0.32,5.13,0.0,0.0,0.0,,,,,,,,,0.0,,,
2024-01-26,31.9,68.44,2.82,4.83,7.65,4.64,4.85,0.3,4.22,0.0,0.0,0.0,,,,,,,,,0.0,,,
2024-01-27,32.03,76.26,4.87,7.96,12.76,7.1,6.62,0.35,4.33,0.0,0.0,0.0,,,,,,,,,0.0,,,
2024-01-28,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-01-29,36.48,72.06,2.71,4.66,6.82,4.54,8.5,0.37,5.29,0.0,0.0,0.0,,,,,,,,,0.0,,,
2024-01-30,33.66,75.0,2.91,4.93,7.94,4.64,7.08,0.44,3.97,0.0,0.0,0.0,,,,,,,,,0.0,,,
