Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2022-01-01 00:00:00,108.34,163.32,7.68,16.88,27.84,4.22,54.83,0.98,10.47,0.00,NA,NA,NA,NA,NA,13.39,44.53,0.27,154.00,0.00,0.00,40.04,783.50,NA
2022-01-02 00:00:00,146.42,193.53,6.55,14.69,24.03,4.78,62.06,1.02,11.01,0.00,NA,NA,NA,NA,NA,12.33,52.00,0.33,182.49,0.00,0.00,40.43,793.84,NA
2022-01-03 00:00:00,120.66,175.03,12.71,18.75,37.19,4.96,61.39,1.20,7.50,0.00,NA,NA,NA,NA,NA,12.61,47.81,0.23,149.15,0.00,0.00,39.85,775.36,NA
2022-01-04 00:00:00,147.14,202.38,7.19,17.11,27.34,5.31,65.90,1.25,11.10,0.00,NA,NA,NA,NA,NA,13.06,54.04,0.29,181.16,0.00,0.00,44.85,793.45,NA
2022-01-05 00:00:00,130.78,176.16,10.32,18.35,33.21,5.69,68.08,1.44,10.94,0.00,NA,NA,NA,NA,NA,13.00,52.86,0.31,184.61,0.00,0.00,43.42,808.17,NA
2022-01-06 00:00:00,139.21,186.25,10.32,22.75,37.52,7.10,82.57,1.55,7.36,0.00,NA,NA,NA,NA,NA,13.77,51.79,0.28,161.82,0.00,0.00,43.67,792.41,NA
2022-01-07 00:00:00,98.25,154.23,9.38,23.17,36.54,8.33,97.19,1.13,7.73,0.00,NA,NA,NA,NA,NA,16.16,50.19,0.28,170.22,0.00,0.00,45.44,817.88,NA
2022-01-08 00:00:00,103.74,162.33,12.90,22.18,40.82,8.14,99.58,1.16,10.83,0.00,NA,NA,NA,NA,0.02,17.20,50.84,0.27,170.26,0.00,0.00,46.70,810.16,NA
2022-01-09 00:00:00,114.32,179.17,5.91,23.38,31.56,8.38,102.85,1.00,12.77,0.00,NA,NA,NA,NA,NA,16.75,51.52,0.25,152.32,0.00,0.00,46.38,797.90,NA
2022-01-10 00:00:00,131.07,201.59,9.59,24.09,37.74,7.37,105.27,1.29,9.88,0.00,NA,NA,NA,NA,0.01,16.96,52.00,0.24,164.55,0.00,0.00,45.06,800.26,NA
2022-01-11 00:00:00,111.57,181.01,6.11,17.17,25.81,8.35,111.62,0.95,13.13,0.00,NA,NA,NA,NA,NA,18.25,54.70,0.34,201.37,0.00,0.00,46.34,823.24,NA
2022-01-12 00:00:00,106.08,157.36,2.00,16.61,19.15,8.05,91.79,0.79,14.31,0.00,NA,NA,NA,NA,NA,16.36,60.07,0.26,178.44,0.00,0.00,46.09,818.86,NA
