Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2019-01-01 00:00:00,314.75,460.92,67.99,129.58,140.59,63.43,15.74,2.81,34.24,2.10,11.76,NA,NA,NA,NA,12.81,58.74,0.83,111.32,0.00,0.00,44.65,742.14,NA
2019-01-02 00:00:00,309.92,445.20,56.87,99.04,97.03,67.16,8.76,2.05,27.91,1.86,9.14,NA,NA,NA,NA,13.58,61.55,0.97,109.46,0.00,0.00,40.95,742.12,NA
2019-01-03 00:00:00,348.12,473.21,57.54,123.74,112.59,57.39,12.81,2.08,31.55,2.04,15.03,NA,NA,NA,NA,13.78,59.62,1.56,71.48,0.00,0.00,42.76,742.16,NA
2019-01-04 00:00:00,297.46,423.13,31.79,110.49,84.63,52.82,8.95,1.72,18.05,1.82,9.75,NA,NA,NA,NA,11.29,65.74,1.06,82.87,0.00,0.00,32.86,742.00,NA
2019-01-05 00:00:00,245.61,349.20,16.57,80.86,56.49,50.49,8.08,1.76,31.78,1.58,5.16,NA,NA,NA,NA,13.54,59.48,2.03,110.34,0.00,0.00,45.88,742.00,NA
2019-01-06 00:00:00,209.42,279.04,18.32,74.66,54.62,51.70,6.27,1.13,46.33,1.29,6.75,NA,NA,NA,NA,14.57,59.01,2.13,59.54,0.01,0.50,38.78,742.00,NA
2019-01-07 00:00:00,204.00,287.92,22.23,102.76,72.73,51.27,16.40,1.05,NA,1.38,10.90,NA,NA,NA,NA,14.64,58.67,2.64,44.68,0.00,0.00,48.80,742.00,NA
2019-01-08 00:00:00,163.60,241.38,18.78,86.36,60.72,48.18,11.77,1.07,55.41,1.12,6.72,NA,NA,NA,NA,13.98,58.58,2.13,37.33,0.00,0.00,50.19,742.00,NA
2019-01-09 00:00:00,142.30,233.03,9.06,72.59,45.99,41.47,15.30,0.95,NA,0.92,4.78,NA,NA,NA,NA,13.89,54.55,2.34,42.56,0.00,0.00,54.02,742.00,NA
2019-01-10 00:00:00,168.15,284.36,40.44,98.94,85.52,37.52,19.18,1.46,NA,1.16,7.02,NA,NA,NA,NA,13.61,53.54,1.50,42.73,0.00,0.00,52.64,742.00,NA
2019-01-11 00:00:00,270.07,418.72,85.66,144.03,146.26,43.03,20.07,2.31,NA,2.01,14.52,NA,NA,NA,NA,12.95,57.60,0.76,78.98,0.00,0.00,44.77,742.00,NA
2019-01-12 00:00:00,346.83,500.59,90.60,155.75,166.83,50.85,22.34,4.12,NA,2.47,24.03,NA,NA,NA,NA,13.51,59.58,1.11,112.03,0.00,0.00,46.90,742.00,NA
2019-01-13 00:00:00,290.76,424.10,83.96,90.90,75.25,53.56,20.36,2.01,NA,1.83,14.81,NA,NA,NA,NA,16.01,55.84,1.71,66.12,0.00,0.00,43.50,742.01,NA
2019-01-14 00:00:00,83.37,163.33,4.12,55.22,32.72,34.71,19.00,0.74,NA,0.61,3.33,NA,NA,NA,NA,14.15,47.45,3.15,39.91,0.00,0.00,56.17,742.00,NA
2019-01-15 00:00:00,121.05,215.21,7.17,68.73,42.39,33.99,18.14,1.28,NA,0.82,3.53,NA,NA,NA,NA,11.65,51.09,2.03,44.55,0.00,0.00,45.27,742.00,NA
2019-01-16 00:00:00,243.07,386.99,56.03,128.57,126.12,42.26,22.40,2.69,NA,1.76,12.49,NA,NA,NA,NA,11.27,58.96,0.99,138.61,0.00,0.00,47.36,742.00,NA
2019-01-17 00:00:00,362.42,527.43,28.01,100.37,76.19,61.35,34.71,2.26,NA,2.41,21.88,NA,NA,NA,NA,13.57,55.64,1.25,44.39,0.00,0.00,44.60,742.00,NA
2019-01-18 00:00:00,234.19,353.45,25.74,105.08,76.12,39.63,18.14,2.09,NA,1.54,9.96,NA,NA,NA,NA,13.85,55.61,1.57,38.40,0.00,0.00,51.80,742.00,NA
2019-01-19 00:00:00,252.76,387.73,40.56,117.34,95.40,45.31,21.77,2.17,NA,1.69,11.56,NA,NA,NA,NA,15.43,57.10,1.06,76.14,0.00,0.00,49.85,742.00,NA
2019-01-20 00:00:00,233.07,353.57,5.93,45.23,28.88,46.61,17.84,2.10,NA,1.47,11.49,NA,NA,NA,NA,17.80,59.11,1.09,116.49,0.00,0.00,54.72,742.00,NA
2019-01-21 00:00:00,158.15,234.72,5.13,38.14,24.46,47.48,12.22,2.37,NA,1.18,4.23,NA,NA,NA,NA,16.43,61.14,3.24,124.52,0.07,7.00,25.41,741.60,NA
