Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2019-01-01 00:00:00,281.31,NA,36.22,65.47,60.38,NA,10.81,1.22,18.01,0.28,1.96,NA,NA,NA,NA,12.74,52.84,0.85,67.66,0.00,0.00,59.00,752.47,-0.34
2019-01-02 00:00:00,369.31,NA,64.01,95.38,100.84,NA,9.39,1.96,10.76,0.46,2.89,NA,NA,NA,NA,9.92,55.90,0.70,89.52,0.00,0.00,47.48,752.45,-0.40
2019-01-03 00:00:00,255.23,NA,10.92,56.55,37.48,NA,7.34,0.92,16.96,0.26,1.87,NA,NA,NA,NA,9.72,58.92,0.40,53.01,0.00,0.00,49.95,752.44,-0.30
2019-01-04 00:00:00,236.80,NA,53.78,55.99,66.79,NA,9.55,1.11,19.06,0.25,1.60,NA,NA,NA,NA,9.54,55.72,0.46,64.62,0.00,0.00,63.88,752.26,-0.33
2019-01-05 00:00:00,274.38,NA,20.85,74.64,54.60,NA,7.26,1.10,11.32,0.27,1.79,NA,NA,NA,NA,8.44,56.12,0.54,83.38,0.00,0.00,44.85,751.85,-0.37
2019-01-06 00:00:00,228.09,NA,3.66,38.98,21.91,NA,6.11,0.55,18.82,0.11,0.72,NA,NA,NA,NA,6.89,59.81,0.59,90.35,0.00,0.00,36.81,750.51,-0.35
2019-01-07 00:00:00,134.92,NA,7.59,38.40,25.85,NA,7.29,0.74,13.64,0.15,1.05,NA,NA,NA,NA,9.03,59.56,0.67,151.16,0.00,0.00,60.28,750.83,-0.40
2019-01-08 00:00:00,117.01,NA,2.69,27.89,16.71,NA,6.62,0.42,22.27,0.12,0.77,NA,NA,NA,NA,11.92,55.60,0.50,193.66,0.00,0.00,85.36,750.56,-0.40
2019-01-09 00:00:00,116.40,NA,2.84,30.31,18.07,NA,7.57,0.45,26.09,0.10,0.49,NA,NA,NA,NA,11.80,55.67,0.50,194.00,0.00,0.00,87.11,750.45,-0.40
2019-01-10 00:00:00,172.28,NA,55.75,48.85,66.08,NA,10.92,1.06,23.07,0.18,1.00,NA,NA,NA,NA,11.79,55.98,0.50,196.60,0.00,0.00,78.64,750.64,-0.40
2019-01-11 00:00:00,232.50,NA,25.07,79.32,60.74,NA,8.26,1.16,12.47,0.34,2.12,NA,NA,NA,NA,12.00,55.09,0.50,197.00,0.00,0.00,70.74,751.46,-0.40
2019-01-12 00:00:00,231.39,NA,51.86,78.47,79.61,NA,10.95,1.25,14.71,0.34,2.25,NA,NA,NA,NA,11.98,56.09,0.48,215.03,0.00,0.00,68.93,751.01,-0.39
2019-01-13 00:00:00,237.76,NA,13.03,62.12,40.40,NA,7.11,0.86,13.93,0.20,1.84,NA,NA,NA,NA,11.17,56.66,0.20,173.98,0.00,0.00,71.23,751.39,-0.30
2019-01-14 00:00:00,108.75,NA,2.84,25.54,14.67,NA,6.07,0.30,22.68,0.13,0.38,NA,NA,NA,NA,11.08,52.41,0.20,174.00,0.00,0.00,93.84,750.95,-0.30
2019-01-15 00:00:00,100.88,NA,5.00,35.33,21.82,NA,7.70,0.51,22.98,0.09,0.48,NA,NA,NA,NA,10.70,51.59,0.20,147.45,0.00,0.00,66.21,751.30,-0.30
2019-01-16 00:00:00,263.94,NA,31.91,76.13,64.90,NA,8.94,1.50,9.52,0.35,2.28,NA,NA,NA,NA,10.58,60.68,0.31,74.88,0.00,0.00,4.00,751.29,-0.24
2019-01-17 00:00:00,276.54,NA,11.27,40.67,29.78,NA,7.11,0.82,28.64,0.19,1.54,NA,NA,NA,NA,11.26,58.63,0.49,44.15,0.00,0.00,81.61,750.57,0.02
2019-01-18 00:00:00,174.50,NA,7.73,32.19,23.00,NA,7.39,1.16,36.56,0.11,0.95,NA,NA,NA,NA,13.03,55.38,0.40,49.47,0.00,0.00,77.99,750.55,0.35
2019-01-19 00:00:00,165.77,NA,10.00,35.89,25.05,NA,9.51,1.72,39.53,0.09,0.85,NA,NA,NA,NA,14.75,52.66,0.32,93.18,0.00,0.00,79.17,750.80,-0.04
