Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01,74.78,112.07,1.45,25.95,14.99,38.47,4.71,1.06,32.81,1.7,4.2,,,,,14.05,78.82,0.55,96.74,,0.0,,742.51,
2024-01-02,78.19,117.66,0.96,27.17,15.23,37.21,4.79,1.13,39.75,1.7,4.2,,,,,13.92,77.44,0.48,137.55,,0.0,,742.26,
2024-01-03,78.58,110.91,1.03,27.62,15.45,34.1,6.46,1.27,25.52,1.7,4.2,,,,,12.53,92.34,0.45,83.29,,0.0,,742.22,
2024-01-04,114.79,160.81,2.15,34.53,20.0,43.13,8.59,1.32,21.75,1.7,4.2,,,,,13.59,90.4,0.58,76.58,,0.0,,742.22,
2024-01-05,64.07,108.97,0.91,23.85,13.36,34.71,2.65,1.11,24.73,1.7,4.2,,,,,13.88,91.43,0.5,77.36,,0.0,,742.45,
2024-01-06,92.26,150.79,1.36,32.6,18.14,39.12,6.17,1.02,27.9,1.7,4.2,,,,,13.62,87.45,0.46,67.27,,0.0,,742.99,
2024-01-07,110.74,189.66,1.57,33.51,18.83,43.97,6.15,1.24,19.76,1.7,4.2,,,,,14.09,87.71,0.4,121.89,,0.0,,743.0,
2024-01-08,74.09,103.16,0.96,25.58,14.23,37.87,6.86,1.33,20.43,1.7,4.2,,,,,14.08,90.0,0.35,136.48,,0.0,,742.99,
2024-01-09,70.12,107.39,1.1,23.16,12.97,35.27,4.04,0.97,16.15,1.7,4.2,,,,,12.76,90.39,0.76,56.51,,0.0,,743.0,
2024-01-10,78.71,128.18,1.24,27.07,15.37,42.06,4.07,1.18,19.79,1.37,3.64,,,,,12.55,81.52,0.94,47.76,,0.0,,742.51,
2024-01-11,105.07,167.78,0.72,30.61,16.78,53.35,7.07,1.35,40.29,0.82,2.28,,,,,13.45,77.93,0.7,59.8,,0.0,,742.43,
2024-01-12,124.94,205.66,1.16,38.06,21.12,52.67,8.79,1.25,37.57,1.06,2.69,,,,,12.38,83.95,0.47,110.53,,0.0,,742.29,
2024-01-13,147.14,233.04,2.7,48.33,27.71,53.69,10.77,1.76,42.08,1.46,3.94,,,,,12.44,86.01,0.36,163.19,,0.0,,742.2,
2024-01-14,149.65,211.1,4.18,60.07,34.89,47.72,8.66,2.05,35.08,1.89,6.1,,,,,12.08,88.27,0.37,117.47,,0.0,,742.16,
2024-01-15,105.31,151.03,1.4,42.87,23.7,40.08,5.08,1.51,33.62,1.18,3.9,,,,,12.76,79.76,0.41,132.73,,0.0,,742.12,
2024-01-16,88.91,112.9,1.47,29.49,16.72,38.52,5.13,1.6,21.7,1.23,2.67,,,,,10.84,94.12,0.39,213.97,,0.0,,742.0,
2024-01-17,65.83,98.75,0.96,21.93,12.38,37.97,4.84,1.26,23.56,0.8,1.58,,,,,12.58,87.18,0.4,221.5,,0.0,,742.0,
2024-01-18,56.42,80.81,0.95,18.49,10.52,35.72,5.81,1.17,23.53,0.69,1.42,,,,,13.03,88.67,0.33,214.42,,0.0,,742.29,
2024-01-19,66.58,94.29,1.15,18.89,10.94,34.91,4.78,1.0,21.65,0.64,1.4,,,,,12.48,88.56,0.36,211.91,,0.0,,742.65,
2024-01-20,101.8,149.17,3.55,32.04,19.74,38.89,8.57,1.63,46.39,0.83,2.55,,,,,13.81,77.12,0.32,194.62,,0.0,,742.77,
2024-01-21,92.04,157.65,2.04,30.4,17.79,37.03,4.28,1.14,24.79,0.92,2.6,,,,,12.28,87.98,0.73,49.25,,0.0,,742.4,
2024-01-22,75.25,137.74,0.93,16.99,9.78,35.52,3.86,1.24,22.2,0.48,1.05,,,,,12.35,80.86,0.42,169.3,,0.0,,742.8,
2024-01-23,97.78,148.42,2.64,39.34,23.02,35.07,5.14,1.51,18.87,1.02,2.83,,,,,11.14,91.83,0.35,177.66,,0.0,,742.52,
2024-01-24,110.84,179.36,1.15,36.42,20.28,40.8,6.97,1.51,18.17,0.98,3.0,,,,,13.31,81.57,0.43,91.27,,0.0,,742.56,
2024-01-25,93.75,148.32,1.37,37.91,21.24,36.5,6.62,1.44,16.89,0.94,3.44,,,,,12.98,80.33,0.46,95.63,,0.0,,743.0,
2024-01-26,137.22,198.79,6.34,50.17,30.18,45.11,9.43,1.67,40.94,1.23,5.17,,,,,14.32,78.47,0.38,164.19,,0.0,,743.05,
2024-01-27,90.49,149.95,0.72,36.08,19.4,42.04,7.02,1.15,46.28,0.76,3.02,,,,,16.53,69.62,0.73,108.85,,0.0,,742.89,
2024-01-28,87.53,118.24,1.02,23.05,13.0,37.75,5.84,1.49,9.63,1.05,2.49,,,,,12.67,94.76,0.53,202.38,,0.0,,742.57,
2024-01-29,102.26,157.78,4.4,43.72,26.64,44.27,8.03,1.62,31.53,0.95,3.58,,,,,15.73,80.49,0.39,215.5,,0.0,,742.48,
2024-01-30,112.58,156.34,4.03,43.46,26.35,49.68,8.74,1.39,13.29,1.07,3.66,,,,,15.92,87.8,0.39,107.99,,0.0,,742.22,
2024-01-31,109.16,130.54,4.03,36.03,22.34,49.55,15.42,1.12,12.9,1.13,3.03,,,,,15.29,91.19,0.38,188.38,,0.0,,742.16,
2024-02-01,21.43,25.95,1.58,10.7,7.01,34.06,10.47,0.87,16.3,0.27,0.69,,,,,16.48,90.77,0.72,202.18,,0.0,,742.3,
2024-02-02,42.58,65.02,3.35,23.22,15.03,32.37,14.48,0.96,17.81,0.45,1.87,,,,,16.5,79.3,0.77,63.21,,0.0,,742.85,
2024-02-03,41.01,87.91,2.23,32.41,19.01,27.05,15.14,1.03,18.27,0.48,2.83,,,,,17.42,62.89,0.69,80.5,,0.0,,742.35,
2024-02-04,36.19,51.31,1.7,17.37,10.62,31.69,12.55,0.7,12.79,0.33,1.23,,,,,17.11,83.35,0.51,155.92,,0.0,,742.25,
2024-02-05,45.16,71.05,1.85,15.96,9.96,45.29,11.4,0.82,13.39,0.34,1.47,,,,,18.3,81.35,0.76,117.86,,0.0,,742.7,
2024-02-06,27.59,59.49,1.75,20.63,12.32,22.7,12.53,0.82,10.42,0.27,1.25,,,,,15.88,70.77,0.83,55.79,,0.0,,742.86,
2024-02-07,36.28,80.51,1.2,21.75,12.53,21.8,13.17,0.8,13.6,0.32,1.27,,,,,16.07,58.8,1.16,42.16,,0.0,,742.96,
2024-02-08,40.28,92.75,1.34,20.98,12.15,22.18,15.47,0.87,13.49,0.32,1.22,,,,,16.52,60.07,1.21,61.76,,0.0,,742.34,
2024-02-09,62.08,90.29,1.5,26.92,15.5,27.07,16.93,1.02,9.31,0.47,1.9,,,,,17.55,57.69,0.62,94.91,,0.0,,742.68,
2024-02-10,100.38,133.05,3.26,34.77,20.99,36.79,17.36,1.26,12.59,0.78,2.79,,,,,17.81,66.24,0.35,141.47,,0.0,,743.09,
2024-02-11,74.82,109.94,1.35,29.7,16.89,35.86,16.62,0.93,13.23,0.47,1.86,,,,,19.03,62.19,0.56,96.5,,0.0,,743.0,
2024-02-12,99.75,144.02,3.86,43.39,26.18,40.29,19.59,1.2,14.13,0.8,2.69,,,,,18.74,68.72,0.35,138.08,,0.0,,743.0,
2024-02-13,113.56,157.78,5.18,45.23,28.4,43.98,19.5,0.8,13.21,0.83,3.3,,,,,18.65,68.0,0.34,198.72,,0.0,,742.95,
2024-02-14,108.77,154.89,2.49,41.29,23.97,45.55,18.86,,11.53,0.74,2.9,,,,,19.84,61.14,0.49,80.59,,0.0,,742.76,
2024-02-15,73.76,117.06,1.43,31.13,17.69,37.99,18.96,1.68,16.67,0.44,1.81,,,,,19.89,62.84,0.78,47.79,,0.0,,743.0,
2024-02-16,62.18,103.55,2.54,33.06,19.39,33.99,11.45,1.4,55.85,0.43,1.86,,,,,20.15,55.23,0.73,72.28,,0.0,,743.0,
2024-02-17,54.75,101.92,0.93,25.72,14.38,34.83,6.13,1.43,61.94,0.41,1.94,,,,,19.94,54.46,0.77,76.18,,0.0,,742.15,
2024-02-18,83.9,139.61,12.1,33.81,27.6,43.05,6.89,1.73,49.55,0.72,4.61,,,,,19.78,59.97,0.38,227.41,,0.0,,742.0,
2024-02-19,78.23,134.8,0.7,13.83,7.92,47.08,2.91,1.54,63.97,0.49,1.09,,,,,19.82,69.07,0.87,214.99,,0.0,,741.69,
2024-02-20,66.3,86.55,1.32,15.14,9.11,48.13,3.51,1.51,44.38,0.4,1.01,,,,,20.78,75.76,0.55,201.49,,0.0,,741.35,
2024-02-21,60.23,100.12,1.31,14.9,9.17,38.94,2.53,1.43,40.94,0.46,1.61,,,,,20.15,69.8,0.72,69.46,,0.0,,741.39,
2024-02-22,32.12,79.73,0.89,14.5,8.31,26.65,2.86,1.07,45.88,0.29,1.23,,,,,20.13,49.66,0.72,92.4,,0.0,,741.77,
2024-02-23,26.39,63.01,0.99,20.41,11.54,21.43,7.8,1.18,51.77,0.26,1.23,,,,,18.99,46.7,0.87,46.24,,0.0,,742.15,
2024-02-24,47.61,94.99,4.34,32.36,20.43,22.27,14.91,1.39,45.7,0.54,1.95,,,,,18.84,48.79,0.42,125.75,,0.0,,742.35,
2024-02-25,50.56,87.56,1.0,25.82,14.51,23.59,13.89,1.35,46.4,0.55,1.35,,,,,19.17,47.6,0.49,88.75,,0.0,,742.77,
2024-02-26,37.57,81.74,1.36,30.55,17.15,21.4,14.15,1.42,42.85,0.42,1.77,,,,,19.74,44.73,0.51,61.35,,0.0,,742.75,
2024-02-27,30.51,61.31,0.7,22.07,12.26,22.25,12.2,1.25,49.65,0.31,1.22,,,,,19.93,49.31,0.74,56.83,,0.0,,742.46,
2024-02-28,36.47,74.73,0.98,23.38,13.2,24.73,13.37,1.28,52.83,0.31,1.27,,,,,19.34,59.39,1.03,40.56,,0.0,,742.14,
2024-02-29,36.77,69.81,0.73,25.39,14.07,25.27,13.71,1.35,69.08,0.34,1.28,,,,,20.72,55.43,0.94,51.94,,0.0,,742.0,
2024-03-01,59.46,106.29,1.78,32.84,18.89,30.55,14.75,1.61,49.03,0.68,1.64,,,,,20.88,59.24,0.43,157.67,,0.0,,742.17,
2024-03-02,23.81,38.44,0.94,13.32,7.76,27.89,10.75,1.14,36.85,0.32,0.64,,,,,20.03,75.18,1.03,215.44,,0.0,,741.77,
2024-03-03,19.02,29.16,0.85,13.65,7.89,29.79,9.52,1.1,26.24,0.29,0.62,,,,,19.27,82.61,0.76,202.04,,0.0,,741.86,
2024-03-04,13.84,33.08,0.86,14.94,8.6,17.49,9.83,0.95,44.35,0.21,0.62,,,,,18.9,57.03,0.68,67.17,,0.0,,742.38,
2024-03-05,22.37,55.5,0.64,17.9,10.01,17.57,10.96,0.99,67.71,0.21,0.78,,,,,18.49,50.35,1.06,47.82,,0.0,,742.23,
2024-03-06,29.12,56.93,0.76,20.13,11.3,17.3,12.51,1.19,67.76,0.26,0.89,,,,,17.84,52.76,0.9,53.98,,0.0,,742.09,
2024-03-07,38.49,72.35,0.72,24.47,13.49,19.73,16.53,1.29,68.15,0.44,1.06,,,,,19.96,50.94,0.85,46.35,,0.0,,742.06,
2024-03-08,27.81,63.25,0.73,18.79,10.58,18.72,13.5,1.15,63.56,0.25,0.8,,,,,20.82,50.01,0.97,45.0,,0.0,,742.16,
2024-03-09,29.83,63.23,0.72,20.2,11.3,18.94,13.9,1.19,75.05,0.25,0.84,,,,,20.85,51.19,1.03,45.31,,0.0,,742.01,
2024-03-10,33.95,70.84,0.83,23.32,13.05,20.11,14.96,1.29,72.14,0.33,1.11,,,,,22.15,48.0,0.73,58.08,,0.0,,742.09,
2024-03-11,58.35,101.31,1.81,24.96,14.66,26.51,20.8,1.42,65.6,0.59,1.2,,,,,23.5,50.26,0.56,113.81,,0.0,,742.3,
2024-03-12,43.43,92.27,1.04,23.14,13.11,23.89,21.54,1.39,61.55,0.47,1.06,,,,,23.29,52.14,0.76,62.38,,0.0,,742.09,
2024-03-13,42.64,83.64,0.96,21.41,12.02,23.51,18.59,1.31,58.39,0.37,0.98,,,,,23.21,51.96,0.62,101.83,,0.0,,741.9,
2024-03-14,48.19,96.14,1.51,20.87,12.1,24.35,17.93,1.38,48.77,0.47,1.06,,,,,23.7,51.91,0.72,73.88,,0.0,,742.16,
2024-03-15,19.38,62.8,0.82,16.62,9.44,17.88,15.2,1.11,55.13,0.23,0.75,,,,,22.5,47.95,1.03,45.84,,0.0,,742.0,
2024-03-16,35.68,77.59,0.64,21.57,11.93,19.68,17.74,1.3,69.29,0.35,1.18,,,,,23.75,45.2,0.69,89.1,,0.0,,742.17,
2024-03-17,43.81,89.05,0.85,21.31,11.98,21.23,19.81,1.38,68.77,0.4,1.07,,,,,23.79,47.08,0.62,94.4,,0.0,,742.19,
2024-03-18,36.78,78.08,0.84,20.38,11.48,20.34,18.1,1.29,65.43,0.34,0.94,,,,,23.94,45.31,0.72,60.26,,0.0,,742.0,
2024-03-19,55.46,112.95,3.75,26.93,17.17,25.92,23.09,1.46,62.48,0.48,1.41,,,,,24.2,46.89,0.51,129.6,,0.0,,742.0,
2024-03-20,44.69,91.08,0.81,26.69,14.81,27.8,19.28,1.41,43.19,0.5,1.1,,,,,25.52,43.18,0.56,72.41,,0.0,,742.0,
2024-03-21,31.19,82.57,0.61,11.91,6.76,30.97,6.58,1.15,40.94,0.34,0.7,,,,,22.08,68.75,0.79,214.73,,0.0,,742.0,
2024-03-22,51.77,95.81,0.81,23.43,13.09,34.31,8.64,1.51,41.39,0.58,1.42,,,,,24.19,62.61,0.45,221.18,,0.0,,741.57,
2024-03-23,53.31,118.51,1.65,27.58,15.94,34.63,11.76,1.51,46.88,0.58,2.05,,,,,26.13,53.02,0.8,75.0,,0.0,,741.04,
2024-03-24,45.34,128.41,1.52,25.79,14.96,31.13,18.22,1.41,40.02,0.44,1.36,,,,,24.6,52.76,0.8,111.65,,0.0,,741.67,
2024-03-25,44.3,73.64,1.24,19.65,11.34,31.94,12.43,1.37,46.88,0.37,1.0,,,,,25.62,54.42,0.96,44.56,,0.0,,742.0,
2024-03-26,26.64,70.29,0.92,18.04,10.26,28.21,14.53,1.27,51.53,0.24,0.81,,,,,26.79,50.29,0.9,55.0,,0.0,,741.73,
2024-03-27,34.16,85.95,1.1,22.18,12.64,31.63,14.32,1.14,46.24,0.4,1.32,,,,,27.58,49.47,0.64,135.26,,0.0,,742.02,
2024-03-28,29.99,75.17,1.08,17.79,10.31,31.11,14.98,1.09,46.41,0.35,1.09,,,,,28.64,47.98,0.65,90.75,,0.0,,741.55,
2024-03-29,49.64,105.78,1.62,24.23,14.12,36.14,13.31,1.32,39.93,0.53,1.04,,,,,28.16,54.46,0.51,154.7,,0.0,,741.35,
2024-03-30,45.29,109.28,1.05,19.66,11.28,37.56,8.92,1.5,35.14,0.54,1.14,,,,,28.38,55.65,0.48,195.82,,0.0,,741.49,
2024-03-31,51.83,125.72,2.21,25.27,15.21,37.54,12.31,1.32,50.9,0.63,1.61,,,,,28.13,50.97,0.74,106.76,,0.0,,741.82,
2024-04-01,19.36,74.01,0.9,17.84,10.15,24.39,10.02,1.17,57.95,0.23,0.73,,,,,25.25,49.4,1.07,49.73,,0.0,,741.14,
2024-04-02,28.27,72.44,0.95,18.84,10.72,17.85,14.98,1.15,73.45,0.29,0.91,,,,,24.42,44.36,0.92,46.09,,0.0,,741.0,
2024-04-03,45.79,97.86,1.92,20.49,12.12,18.35,21.57,1.07,64.19,0.5,1.2,,,,,27.38,39.59,0.61,113.5,,0.0,,741.24,
2024-04-04,32.73,90.66,1.47,18.04,10.8,17.79,18.49,1.25,62.48,0.42,1.19,,,,,29.22,36.17,0.66,74.68,,0.0,,741.23,
2024-04-05,26.87,89.52,1.4,15.41,9.34,18.19,17.69,1.05,68.04,0.32,0.92,,,,,28.72,36.27,0.89,49.12,,0.0,,741.12,
2024-04-06,23.29,82.09,1.52,10.23,6.68,19.9,13.53,0.99,90.65,0.24,0.79,,,,,27.81,35.55,0.91,49.15,,0.0,,741.18,
2024-04-07,26.27,75.75,1.38,13.77,7.96,14.85,18.19,1.07,83.39,0.27,0.77,,,,,28.1,33.54,0.85,44.22,,0.0,,741.15,
2024-04-08,44.85,104.57,1.84,20.58,12.45,22.2,23.17,1.21,74.86,0.44,1.32,,,,,28.35,33.92,0.69,68.26,,0.0,,741.34,
2024-04-09,59.02,115.32,2.61,22.9,14.31,30.94,22.45,1.37,84.29,0.76,1.76,,,,,28.29,34.77,0.51,131.86,,0.0,,741.52,
2024-04-10,53.19,102.48,2.32,16.16,10.47,37.87,14.17,1.36,94.6,0.56,0.92,,,,,28.55,36.58,0.34,176.96,,0.0,,741.55,
2024-04-11,67.48,127.7,1.96,14.85,9.5,44.08,15.64,1.38,94.38,0.71,1.09,,,,,28.38,38.2,0.36,158.77,,0.0,,741.82,
2024-04-12,49.15,105.67,1.97,16.12,9.71,43.15,17.03,1.27,78.94,0.59,1.24,,,,,29.37,38.22,0.38,177.59,,0.0,,741.57,
2024-04-13,41.11,113.89,1.89,12.36,8.11,43.83,14.17,1.13,86.26,0.49,0.86,,,,,28.89,41.59,0.56,170.61,,0.0,,741.52,
2024-04-14,28.23,83.54,1.69,10.5,6.39,36.95,14.57,0.98,66.91,0.3,0.72,,,,,26.92,50.05,0.57,136.46,,0.0,,741.89,
2024-04-15,49.58,107.71,2.14,19.11,11.9,42.99,16.15,1.27,75.03,0.42,1.16,,,,,28.21,48.54,0.48,78.73,,0.0,,742.0,
2024-04-16,44.31,110.04,2.06,15.17,9.75,41.34,19.5,1.23,68.01,0.52,1.15,,,,,29.34,43.21,0.9,63.94,,0.0,,741.41,
2024-04-17,13.25,95.62,1.55,7.81,5.41,23.26,9.91,0.73,82.5,0.15,0.56,,,,,28.73,36.62,1.19,48.4,,0.0,,741.01,
2024-04-18,22.66,105.44,1.24,16.92,9.98,23.13,16.05,0.85,71.79,0.25,0.73,,,,,30.52,34.72,0.91,59.93,,0.0,,741.0,
2024-04-19,28.15,138.96,1.15,17.46,10.2,32.91,19.27,1.04,66.72,0.32,1.17,,,,,31.56,37.01,0.56,119.32,,0.0,,740.85,
2024-04-20,20.69,116.22,1.12,16.89,9.88,34.35,15.02,0.99,69.85,0.22,0.65,,,,,29.97,39.07,0.83,62.85,,0.0,,740.83,
2024-04-21,18.57,99.96,1.23,39.74,22.14,32.0,13.41,0.78,87.91,0.18,0.65,,,,,30.08,36.79,0.99,49.33,,0.0,,741.0,
2024-04-22,16.61,73.66,1.18,35.09,19.61,32.48,12.83,0.97,89.26,0.18,0.66,,,,,30.51,35.29,0.77,78.77,,0.0,,741.0,
2024-04-23,57.13,156.72,1.36,39.53,22.14,40.1,14.72,1.37,86.64,0.37,1.47,,,,,29.15,37.94,0.72,150.99,,0.0,,741.0,
2024-04-24,30.1,113.18,1.88,35.7,20.52,48.28,9.26,1.47,77.15,3.46,4.53,,,,,29.45,37.34,0.62,92.37,,0.0,,741.0,
2024-04-25,42.1,128.57,2.11,35.14,20.13,62.87,7.21,1.47,80.99,6.6,6.69,,,,,31.13,33.42,0.78,59.52,,0.0,,741.0,
2024-04-26,29.44,108.34,2.1,56.87,31.93,72.93,5.81,1.3,86.03,4.46,6.52,,,,,32.24,32.07,0.65,145.54,,0.0,,741.0,
2024-04-27,29.13,100.87,1.98,39.35,22.54,58.69,5.93,1.13,75.0,3.36,3.49,,,,,30.49,40.24,0.68,129.42,,0.0,,741.0,
2024-04-28,45.02,112.81,1.88,42.85,24.26,45.45,6.02,1.07,68.64,4.12,3.2,,,,,30.29,35.61,0.6,75.89,,0.0,,741.09,
2024-04-29,76.79,155.6,3.16,46.31,27.2,61.05,5.93,1.3,62.66,6.23,5.06,,,,,30.18,39.3,0.72,99.36,,0.0,,741.0,
2024-04-30,23.0,133.97,1.9,40.17,22.82,57.26,6.51,1.21,68.65,4.12,3.99,,,,,29.4,35.77,0.97,54.83,,0.0,,740.83,
2024-05-01,24.1,150.32,0.75,21.38,11.95,17.83,5.4,1.19,66.99,4.73,3.09,,,,,27.6,31.38,1.06,56.99,,0.0,,740.57,
2024-05-02,30.71,133.68,1.0,24.66,13.87,19.09,5.36,1.37,75.88,4.02,3.91,,,,,28.38,33.14,0.95,43.52,,0.0,,740.82,
2024-05-03,54.33,283.32,1.17,27.54,15.57,16.62,12.72,1.57,81.45,4.0,5.24,,,,,32.17,28.26,1.03,41.13,,0.0,,741.0,
2024-05-04,72.11,261.09,1.11,30.63,17.17,22.73,17.56,1.53,70.19,4.66,8.02,,,,,32.69,29.29,0.75,79.41,,0.0,,740.99,
2024-05-05,132.94,350.49,2.61,35.33,20.72,26.67,20.09,1.51,61.91,9.66,16.85,,,,,33.12,30.22,0.83,110.69,,0.0,,740.21,
2024-05-06,72.6,314.02,1.45,28.46,16.26,24.91,8.26,1.62,67.05,4.88,7.5,,,,,33.16,33.76,0.73,91.89,,0.0,,740.74,
2024-05-07,108.37,374.27,1.57,32.8,18.75,44.29,13.18,1.83,36.35,6.94,11.86,,,,,31.27,45.68,0.61,193.34,,0.0,,740.98,
2024-05-08,53.43,240.57,1.1,16.43,9.72,48.79,11.24,1.15,72.34,3.53,2.76,,,,,29.78,54.75,0.94,215.38,,0.0,,741.0,
2024-05-09,38.64,158.43,0.86,12.83,7.49,27.9,6.61,0.61,86.52,3.95,2.51,,,,,29.63,49.76,0.81,209.84,,0.0,,741.0,
2024-05-10,60.21,183.28,1.12,17.24,10.08,31.49,7.65,0.8,86.41,4.33,3.76,,,,,30.17,52.66,0.8,206.56,,0.0,,741.15,
2024-05-11,39.53,229.03,0.9,16.97,9.76,22.26,7.5,0.62,95.65,3.04,3.38,,,,,30.64,45.8,0.62,152.66,,0.0,,741.39,
2024-05-12,94.14,226.58,1.4,25.98,14.96,36.89,5.84,1.01,85.38,4.9,8.66,,,,,31.56,47.65,0.42,168.56,,0.0,,741.32,
2024-05-13,96.86,258.76,1.18,28.17,15.91,53.52,7.08,1.12,70.73,6.29,7.66,,,,,31.43,48.56,0.48,199.84,,0.0,,741.3,
2024-05-14,102.57,277.44,1.38,35.83,20.18,38.97,8.84,1.03,85.34,7.98,18.76,,,,,32.26,35.41,0.54,143.8,,0.0,,741.33,
2024-05-15,126.39,314.75,1.68,41.0,23.17,45.52,8.98,1.15,77.28,9.19,23.76,,,,,32.55,34.79,0.48,173.58,,0.0,,741.31,
2024-05-16,63.58,193.12,0.94,21.26,12.02,38.91,7.7,0.89,83.76,4.14,7.09,,,,,32.31,37.75,0.5,195.89,,0.0,,741.31,
2024-05-17,115.75,327.19,1.5,34.9,19.79,55.8,8.49,1.28,59.69,8.19,14.0,,,,,34.18,39.21,0.51,185.24,,0.0,,740.82,
2024-05-18,116.88,382.76,2.12,42.85,24.42,55.89,7.0,1.25,52.16,7.36,25.89,,,,,35.09,34.7,0.7,135.23,,0.0,,740.44,
2024-05-19,72.34,265.14,0.86,20.5,11.58,36.6,8.86,0.82,50.11,3.17,7.19,,,,,35.28,34.38,0.72,101.88,,0.0,,740.18,
2024-05-20,61.02,229.52,0.93,17.37,9.98,45.42,6.99,0.84,64.19,3.12,4.92,,,,,33.96,41.77,0.56,147.25,,0.0,,740.29,
2024-05-21,44.91,219.59,1.0,14.18,8.35,43.54,4.78,0.84,73.95,2.6,3.33,,,,,31.91,49.65,0.73,213.28,,0.0,,740.4,
2024-05-22,53.8,175.92,0.92,13.58,7.86,45.39,7.22,0.69,58.3,2.14,3.17,,,,,31.93,54.52,0.84,212.46,,0.0,,740.51,
2024-05-23,42.23,148.91,1.03,15.09,8.83,36.86,5.05,0.72,54.95,2.05,3.08,,,,,31.86,53.24,0.77,209.93,,0.0,,740.4,
2024-05-24,50.32,153.66,0.95,14.74,8.6,31.56,6.53,0.8,57.23,3.31,3.12,,,,,32.57,50.71,0.61,216.69,,0.0,,740.4,
2024-05-25,56.6,200.58,0.93,23.83,13.39,35.81,9.59,0.89,66.34,3.55,7.9,,,,,34.8,43.27,0.55,144.79,,0.0,,740.17,
2024-05-26,70.62,236.35,1.06,24.34,13.78,31.6,11.67,0.88,74.83,3.48,9.08,,,,,34.8,38.21,0.55,160.99,,0.0,,739.84,
