Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2021-01-01 00:00:00,215.20,430.04,9.47,11.52,13.83,14.93,13.47,2.71,NA,NA,NA,NA,NA,NA,NA,9.36,73.03,0.30,148.68,NA,0.00,24.59,741.16,NA
2021-01-02 00:00:00,162.93,335.77,9.22,11.80,13.78,14.83,16.93,1.90,NA,NA,NA,NA,NA,NA,NA,13.99,62.48,0.30,146.46,NA,0.00,21.11,741.07,NA
2021-01-03 00:00:00,84.92,168.30,9.26,8.03,11.80,14.22,12.98,1.14,NA,NA,NA,NA,NA,NA,NA,16.19,70.33,0.30,140.97,1.86,13.00,20.66,741.00,NA
2021-01-04 00:00:00,52.01,102.70,9.26,9.12,12.38,13.15,14.66,1.28,NA,NA,NA,NA,NA,NA,NA,20.70,65.40,0.30,137.67,NA,0.00,28.36,741.03,NA
2021-01-05 00:00:00,58.33,105.36,9.13,7.89,11.62,12.07,19.94,1.19,NA,NA,NA,NA,NA,NA,NA,19.81,68.22,0.30,143.61,1.00,1.00,20.73,741.03,NA
2021-01-06 00:00:00,44.31,90.31,9.16,8.76,12.11,11.77,15.23,1.36,NA,NA,NA,NA,NA,NA,NA,20.13,70.50,0.30,158.06,6.60,33.00,29.55,741.00,NA
2021-01-07 00:00:00,65.40,133.04,9.16,6.73,11.03,11.77,7.46,1.00,NA,NA,NA,NA,NA,NA,NA,17.78,73.80,0.30,278.54,NA,0.00,31.77,741.00,NA
2021-01-08 00:00:00,81.56,186.88,9.08,7.67,11.46,11.60,9.62,1.12,NA,NA,NA,NA,NA,NA,NA,17.02,66.72,0.30,217.18,NA,0.00,33.70,741.00,NA
2021-01-09 00:00:00,109.12,240.46,9.24,7.63,11.57,12.47,13.65,1.23,NA,NA,NA,NA,NA,NA,NA,17.91,67.73,0.30,268.96,NA,0.00,29.82,741.00,NA
2021-01-10 00:00:00,90.79,204.27,9.29,6.37,10.94,11.90,8.02,1.04,NA,NA,NA,NA,NA,NA,NA,11.90,75.68,0.30,279.08,NA,0.00,17.29,741.00,NA
2021-01-11 00:00:00,86.45,180.18,9.04,7.09,11.12,11.49,9.20,1.10,NA,NA,NA,NA,NA,NA,NA,11.16,71.94,0.30,285.57,NA,0.00,26.70,741.00,NA
2021-01-12 00:00:00,98.46,217.73,9.01,7.27,11.19,11.66,8.24,1.17,NA,NA,NA,NA,NA,NA,NA,9.42,71.72,0.30,189.52,NA,0.00,32.01,741.00,NA
2021-01-13 00:00:00,112.41,246.09,9.01,8.89,12.06,11.69,12.96,1.41,NA,NA,NA,NA,NA,NA,NA,11.81,66.85,0.30,275.29,NA,0.00,34.59,741.00,NA
2021-01-14 00:00:00,216.24,423.08,9.12,10.65,13.07,12.97,11.62,1.83,NA,NA,NA,NA,NA,NA,NA,11.65,71.04,0.30,183.02,NA,0.00,30.83,741.00,NA
2021-01-15 00:00:00,229.54,449.53,11.58,5.77,12.48,12.36,13.24,2.40,NA,NA,NA,NA,NA,NA,NA,14.66,70.24,0.30,164.34,NA,0.00,27.52,741.00,NA
2021-01-16 00:00:00,134.45,270.92,11.77,3.05,11.06,11.12,14.44,1.98,NA,NA,NA,NA,NA,NA,NA,11.30,78.39,0.30,236.25,NA,0.00,30.08,741.00,NA
2021-01-17 00:00:00,112.00,225.32,10.91,3.52,10.74,11.31,9.96,1.34,NA,NA,NA,NA,NA,NA,NA,11.94,78.01,0.30,142.93,NA,0.00,28.04,741.00,NA
2021-01-18 00:00:00,198.05,348.04,11.82,4.43,11.76,11.50,13.46,1.94,NA,NA,NA,NA,NA,NA,NA,14.99,66.11,0.30,124.43,NA,0.00,37.66,741.00,NA
