Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2018-01-01 00:00:00,437.65,580.99,131.05,105.96,185.42,109.5,11.99,3.95,31.79,2.37,16.78,7.34,,,,12.04,90.11,0.4,155.73,0.0,0.0,28.53,746.22,
2018-01-02 00:00:00,373.55,590.23,22.3,109.25,80.48,90.38,8.99,2.08,34.11,2.07,11.38,3.17,,,,11.03,88.13,0.67,178.08,0.0,0.0,30.2,746.89,
2018-01-03 00:00:00,295.1,462.29,45.09,105.01,95.85,76.62,9.27,2.22,32.0,1.56,9.92,3.41,,,,11.85,82.09,0.82,104.48,0.0,0.0,41.65,747.36,
2018-01-04 00:00:00,278.88,393.15,34.79,83.89,77.17,76.08,8.24,2.19,35.28,1.53,7.7,2.81,,,,10.54,87.42,0.57,202.18,0.0,0.0,41.4,747.47,
2018-01-05 00:00:00,252.6,354.73,18.63,64.41,54.12,68.59,8.47,1.57,30.62,1.35,6.28,1.52,,,,10.26,85.2,0.48,274.63,0.0,0.0,39.93,747.13,
2018-01-06 00:00:00,258.86,355.98,49.13,91.32,89.31,68.95,11.57,2.49,39.75,1.82,13.09,4.66,,,,11.58,75.95,0.6,185.75,0.0,0.0,42.66,745.87,
2018-01-07 00:00:00,239.17,373.33,40.55,96.58,87.42,69.31,13.67,1.88,38.39,1.25,7.84,3.21,,,,13.18,69.32,1.13,67.89,0.0,0.0,48.77,746.76,
2018-01-08 00:00:00,222.53,402.24,76.63,111.47,123.83,64.18,16.09,2.4,38.02,1.38,8.36,3.89,,,,14.08,61.18,0.88,114.45,0.0,0.0,51.18,748.67,
2018-01-09 00:00:00,287.41,464.14,91.25,114.73,137.43,73.51,23.63,2.32,43.59,1.67,9.77,4.73,,,,14.46,63.87,0.87,90.83,0.0,0.0,55.43,750.54,
2018-01-10 00:00:00,228.72,361.38,18.28,106.82,68.35,57.79,27.97,1.57,24.11,0.95,7.28,3.31,,,,18.45,47.28,1.61,75.74,0.0,0.0,60.72,749.65,
2018-01-11 00:00:00,186.76,356.3,17.75,94.14,68.52,61.49,21.37,1.45,44.03,0.83,5.59,2.21,,,,15.43,59.46,1.59,70.72,0.0,0.0,48.67,748.93,
2018-01-12 00:00:00,246.64,424.5,89.33,119.56,137.62,67.12,27.6,2.6,51.2,1.42,10.4,4.71,,,,15.85,58.44,1.08,112.7,0.0,0.0,43.42,748.11,
2018-01-13 00:00:00,301.17,525.66,159.56,122.71,263.89,77.33,25.32,3.53,51.35,1.8,15.13,8.27,,,,15.4,61.3,0.68,97.86,0.0,0.0,48.33,748.41,
2018-01-14 00:00:00,266.1,409.93,95.2,114.34,139.22,71.36,23.1,2.42,52.2,1.23,8.48,4.46,,,,15.57,58.95,0.74,106.51,0.0,0.0,50.28,748.3,
2018-01-15 00:00:00,251.86,422.53,77.81,103.18,117.2,74.82,23.95,1.94,53.47,1.14,9.24,4.3,,,,15.32,63.31,1.2,99.01,0.0,0.0,48.4,748.36,
2018-01-16 00:00:00,168.3,329.17,26.28,95.8,76.22,53.67,18.18,1.22,65.27,0.72,6.65,2.45,,,,16.06,54.05,1.11,99.21,0.0,0.0,54.92,745.98,
2018-01-17 00:00:00,279.43,416.93,25.8,82.67,68.71,84.23,16.41,2.0,43.16,1.08,8.55,2.79,,,,12.82,80.57,0.48,273.93,0.0,0.0,42.66,747.29,
2018-01-18 00:00:00,394.12,481.85,77.46,111.91,118.32,98.65,16.9,3.16,47.04,2.08,15.55,6.8,,,,14.57,80.94,0.43,245.43,0.0,0.0,43.92,747.59,
2018-01-19 00:00:00,387.49,496.52,108.59,129.28,157.05,85.74,19.61,2.9,37.08,1.63,15.1,7.32,,,,17.16,70.3,0.92,87.62,0.0,0.0,44.26,748.27,
2018-01-20 00:00:00,260.84,387.69,46.09,102.09,91.77,57.67,20.1,1.72,43.43,0.89,7.82,3.05,,,,15.56,63.54,1.24,88.97,0.0,0.0,50.56,747.44,
2018-01-21 00:00:00,227.37,424.16,85.42,105.58,125.61,61.69,17.43,1.83,48.44,3.0,18.45,11.65,,,,15.19,63.69,0.55,196.12,0.0,0.0,51.62,746.84,
2018-01-22 00:00:00,257.43,431.6,86.89,72.12,120.59,72.6,19.98,2.15,56.29,,,,,,,15.4,70.39,0.49,249.34,0.0,0.0,48.7,745.44,
2018-01-23 00:00:00,213.85,309.92,7.11,58.9,37.1,70.45,16.35,1.19,35.08,,,,,,,13.15,78.27,1.08,225.88,0.0,0.0,17.13,743.3,
2018-01-24 00:00:00,193.15,269.77,31.62,67.01,61.35,61.35,16.16,1.33,31.7,,,,,,,13.1,81.24,1.07,122.91,0.0,0.0,44.23,745.71,
2018-01-25 00:00:00,165.64,247.93,28.05,60.85,55.18,57.13,11.93,1.35,19.81,,,,,,,13.06,84.1,1.44,76.55,0.0,0.0,53.57,745.21,
2018-01-26 00:00:00,206.32,302.02,41.46,65.97,68.8,64.99,10.4,1.76,25.77,,,,,,,12.71,84.23,0.96,104.27,0.0,0.0,44.96,746.02,
2018-01-27 00:00:00,225.04,360.5,43.77,77.11,76.61,56.46,11.94,1.76,35.25,,,,,,,12.92,75.79,0.92,100.21,0.0,0.0,49.73,746.16,
2018-01-28 00:00:00,183.25,297.0,64.27,72.93,91.05,59.8,13.01,1.78,33.55,,,,,,,14.12,69.71,0.87,125.24,0.0,0.0,60.02,746.82,
2018-01-29 00:00:00,205.82,355.45,90.23,74.4,116.7,65.63,18.54,2.12,30.24,,,,,,,15.21,67.28,1.18,79.19,0.0,0.0,62.28,748.3,
2018-01-30 00:00:00,136.05,298.88,12.52,68.73,46.73,56.23,21.55,1.24,36.87,,,,,,,18.59,53.7,1.98,78.48,0.0,0.0,62.62,747.52,
2018-01-31 00:00:00,156.71,319.52,13.75,59.9,43.04,59.08,19.73,1.36,39.84,,,,,,,18.28,59.68,2.03,75.17,0.0,0.0,60.33,746.43,
2018-02-01 00:00:00,155.88,329.53,44.39,99.01,88.76,52.13,34.48,1.72,35.11,,,,,,,20.03,53.69,1.21,93.34,0.0,0.0,57.24,746.8,
2018-02-02 00:00:00,157.15,332.39,52.9,84.08,87.73,64.87,24.78,1.58,35.33,,,,,,,19.12,61.92,1.08,106.46,0.0,0.0,57.21,744.92,
2018-02-03 00:00:00,115.13,257.82,23.79,80.46,62.14,52.86,31.08,1.11,38.35,,,,,,,18.07,52.62,1.11,90.4,0.0,0.0,60.18,747.52,
2018-02-04 00:00:00,136.4,281.66,21.5,72.31,55.93,52.29,21.87,1.06,44.49,,,,,,,16.88,54.12,1.5,72.53,0.0,0.0,67.66,747.94,
2018-02-05 00:00:00,172.34,352.34,67.13,96.1,105.69,53.54,27.64,1.71,29.02,,,,,,,16.3,49.08,1.01,106.09,0.0,0.0,45.43,750.23,
2018-02-06 00:00:00,139.68,313.56,40.1,85.21,77.93,55.09,30.77,1.43,28.37,,,,,,,17.13,49.78,1.56,95.55,0.0,0.0,38.69,750.0,
2018-02-07 00:00:00,125.45,272.18,35.39,75.46,68.92,47.64,23.68,1.26,46.04,,,,,,,16.74,48.94,1.53,83.25,0.0,0.0,66.83,747.03,
2018-02-08 00:00:00,190.49,403.19,163.24,101.9,190.07,61.05,24.25,2.54,30.02,,,,,,,15.96,55.19,0.83,103.55,0.0,0.0,51.87,746.13,
2018-02-09 00:00:00,209.79,408.1,129.14,102.28,159.39,65.42,30.77,2.37,36.31,,,,,,,16.39,56.78,0.92,113.88,0.0,0.0,56.46,746.24,
2018-02-10 00:00:00,244.03,472.39,138.97,111.51,175.37,70.21,30.49,3.55,47.47,,,,,,,17.52,51.76,0.62,185.49,0.0,0.0,53.64,748.6,
2018-02-11 00:00:00,145.36,327.58,51.63,58.36,73.02,62.04,40.54,1.44,59.24,,,,,,,18.25,50.25,0.9,244.88,0.0,0.0,50.15,748.03,
2018-02-12 00:00:00,81.27,169.08,4.64,20.02,14.37,51.33,15.79,0.64,33.08,,,,,,,15.44,75.9,1.48,271.3,0.0,0.0,30.9,750.3,
2018-02-13 00:00:00,120.76,208.56,34.32,53.23,56.22,61.86,17.43,1.21,26.83,,,,,,,16.35,77.1,0.98,128.05,0.0,0.0,55.15,754.52,
2018-02-14 00:00:00,73.39,174.38,4.77,36.07,23.07,40.76,14.62,0.54,35.06,,,,,,,16.86,61.65,1.95,85.31,0.0,0.0,62.88,754.09,
2018-02-15 00:00:00,84.41,184.34,7.29,41.91,28.02,42.34,17.46,0.8,40.11,,,,,,,17.81,62.53,1.87,85.73,0.0,0.0,62.62,751.91,
2018-02-16 00:00:00,145.52,273.62,25.77,66.82,56.5,51.15,22.4,1.22,33.01,,,,,,,18.49,66.81,1.37,78.11,0.0,0.0,55.52,750.52,
2018-02-17 00:00:00,133.05,278.87,25.96,68.82,57.71,48.27,23.34,1.17,32.71,,,,,,,19.25,63.31,1.47,74.8,0.0,0.0,57.25,745.33,
2018-02-18 00:00:00,123.92,244.98,40.75,62.19,66.21,45.59,19.26,1.12,41.26,,,,,,,19.41,57.78,1.16,99.59,0.0,0.0,64.83,744.62,
2018-02-19 00:00:00,169.32,380.12,154.79,92.32,174.95,48.7,26.27,2.47,37.27,,,,,,,19.21,55.99,0.85,149.15,0.0,0.0,60.82,746.17,
2018-02-20 00:00:00,173.0,393.02,110.29,85.96,135.4,55.83,27.38,2.25,40.96,,,,,,,20.73,54.85,0.95,109.65,0.0,0.0,62.6,745.6,
2018-02-21 00:00:00,205.29,482.82,95.63,84.77,122.84,69.8,43.92,2.68,54.3,,,,,,,22.38,55.9,0.54,256.28,0.0,0.0,54.44,743.53,
