Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2018-01-01 00:00:00,200.58,,28.41,45.81,47.46,,12.48,1.37,9.46,0.04,0.09,0.03,,,,16.39,91.77,0.27,275.23,0.0,0.0,42.19,749.81,-0.33
2018-01-02 00:00:00,173.45,,15.41,41.0,34.33,,8.42,1.36,9.14,0.04,0.15,0.08,,,,16.24,91.2,0.49,302.96,0.0,0.0,40.56,749.81,-0.31
2018-01-03 00:00:00,174.93,,13.49,40.45,32.47,,8.89,1.29,9.63,0.03,0.11,0.04,,,,16.86,89.67,0.38,305.77,0.0,0.0,36.92,749.81,-0.3
2018-01-04 00:00:00,267.31,,15.54,49.48,38.95,,13.74,1.45,9.14,0.03,0.12,0.05,,,,18.3,83.37,0.27,298.87,0.0,0.0,81.27,749.82,-0.24
2018-01-05 00:00:00,245.38,,19.5,44.51,39.52,,11.61,1.55,8.48,0.0,0.0,0.0,,,,15.94,90.81,0.27,304.98,0.0,0.0,54.59,749.83,-0.3
2018-01-06 00:00:00,164.33,,12.74,40.32,31.81,,9.46,1.22,10.13,0.0,0.0,0.0,,,,16.03,89.34,0.27,311.94,0.0,0.0,40.37,749.82,-0.32
2018-01-07 00:00:00,195.87,,12.66,39.67,31.38,,8.0,1.08,11.89,0.0,0.0,0.0,,,,16.46,88.95,0.27,316.34,0.0,0.0,52.57,749.85,-0.28
2018-01-08 00:00:00,335.75,,25.95,54.52,50.09,,9.95,2.06,6.41,0.05,0.18,0.06,,,,16.79,85.13,0.27,281.89,0.0,0.0,91.82,749.86,-0.39
2018-01-09 00:00:00,274.31,,25.49,41.54,42.8,,4.18,1.83,6.91,0.03,0.33,1.02,,,,14.97,92.74,0.27,323.93,0.0,0.0,29.95,749.87,-0.3
2018-01-10 00:00:00,170.89,,21.29,37.27,37.03,,8.6,1.34,13.82,0.0,0.48,2.07,,,,14.83,93.16,0.28,324.29,0.0,0.0,31.44,749.93,-0.3
2018-01-11 00:00:00,216.57,,17.15,40.29,36.61,,6.55,1.75,13.5,0.0,0.41,0.53,,,,15.93,93.85,0.27,322.83,0.0,0.0,27.46,749.97,-0.35
2018-01-12 00:00:00,289.24,,27.89,50.56,49.45,,19.43,2.12,11.15,0.14,0.0,2.06,,,,15.34,86.42,0.27,295.72,0.0,0.0,63.89,749.83,-0.28
2018-01-13 00:00:00,297.5,,45.5,40.44,59.9,,9.83,2.49,7.06,0.21,0.05,0.01,,,,10.27,90.8,0.27,324.99,0.0,0.0,41.32,749.81,-0.19
2018-01-14 00:00:00,243.13,,21.13,42.57,41.28,,9.26,2.08,9.66,0.09,0.0,0.0,,,,10.68,92.5,0.27,292.3,0.0,0.0,23.07,749.82,-0.34
2018-01-15 00:00:00,281.13,,38.11,41.45,53.03,,14.53,1.27,14.5,0.13,0.02,0.0,,,,12.79,90.37,0.27,335.07,0.0,0.0,51.88,749.87,-0.33
2018-01-16 00:00:00,205.29,,23.07,41.47,40.71,,6.83,0.9,23.07,0.11,0.0,0.0,,,,12.26,91.75,0.27,297.69,0.0,0.0,56.43,749.89,-0.26
2018-01-17 00:00:00,,,,,,,,,,,,,,,,,,,,,0.0,,,
2018-01-18 00:00:00,193.17,,37.01,75.37,45.78,,12.96,1.02,42.56,0.4,0.0,0.0,,,,13.76,88.61,0.3,193.93,0.0,0.0,82.52,750.0,-0.35
2018-01-19 00:00:00,180.59,,24.01,78.44,39.44,,19.07,1.23,41.13,0.4,0.0,0.0,,,,12.82,92.37,0.3,301.44,0.01,0.5,45.64,750.0,-0.22
2018-01-20 00:00:00,180.33,,10.19,73.15,28.42,,19.75,1.98,44.28,0.37,0.0,0.0,,,,14.48,90.32,0.3,330.16,0.0,0.0,70.56,750.0,-0.32
2018-01-21 00:00:00,176.54,,24.08,70.13,36.99,,27.75,2.21,39.45,0.18,0.0,0.0,,,,14.85,89.45,0.3,319.81,0.0,0.0,84.78,750.0,-0.17
2018-01-22 00:00:00,215.36,,38.42,72.72,47.6,,28.8,2.52,41.31,0.14,0.09,0.18,,,,14.73,88.61,0.3,334.09,0.0,0.0,87.91,750.0,-0.17
2018-01-23 00:00:00,280.49,,95.29,81.44,89.02,,25.05,2.99,41.57,0.06,0.02,0.0,,,,16.4,88.44,0.3,308.2,0.0,0.0,92.29,750.0,-0.28
2018-01-24 00:00:00,220.61,,20.56,79.91,41.0,,26.37,2.08,44.52,0.03,0.02,0.0,,,,19.64,84.51,0.32,215.18,0.0,0.0,94.48,750.0,-0.26
2018-01-25 00:00:00,141.47,,9.95,86.43,32.33,,24.67,1.56,44.75,0.04,0.01,0.0,,,,19.88,81.87,0.7,301.69,0.0,0.0,105.48,750.0,-0.32
2018-01-26 00:00:00,156.23,,8.67,76.99,28.46,,17.02,1.67,41.18,0.02,0.0,0.0,,,,15.88,91.97,0.3,310.36,0.0,0.0,38.55,750.0,-0.26
2018-01-27 00:00:00,204.25,,11.74,102.72,36.82,,32.28,2.01,43.24,0.15,0.09,0.01,,,,18.69,80.81,0.3,275.02,0.0,0.0,110.77,750.0,-0.16
2018-01-28 00:00:00,230.39,,13.12,70.52,29.65,,25.33,2.06,38.02,0.02,0.01,0.0,,,,16.17,86.29,0.3,311.43,0.0,0.0,106.2,750.0,-0.26
2018-01-29 00:00:00,223.98,,21.02,85.41,39.37,,22.53,2.14,43.61,0.03,0.0,0.0,,,,16.91,86.06,0.3,256.63,0.0,0.0,96.82,750.0,-0.26
2018-01-30 00:00:00,222.2,,17.33,86.44,37.14,,26.64,2.2,41.36,0.04,0.01,0.0,,,,16.83,86.38,0.3,271.49,0.0,0.0,96.74,750.0,-0.12
2018-01-31 00:00:00,249.95,,36.8,75.67,47.35,,30.18,2.46,40.74,0.02,0.02,0.0,,,,17.14,88.36,0.3,194.26,0.0,0.0,89.09,750.0,-0.29
2018-02-01 00:00:00,331.06,,30.86,96.2,49.26,,32.04,1.73,28.33,0.02,0.0,0.0,,,,20.4,84.65,0.3,207.33,0.0,0.0,101.58,750.0,-0.34
2018-02-02 00:00:00,228.66,,26.31,114.93,51.65,,50.23,1.38,15.27,0.14,1.01,0.91,,,,21.45,85.16,0.3,240.87,0.01,0.5,104.55,750.0,-0.32
2018-02-03 00:00:00,255.82,,43.11,105.52,60.4,,41.26,1.41,18.43,0.53,2.51,2.1,,,,20.84,87.0,0.3,215.01,0.0,0.0,80.82,750.0,-0.21
2018-02-04 00:00:00,219.3,,33.42,108.92,54.71,,37.68,0.89,35.27,0.47,1.77,1.16,,,,22.6,76.76,0.88,147.16,0.0,0.0,109.33,750.0,-0.24
2018-02-05 00:00:00,177.31,,13.83,116.47,43.59,,41.22,0.6,34.58,0.66,3.1,1.9,,,,22.9,71.49,0.6,121.34,0.0,0.0,128.76,750.0,-0.27
2018-02-06 00:00:00,183.95,,11.97,121.99,43.4,,46.34,0.71,34.28,0.72,3.23,1.87,,,,21.78,71.76,0.65,145.11,0.0,0.0,118.75,750.0,-0.29
2018-02-07 00:00:00,132.92,,9.78,103.41,36.99,,41.75,0.56,34.16,0.62,3.04,1.58,,,,21.31,70.43,1.08,282.2,0.0,0.0,96.93,750.0,-0.29
2018-02-08 00:00:00,126.52,,10.01,106.54,38.03,,37.29,0.55,35.26,0.57,3.01,1.52,,,,21.36,68.72,1.32,192.93,0.0,0.0,130.69,750.0,-0.29
2018-02-09 00:00:00,102.07,,9.9,115.19,40.47,,41.75,0.45,35.81,0.55,2.94,1.7,,,,22.4,60.4,1.24,137.77,0.0,0.0,122.01,750.0,-0.29
2018-02-10 00:00:00,126.12,,17.04,116.91,45.91,,37.19,0.64,36.28,0.63,3.88,2.83,,,,20.72,63.02,1.1,196.44,0.0,0.0,109.61,750.0,-0.25
2018-02-11 00:00:00,163.04,,26.27,118.41,52.62,,48.97,0.71,36.79,0.81,4.89,4.13,,,,22.41,66.01,0.31,147.33,0.0,0.0,128.8,750.0,-0.29
2018-02-12 00:00:00,244.79,,34.56,129.75,61.61,,47.86,1.11,36.55,0.97,6.57,6.29,,,,22.01,75.56,0.3,208.96,0.0,0.0,50.08,750.0,-0.27
2018-02-13 00:00:00,223.12,,29.72,104.11,50.82,,32.04,0.86,36.54,0.88,5.12,4.47,,,,22.08,90.75,0.3,273.01,0.0,0.0,55.13,750.0,-0.36
2018-02-14 00:00:00,93.09,,12.62,79.42,31.86,,34.52,0.47,33.23,3.29,15.16,15.84,,,,25.63,77.95,1.47,228.24,0.0,0.0,159.79,750.0,-0.31
2018-02-15 00:00:00,93.25,,9.23,92.35,33.31,,44.97,1.1,39.34,6.15,28.51,11.74,,,,24.01,72.4,0.71,190.94,0.0,0.0,164.18,750.0,-0.32
2018-02-16 00:00:00,135.09,,9.83,89.43,32.88,,7.11,1.83,62.33,6.76,28.19,10.33,,,,25.35,74.62,0.57,207.84,0.0,0.0,146.67,750.0,-0.31
2018-02-17 00:00:00,144.19,,9.69,74.04,28.38,,11.15,1.86,66.41,6.09,29.11,11.83,,,,26.36,76.22,0.57,287.89,0.0,0.0,148.52,750.0,-0.32
2018-02-18 00:00:00,138.42,,30.73,83.87,45.56,,40.04,1.97,54.38,5.53,28.33,14.58,,,,26.79,74.35,0.74,316.31,0.0,0.0,153.43,750.0,-0.3
2018-02-19 00:00:00,163.96,,49.3,94.41,61.5,,28.71,2.16,50.01,5.98,38.1,25.48,,,,27.48,72.45,0.32,240.89,0.0,0.0,139.31,750.0,-0.25
2018-02-20 00:00:00,150.88,,29.94,93.64,47.96,,71.64,1.99,58.95,5.65,36.25,23.13,,,,27.55,68.71,0.32,183.29,0.0,0.0,159.53,750.0,-0.21
2018-02-21 00:00:00,166.29,,26.35,92.29,44.55,,81.87,2.08,63.93,5.63,34.7,24.24,,,,27.38,67.25,0.34,103.77,0.0,0.0,162.08,750.0,-0.14
2018-02-22 00:00:00,206.11,,21.58,101.83,44.61,,43.61,2.22,46.76,5.82,37.6,24.93,,,,28.34,73.74,0.3,145.51,0.0,0.0,132.85,750.0,-0.25
2018-02-23 00:00:00,171.61,,10.2,82.46,31.16,,34.79,1.98,74.53,5.46,35.99,23.64,,,,30.55,73.33,0.3,220.69,0.0,0.0,145.93,750.0,-0.26
2018-02-24 00:00:00,144.59,,9.12,62.24,24.18,,29.3,1.85,79.73,5.15,26.72,13.18,,,,30.1,77.12,0.71,230.93,0.0,0.0,139.11,750.0,-0.29
2018-02-25 00:00:00,120.66,,24.9,66.41,36.52,,21.74,1.9,59.29,4.6,23.94,14.23,,,,30.29,79.98,0.31,239.24,0.0,0.0,126.35,750.0,-0.22
2018-02-26 00:00:00,160.47,,14.16,86.32,34.93,,23.07,1.74,41.52,5.17,29.1,13.8,,,,30.49,76.63,0.92,230.85,0.0,0.0,138.88,750.0,-0.25
2018-02-27 00:00:00,117.36,,12.5,72.11,29.64,,20.5,1.67,42.11,4.83,33.06,18.4,,,,28.57,79.63,0.3,176.6,0.0,0.0,140.43,750.0,-0.28
2018-02-28 00:00:00,149.29,,19.77,72.85,34.83,,21.44,1.98,56.98,5.17,31.99,18.52,,,,29.65,79.37,0.3,143.68,0.0,0.0,112.92,750.0,-0.29
2018-03-01 00:00:00,137.58,,11.31,75.08,29.74,,19.59,1.84,58.72,4.84,28.26,12.89,,,,30.68,73.64,0.94,164.84,0.0,0.0,152.02,750.0,-0.23
2018-03-02 00:00:00,163.0,,17.44,64.24,30.73,,25.58,1.84,65.6,4.76,25.49,13.83,,,,30.14,69.96,0.77,173.04,0.0,0.0,146.91,750.0,-0.3
2018-03-03 00:00:00,81.62,,9.57,55.62,22.58,,14.41,1.55,68.01,3.87,17.3,5.98,,,,30.84,66.42,1.74,196.11,0.0,0.0,161.78,750.0,-0.29
