Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2018-01-01 00:00:00,200.58,NA,28.41,45.81,47.46,NA,12.48,1.37,9.46,0.04,0.09,0.03,NA,NA,NA,16.39,91.77,0.27,275.23,0.00,0.00,42.19,749.81,-0.33
2018-01-02 00:00:00,173.45,NA,15.41,41.00,34.33,NA,8.42,1.36,9.14,0.04,0.15,0.08,NA,NA,NA,16.24,91.20,0.49,302.96,0.00,0.00,40.56,749.81,-0.31
2018-01-03 00:00:00,174.93,NA,13.49,40.45,32.47,NA,8.89,1.29,9.63,0.03,0.11,0.04,NA,NA,NA,16.86,89.67,0.38,305.77,0.00,0.00,36.92,749.81,-0.30
2018-01-04 00:00:00,267.31,NA,15.54,49.48,38.95,NA,13.74,1.45,9.14,0.03,0.12,0.05,NA,NA,NA,18.30,83.37,0.27,298.87,0.00,0.00,81.27,749.82,-0.24
2018-01-05 00:00:00,245.38,NA,19.50,44.51,39.52,NA,11.61,1.55,8.48,0.00,0.00,0.00,NA,NA,NA,15.94,90.81,0.27,304.98,0.00,0.00,54.59,749.83,-0.30
2018-01-06 00:00:00,164.33,NA,12.74,40.32,31.81,NA,9.46,1.22,10.13,0.00,0.00,0.00,NA,NA,NA,16.03,89.34,0.27,311.94,0.00,0.00,40.37,749.82,-0.32
2018-01-07 00:00:00,195.87,NA,12.66,39.67,31.38,NA,8.00,1.08,11.89,0.00,0.00,0.00,NA,NA,NA,16.46,88.95,0.27,316.34,0.00,0.00,52.57,749.85,-0.28
2018-01-08 00:00:00,335.75,NA,25.95,54.52,50.09,NA,9.95,2.06,6.41,0.05,0.18,0.06,NA,NA,NA,16.79,85.13,0.27,281.89,0.00,0.00,91.82,749.86,-0.39
2018-01-09 00:00:00,274.31,NA,25.49,41.54,42.80,NA,4.18,1.83,6.91,0.03,0.33,1.02,NA,NA,NA,14.97,92.74,0.27,323.93,0.00,0.00,29.95,749.87,-0.30
2018-01-10 00:00:00,170.89,NA,21.29,37.27,37.03,NA,8.60,1.34,13.82,0.00,0.48,2.07,NA,NA,NA,14.83,93.16,0.28,324.29,0.00,0.00,31.44,749.93,-0.30
2018-01-11 00:00:00,216.57,NA,17.15,40.29,36.61,NA,6.55,1.75,13.50,0.00,0.41,0.53,NA,NA,NA,15.93,93.85,0.27,322.83,0.00,0.00,27.46,749.97,-0.35
2018-01-12 00:00:00,289.24,NA,27.89,50.56,49.45,NA,19.43,2.12,11.15,0.14,0.00,2.06,NA,NA,NA,15.34,86.42,0.27,295.72,0.00,0.00,63.89,749.83,-0.28
2018-01-13 00:00:00,297.50,NA,45.50,40.44,59.90,NA,9.83,2.49,7.06,0.21,0.05,0.01,NA,NA,NA,10.27,90.80,0.27,324.99,0.00,0.00,41.32,749.81,-0.19
2018-01-14 00:00:00,243.13,NA,21.13,42.57,41.28,NA,9.26,2.08,9.66,0.09,0.00,0.00,NA,NA,NA,10.68,92.50,0.27,292.30,0.00,0.00,23.07,749.82,-0.34
2018-01-15 00:00:00,281.13,NA,38.11,41.45,53.03,NA,14.53,1.27,14.50,0.13,0.02,0.00,NA,NA,NA,12.79,90.37,0.27,335.07,0.00,0.00,51.88,749.87,-0.33
2018-01-16 00:00:00,205.29,NA,23.07,41.47,40.71,NA,6.83,0.90,23.07,0.11,0.00,0.00,NA,NA,NA,12.26,91.75,0.27,297.69,0.00,0.00,56.43,749.89,-0.26
2018-01-17 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2018-01-18 00:00:00,193.17,NA,37.01,75.37,45.78,NA,12.96,1.02,42.56,0.40,0.00,0.00,NA,NA,NA,13.76,88.61,0.30,193.93,0.00,0.00,82.52,750.00,-0.35
2018-01-19 00:00:00,180.59,NA,24.01,78.44,39.44,NA,19.07,1.23,41.13,0.40,0.00,0.00,NA,NA,NA,12.82,92.37,0.30,301.44,0.01,0.50,45.64,750.00,-0.22
2018-01-20 00:00:00,180.33,NA,10.19,73.15,28.42,NA,19.75,1.98,44.28,0.37,0.00,0.00,NA,NA,NA,14.48,90.32,0.30,330.16,0.00,0.00,70.56,750.00,-0.32
2018-01-21 00:00:00,176.54,NA,24.08,70.13,36.99,NA,27.75,2.21,39.45,0.18,0.00,0.00,NA,NA,NA,14.85,89.45,0.30,319.81,0.00,0.00,84.78,750.00,-0.17
2018-01-22 00:00:00,215.36,NA,38.42,72.72,47.60,NA,28.80,2.52,41.31,0.14,0.09,0.18,NA,NA,NA,14.73,88.61,0.30,334.09,0.00,0.00,87.91,750.00,-0.17
