Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2022-01-01 00:00:00,64.16,107.82,7.66,57.96,37.06,34.01,2.29,NA,13.54,0.69,18.79,1.78,NA,0.94,3.28,25.36,77.49,0.51,292.32,0.00,0.00,200.32,NA,NA
2022-01-02 00:00:00,80.12,130.57,8.41,72.18,45.23,29.26,2.55,9.13,NA,0.52,32.25,3.18,NA,1.68,5.62,25.36,77.49,0.46,285.84,0.00,0.00,202.26,NA,NA
2022-01-03 00:00:00,87.93,145.99,15.26,55.50,41.93,27.47,2.26,NA,18.53,0.79,20.12,2.10,NA,1.06,3.72,25.80,77.82,0.40,297.93,0.00,0.00,203.58,NA,NA
2022-01-04 00:00:00,109.14,177.41,20.16,67.91,52.52,26.22,2.31,NA,12.94,1.06,22.04,2.46,NA,1.26,4.13,25.51,77.68,0.35,284.75,0.00,0.00,202.25,NA,NA
2022-01-05 00:00:00,114.84,184.84,17.70,76.62,54.53,32.63,2.26,0.00,8.59,1.24,24.02,2.57,NA,1.46,4.51,49.00,77.46,0.40,263.87,0.00,0.00,198.31,NA,NA
2022-01-06 00:00:00,123.53,208.36,25.84,82.43,64.57,32.67,2.38,NA,8.31,1.41,22.53,2.87,NA,1.51,4.82,NA,77.40,0.40,241.11,0.00,0.00,199.86,NA,NA
2022-01-07 00:00:00,119.16,199.49,20.05,92.94,64.77,36.76,2.80,0.02,6.27,1.22,28.76,3.81,NA,2.00,6.50,NA,77.82,0.38,237.02,0.00,0.00,199.78,NA,NA
2022-01-08 00:00:00,96.93,176.03,22.02,83.10,62.10,37.08,2.92,0.00,39.51,1.01,22.49,2.47,NA,1.36,4.20,21.43,78.03,0.35,226.53,0.00,0.00,337.19,NA,NA
2022-01-09 00:00:00,88.93,153.70,19.80,92.19,65.14,41.48,2.85,0.02,56.51,0.91,30.28,3.58,NA,1.94,5.83,21.77,77.45,0.34,247.20,0.00,0.00,482.58,NA,NA
2022-01-10 00:00:00,86.15,149.72,24.84,79.82,62.65,39.82,2.79,0.00,59.54,1.02,21.30,2.20,NA,1.28,3.97,21.56,77.28,0.45,242.21,0.00,0.00,476.84,NA,NA
2022-01-11 00:00:00,114.83,198.25,23.48,60.06,51.04,43.46,2.81,0.00,65.57,1.47,10.30,0.44,NA,0.49,1.24,20.92,83.28,0.41,235.65,0.00,0.00,316.94,NA,NA
2022-01-12 00:00:00,120.54,193.08,15.08,55.30,41.68,47.53,2.32,0.00,57.13,1.59,12.67,0.38,NA,0.58,1.49,NA,92.88,0.46,193.22,0.00,0.00,18.95,NA,NA
2022-01-13 00:00:00,68.37,116.30,13.35,53.67,39.11,35.53,2.44,0.00,67.23,0.88,13.70,0.98,NA,0.65,2.52,NA,93.83,0.45,241.64,0.00,0.00,NA,NA,NA
2022-01-14 00:00:00,104.34,166.84,21.54,57.74,48.22,26.99,2.69,NA,71.68,1.28,12.59,0.81,NA,0.75,2.60,NA,94.81,NA,NA,0.00,0.00,NA,NA,NA
2022-01-15 00:00:00,104.01,165.92,15.20,64.20,46.35,24.06,3.04,0.00,72.88,1.06,11.56,0.60,NA,0.62,2.22,NA,94.08,0.44,283.72,0.00,0.00,NA,NA,NA
2022-01-16 00:00:00,82.62,NA,4.25,63.56,37.20,20.88,2.70,NA,82.33,0.75,11.44,0.42,NA,0.53,2.10,NA,93.76,0.37,270.03,0.00,0.00,NA,NA,NA
2022-01-17 00:00:00,102.73,162.72,5.94,54.05,33.58,26.31,2.55,NA,85.15,0.89,8.94,0.37,NA,0.41,1.50,NA,93.29,0.52,256.47,0.00,0.00,NA,NA,NA
2022-01-18 00:00:00,89.89,143.95,7.25,48.33,30.75,32.18,2.34,0.02,NA,1.16,9.85,0.42,NA,0.50,1.70,NA,93.01,0.44,272.77,0.00,0.00,NA,NA,NA
2022-01-19 00:00:00,85.74,136.55,8.58,48.23,32.52,32.17,2.26,NA,35.23,1.03,10.15,0.62,NA,0.50,1.73,NA,92.90,0.46,272.40,0.00,0.00,NA,NA,NA
2022-01-20 00:00:00,104.74,178.28,9.11,49.52,33.75,37.71,2.32,0.00,44.82,1.18,11.15,0.64,NA,0.57,1.96,NA,92.80,0.43,254.17,0.00,0.00,NA,NA,NA
2022-01-21 00:00:00,145.32,246.72,24.08,54.44,47.43,34.87,3.12,0.00,61.86,1.80,11.61,0.76,NA,1.01,2.34,NA,92.66,0.46,173.73,0.00,0.00,NA,NA,NA
2022-01-22 00:00:00,141.20,239.67,21.98,51.49,44.55,33.56,3.41,NA,73.50,2.08,11.74,1.17,NA,1.02,2.66,NA,92.28,0.44,157.82,0.00,0.00,NA,NA,NA
2022-01-23 00:00:00,91.00,158.80,4.08,43.77,26.60,27.42,3.25,NA,55.54,1.40,12.02,0.76,NA,0.77,2.24,NA,92.25,0.53,111.01,0.00,0.00,NA,NA,NA
2022-01-24 00:00:00,109.74,185.71,15.81,48.91,38.87,27.07,3.47,NA,68.87,1.55,10.58,0.92,NA,0.75,2.10,NA,92.19,0.47,128.34,0.00,0.00,NA,NA,NA
2022-01-25 00:00:00,94.78,174.32,12.13,53.71,38.42,30.42,3.17,NA,53.18,1.15,11.41,0.72,NA,0.70,2.16,15.74,89.16,0.48,198.64,0.00,0.00,12.48,NA,NA
2022-01-26 00:00:00,85.07,139.56,2.88,52.00,30.01,31.02,2.73,NA,52.67,0.76,11.31,0.77,NA,0.57,2.02,16.05,NA,0.49,263.39,0.00,0.00,69.97,NA,NA
2022-01-27 00:00:00,71.18,123.85,2.11,57.15,32.04,28.14,2.42,NA,73.65,0.64,13.02,0.86,NA,0.66,2.32,11.45,45.50,0.59,238.42,0.00,0.00,123.27,NA,NA
2022-01-28 00:00:00,133.38,213.92,15.18,57.19,42.77,26.83,3.20,NA,54.47,1.18,10.78,1.11,NA,0.60,1.91,7.11,NA,0.44,238.03,0.00,0.00,100.06,NA,NA
2022-01-29 00:00:00,123.72,198.04,14.72,58.28,42.96,21.81,2.77,NA,58.60,1.20,11.02,1.11,NA,0.62,1.94,9.89,NA,0.44,239.42,0.00,0.00,163.14,NA,NA
2022-01-30 00:00:00,121.42,182.67,5.28,52.87,32.41,20.44,2.75,NA,45.32,1.25,10.35,0.80,NA,0.61,1.84,3.08,NA,0.46,226.14,0.00,0.00,123.65,NA,NA
2022-01-31 00:00:00,208.86,341.81,50.34,66.17,75.45,25.82,3.87,NA,58.11,2.15,12.82,1.21,NA,1.10,2.73,13.46,NA,0.43,153.76,0.00,0.00,211.81,NA,NA
2022-02-01 00:00:00,165.99,265.89,18.07,52.28,42.50,35.82,3.04,NA,49.18,1.96,11.46,1.15,NA,0.84,2.37,12.15,NA,0.48,194.14,0.00,0.00,192.42,NA,NA
2022-02-02 00:00:00,117.24,188.70,7.74,45.07,30.02,31.12,3.22,NA,64.76,1.29,9.51,0.85,NA,0.61,2.06,11.25,NA,0.51,133.86,0.00,0.00,205.66,NA,NA
2022-02-03 00:00:00,70.50,127.11,1.22,43.36,24.01,15.59,4.73,NA,82.68,NA,NA,NA,NA,NA,NA,14.62,NA,0.79,114.09,0.00,0.00,213.84,NA,NA
2022-02-04 00:00:00,32.02,60.47,1.29,39.16,20.73,8.34,4.25,NA,98.12,0.40,10.10,0.29,NA,0.35,1.52,11.59,NA,1.26,95.88,0.00,0.00,166.54,NA,NA
2022-02-05 00:00:00,42.40,68.63,12.23,51.60,33.77,11.10,2.97,NA,93.99,1.15,8.41,0.78,NA,0.41,1.40,9.09,NA,0.49,188.40,0.00,0.20,204.37,NA,NA
2022-02-06 00:00:00,86.89,133.11,15.39,56.01,42.17,5.74,2.87,NA,91.74,1.20,9.98,1.13,NA,0.57,1.97,7.83,NA,0.43,212.26,0.00,0.00,274.25,NA,NA
2022-02-07 00:00:00,109.15,161.69,32.17,61.24,57.74,8.24,3.03,NA,90.53,1.40,9.20,0.92,NA,0.61,1.88,11.70,18.00,0.43,212.85,0.00,0.20,250.39,NA,NA
