Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2022-01-01 00:00:00,139.51,222.45,8.86,65.65,42.13,44.36,5.52,0.68,7.34,1.65,11.56,2.37,NA,2.01,5.76,24.31,NA,0.34,132.37,0.00,0.00,22.72,NA,NA
2022-01-02 00:00:00,132.23,195.58,4.31,57.57,33.94,42.58,5.22,2.35,10.39,1.47,9.67,2.00,NA,1.72,5.33,23.73,NA,0.30,165.49,0.00,0.00,21.25,NA,NA
2022-01-03 00:00:00,91.66,143.61,3.76,42.11,25.45,38.16,4.44,0.92,10.99,1.31,9.18,2.10,NA,1.83,5.94,23.25,NA,0.30,155.03,0.00,0.00,16.37,NA,NA
2022-01-04 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2022-01-05 00:00:00,178.52,334.75,23.11,107.60,76.03,75.88,5.71,0.51,6.06,2.47,7.95,2.13,NA,1.73,5.27,23.98,98.00,0.45,131.88,0.00,0.00,41.12,NA,NA
2022-01-06 00:00:00,181.24,321.22,20.22,104.74,72.15,83.63,5.39,1.68,6.29,3.30,12.33,4.39,NA,6.83,3.73,25.04,95.94,0.32,140.98,0.00,0.00,33.97,NA,NA
2022-01-07 00:00:00,107.08,175.46,NA,NA,NA,NA,3.91,0.46,6.38,1.34,13.51,5.61,NA,11.60,NA,25.49,98.00,0.32,128.76,0.00,0.00,35.51,NA,NA
2022-01-08 00:00:00,71.53,124.53,NA,NA,NA,NA,4.51,0.00,7.37,0.39,10.59,5.94,NA,12.23,NA,25.67,98.83,0.37,153.06,0.00,0.00,43.34,NA,NA
2022-01-09 00:00:00,91.98,159.92,NA,NA,NA,NA,4.66,0.00,4.93,0.27,12.76,5.87,NA,11.97,NA,25.23,NA,0.33,180.53,0.00,0.00,34.51,NA,NA
2022-01-10 00:00:00,130.82,231.81,23.70,69.25,56.10,0.55,4.84,0.00,7.74,0.33,10.61,5.63,NA,14.21,NA,25.94,95.38,0.36,171.07,0.00,0.00,40.07,NA,NA
2022-01-11 00:00:00,132.35,225.28,5.90,52.50,39.01,69.00,3.45,0.22,10.23,1.49,11.18,4.61,NA,6.80,4.94,26.11,89.09,0.39,175.56,0.00,0.00,45.07,NA,NA
2022-01-12 00:00:00,106.49,165.20,5.91,29.59,21.45,33.56,1.89,1.01,15.45,1.78,6.45,1.95,NA,2.25,4.62,22.62,78.61,0.42,194.04,0.00,0.00,35.75,NA,NA
2022-01-13 00:00:00,87.24,116.07,1.59,21.43,12.69,28.15,1.59,0.70,35.04,1.24,4.08,1.03,NA,0.92,3.64,19.23,68.89,0.37,137.96,0.00,0.00,51.93,NA,NA
2022-01-14 00:00:00,140.45,194.95,1.40,28.09,16.06,29.65,2.05,0.94,40.64,1.66,4.23,1.02,NA,0.92,3.45,17.51,65.23,0.41,171.03,0.00,0.00,45.88,NA,NA
2022-01-15 00:00:00,118.23,191.01,2.06,27.01,15.80,30.30,1.59,1.07,31.29,1.63,3.40,0.73,NA,0.70,2.78,14.60,73.16,0.41,153.78,0.00,0.00,55.17,NA,NA
2022-01-16 00:00:00,148.63,220.64,2.29,26.65,15.99,10.83,0.59,1.00,22.86,1.62,7.14,2.41,NA,2.07,6.54,10.57,81.52,0.41,154.95,0.00,0.00,36.16,NA,NA
2022-01-17 00:00:00,77.34,111.43,2.16,21.06,12.96,NA,1.28,0.84,12.70,1.27,7.03,2.96,NA,2.42,8.30,7.89,90.75,0.39,137.16,0.00,0.00,21.75,NA,NA
2022-01-18 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2022-01-19 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2022-01-20 00:00:00,292.23,451.38,26.71,49.84,45.93,NA,1.65,2.27,6.35,NA,NA,NA,NA,NA,NA,11.99,84.05,0.20,169.73,0.00,0.00,11.14,NA,NA
2022-01-21 00:00:00,256.64,370.58,44.79,47.71,61.79,70.85,2.78,2.26,11.45,4.22,17.47,4.49,NA,3.70,9.98,12.47,84.38,0.33,143.32,0.00,0.00,35.25,NA,NA
2022-01-22 00:00:00,245.64,325.84,18.64,46.49,39.88,69.64,1.87,1.58,12.04,2.94,8.41,2.02,NA,1.85,5.26,16.29,82.18,NA,NA,0.01,0.80,40.11,NA,NA
2022-01-23 00:00:00,169.45,NA,4.13,38.27,23.71,63.05,2.56,1.07,21.14,2.00,4.99,1.10,NA,1.08,3.58,19.16,79.60,NA,NA,0.00,0.00,40.54,NA,NA
2022-01-24 00:00:00,137.70,244.21,7.57,40.36,27.56,NA,3.13,1.17,21.44,1.88,5.65,1.27,NA,1.18,3.80,20.02,75.22,0.17,205.18,0.00,0.00,45.05,NA,NA
2022-01-25 00:00:00,129.96,168.62,3.94,31.55,19.99,NA,2.63,0.95,21.81,1.67,5.22,1.07,NA,0.99,3.50,19.02,80.68,0.37,171.53,0.00,0.00,40.40,NA,NA
2022-01-26 00:00:00,106.78,170.13,3.42,30.96,19.21,NA,1.98,0.94,38.50,1.44,3.89,0.86,NA,0.83,3.01,17.93,65.92,0.42,137.05,0.00,0.00,52.00,NA,NA
2022-01-27 00:00:00,132.73,209.87,3.17,31.09,19.11,NA,1.88,1.13,32.12,1.81,5.21,1.05,NA,1.01,3.58,12.37,75.43,0.44,131.75,0.00,0.00,46.09,NA,NA
2022-01-28 00:00:00,128.71,203.51,4.70,31.92,20.81,54.83,1.96,1.15,22.53,2.02,5.47,1.00,NA,0.99,3.42,12.71,76.73,0.43,130.55,0.00,0.00,38.47,NA,NA
2022-01-29 00:00:00,163.06,242.05,3.29,40.13,23.82,51.83,1.89,1.36,34.33,1.71,4.70,0.96,NA,0.96,3.40,15.21,74.50,0.39,151.84,0.00,0.00,58.14,NA,NA
2022-01-30 00:00:00,155.72,261.82,5.64,34.01,22.68,46.36,2.01,1.26,15.53,NA,NA,NA,NA,NA,NA,9.98,87.23,0.33,141.41,0.00,0.20,23.45,NA,NA
2022-01-31 00:00:00,193.56,326.09,24.05,50.08,45.78,52.16,2.73,1.91,21.25,4.91,18.47,4.37,NA,3.58,9.41,12.52,82.58,0.29,166.22,0.00,0.00,47.38,NA,NA
2022-02-01 00:00:00,177.81,275.51,15.51,38.63,32.37,58.24,1.88,1.66,4.22,2.97,7.98,1.88,NA,1.65,4.94,12.04,88.26,0.39,128.01,0.02,1.50,33.29,NA,NA
2022-02-02 00:00:00,147.17,228.64,13.52,31.24,27.61,58.40,1.39,1.42,3.50,2.65,7.18,1.60,NA,1.40,4.50,12.04,89.24,0.36,197.01,0.00,0.00,32.13,NA,NA
2022-02-03 00:00:00,120.00,189.61,4.24,30.80,19.79,54.65,1.83,0.86,30.56,1.90,5.48,1.19,NA,1.07,3.73,18.26,72.47,0.80,215.00,0.00,0.10,55.56,NA,NA
2022-02-04 00:00:00,33.50,48.62,2.28,18.03,10.67,39.01,1.59,0.66,57.27,0.98,4.51,1.05,NA,0.91,3.48,17.21,77.49,0.97,135.14,0.00,0.00,39.16,NA,NA
2022-02-05 00:00:00,68.07,94.37,1.64,23.39,13.78,37.36,1.61,0.56,58.35,1.66,4.39,1.06,NA,0.92,3.37,16.95,72.05,0.48,117.96,0.00,0.00,65.27,NA,NA
2022-02-06 00:00:00,96.57,136.91,6.11,26.78,19.22,28.71,1.28,0.89,37.09,1.54,4.46,1.00,NA,0.91,3.24,13.89,79.85,0.34,123.45,0.00,0.00,50.61,NA,NA
2022-02-07 00:00:00,108.40,153.34,6.59,30.88,21.78,31.62,2.29,0.78,29.51,1.78,5.68,1.06,NA,1.00,3.53,13.57,82.21,0.27,177.40,0.00,0.00,42.19,NA,NA
2022-02-08 00:00:00,124.33,185.62,12.41,32.43,27.12,33.54,1.20,1.09,29.61,2.07,6.53,1.37,NA,1.26,4.07,13.11,83.00,0.34,156.07,0.00,0.00,46.96,NA,NA
2022-02-09 00:00:00,179.91,248.45,14.25,39.79,32.37,39.95,2.83,1.19,24.32,2.35,7.61,1.63,NA,1.39,4.61,17.87,76.01,0.40,194.69,0.00,0.00,58.66,NA,NA
2022-02-10 00:00:00,106.67,147.06,8.31,36.94,26.40,40.62,1.21,0.73,39.83,1.58,5.33,1.23,NA,1.06,3.76,21.98,68.85,0.39,141.43,0.00,0.10,65.02,NA,NA
2022-02-11 00:00:00,101.22,141.92,6.22,41.05,26.71,38.03,2.30,0.91,37.79,1.34,4.66,1.12,NA,1.03,3.60,19.57,62.54,0.50,111.47,0.00,0.00,52.56,NA,NA
2022-02-12 00:00:00,138.25,196.98,9.08,49.08,33.50,38.69,1.72,0.90,36.85,1.74,5.56,1.27,NA,1.16,3.88,19.39,62.15,0.37,119.64,0.00,0.00,61.65,NA,NA
2022-02-13 00:00:00,198.48,245.60,15.26,45.50,36.61,42.27,1.21,1.12,35.14,1.97,6.43,2.65,NA,2.34,5.31,20.04,65.81,0.31,134.56,0.00,0.00,61.48,NA,NA
2022-02-14 00:00:00,152.93,233.12,9.09,47.55,32.56,44.86,1.59,1.21,31.30,1.99,6.50,1.66,NA,1.51,4.60,21.58,59.92,0.32,130.08,0.00,0.00,72.25,NA,NA
2022-02-15 00:00:00,138.07,218.51,2.97,33.57,19.47,46.89,2.16,1.17,43.87,1.68,5.31,1.29,NA,1.22,3.75,26.79,53.18,0.39,142.12,0.00,0.00,85.55,NA,NA
2022-02-16 00:00:00,139.89,212.04,6.58,37.82,24.94,40.15,2.36,0.99,34.19,1.89,5.07,1.26,NA,1.14,3.79,23.09,62.22,0.37,120.83,0.00,0.00,55.91,NA,NA
2022-02-17 00:00:00,155.25,240.48,4.69,47.43,28.91,39.48,1.80,1.12,33.75,1.70,8.30,2.32,NA,2.05,6.32,23.13,62.22,0.45,121.13,0.00,0.00,62.08,NA,NA
2022-02-18 00:00:00,154.70,242.19,7.14,42.21,28.20,40.95,2.01,0.91,32.17,1.72,6.35,1.82,NA,1.60,4.92,22.88,57.66,0.38,156.12,0.00,0.00,63.83,NA,NA
2022-02-19 00:00:00,129.56,205.82,10.34,52.35,36.14,38.58,1.85,0.84,28.44,1.89,6.60,1.86,NA,1.61,5.11,23.61,54.14,0.50,118.60,0.00,0.00,66.25,NA,NA
2022-02-20 00:00:00,77.83,163.60,3.42,35.89,21.64,30.51,2.83,0.74,41.92,1.38,4.73,1.29,NA,1.15,4.04,22.54,51.32,0.61,127.31,0.00,0.00,66.36,NA,NA
2022-02-21 00:00:00,67.21,122.03,2.35,31.54,18.66,43.42,1.93,0.69,38.15,1.41,5.58,1.31,NA,1.22,4.23,21.51,58.56,0.35,164.86,0.00,0.00,68.38,NA,NA
2022-02-22 00:00:00,132.61,205.22,1.84,33.89,19.49,44.75,2.07,0.88,26.43,1.85,6.47,1.38,NA,1.32,4.26,21.40,67.88,0.50,248.01,0.00,0.20,63.15,NA,NA
2022-02-23 00:00:00,111.16,184.61,3.40,38.36,23.17,40.12,2.45,0.84,30.72,2.02,8.08,1.87,NA,2.14,5.33,24.30,60.97,0.51,205.40,0.00,0.00,69.47,NA,NA
