Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2022-01-01 00:00:00,123.75,152.83,2.36,59.16,33.33,35.02,7.15,NA,36.57,0.82,19.48,1.88,NA,1.13,3.75,15.14,83.77,0.71,344.09,0.00,0.00,19.30,NA,NA
2022-01-02 00:00:00,120.14,152.23,2.27,51.77,29.38,37.95,4.72,NA,41.75,0.80,20.06,1.81,NA,1.31,3.71,14.74,79.69,0.65,314.49,0.00,0.00,33.43,NA,NA
2022-01-03 00:00:00,233.87,305.46,5.02,75.82,44.41,46.10,5.18,NA,37.99,1.47,22.73,2.78,NA,3.11,6.26,14.36,81.67,0.60,319.35,0.00,0.00,30.76,NA,NA
2022-01-04 00:00:00,237.31,317.25,6.57,78.30,46.99,51.40,5.10,NA,30.17,1.75,23.22,2.68,NA,2.06,5.49,13.68,83.84,0.58,300.30,0.00,0.00,22.98,NA,NA
2022-01-05 00:00:00,219.55,332.01,5.40,80.29,47.10,52.23,4.51,NA,31.29,1.82,22.56,2.36,NA,1.78,5.00,12.00,87.47,0.51,194.56,0.00,0.00,20.47,NA,NA
2022-01-06 00:00:00,196.08,292.62,3.97,84.97,48.42,48.49,20.66,1.93,40.26,1.69,20.69,2.37,NA,1.65,4.96,15.68,77.29,0.72,163.64,0.00,0.00,33.29,NA,NA
2022-01-07 00:00:00,228.93,315.51,3.35,105.76,58.28,54.08,3.85,0.45,40.83,1.74,25.64,2.60,NA,1.92,5.32,19.19,72.03,0.64,102.63,0.00,0.00,28.86,NA,NA
2022-01-08 00:00:00,135.71,187.93,7.30,86.39,51.88,40.47,3.47,0.00,38.34,1.17,24.05,2.59,NA,1.72,5.27,21.24,70.14,0.72,130.52,0.00,0.00,30.22,NA,NA
2022-01-09 00:00:00,163.53,210.96,6.87,88.32,52.56,43.50,4.87,0.00,37.15,1.27,23.63,2.26,NA,1.60,4.63,22.24,71.43,0.71,132.41,0.00,0.00,32.54,NA,NA
2022-01-10 00:00:00,179.75,234.98,6.99,83.14,49.91,44.06,3.17,0.00,33.94,1.27,21.72,2.83,NA,1.83,5.84,22.99,70.07,0.67,144.32,0.00,0.00,32.69,NA,NA
2022-01-11 00:00:00,227.47,283.60,10.24,91.32,56.90,47.83,49.75,0.00,31.06,1.64,17.15,2.39,NA,1.64,4.88,23.13,72.07,0.60,196.20,0.00,0.00,25.08,NA,NA
2022-01-12 00:00:00,114.38,143.62,6.99,76.93,46.61,42.96,126.95,0.77,29.02,1.11,17.38,2.17,NA,1.39,4.37,21.33,80.26,0.71,126.62,0.00,0.00,24.27,NA,NA
2022-01-13 00:00:00,105.08,153.21,7.00,57.04,36.04,30.06,138.10,0.15,35.83,0.98,16.52,2.06,NA,1.30,4.24,19.41,64.56,0.72,231.57,0.00,0.00,32.17,NA,NA
2022-01-14 00:00:00,114.63,180.73,4.33,56.25,33.45,32.03,132.71,3.96,35.05,1.01,16.53,2.13,NA,1.42,4.38,18.08,67.20,0.66,157.35,0.00,0.00,31.21,NA,NA
2022-01-15 00:00:00,122.91,181.94,2.25,45.95,26.26,32.09,132.85,0.59,58.65,0.84,14.02,1.65,NA,1.08,3.52,18.76,61.68,0.86,247.11,0.01,0.50,34.17,NA,NA
2022-01-16 00:00:00,128.39,189.18,2.07,42.31,24.19,31.65,131.32,0.00,69.26,0.66,12.88,1.13,NA,0.76,2.57,16.94,60.97,1.00,353.41,0.00,0.00,34.78,NA,NA
2022-01-17 00:00:00,174.18,226.24,3.39,50.79,27.38,34.42,135.34,0.00,37.30,0.94,12.83,0.67,NA,0.69,2.03,11.35,73.52,0.93,348.82,0.00,0.00,29.58,NA,NA
2022-01-18 00:00:00,215.28,297.19,5.09,58.09,34.57,34.00,105.70,0.00,39.29,1.13,12.25,1.35,NA,0.94,2.73,11.40,71.48,1.10,352.52,0.00,0.00,31.85,NA,NA
2022-01-19 00:00:00,209.71,312.66,3.55,45.59,27.15,30.10,10.16,0.00,39.42,1.18,12.54,1.07,NA,0.87,2.37,11.18,70.57,1.11,345.18,0.00,0.00,31.58,NA,NA
2022-01-20 00:00:00,223.88,320.28,3.62,51.02,30.08,31.32,9.95,0.00,35.26,1.33,13.95,1.46,NA,1.22,3.22,11.29,71.07,0.89,283.56,0.00,0.00,34.56,NA,NA
