Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01,44.82,244.33,2.67,24.39,15.15,10.77,6.19,1.01,18.39,0.84,3.26,0.04,,2.5,0.22,11.59,92.73,1.35,191.77,0.0,0.0,34.34,,
2024-01-02,53.35,279.72,2.7,24.4,15.17,11.98,7.22,0.94,16.24,1.14,5.87,0.1,,4.79,0.16,14.99,83.62,1.28,119.49,0.0,0.0,42.91,,
2024-01-03,51.65,260.53,2.68,24.41,15.16,11.67,7.02,0.94,18.01,0.85,3.28,0.06,,2.82,0.14,16.91,82.2,1.52,94.19,0.0,0.0,40.89,,
2024-01-04,62.77,297.44,2.73,24.4,15.2,11.72,8.13,0.91,19.23,1.06,4.94,0.11,,4.03,0.1,17.28,85.68,1.39,150.85,0.0,0.0,40.6,,
2024-01-05,56.08,268.06,2.77,24.36,15.2,11.02,6.19,1.34,23.52,0.89,2.5,0.05,,1.85,0.13,16.71,90.87,1.42,225.26,0.01,0.0,38.04,,
2024-01-06,51.87,231.45,2.67,24.38,15.11,13.94,4.51,1.72,21.55,0.74,2.4,0.04,,1.79,0.13,17.83,91.72,1.33,227.08,0.0,0.0,36.12,,
2024-01-07,46.38,187.0,2.7,24.42,15.19,11.71,8.02,1.08,22.35,0.66,2.57,0.04,,1.96,0.1,17.24,91.78,1.21,234.29,0.0,0.0,32.49,,
2024-01-08,32.32,168.68,2.71,24.38,15.18,10.9,8.71,1.04,23.02,0.82,4.36,0.05,,3.64,0.1,17.7,86.34,1.3,219.11,0.0,0.0,42.19,,
2024-01-09,36.58,191.34,2.73,24.39,15.19,11.29,8.81,1.05,21.77,0.83,4.58,0.05,,3.66,0.11,17.99,85.58,1.34,216.59,0.0,0.0,42.21,,
2024-01-10,26.93,151.1,2.72,24.37,15.17,11.8,8.8,1.13,21.01,0.48,2.31,0.01,,1.88,0.1,18.57,79.24,1.7,236.88,0.0,0.0,42.4,,
2024-01-11,23.45,143.39,2.73,24.36,15.17,11.54,8.75,0.96,18.79,0.5,2.26,0.03,,1.59,0.1,16.58,74.82,1.85,241.39,0.0,0.0,43.23,,
2024-01-12,25.4,158.71,2.73,24.39,15.19,10.95,8.7,0.99,18.15,0.52,1.97,0.02,,1.3,0.14,14.58,78.03,1.46,173.68,0.0,0.0,44.23,,
2024-01-13,38.18,199.06,2.74,24.41,15.21,10.86,6.63,1.05,17.39,0.54,1.81,0.04,,0.89,0.1,13.51,83.61,1.72,239.07,0.0,0.0,41.26,,
2024-01-14,38.72,191.46,2.71,24.38,15.18,11.38,6.59,0.99,16.5,0.48,1.39,0.05,,0.6,,13.39,82.71,1.74,243.6,0.0,0.0,40.35,,
2024-01-15,35.1,185.51,2.75,24.39,15.21,11.03,6.6,0.93,16.94,0.5,1.41,0.05,,0.73,,12.73,82.41,1.63,225.94,0.0,0.0,40.78,,
2024-01-16,33.16,174.26,2.74,24.4,15.21,11.13,6.63,1.07,17.48,0.6,1.28,0.05,,0.59,0.3,11.63,91.25,1.67,185.99,0.0,0.0,38.62,,
2024-01-17,42.93,202.58,2.76,24.4,15.22,11.35,6.64,0.86,17.77,0.53,0.93,0.02,,0.42,,13.14,89.42,2.17,90.21,0.0,0.0,33.88,,
2024-01-18,37.52,174.81,2.77,24.39,15.23,11.38,6.51,0.99,18.87,0.54,0.91,0.05,,0.33,,12.78,92.41,1.75,187.17,0.0,0.0,31.98,,
2024-01-19,25.02,144.2,2.77,24.41,15.23,11.56,6.62,0.91,17.33,0.53,1.69,0.48,,0.57,2.97,13.19,82.06,1.52,186.24,0.0,0.0,40.23,,
2024-01-20,34.29,182.02,2.73,24.37,15.2,11.62,7.21,0.98,17.14,0.5,1.45,0.34,,0.34,1.06,12.95,85.38,1.55,251.92,0.0,0.0,41.91,,
2024-01-21,36.51,203.99,2.76,24.2,14.94,11.44,7.64,0.93,18.47,0.53,1.86,0.48,,0.44,1.33,11.67,88.31,1.55,204.85,0.0,0.0,34.38,,
2024-01-22,30.09,179.69,2.93,24.11,15.21,11.69,8.59,0.94,18.4,0.73,2.78,0.93,,0.78,2.15,11.14,90.53,1.53,144.38,0.0,0.0,39.09,,
2024-01-23,32.25,178.7,2.79,24.39,15.23,11.4,6.64,0.89,18.68,0.85,2.74,1.02,,0.8,2.13,10.89,92.88,1.52,193.29,0.0,0.0,36.36,,
2024-01-24,32.83,168.24,2.75,24.36,15.03,11.44,5.76,0.91,17.85,0.58,1.29,0.26,,0.3,0.69,12.02,89.55,1.59,223.68,0.0,0.0,37.85,,
2024-01-25,34.15,194.43,2.77,24.4,15.23,10.5,8.25,0.96,17.36,1.07,4.17,1.44,,1.24,3.3,12.38,84.34,1.59,234.27,0.0,0.0,41.06,,
2024-01-26,39.72,225.24,2.77,24.39,15.23,10.51,6.38,1.01,19.44,0.81,2.86,1.03,,0.81,2.29,13.96,81.58,1.32,184.65,0.0,0.0,43.46,,
