Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01,40.18,87.09,4.86,10.02,9.28,55.04,5.33,1.12,15.82,0.45,0.6,0.01,,0.12,0.05,13.76,96.62,0.35,204.32,0.0,0.0,93.99,756.98,
2024-01-02,97.62,154.7,7.34,12.5,12.59,56.49,4.82,1.48,15.97,0.75,0.92,0.02,,0.18,0.09,16.15,91.63,0.2,177.6,0.0,0.0,142.57,756.82,
2024-01-03,88.17,254.92,10.52,14.03,16.01,61.66,5.74,1.84,30.79,5.06,3.77,1.5,,13.88,1.24,17.37,95.38,0.18,165.55,0.0,0.0,90.52,756.66,
2024-01-04,116.32,329.38,38.67,23.48,42.95,54.76,4.75,1.64,10.16,4.14,4.61,0.18,,0.94,0.79,18.2,91.53,0.21,198.62,0.0,0.0,108.19,756.71,
2024-01-05,91.91,255.5,32.64,30.14,41.66,54.67,6.25,1.63,33.99,2.06,3.92,0.07,,0.16,0.02,18.54,96.79,0.34,219.93,0.0,0.0,94.91,756.83,
2024-01-06,87.18,208.53,22.32,33.89,35.88,60.93,4.86,1.76,21.26,2.12,3.84,0.05,,0.18,0.01,19.19,97.97,0.42,224.02,0.0,0.0,61.59,756.93,
2024-01-07,72.34,182.51,9.19,31.91,24.41,62.43,4.52,1.18,26.8,1.39,2.85,0.03,,0.17,0.01,18.2,99.11,0.5,248.57,0.0,0.0,64.87,757.12,
2024-01-08,81.4,224.36,9.02,27.57,21.59,47.92,5.07,1.38,18.53,1.56,4.22,0.03,,0.15,0.01,18.18,97.82,0.5,240.43,0.0,0.0,87.44,757.12,
2024-01-09,93.14,283.49,12.29,13.88,17.07,21.1,5.72,1.45,19.38,2.87,4.65,0.09,,0.71,0.64,18.79,91.04,0.42,208.54,0.0,0.0,131.13,756.89,
2024-01-10,78.09,245.43,4.01,11.02,9.12,17.22,5.87,1.27,3.46,5.62,3.32,0.12,,1.76,0.99,20.63,90.04,0.78,250.85,0.0,0.0,133.55,756.59,
2024-01-11,63.7,220.43,2.18,11.03,7.56,15.92,5.65,1.14,3.06,5.49,2.77,0.12,,1.49,0.8,16.36,96.92,0.85,263.27,0.0,0.0,69.11,757.02,
2024-01-12,80.44,247.4,11.09,12.67,15.59,16.61,5.75,1.54,5.68,6.82,3.61,0.23,,1.71,1.17,13.34,99.16,0.4,196.74,0.0,0.0,52.13,756.94,
2024-01-13,91.46,278.73,7.35,29.26,21.61,17.46,5.03,1.59,18.12,5.01,4.1,0.21,,1.41,1.1,13.91,99.1,0.51,251.96,0.0,0.0,43.69,756.84,
2024-01-14,55.44,138.21,3.85,30.21,19.2,31.46,5.31,1.44,13.69,2.31,2.72,0.14,,1.58,0.7,14.25,99.13,0.52,246.47,0.0,0.0,96.85,756.79,
2024-01-15,65.26,165.06,5.91,33.29,22.51,31.68,6.1,1.57,8.2,2.22,2.57,0.1,,1.51,0.55,15.35,99.17,0.42,163.33,0.0,0.0,79.82,756.67,
2024-01-16,70.19,248.21,6.02,29.88,20.78,31.39,5.14,1.35,8.09,2.03,2.55,0.09,,1.44,0.5,14.01,99.22,0.39,204.4,0.0,0.0,26.08,756.63,
2024-01-17,69.94,215.65,10.01,30.27,24.24,29.51,5.71,1.27,15.29,2.01,2.37,0.12,,1.51,0.7,14.43,99.16,0.29,119.45,0.0,0.0,34.86,756.61,
2024-01-18,83.05,266.21,12.91,32.06,26.35,30.09,4.09,1.5,44.33,2.71,3.29,0.18,,1.55,0.76,15.09,99.22,0.34,139.44,0.0,0.0,17.13,756.75,
2024-01-19,66.09,202.91,1.87,48.31,27.22,28.58,5.74,1.07,18.2,1.89,2.34,0.11,,1.53,0.54,16.83,96.34,0.52,219.24,0.0,0.0,80.72,757.06,
2024-01-20,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-01-21,91.74,355.53,30.31,30.53,40.88,21.59,5.18,1.71,4.79,3.01,2.97,0.37,,1.56,1.1,12.83,99.13,0.18,147.88,0.0,0.0,16.45,757.03,
2024-01-22,93.92,277.94,35.1,36.12,47.75,36.8,3.97,1.51,20.47,3.23,4.06,0.39,,1.56,1.17,15.18,96.35,0.35,218.33,0.0,0.0,95.45,757.27,
2024-01-23,66.31,234.39,6.02,39.69,24.66,50.36,5.54,1.17,15.84,2.24,1.65,0.15,,0.9,0.83,12.64,99.23,0.58,259.77,0.0,0.0,48.25,757.02,
2024-01-24,51.06,171.83,5.52,33.95,22.54,37.8,5.31,1.41,15.55,4.04,2.69,0.1,,0.04,0.69,12.19,99.31,0.39,220.41,0.0,0.0,28.58,757.16,
2024-01-25,75.11,230.04,5.7,33.0,21.68,36.04,5.41,1.36,21.05,5.89,2.68,0.13,,0.04,0.64,13.83,96.04,0.4,252.43,0.0,0.0,119.25,757.41,
2024-01-26,84.67,259.28,15.29,31.65,29.27,34.26,4.36,1.94,8.41,5.91,2.95,0.27,,0.06,0.99,12.39,98.9,0.25,169.53,0.0,0.0,110.74,757.5,
