Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2022-01-01 00:00:00,64.31,87.18,0.55,13.27,7.29,6.65,0.75,NA,22.67,2.06,8.32,0.13,NA,0.20,0.52,14.78,77.53,0.36,199.40,0.00,0.00,17.83,NA,NA
2022-01-02 00:00:00,41.81,59.38,0.43,14.94,8.17,5.44,1.00,NA,26.13,1.61,8.72,0.16,NA,0.20,0.46,15.58,77.96,0.36,205.79,0.00,0.00,18.54,NA,NA
2022-01-03 00:00:00,25.61,35.26,0.18,13.50,7.10,4.60,1.13,NA,22.66,1.43,8.63,0.10,NA,0.23,0.40,13.24,87.17,0.47,209.61,0.00,0.00,4.00,NA,NA
2022-01-04 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2022-01-05 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2022-01-06 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2022-01-07 00:00:00,79.14,114.06,28.50,20.96,57.86,10.39,0.95,NA,33.21,1.53,4.40,0.02,NA,0.11,0.20,21.63,57.61,0.44,227.30,0.00,0.00,45.20,NA,NA
2022-01-08 00:00:00,74.14,104.89,0.34,24.12,12.64,11.11,0.91,NA,11.76,1.59,7.46,0.06,NA,0.18,0.33,19.30,65.14,0.36,181.30,0.00,0.00,26.53,NA,NA
2022-01-09 00:00:00,65.00,86.57,8.97,17.21,23.75,5.95,1.23,NA,7.43,2.06,8.59,0.06,NA,0.27,0.60,17.40,71.66,0.35,183.11,0.00,0.00,29.51,NA,NA
2022-01-10 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2022-01-11 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2022-01-12 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2022-01-13 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2022-01-14 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2022-01-15 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2022-01-16 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2022-01-17 00:00:00,92.64,134.83,0.58,18.59,9.71,8.83,1.78,NA,17.04,2.20,8.75,0.05,NA,0.21,0.51,14.14,4.23,0.45,213.02,0.00,0.00,15.21,NA,NA
