Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01,96.11,192.22,1.91,15.89,9.89,13.16,35.56,0.56,14.41,0.11,0.17,0.0,,0.1,0.15,10.56,77.47,2.11,285.35,0.0,0.0,80.65,,
2024-01-02,92.77,185.69,1.86,15.88,9.81,13.04,33.04,0.49,24.3,0.13,0.33,0.0,,0.2,0.27,11.5,80.23,1.55,278.36,0.0,0.0,91.19,,
2024-01-03,85.71,171.46,2.01,15.76,9.81,13.05,38.18,0.36,21.93,0.14,0.4,0.0,,0.1,0.38,13.35,77.26,1.22,251.73,0.0,0.0,90.57,,
2024-01-04,91.47,182.89,2.0,15.84,9.87,13.12,33.67,0.51,21.73,0.11,0.32,0.0,,0.16,0.32,13.76,80.45,1.34,271.89,0.0,0.0,84.98,,
2024-01-05,101.19,202.26,1.52,14.91,9.14,12.15,21.92,0.54,21.21,0.12,0.33,0.0,,0.13,0.24,16.01,75.11,1.16,270.78,0.0,0.0,84.31,,
2024-01-06,120.29,240.53,1.82,10.42,7.0,9.3,21.32,0.4,18.61,0.12,0.25,0.0,,0.11,0.23,16.78,84.81,1.52,265.27,0.0,0.0,73.78,,
2024-01-07,92.41,184.82,1.82,6.4,4.8,6.39,33.08,0.38,16.99,0.1,0.2,0.0,,,0.19,15.61,87.62,1.9,281.03,0.0,0.0,74.54,,
2024-01-08,90.75,181.44,1.84,6.34,4.77,6.34,32.69,0.45,22.53,0.1,0.17,0.0,,,0.17,14.04,88.99,1.73,280.96,0.0,0.0,70.55,,
2024-01-09,65.64,131.34,1.85,6.3,4.84,6.44,29.88,0.34,35.66,0.1,0.23,0.0,,0.1,0.16,14.76,78.45,1.67,277.44,0.0,0.0,87.7,,
2024-01-10,96.47,192.97,1.84,6.26,4.75,6.31,31.26,0.45,32.99,0.1,0.21,0.0,,,0.17,14.91,74.71,1.96,266.4,0.0,0.0,87.07,,
2024-01-11,107.68,215.16,1.47,6.87,4.76,6.33,27.63,0.26,20.05,0.1,0.26,0.0,,0.1,0.12,12.36,78.95,2.19,292.01,0.0,0.0,80.95,,
2024-01-12,65.99,132.05,1.33,7.09,4.85,6.45,27.83,0.73,27.88,0.1,0.22,0.0,,,0.1,9.89,84.04,2.09,282.63,0.0,0.0,81.16,,
2024-01-13,97.94,195.91,1.47,7.13,4.95,6.57,18.13,1.18,13.21,0.11,0.2,0.0,,0.1,0.13,8.64,81.91,2.1,288.33,0.0,0.0,75.27,,
2024-01-14,104.14,208.21,1.2,7.12,4.76,6.33,25.24,1.09,13.4,0.13,0.23,0.0,,,0.12,9.27,84.85,2.01,280.99,0.0,0.0,78.34,,
2024-01-15,114.48,228.99,1.24,7.02,4.73,6.3,22.87,1.0,12.98,0.1,0.2,0.0,,,0.1,8.61,87.32,2.32,280.66,0.0,0.0,75.77,,
2024-01-16,117.77,235.48,1.33,7.09,4.85,6.45,25.19,1.3,12.47,0.1,0.2,0.0,,,0.12,9.12,85.64,2.23,289.75,0.0,0.0,72.33,,
2024-01-17,114.67,229.53,1.67,7.14,5.03,6.68,19.33,1.11,11.05,0.1,0.33,0.0,,0.1,0.22,10.73,80.02,1.75,50.98,0.0,0.0,74.68,,
2024-01-18,66.6,133.05,1.27,7.08,4.78,6.36,23.32,1.19,11.28,0.1,0.24,0.0,,0.1,0.16,9.97,89.49,1.43,161.93,0.0,0.0,66.92,,
2024-01-19,77.25,154.46,1.47,7.23,4.98,6.62,30.33,1.21,11.65,0.13,0.21,0.0,,0.1,0.17,11.78,83.04,1.49,258.96,0.0,0.0,70.2,,
2024-01-20,54.72,109.56,1.17,7.16,4.76,6.34,33.72,0.93,15.94,0.11,0.2,0.0,,,0.13,10.86,77.55,1.61,257.99,0.0,0.0,84.72,,
2024-01-21,72.04,144.08,1.2,7.11,4.72,6.28,29.22,1.01,12.08,0.1,0.16,0.0,,,0.14,8.67,81.33,2.41,279.67,0.0,0.0,70.89,,
2024-01-22,57.93,115.86,1.32,7.24,4.85,6.46,32.53,1.03,13.25,0.1,0.15,0.0,,,0.13,9.34,68.7,2.04,292.85,0.0,0.0,79.03,,
2024-01-23,58.13,116.24,1.18,7.21,4.78,6.36,28.69,1.19,12.24,0.1,0.21,0.0,,,0.13,7.45,89.07,2.47,276.88,0.0,0.0,76.19,,
2024-01-24,71.44,142.53,1.26,9.75,6.21,8.26,30.48,1.3,13.58,0.1,0.19,0.0,,,0.11,7.9,78.98,1.89,277.12,0.0,0.0,81.4,,
2024-01-25,79.01,158.2,1.28,12.6,7.72,10.28,30.79,2.59,11.51,0.12,0.27,0.0,,0.1,0.13,7.52,88.04,1.97,275.26,0.0,0.0,68.99,,
2024-01-26,77.95,155.82,1.38,6.89,4.69,6.24,29.5,2.13,11.28,0.17,0.36,0.0,,0.1,0.17,6.94,85.89,1.34,274.56,0.0,0.0,78.02,,
2024-01-27,99.43,199.16,1.35,7.05,4.84,6.43,29.53,2.92,13.47,0.19,0.4,0.0,,0.1,0.17,9.14,81.87,1.56,272.93,0.0,0.0,77.8,,
2024-01-28,89.08,178.13,1.31,7.0,4.78,6.35,38.79,1.91,12.16,0.16,0.4,0.0,,0.1,0.21,9.21,78.45,0.98,256.79,0.0,0.0,75.78,,
2024-01-29,84.97,170.0,1.4,6.96,4.77,6.34,27.89,2.34,11.0,0.16,0.42,0.0,,0.11,0.25,13.49,66.49,1.19,220.82,0.0,0.0,90.15,,
2024-01-30,113.86,227.74,1.3,6.93,4.73,6.29,32.42,4.37,11.26,0.14,0.48,0.0,,0.12,0.27,15.13,64.59,1.14,220.56,0.0,0.0,80.96,,
2024-01-31,100.65,201.39,1.32,6.98,4.72,6.28,28.33,1.83,12.65,0.17,0.5,0.0,,0.1,0.26,15.11,70.47,1.23,265.73,0.0,0.0,83.97,,
2024-02-01,118.62,237.38,1.49,6.97,4.79,6.36,33.72,2.96,16.71,0.21,0.64,0.0,,0.14,0.26,16.74,65.43,1.14,153.56,0.0,0.0,81.09,,
2024-02-02,84.29,168.45,1.32,6.99,4.71,6.27,27.34,2.37,14.07,0.12,0.26,0.0,,,0.11,15.82,68.36,1.73,267.7,0.0,0.0,81.44,,
2024-02-03,72.85,145.58,1.37,6.99,4.8,6.38,28.49,4.52,24.95,0.1,0.18,0.0,,,,15.05,57.05,2.21,278.02,0.0,0.0,75.89,,
2024-02-04,79.95,159.98,1.31,7.08,4.81,6.4,40.81,5.73,32.69,,,,,,,16.3,51.22,1.46,270.66,0.0,0.0,85.57,,
2024-02-05,47.97,95.75,1.39,6.96,4.75,6.32,29.53,3.32,15.62,0.08,0.25,0.0,,,0.15,15.36,85.96,1.58,267.45,0.02,0.02,69.73,,
2024-02-06,29.27,58.47,1.21,6.94,4.67,6.21,31.96,4.44,15.82,0.09,0.14,0.0,,,,15.1,88.54,2.07,275.23,0.0,0.0,74.83,,
2024-02-07,33.8,67.71,1.23,6.83,4.62,6.14,28.05,1.04,42.1,0.02,0.07,0.0,,,,14.26,62.86,2.59,279.66,0.0,0.0,93.46,,
2024-02-08,38.76,77.41,1.23,7.08,4.76,6.34,29.25,0.5,46.66,0.04,0.09,0.0,,,0.1,12.45,56.6,2.19,265.9,0.0,0.0,88.73,,
2024-02-09,56.53,113.04,1.44,7.03,4.81,6.4,28.74,0.04,49.72,0.05,0.16,0.0,,,0.1,13.95,49.36,1.58,274.04,0.0,0.0,94.65,,
2024-02-10,65.68,131.65,1.24,6.89,4.64,6.18,26.45,0.33,37.84,0.07,0.18,0.0,,,0.14,13.25,60.27,1.52,270.43,0.0,0.0,76.99,,
2024-02-11,70.74,141.59,1.31,6.97,4.75,6.31,30.06,0.37,19.84,0.07,0.27,0.0,,0.11,0.16,15.36,52.14,1.74,269.25,0.0,0.0,95.89,,
2024-02-12,96.56,193.24,1.44,6.77,4.71,6.26,31.19,0.41,11.02,0.11,0.34,0.0,,0.15,0.21,16.87,52.04,1.26,272.16,0.0,0.0,92.81,,
2024-02-13,93.87,187.44,1.28,6.98,4.74,6.32,31.2,0.38,10.8,0.12,0.59,0.0,,0.12,0.33,18.28,59.27,1.15,158.2,0.0,0.0,72.98,,
2024-02-14,53.03,106.03,1.33,6.96,4.68,6.22,26.66,0.46,10.29,0.1,0.51,0.0,,0.12,0.31,19.79,85.25,1.05,223.46,0.1,0.09,72.51,,
2024-02-15,38.65,77.24,1.4,6.98,4.81,6.39,25.48,0.61,11.35,0.1,0.32,0.0,,0.1,0.26,17.87,87.06,1.7,265.57,0.0,0.0,80.24,,
2024-02-16,42.49,85.02,1.28,7.01,4.77,6.34,33.53,0.55,10.98,0.03,0.23,0.0,,0.1,0.19,18.09,82.11,1.65,273.98,0.0,0.0,87.42,,
2024-02-17,58.33,116.57,1.4,6.95,4.72,6.34,32.56,0.36,18.86,0.03,0.21,0.0,,,0.22,18.71,67.39,1.86,277.17,0.0,0.0,93.83,,
2024-02-18,78.38,156.93,1.51,7.05,4.59,6.11,25.09,0.11,11.09,0.05,0.27,0.0,,0.11,0.3,18.84,55.33,1.45,270.24,0.0,0.0,96.39,,
2024-02-19,98.66,197.08,1.26,6.96,4.72,6.27,23.44,2.57,11.15,0.1,0.38,0.0,,0.11,0.31,20.83,43.2,1.24,184.41,0.0,0.0,95.67,,
2024-02-20,79.59,159.3,1.44,6.81,4.65,6.19,29.97,0.72,13.25,0.08,0.31,0.0,,0.12,0.24,22.42,46.33,1.44,159.53,0.0,0.0,91.95,,
2024-02-21,68.45,136.72,1.49,6.92,4.81,6.39,27.54,0.45,10.92,0.05,0.25,0.0,,0.1,0.31,22.25,55.96,1.72,270.75,0.0,0.0,95.39,,
2024-02-22,24.84,49.83,1.57,6.9,4.71,6.27,31.87,0.95,11.93,0.02,0.3,0.0,,0.1,0.29,21.29,67.36,1.46,232.5,0.08,0.08,87.01,,
2024-02-23,31.67,63.38,1.3,6.86,4.58,6.08,36.69,1.01,11.3,0.07,0.25,0.0,,0.1,0.23,19.01,68.26,1.68,258.5,0.01,0.01,78.41,,
2024-02-24,75.26,150.53,1.32,6.99,4.69,6.25,32.74,1.18,16.24,0.05,0.25,0.0,,,0.17,18.4,46.1,1.5,261.54,0.0,0.0,93.11,,
2024-02-25,75.96,151.99,1.34,7.09,4.71,6.25,29.54,0.3,41.88,0.07,0.2,0.0,,,0.13,18.93,52.01,1.44,267.73,0.0,0.0,92.81,,
2024-02-26,157.71,315.26,1.25,6.99,4.73,6.3,31.55,0.95,36.22,0.06,0.18,0.0,,,0.13,19.24,47.75,1.25,273.23,0.0,0.0,94.14,,
2024-02-27,105.7,211.48,1.37,6.96,4.77,6.33,22.41,0.99,11.61,0.07,0.27,0.0,,0.1,0.17,20.4,49.36,1.42,270.27,0.0,0.0,91.55,,
2024-02-28,71.63,143.27,1.56,7.06,4.82,6.41,23.51,0.4,13.31,0.01,0.15,0.0,,,0.15,19.11,58.4,2.29,266.71,0.0,0.0,94.37,,
2024-02-29,70.33,140.66,1.43,6.95,4.86,6.47,21.47,0.64,12.42,0.0,0.16,0.0,,,0.11,20.34,47.92,1.98,266.54,0.0,0.0,99.77,,
2024-03-01,141.41,282.76,1.51,6.75,4.64,6.18,27.21,1.1,17.28,0.04,0.38,0.0,,,0.15,20.87,49.31,1.5,259.14,0.0,0.0,97.11,,
2024-03-02,103.19,206.34,1.51,6.83,4.69,6.24,29.34,1.24,11.44,0.06,0.36,0.0,,0.1,0.24,22.11,48.59,1.5,254.93,0.0,0.0,96.3,,
