Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2022-01-01 00:00:00,67.31,104.82,2.56,94.48,52.33,43.54,0.77,NA,NA,NA,NA,NA,NA,NA,NA,17.54,41.05,0.44,313.37,0.00,0.00,12.56,NA,NA
2022-01-02 00:00:00,78.06,127.10,2.24,93.47,51.54,43.19,1.20,NA,NA,1.90,5.80,1.60,NA,1.40,4.40,18.52,33.01,0.42,292.53,0.00,0.00,35.27,NA,NA
2022-01-03 00:00:00,131.24,227.04,2.42,112.78,61.68,52.90,1.74,NA,NA,NA,NA,NA,NA,NA,NA,17.51,38.48,0.40,273.32,0.00,0.00,31.89,NA,NA
2022-01-04 00:00:00,137.36,216.04,7.22,126.63,73.16,53.61,1.00,NA,NA,2.30,5.70,1.60,NA,1.30,4.10,15.44,53.91,0.19,224.38,0.00,0.00,17.11,NA,NA
2022-01-05 00:00:00,142.49,223.93,12.15,142.80,85.85,60.01,1.09,NA,NA,2.90,4.30,0.10,NA,2.30,0.40,11.51,87.68,0.21,167.99,0.00,0.00,19.46,NA,NA
2022-01-06 00:00:00,176.05,310.07,10.14,136.07,80.63,56.77,1.73,NA,NA,2.30,3.60,0.45,NA,0.70,1.20,17.33,82.53,0.23,201.13,0.00,0.00,29.42,NA,NA
2022-01-07 00:00:00,126.65,224.92,7.36,136.54,78.61,56.25,2.07,NA,NA,1.10,4.20,1.00,NA,1.50,2.90,21.54,74.45,0.24,218.55,0.00,0.00,41.96,NA,NA
2022-01-08 00:00:00,99.25,155.04,10.77,131.80,78.54,56.31,2.48,NA,NA,0.70,1.50,0.10,NA,0.60,0.30,23.91,73.79,0.22,214.82,0.00,0.00,49.24,NA,NA
2022-01-09 00:00:00,82.29,140.50,NA,NA,NA,56.84,3.75,NA,NA,1.50,2.70,0.50,NA,0.50,1.30,24.70,73.69,0.26,221.52,0.00,0.00,31.30,NA,NA
2022-01-10 00:00:00,82.33,153.12,NA,NA,NA,50.27,3.91,NA,NA,NA,NA,NA,NA,NA,NA,25.43,NA,0.23,246.18,0.00,0.00,37.44,NA,NA
2022-01-11 00:00:00,113.69,193.07,NA,NA,NA,68.68,2.34,NA,NA,2.10,4.60,0.70,NA,1.00,1.90,23.71,81.41,0.22,226.87,0.00,0.00,19.08,NA,NA
2022-01-12 00:00:00,57.46,103.66,NA,NA,NA,49.87,3.89,NA,NA,NA,NA,NA,NA,NA,NA,22.32,81.74,0.25,181.83,0.00,0.00,25.08,NA,NA
2022-01-13 00:00:00,66.72,123.22,NA,NA,NA,45.02,2.24,NA,NA,1.25,2.80,0.35,NA,0.55,1.75,18.77,83.67,0.29,290.51,0.00,0.00,31.67,NA,NA
2022-01-14 00:00:00,90.15,169.17,NA,NA,NA,51.35,3.48,NA,NA,NA,NA,NA,NA,NA,NA,19.47,76.98,0.18,187.36,0.00,0.00,32.43,NA,NA
2022-01-15 00:00:00,94.39,155.58,NA,NA,NA,55.54,2.77,NA,NA,1.00,2.90,0.00,NA,2.20,0.30,20.00,69.38,0.31,125.96,0.00,0.00,43.12,NA,NA
2022-01-16 00:00:00,91.54,145.69,NA,NA,NA,48.56,2.96,NA,NA,1.60,1.70,0.10,NA,0.20,0.40,16.54,74.66,0.45,190.54,0.00,0.00,45.80,NA,NA
2022-01-17 00:00:00,104.81,187.20,NA,NA,NA,42.47,2.23,NA,NA,1.70,1.50,0.10,NA,0.20,0.30,13.34,76.84,0.43,143.78,0.00,0.00,36.25,NA,NA
2022-01-18 00:00:00,143.24,240.22,NA,NA,NA,52.51,1.84,NA,NA,1.60,1.50,0.00,NA,0.30,0.10,10.66,80.52,0.44,227.00,0.00,0.00,25.20,NA,NA
2022-01-19 00:00:00,107.03,193.57,NA,NA,0.00,51.08,1.91,NA,NA,1.83,3.30,0.27,NA,1.27,0.80,11.48,76.42,0.54,242.86,0.00,0.00,25.76,NA,NA
2022-01-20 00:00:00,129.45,231.84,NA,NA,0.00,52.82,1.31,NA,NA,1.80,2.00,0.00,NA,0.50,0.20,12.03,78.72,0.34,193.37,0.00,0.00,36.90,NA,NA
2022-01-21 00:00:00,163.91,311.58,NA,NA,0.00,57.41,5.96,NA,NA,1.35,3.00,0.00,NA,1.55,0.25,18.33,69.82,0.22,183.98,0.00,0.00,46.05,NA,NA
2022-01-22 00:00:00,126.86,221.14,NA,NA,0.00,51.28,10.10,NA,NA,NA,NA,NA,NA,NA,NA,21.53,66.66,0.26,180.28,0.00,0.00,45.77,NA,NA
2022-01-23 00:00:00,62.22,110.56,NA,NA,0.00,44.54,4.69,NA,NA,1.40,1.95,0.20,NA,0.65,0.30,20.80,80.52,0.39,170.93,0.00,0.00,22.48,NA,NA
2022-01-24 00:00:00,66.41,150.30,NA,NA,0.00,39.03,4.47,NA,NA,NA,NA,NA,NA,NA,NA,23.14,79.31,0.28,217.61,0.00,0.00,27.80,NA,NA
2022-01-25 00:00:00,80.38,175.81,NA,NA,0.00,48.54,2.51,NA,NA,NA,NA,NA,NA,NA,NA,20.91,85.38,0.37,234.08,0.00,0.00,20.08,NA,NA
2022-01-26 00:00:00,63.52,115.90,NA,NA,0.00,45.34,2.08,NA,NA,NA,NA,NA,NA,NA,NA,19.36,62.18,0.36,208.28,0.00,0.00,38.56,NA,NA
2022-01-27 00:00:00,62.13,112.59,NA,NA,0.00,41.80,2.41,NA,NA,1.50,2.70,0.00,NA,2.20,NA,15.18,69.93,0.54,289.39,0.00,0.00,47.67,NA,NA
2022-01-28 00:00:00,89.28,146.41,5.28,113.22,30.27,38.06,1.80,NA,NA,1.81,3.70,0.49,NA,1.04,1.49,15.46,75.33,0.47,223.35,0.00,0.00,38.66,NA,NA
2022-01-29 00:00:00,79.10,138.09,1.91,98.61,54.00,36.94,2.37,NA,NA,1.40,2.26,0.16,NA,0.72,0.58,17.40,65.94,0.41,270.71,0.00,0.00,52.29,NA,NA
2022-01-30 00:00:00,70.38,125.24,3.16,102.35,57.01,NA,4.21,NA,NA,1.26,2.33,0.06,NA,1.02,0.38,18.90,69.64,0.41,262.36,0.00,0.00,52.95,NA,NA
2022-01-31 00:00:00,119.77,229.95,22.84,145.00,95.70,44.29,3.16,NA,NA,2.85,7.96,0.46,NA,5.09,0.88,17.51,72.48,0.13,234.64,0.00,0.00,19.70,NA,NA
2022-02-01 00:00:00,129.49,192.29,6.28,142.07,80.68,79.12,4.39,NA,NA,2.46,3.93,0.49,NA,1.55,1.26,16.57,71.52,0.36,237.46,0.00,0.00,37.20,NA,NA
2022-02-02 00:00:00,113.96,181.26,2.64,117.12,64.33,1.12,6.46,NA,NA,2.01,3.29,0.26,NA,0.90,0.83,20.30,63.20,0.31,187.81,0.00,0.00,47.34,NA,NA
2022-02-03 00:00:00,98.30,170.29,2.28,115.98,63.54,0.77,8.96,0.63,22.84,1.77,2.43,0.15,NA,0.90,0.65,21.71,42.66,0.54,155.49,0.00,0.00,41.54,NA,NA
2022-02-04 00:00:00,34.22,59.29,3.36,123.34,68.06,31.29,4.94,0.52,11.06,0.96,1.65,0.23,NA,0.41,0.74,18.90,58.49,0.57,156.12,0.00,0.00,18.81,NA,NA
2022-02-05 00:00:00,32.43,59.87,1.76,70.99,39.17,23.06,2.16,0.58,9.98,0.72,1.03,0.02,NA,0.37,0.21,16.45,68.24,0.55,234.15,0.00,0.00,39.95,NA,NA
2022-02-06 00:00:00,55.22,107.85,4.35,91.19,51.99,8.44,2.59,0.59,9.44,1.23,2.11,0.31,NA,0.62,0.87,16.45,46.05,0.50,278.81,0.00,0.00,46.99,NA,NA
