Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01,138.97,265.1,13.08,13.57,13.69,10.81,2.89,2.39,40.05,1.26,0.95,0.71,,0.86,0.85,9.12,87.59,0.2,234.95,0.0,0.0,105.19,754.09,
2024-01-02,209.53,423.5,11.75,15.57,15.53,10.31,3.5,3.2,33.32,1.26,0.95,0.71,,0.85,0.84,10.32,88.5,0.12,186.97,0.0,0.0,114.47,754.12,
2024-01-03,271.63,503.32,8.75,16.85,15.09,10.26,3.82,4.56,25.85,1.21,0.88,0.68,,0.85,0.85,10.67,92.63,0.13,151.07,0.0,0.0,91.83,754.03,
2024-01-04,262.66,496.69,9.31,16.11,16.04,10.09,4.75,4.04,22.73,1.26,0.94,0.7,,0.84,0.84,12.54,89.04,0.13,158.2,0.0,0.0,94.25,754.04,
2024-01-05,227.48,473.74,8.5,15.01,14.79,10.48,4.16,3.34,14.44,1.27,0.92,0.71,,0.84,0.85,13.08,92.49,0.16,192.05,0.0,0.0,86.44,754.02,
2024-01-06,196.29,422.07,8.47,13.5,13.99,10.59,3.7,3.65,11.88,1.26,0.93,0.71,,0.86,0.85,13.89,93.53,0.13,183.51,0.0,0.0,70.69,753.95,
2024-01-07,142.4,351.79,8.29,12.91,13.5,10.75,4.93,8.49,12.04,1.26,0.94,0.72,,0.86,0.85,13.17,93.53,0.16,217.19,0.0,0.0,68.94,753.95,
2024-01-08,150.04,358.59,8.25,13.18,13.62,10.79,3.78,5.22,18.5,1.26,0.94,0.71,,0.85,0.85,12.39,93.37,0.16,195.23,0.0,0.0,78.6,753.99,
2024-01-09,160.52,377.65,8.55,14.39,14.5,10.52,3.77,3.68,13.38,1.26,0.94,0.7,,0.86,0.84,12.17,87.02,0.17,184.46,0.0,0.0,116.09,754.13,
2024-01-10,157.31,309.1,8.23,12.67,13.33,10.89,4.16,2.43,24.7,1.26,0.94,0.7,,0.85,0.85,13.42,82.48,0.26,238.83,0.0,0.0,110.9,754.11,
2024-01-11,140.85,322.74,8.04,12.62,13.14,10.94,3.24,2.44,30.38,1.26,0.93,0.7,,0.85,0.85,10.06,89.01,0.26,239.35,0.0,0.0,70.86,754.0,
2024-01-12,203.9,410.79,8.28,13.28,13.7,10.88,3.27,3.61,29.92,1.26,0.94,0.71,,0.84,0.86,6.95,96.52,0.16,176.96,0.0,0.0,60.39,753.92,
2024-01-13,194.1,446.17,8.2,12.79,13.37,10.99,3.3,3.31,40.2,1.27,0.93,0.71,,0.85,0.86,6.62,96.56,0.18,223.56,0.0,0.0,51.31,753.88,
2024-01-14,120.25,256.54,8.0,11.48,12.51,11.11,3.16,2.65,49.44,1.27,0.95,0.71,,0.86,0.84,7.46,93.7,0.18,193.68,0.0,0.0,64.39,753.93,
2024-01-15,146.87,356.6,8.16,11.86,12.84,11.08,3.37,3.14,40.11,1.26,0.94,0.71,,0.84,0.85,8.14,94.55,0.16,222.05,0.0,0.0,61.96,753.92,
2024-01-16,134.01,318.64,8.07,11.3,12.47,11.11,3.03,2.63,51.38,1.26,0.96,0.72,,0.85,0.84,7.89,97.47,0.2,198.52,0.0,0.0,38.23,753.83,
2024-01-17,138.09,361.3,8.1,11.6,12.65,11.06,8.77,2.61,49.23,1.26,0.93,0.7,,0.85,0.85,7.85,94.47,0.29,92.54,0.0,0.0,40.88,753.84,
2024-01-18,159.1,454.19,8.08,11.36,12.51,11.14,4.5,3.02,42.18,1.26,0.93,0.72,,0.85,0.84,8.72,99.27,0.13,169.11,0.0,0.0,23.05,753.78,
2024-01-19,137.99,370.37,8.16,11.79,12.8,11.02,4.91,2.87,46.68,1.26,0.95,0.71,,0.86,0.85,9.39,84.21,0.18,184.24,0.0,0.0,91.48,754.04,
2024-01-20,160.78,458.51,8.11,12.87,13.33,10.97,3.82,3.19,39.59,1.25,0.94,0.71,,0.84,0.86,8.74,88.91,0.19,218.02,0.0,0.0,114.2,754.12,
2024-01-21,219.02,452.67,8.07,11.8,12.73,11.01,3.83,3.12,44.08,1.26,0.95,0.71,,0.85,0.85,7.05,94.75,0.22,207.76,0.0,0.0,38.45,753.83,
2024-01-22,217.54,387.65,8.24,12.97,13.49,10.93,4.05,4.21,43.51,1.26,0.94,0.7,,0.85,0.84,7.22,88.15,0.12,153.5,0.0,0.0,109.98,754.11,
2024-01-23,132.11,412.15,8.02,11.93,12.76,11.01,3.83,3.17,48.29,1.26,0.93,0.72,,0.86,0.85,6.36,97.61,0.2,243.22,0.0,0.0,50.66,753.89,
2024-01-24,147.63,360.03,8.07,11.06,12.35,11.05,3.58,3.27,81.79,1.26,0.94,0.71,,0.85,0.85,7.48,97.55,0.17,213.8,0.0,0.0,45.45,753.89,
2024-01-25,161.21,410.45,8.13,11.92,12.85,11.01,3.46,3.42,64.55,1.25,0.94,0.72,,0.84,0.84,8.54,85.82,0.17,240.75,0.0,0.0,109.66,754.13,
2024-01-26,223.03,491.84,7.95,12.06,12.78,11.03,3.92,4.2,44.73,1.26,0.94,0.71,,0.83,0.85,8.23,88.4,0.15,195.7,0.0,0.0,116.76,754.14,
2024-01-27,166.38,355.51,8.03,11.2,12.38,11.07,4.29,3.3,60.3,1.25,0.95,0.7,,0.85,0.85,10.01,80.48,0.23,233.03,0.0,0.0,164.23,754.32,
2024-01-28,237.13,523.16,7.87,11.43,12.38,11.06,13.36,2.86,28.13,1.27,0.96,0.7,,0.86,0.87,9.68,96.3,0.08,116.45,0.0,0.0,8.31,753.71,
2024-01-29,261.85,555.24,8.16,13.34,13.63,10.95,13.26,3.68,24.27,1.28,0.95,0.72,,0.85,0.85,10.3,86.77,0.12,190.68,0.0,0.0,109.75,754.11,
2024-01-30,253.12,536.17,8.74,14.87,14.91,10.81,13.35,3.63,28.03,1.27,0.92,0.67,,0.82,0.81,11.37,83.89,0.12,174.54,0.0,0.0,111.27,754.11,
2024-01-31,261.67,643.44,9.12,16.36,16.01,10.71,13.16,5.28,23.34,1.25,0.94,0.71,,0.85,0.86,12.23,82.56,0.12,174.65,0.0,0.0,109.38,754.1,
2024-02-01,244.5,574.65,12.79,41.05,31.23,27.39,14.02,3.6,32.91,1.25,0.94,0.71,,0.86,0.84,13.1,80.68,0.34,142.97,0.0,0.0,121.36,754.15,
2024-02-02,230.5,544.66,8.77,70.01,42.33,51.97,13.37,5.37,32.74,1.26,0.94,0.71,,0.85,0.85,14.19,77.22,0.21,220.47,0.0,0.0,122.33,754.15,
2024-02-03,115.98,288.55,4.03,30.74,18.25,19.75,13.03,1.94,19.12,1.26,0.93,0.71,,0.83,0.84,14.2,64.68,0.34,232.98,0.0,0.0,138.94,754.22,
2024-02-04,121.05,300.63,5.07,33.04,20.29,22.13,13.03,2.0,24.03,1.26,0.94,0.72,,0.85,0.86,14.05,68.58,0.19,218.31,0.0,0.0,126.68,754.17,
