Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01,95.75,140.66,2.65,5.64,5.15,36.11,14.48,0.26,3.0,0.19,2.83,1.59,,1.4,1.77,14.43,81.15,0.4,300.1,0.0,0.0,18.99,,
2024-01-02,222.49,301.72,2.79,6.05,5.1,36.28,14.75,0.42,3.4,0.19,2.85,1.67,,1.48,1.88,15.59,79.96,0.24,184.65,0.0,0.0,28.11,,
2024-01-03,142.25,190.85,2.33,5.74,4.65,36.07,14.44,0.21,2.85,0.17,2.5,1.4,,1.23,1.55,14.26,82.17,0.22,225.18,0.0,0.0,24.86,,
2024-01-04,191.67,247.31,2.6,5.6,4.96,36.12,14.5,0.28,3.17,0.19,2.79,1.56,,1.37,1.74,15.45,80.36,0.26,250.1,0.0,0.0,26.79,,
2024-01-05,222.13,300.01,2.6,5.64,5.12,36.3,14.2,0.69,3.49,0.19,2.79,1.56,,1.37,1.74,17.13,77.54,0.18,230.62,0.0,0.0,26.32,,
2024-01-06,216.93,295.94,2.52,5.64,5.05,36.09,14.08,0.35,3.13,0.19,2.71,1.51,,1.33,1.68,18.29,80.7,0.26,262.48,0.0,0.0,22.24,,
2024-01-07,142.98,226.16,2.73,5.63,5.01,36.11,14.32,0.23,2.72,0.19,2.92,1.63,,1.44,1.83,16.62,86.31,0.29,289.9,0.0,0.0,17.48,,
2024-01-08,134.96,222.0,2.65,5.74,5.15,36.28,14.42,0.39,3.48,0.2,2.85,1.59,,1.4,1.78,17.35,83.23,0.35,284.49,0.0,0.0,22.74,,
2024-01-09,127.52,191.71,2.58,5.66,5.09,36.27,14.45,0.75,3.6,0.19,2.77,1.55,,1.37,1.73,16.49,82.21,0.3,249.2,0.0,0.0,25.39,,
2024-01-10,205.0,287.83,2.76,5.67,5.21,36.17,14.37,0.46,2.71,0.2,2.97,1.66,,1.46,1.86,15.1,83.83,0.25,223.03,0.0,0.0,23.92,,
2024-01-11,126.86,193.1,2.51,5.67,5.04,36.19,14.46,0.28,3.0,0.18,2.69,1.51,,1.32,1.68,13.9,83.46,0.38,286.55,0.0,0.0,20.59,,
2024-01-12,163.15,233.13,2.65,5.62,5.12,36.24,14.61,0.31,4.1,0.2,2.81,1.59,,1.41,1.78,14.57,78.33,0.36,271.94,0.0,0.0,27.43,,
2024-01-13,237.48,264.48,2.69,5.55,5.11,36.2,14.52,0.55,3.76,0.2,2.9,1.62,,1.43,1.81,13.0,79.52,0.29,276.1,0.0,0.0,20.8,,
2024-01-14,202.21,226.84,2.54,5.6,5.03,36.19,13.48,0.38,3.09,0.18,2.69,1.54,,1.38,1.72,14.13,82.25,0.32,304.96,0.0,0.0,23.92,,
2024-01-15,184.51,207.41,2.64,5.69,5.15,36.2,14.39,0.06,2.41,0.19,2.84,1.58,,1.4,1.78,12.14,87.18,0.39,300.45,0.0,0.0,16.0,,
2024-01-16,115.15,133.64,2.7,5.38,4.95,36.07,14.43,0.04,2.38,0.19,2.9,1.62,,1.43,1.81,12.1,87.46,0.31,230.89,0.0,0.0,14.78,,
2024-01-17,150.0,177.34,2.55,5.53,4.93,36.08,14.64,0.74,2.49,0.18,2.73,1.52,,1.34,1.7,12.68,85.01,0.25,181.14,0.0,0.0,18.06,,
2024-01-18,140.67,166.53,2.67,5.62,5.02,36.22,14.54,0.15,2.42,0.2,2.87,1.6,,1.42,1.79,13.6,85.58,0.26,204.23,0.0,0.0,15.12,,
2024-01-19,201.15,227.49,2.66,5.61,5.09,36.29,19.26,0.48,18.05,0.2,2.85,1.6,,1.41,1.79,15.21,82.07,0.28,263.06,0.0,0.0,18.44,,
2024-01-20,208.68,247.67,2.43,5.74,5.03,36.03,21.91,0.36,27.5,0.19,2.62,1.46,,1.28,1.63,14.68,81.89,0.27,252.65,0.0,0.0,26.72,,
2024-01-21,166.88,198.32,2.6,5.57,5.04,36.08,22.28,0.07,27.93,0.19,2.78,1.56,,1.38,1.74,13.27,82.32,0.41,299.39,0.0,0.0,15.55,,
2024-01-22,179.53,214.2,2.38,5.86,4.89,36.08,22.59,0.66,32.75,0.16,2.55,1.42,,1.25,1.6,14.58,73.06,0.35,258.96,0.0,0.0,34.0,,
2024-01-23,242.81,269.38,2.54,5.7,4.97,36.21,22.87,0.51,24.92,0.19,2.73,1.52,,1.34,1.7,12.86,81.53,0.37,304.72,0.0,0.0,28.08,,
2024-01-24,149.81,178.84,2.67,5.59,5.02,36.05,21.01,0.78,27.55,0.19,2.83,1.59,,1.41,1.79,13.11,81.09,0.39,248.08,0.0,0.0,24.97,,
2024-01-25,207.42,232.27,2.63,5.63,5.13,36.14,22.14,0.76,23.26,0.19,2.82,1.57,,1.39,1.76,12.21,80.98,0.35,253.34,0.0,0.0,20.37,,
2024-01-26,210.23,240.3,2.71,5.62,5.16,36.07,21.96,0.51,19.32,0.2,2.91,1.62,,1.43,1.82,11.49,84.76,0.29,268.53,0.0,0.0,21.18,,
2024-01-27,193.53,231.69,2.78,5.53,5.02,35.91,22.08,0.24,19.97,0.19,2.9,1.67,,1.47,1.87,11.82,84.15,0.36,303.12,0.0,0.0,14.37,,
2024-01-28,192.84,215.9,2.61,5.58,5.03,36.22,27.3,0.58,28.0,0.18,2.77,1.56,,1.38,1.75,13.11,79.6,0.28,209.1,0.0,0.0,26.27,,
2024-01-29,214.16,231.3,2.56,5.51,5.01,36.18,17.24,0.27,30.68,0.18,2.75,1.56,,1.37,1.72,14.49,77.36,0.27,207.94,0.0,0.0,26.64,,
2024-01-30,291.6,318.6,2.75,5.63,5.17,36.17,27.96,0.63,34.6,0.2,2.95,1.65,,1.46,1.84,15.87,75.42,,,0.0,0.0,26.03,,
2024-01-31,242.14,272.97,2.5,5.73,5.01,36.07,26.27,0.59,32.48,0.18,2.69,1.5,,1.31,1.67,16.47,74.37,0.21,177.03,0.0,0.0,25.35,,
2024-02-01,153.85,187.87,2.66,5.5,5.03,35.95,21.75,0.48,26.86,0.19,2.83,1.61,,1.43,1.81,17.55,75.78,0.23,163.56,0.0,0.0,25.7,,
2024-02-02,125.45,154.35,2.58,5.72,5.11,36.16,25.83,0.58,36.89,0.19,2.74,1.55,,1.36,1.73,18.27,68.13,0.36,266.56,0.0,0.0,26.38,,
2024-02-03,100.07,133.32,2.68,5.45,5.05,36.23,26.51,0.38,36.52,0.19,2.88,1.61,,1.42,1.8,17.14,69.49,0.42,276.25,0.01,0.01,26.11,,
2024-02-04,148.45,189.87,2.56,5.46,4.9,36.05,16.26,0.22,31.45,0.19,2.75,1.53,,1.35,1.72,17.37,72.71,0.23,170.76,0.0,0.0,24.43,,
2024-02-05,122.32,130.9,2.65,5.7,5.19,36.37,19.92,0.44,24.01,0.19,2.85,1.59,,1.4,1.78,18.12,80.14,0.36,295.75,0.0,0.0,22.0,,
2024-02-06,58.98,66.81,2.52,5.88,5.15,36.29,29.07,0.65,26.62,0.18,2.71,1.51,,1.34,1.69,18.39,80.14,0.44,303.76,0.0,0.0,22.84,,
2024-02-07,63.93,88.76,2.6,5.71,5.09,36.11,27.4,0.61,38.61,0.19,2.79,1.56,,1.37,1.74,16.75,68.97,0.5,315.33,0.0,0.0,28.67,,
2024-02-08,72.65,107.3,2.74,5.77,5.25,36.29,19.99,0.45,43.03,0.2,2.91,1.64,,1.45,1.84,16.05,65.57,0.49,319.44,0.0,0.0,27.54,,
2024-02-09,93.54,119.73,2.42,5.6,4.93,36.19,31.67,0.71,40.72,0.17,2.58,1.46,,1.28,1.62,16.07,68.92,0.26,241.96,0.0,0.0,27.21,,
2024-02-10,145.56,169.73,2.71,5.62,5.13,36.28,27.98,0.62,40.32,0.2,2.9,1.62,,1.43,1.8,17.28,70.96,0.3,301.38,0.0,0.0,27.61,,
2024-02-11,115.51,140.13,2.67,5.72,5.18,36.07,22.64,0.51,43.87,0.19,2.86,1.6,,1.41,1.79,17.72,67.67,0.3,282.51,0.0,0.0,28.53,,
2024-02-12,126.24,156.43,2.64,5.78,4.97,36.2,41.79,0.91,44.83,0.18,2.72,1.58,,1.4,1.77,19.29,61.42,0.12,174.38,0.0,0.0,32.27,,
2024-02-13,192.18,227.07,2.58,5.95,5.2,36.34,26.77,0.6,29.62,0.19,2.77,1.55,,1.37,1.73,18.52,72.76,0.22,179.51,0.0,0.0,23.08,,
2024-02-14,270.0,,2.63,5.77,5.2,36.23,27.9,0.63,24.41,0.19,2.81,1.57,,1.39,1.75,20.24,80.78,0.19,188.9,0.0,0.0,18.95,,
2024-02-15,113.06,120.91,2.7,5.57,5.16,36.28,16.74,0.38,28.44,0.2,2.9,1.62,,1.43,1.81,19.82,78.97,0.36,279.69,0.0,0.0,26.72,,
2024-02-16,84.85,112.0,2.56,5.58,5.06,36.22,35.19,0.79,26.85,0.18,2.75,1.53,,1.36,1.72,19.58,82.19,0.34,299.03,0.0,0.0,24.28,,
2024-02-17,74.73,115.59,2.81,5.6,5.27,36.32,23.46,0.52,42.24,0.2,3.02,1.68,,1.49,1.88,20.41,71.21,0.38,310.77,0.0,0.0,28.28,,
2024-02-18,78.42,150.98,2.55,5.64,5.0,36.05,31.52,0.7,39.69,0.18,2.71,1.53,,1.35,1.71,19.41,68.15,0.29,261.15,0.0,0.0,28.75,,
2024-02-19,124.89,207.35,2.71,5.57,5.11,36.17,29.16,0.65,39.5,0.19,2.91,1.62,,1.43,1.81,19.62,66.94,0.22,141.0,0.0,0.0,28.44,,
2024-02-20,107.49,184.26,2.71,5.75,5.26,36.08,17.27,0.43,42.52,0.2,2.9,1.62,,1.43,1.81,21.01,67.6,0.24,186.1,0.0,0.0,26.47,,
2024-02-21,79.38,122.06,2.53,5.57,4.94,36.11,13.04,0.82,24.44,0.18,2.69,1.52,,1.36,1.7,21.89,70.73,0.31,222.82,0.02,0.02,27.53,,
2024-02-22,65.35,97.76,2.74,5.94,5.28,36.1,13.18,0.6,26.37,0.2,2.95,1.65,,1.45,1.84,21.42,77.03,0.29,194.74,0.02,0.02,26.34,,
2024-02-23,46.24,96.04,2.89,5.85,5.47,36.08,13.2,0.44,41.33,0.21,3.1,1.74,,1.53,1.94,20.56,68.9,0.33,240.87,0.0,0.0,24.91,,
2024-02-24,58.01,110.55,3.05,5.54,5.43,36.19,13.05,0.73,43.1,0.22,3.27,1.83,,1.61,2.04,17.98,65.27,0.29,238.99,0.0,0.0,25.59,,
2024-02-25,79.03,147.61,2.82,5.55,5.22,36.08,13.21,0.51,46.3,0.2,3.02,1.69,,1.5,1.89,19.39,63.13,0.3,250.49,0.0,0.0,32.34,,
2024-02-26,85.47,155.09,2.64,5.69,5.18,36.15,13.23,0.35,44.38,0.19,2.83,1.58,,1.4,1.77,19.98,63.18,0.24,135.03,0.0,0.0,33.66,,
2024-02-27,94.93,173.43,2.75,5.64,5.23,36.27,9.67,0.57,45.12,0.2,2.95,1.64,,1.45,1.84,20.67,61.78,0.26,222.27,0.0,0.0,34.59,,
