Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01,41.56,87.94,1.81,3.66,3.42,15.38,11.17,0.61,6.44,0.03,0.39,0.57,,0.1,0.36,12.4,88.96,1.23,240.74,0.0,0.0,62.43,,
2024-01-02,78.73,140.53,1.86,3.9,3.6,15.02,8.65,0.47,6.39,0.05,0.49,0.43,,0.25,0.28,12.55,89.11,1.04,247.93,0.0,0.0,65.55,,
2024-01-03,68.47,110.69,1.79,3.74,3.37,14.97,8.79,0.47,6.0,0.08,0.52,0.41,,0.12,0.3,13.1,89.29,0.93,222.72,0.0,0.0,66.96,,
2024-01-04,78.12,127.39,1.76,3.25,3.13,15.21,8.84,0.47,5.96,0.08,0.47,0.42,,0.15,0.28,15.62,83.36,1.0,232.49,0.0,0.0,67.11,,
2024-01-05,79.44,120.36,1.79,3.57,3.36,15.32,10.47,0.57,5.83,0.09,0.46,0.53,,0.12,0.32,17.34,84.01,1.02,248.28,0.0,0.0,68.9,,
2024-01-06,82.26,107.76,1.81,3.63,3.38,15.34,8.98,0.49,5.92,0.08,0.47,0.46,,0.1,0.3,18.21,85.38,1.15,230.65,0.0,0.0,65.0,,
2024-01-07,75.84,89.05,1.75,3.55,3.25,15.17,9.97,0.52,6.12,0.06,0.38,0.47,,0.12,0.32,16.56,90.09,1.21,243.28,0.0,0.0,39.0,,
2024-01-08,61.32,78.6,1.82,3.54,3.26,15.16,10.33,0.55,6.0,0.05,0.44,0.51,,0.1,0.34,15.47,90.82,1.08,268.75,0.0,0.0,13.9,,
2024-01-09,51.91,81.04,1.8,3.83,3.5,15.34,11.51,0.63,6.68,0.06,0.45,0.58,,0.1,0.37,16.04,83.15,,,0.0,0.0,61.82,,
2024-01-10,62.63,94.55,1.84,3.77,3.47,15.28,10.86,0.58,6.39,0.06,0.45,0.52,,0.1,0.36,15.65,85.23,1.45,268.98,0.0,0.0,65.32,,
2024-01-11,64.2,108.6,1.39,3.06,2.79,15.29,9.67,0.53,6.8,0.04,0.47,0.48,,0.15,0.32,12.99,88.3,1.41,238.9,0.0,0.0,57.74,,
2024-01-12,73.26,117.89,0.86,3.46,2.07,15.26,11.16,0.6,6.9,0.05,0.51,0.56,,0.11,0.35,12.84,87.88,1.37,231.94,0.0,0.0,66.99,,
2024-01-13,64.23,108.61,0.84,2.39,2.04,15.34,9.15,0.48,6.59,0.03,0.49,0.44,,0.11,0.29,11.55,86.77,1.34,245.31,0.0,0.0,62.12,,
2024-01-14,45.43,72.85,1.3,4.16,2.64,15.31,6.59,0.36,7.29,0.04,0.49,0.32,,0.1,0.22,12.89,87.05,1.44,242.86,0.0,0.0,64.9,,
2024-01-15,76.24,124.39,1.78,3.58,3.36,15.4,11.42,0.63,7.06,0.02,0.51,0.58,,,0.36,10.64,91.65,1.51,245.92,0.0,0.0,61.61,,
2024-01-16,67.81,109.22,1.82,3.69,3.45,15.33,11.15,0.61,6.42,0.03,0.45,0.56,,0.1,0.35,11.03,92.0,1.21,227.79,0.0,0.0,61.37,,
2024-01-17,99.19,175.68,1.85,4.26,3.73,15.35,9.69,0.53,6.23,0.06,0.49,0.48,,0.12,0.32,12.06,88.11,1.1,162.14,0.0,0.0,65.33,,
2024-01-18,101.3,160.22,1.78,4.08,3.54,17.68,7.24,0.39,7.76,0.05,0.57,0.35,,0.1,0.25,11.93,92.0,1.11,198.6,0.0,0.0,60.29,,
2024-01-19,124.63,202.01,1.81,3.72,3.44,19.96,9.2,0.49,10.15,0.05,0.45,0.45,,0.11,0.31,13.86,85.91,1.24,252.16,0.0,0.0,64.03,,
2024-01-20,89.17,178.23,1.75,3.85,3.41,19.88,9.56,0.52,11.45,0.05,0.4,0.47,,0.1,0.32,14.19,83.47,1.37,243.04,0.0,0.0,65.71,,
