Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01,63.3,98.95,0.86,11.52,3.36,2.82,40.66,4.01,29.54,0.22,0.62,0.37,,0.21,0.73,13.82,82.55,1.07,227.51,0.0,0.0,18.45,,
2024-01-02,108.93,170.13,16.17,94.62,41.93,35.22,31.94,3.1,21.47,0.27,1.13,0.7,,0.47,1.26,14.84,85.19,1.02,231.4,0.0,0.0,20.84,,
2024-01-03,103.29,161.27,9.0,50.17,34.0,28.56,22.12,3.34,20.85,0.29,1.21,0.83,,0.53,1.36,15.32,85.49,0.95,212.64,0.0,0.0,20.6,,
2024-01-04,86.82,135.68,8.4,40.43,28.34,23.81,66.58,3.69,29.37,0.26,0.97,0.65,,0.4,1.2,16.23,84.27,1.05,234.54,0.0,0.0,21.22,,
2024-01-05,100.73,157.4,5.09,33.02,21.71,18.23,38.29,5.43,14.29,0.3,0.94,0.57,,0.33,1.08,16.21,90.04,1.23,219.73,0.0,0.0,17.36,,
2024-01-06,85.9,134.2,3.46,30.17,18.95,15.92,40.62,4.62,17.14,0.26,0.81,0.5,,0.31,1.0,16.86,89.11,1.16,234.95,0.0,0.0,16.65,,
2024-01-07,65.29,101.81,2.08,24.29,14.48,12.16,25.24,4.88,24.17,0.22,0.61,0.4,,0.27,0.8,16.76,89.46,1.26,239.09,0.0,0.0,16.65,,
2024-01-08,67.06,104.75,2.67,27.66,16.88,14.18,26.03,4.26,27.4,0.26,0.77,0.47,,0.31,0.95,16.29,86.7,1.14,233.52,0.0,0.0,20.64,,
2024-01-09,72.68,113.71,8.68,42.65,30.09,25.28,23.3,4.85,31.32,0.28,0.94,0.62,,0.34,1.02,18.21,73.94,1.14,247.17,0.0,0.0,22.93,,
2024-01-10,73.65,114.99,2.56,25.61,15.7,13.19,26.97,3.36,30.14,0.22,0.75,0.42,,0.31,0.86,15.77,81.56,1.57,240.78,0.0,0.0,22.68,,
2024-01-11,73.91,115.41,2.41,24.32,14.89,12.51,27.7,3.62,32.18,0.21,0.79,0.39,,0.27,0.81,13.84,83.62,1.36,237.09,0.0,0.0,19.67,,
2024-01-12,82.65,129.27,2.4,23.09,14.25,11.96,25.1,4.76,24.79,0.24,0.82,0.45,,0.41,0.74,11.28,86.49,1.23,227.77,0.0,0.0,15.74,,
2024-01-13,84.67,132.27,2.37,20.82,13.1,11.0,23.44,4.35,19.47,0.28,0.74,0.35,,0.26,0.63,11.06,88.47,1.28,233.54,0.0,0.0,13.71,,
2024-01-14,82.87,129.5,6.01,24.27,17.8,14.94,25.42,3.46,17.41,,,,,,,10.59,91.59,1.09,230.26,0.0,0.0,11.4,,
2024-01-15,57.17,89.19,2.06,18.25,11.38,9.56,24.93,2.44,10.52,0.23,0.64,0.29,,0.2,0.52,10.75,92.69,1.22,231.07,0.0,0.0,11.47,,
2024-01-16,49.09,76.68,2.6,17.64,11.5,9.65,23.7,2.71,9.06,0.19,0.7,0.34,,0.21,0.69,10.89,94.0,1.09,208.65,0.0,0.0,11.38,,
2024-01-17,49.55,77.29,2.38,19.56,12.23,10.27,23.75,2.84,13.88,0.19,0.7,0.36,,0.22,0.74,11.3,90.47,1.03,202.46,0.0,0.0,11.51,,
2024-01-18,64.28,100.39,3.25,20.01,13.01,11.05,24.8,4.51,12.15,0.21,0.6,0.26,,0.15,0.54,12.09,91.11,1.09,239.05,0.0,0.0,10.64,,
2024-01-19,73.76,115.25,5.98,26.97,19.17,16.11,24.65,3.15,29.14,0.2,0.55,0.27,,0.15,0.57,13.28,84.63,1.04,246.43,0.0,0.0,14.15,,
2024-01-20,65.53,102.29,2.18,19.26,12.03,10.1,24.38,3.37,32.53,0.18,0.71,0.39,,0.25,0.83,13.26,82.88,1.29,233.47,0.0,0.0,21.42,,
2024-01-21,56.61,88.61,1.54,16.09,9.68,8.22,23.73,4.55,26.75,0.16,0.32,0.19,,0.1,0.35,11.49,85.35,1.38,236.56,0.0,0.0,13.69,,
2024-01-22,75.92,118.61,2.08,21.29,13.01,10.93,25.89,3.45,27.1,0.2,0.53,0.27,,0.17,0.61,12.29,81.45,1.17,219.17,0.0,0.0,19.23,,
2024-01-23,84.56,131.98,3.5,23.27,15.31,12.86,23.6,5.05,12.21,0.28,1.0,0.54,,0.37,0.96,9.32,91.21,1.16,231.14,0.0,0.0,13.2,,
2024-01-24,71.13,111.18,2.83,18.41,12.06,10.13,23.19,4.37,20.45,0.29,0.91,0.41,,0.31,0.83,10.25,93.81,1.12,224.78,0.0,0.0,11.99,,
2024-01-25,83.49,130.34,3.8,21.65,14.61,12.27,23.11,3.92,33.97,0.22,0.91,0.46,,0.32,0.91,11.73,83.38,1.23,238.07,0.0,0.0,18.95,,
2024-01-26,109.69,171.34,6.79,27.22,19.91,16.73,24.14,3.77,9.65,0.31,1.04,0.46,,0.37,0.88,9.42,92.2,1.01,242.33,0.0,0.0,12.7,,
2024-01-27,75.06,117.43,2.29,20.82,12.94,10.86,25.93,4.83,17.01,0.3,0.88,0.34,,0.27,0.68,10.53,91.38,1.05,230.5,0.0,0.0,17.25,,
2024-01-28,79.72,124.52,2.69,20.34,13.0,10.92,25.95,4.55,9.79,0.24,0.6,0.22,,0.17,0.4,9.92,92.73,1.03,240.94,0.0,0.0,13.34,,
2024-01-29,84.23,131.54,19.08,38.56,36.02,30.25,25.72,3.37,23.62,0.31,2.29,1.11,,0.83,1.91,12.81,88.61,1.01,231.1,0.0,0.0,19.08,,
2024-01-30,125.12,195.57,27.48,54.22,49.99,42.5,22.67,4.27,22.18,0.32,1.43,1.06,,0.74,1.62,14.2,82.17,0.92,249.85,0.0,0.0,20.08,,
