Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01,34.33,141.32,8.89,9.69,18.56,8.91,13.16,0.99,15.0,0.52,,,,,,,,,,,,,,
2024-01-02,25.41,112.42,11.46,7.92,19.37,9.09,16.53,1.04,12.64,0.58,,,,,,,,,,,,,,
2024-01-03,18.01,77.94,12.89,10.33,23.23,8.73,10.22,0.73,26.12,0.5,,,,,,,,,,,,,,
2024-01-04,25.7,111.58,6.98,7.79,14.77,8.87,12.02,0.91,18.7,0.56,,,,,,,,,,,,,,
2024-01-05,33.18,126.37,8.45,10.08,18.53,8.99,14.71,0.66,16.21,0.57,,,,,,,,,,,,,,
2024-01-06,24.99,80.38,12.22,7.98,20.2,8.94,11.95,0.91,21.2,0.55,,,,,,,,,,,,,,
2024-01-07,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-08,27.48,135.06,3.15,8.14,11.26,8.95,12.63,1.26,21.07,0.51,,,,,,,,,,,,,,
2024-01-09,34.5,123.61,9.57,9.86,19.42,9.02,13.12,0.94,22.74,0.5,,,,,,,,,,,,,,
2024-01-10,39.19,118.55,10.07,8.5,18.28,9.08,10.47,0.85,18.81,0.59,,,,,,,,,,,,,,
2024-01-11,26.23,62.85,8.3,17.39,25.29,8.72,8.2,0.98,21.2,0.47,,,,,,,,,,,,,,
2024-01-12,34.2,89.98,9.25,2.41,11.23,8.97,8.09,0.86,16.56,0.53,,,,,,,,,,,,,,
2024-01-13,33.08,83.75,14.88,20.51,29.23,12.79,9.52,0.85,15.57,0.5,,,,,,,,,,,,,,
2024-01-14,31.95,78.59,11.27,3.62,13.71,9.44,8.36,0.9,22.4,0.56,,,,,,,,,,,,,,
2024-01-15,38.73,97.32,13.31,10.22,22.67,9.22,8.38,0.59,15.86,0.69,,,,,,,,,,,,,,
2024-01-16,43.99,101.04,10.38,8.64,18.75,9.05,9.82,0.86,16.27,0.76,,,,,,,,,,,,,,
2024-01-17,39.8,93.86,11.42,9.3,19.94,9.76,7.99,0.77,12.95,0.58,,,,,,,,,,,,,,
2024-01-18,35.48,74.61,6.79,10.04,16.56,9.0,8.47,0.91,13.05,0.5,,,,,,,,,,,,,,
2024-01-19,39.74,89.32,9.93,8.74,18.31,9.02,8.0,0.83,10.74,0.54,,,,,,,,,,,,,,
2024-01-20,39.47,87.22,9.52,10.04,19.39,8.95,8.33,0.94,11.39,0.72,,,,,,,,,,,,,,
2024-01-21,36.96,76.93,5.53,9.46,13.63,9.86,8.36,0.97,17.36,0.56,,,,,,,,,,,,,,
2024-01-22,38.07,81.84,11.1,8.86,19.91,9.0,8.31,0.75,18.2,0.5,,,,,,,,,,,,,,
2024-01-23,35.91,68.9,7.59,8.9,15.44,9.58,7.53,0.79,11.35,0.48,,,,,,,,,,,,,,
2024-01-24,32.55,67.48,6.81,9.45,15.76,9.27,8.28,1.01,10.32,0.49,,,,,,,,,,,,,,
2024-01-25,32.53,74.59,6.95,9.26,15.59,9.15,8.31,0.69,16.7,0.5,,,,,,,,,,,,,,
2024-01-26,35.3,84.7,6.12,12.19,17.97,8.92,7.84,0.86,14.36,0.61,,,,,,,,,,,,,,
2024-01-27,33.98,74.0,7.39,6.49,13.63,8.88,9.14,0.63,13.72,0.6,,,,,,,,,,,,,,
2024-01-28,37.85,81.87,,,,,8.64,0.61,29.79,0.63,,,,,,,,,,,,,,
2024-01-29,29.2,68.7,,,,,8.41,0.73,23.93,0.82,,,,,,,,,,,,,,
2024-01-30,28.69,62.34,,,,,8.34,0.94,28.51,0.46,,,,,,,,,,,,,,
2024-01-31,33.17,72.78,,,,,7.35,0.74,22.65,0.49,,,,,,,,,,,,,,
2024-02-01,24.32,73.48,,,,,5.75,0.8,15.16,0.44,,,,,,,,,,,,,,
2024-02-02,28.03,78.88,5.53,7.85,12.49,8.5,10.42,1.07,34.66,0.49,,,,,,,,,,,,,,
2024-02-03,23.86,60.91,13.98,9.25,22.72,9.27,7.19,0.85,13.65,0.48,,,,,,,,,,,,,,
2024-02-04,28.47,71.98,8.62,11.05,18.9,9.39,7.21,0.78,21.01,0.59,,,,,,,,,,,,,,
2024-02-05,22.46,55.6,9.53,12.69,20.37,9.53,7.57,0.84,20.95,0.42,,,,,,,,,,,,,,
2024-02-06,24.84,62.14,14.12,16.9,25.5,12.06,7.84,0.94,15.22,0.4,,,,,,,,,,,,,,
2024-02-07,28.04,72.41,13.13,8.29,18.29,11.24,7.3,0.86,19.21,0.45,,,,,,,,,,,,,,
2024-02-08,17.43,48.98,14.73,18.57,27.98,14.09,7.66,0.83,24.01,0.43,,,,,,,,,,,,,,
2024-02-09,23.01,66.18,21.19,16.36,31.96,11.71,7.88,0.81,21.25,0.52,,,,,,,,,,,,,,
2024-02-10,25.83,73.82,20.08,14.26,28.09,13.55,8.95,0.72,26.04,0.55,,,,,,,,,,,,,,
2024-02-11,27.39,84.28,,,,,7.43,0.8,41.28,0.52,,,,,,,,,,,,,,
2024-02-12,22.33,75.88,7.61,18.91,19.42,16.43,8.35,0.88,24.96,0.51,,,,,,,,,,,,,,
2024-02-13,18.65,53.2,21.31,26.01,36.38,16.48,8.4,0.86,19.2,0.45,,,,,,,,,,,,,,
2024-02-14,12.76,52.88,13.23,23.53,23.46,12.04,8.84,0.72,19.07,0.4,,,,,,,,,,,,,,
2024-02-15,18.76,61.22,20.14,37.8,38.76,16.76,6.89,0.78,26.38,0.44,,,,,,,,,,,,,,
2024-02-16,22.71,69.67,29.16,17.22,35.87,13.77,7.64,0.73,24.53,0.42,,,,,,,,,,,,,,
2024-02-17,21.83,65.17,30.79,42.85,41.22,17.96,8.57,0.84,23.34,0.43,,,,,,,,,,,,,,
