Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01,62.07,103.05,2.58,5.5,8.05,,14.54,0.7,,,,,,,,31.03,30.8,0.33,286.98,0.0,0.0,115.11,746.46,
2024-01-02,107.66,115.66,4.2,7.26,11.39,,13.93,0.64,,,,,,,,30.6,33.04,0.12,244.17,0.0,0.0,111.16,746.27,
2024-01-03,81.56,120.39,5.56,8.55,14.08,,11.79,0.67,,,,,,,,30.86,32.26,0.22,242.62,0.0,0.0,111.36,746.14,
2024-01-04,66.25,118.89,7.3,9.04,16.28,,17.26,0.65,,,,,,,,30.51,30.66,0.2,216.56,0.0,0.0,110.82,745.61,
2024-01-05,73.99,117.5,6.29,7.84,14.1,,12.52,0.64,,,,,,,,31.16,29.36,0.3,214.39,0.0,0.0,110.39,746.0,
2024-01-06,61.46,122.23,4.95,7.23,12.15,,12.62,0.64,,,,,,,,30.83,34.46,0.31,282.21,0.0,0.0,51.23,741.27,
2024-01-07,40.51,91.24,7.01,8.98,15.98,,13.34,0.69,,,,,,,,31.76,35.23,0.42,284.32,0.0,0.0,106.36,746.06,
2024-01-08,40.71,96.22,5.9,7.82,13.69,,15.28,0.68,,,,,,,,30.89,32.98,0.32,298.0,0.0,0.0,110.28,745.94,
2024-01-09,49.01,121.58,5.71,8.18,13.81,,23.81,0.65,,,,,,,,30.97,33.11,0.31,253.34,0.0,0.0,108.83,745.64,
2024-01-10,55.85,124.04,4.51,7.28,11.68,,24.49,0.7,,,,,,,,31.79,34.82,0.23,221.37,0.0,0.0,74.75,743.26,
2024-01-11,68.76,102.92,5.56,7.62,12.72,,12.58,0.68,,,,,,,,30.28,33.07,0.38,322.9,0.0,0.0,121.15,746.93,
2024-01-12,40.54,80.9,5.47,8.15,13.33,,15.75,0.65,,,,,,,,31.59,22.95,0.33,282.4,0.0,0.0,133.17,748.04,
2024-01-13,31.99,60.54,5.33,8.55,13.84,,17.07,0.77,,,,,,,,32.24,19.48,0.23,286.28,0.0,0.0,136.39,747.85,
2024-01-14,27.42,56.14,6.38,9.16,15.32,,24.17,0.69,,,,,,,,30.21,20.28,0.22,311.07,0.0,0.0,121.75,746.42,
2024-01-15,28.13,58.75,5.28,8.54,13.61,,22.0,0.68,,,,,,,,31.46,18.22,0.31,248.35,0.0,0.0,122.15,746.33,
2024-01-16,42.68,90.87,3.88,10.4,14.06,,20.0,0.64,,,,,,,,31.02,20.6,0.39,228.75,0.0,0.0,125.01,746.96,
2024-01-17,59.16,113.82,3.62,10.99,14.41,,15.39,0.72,,,,,,,,30.8,34.94,0.22,189.14,0.0,0.0,80.82,743.93,
2024-01-18,68.03,106.18,2.84,7.76,10.36,,11.45,0.7,,,,,,,,30.6,50.15,0.24,226.43,0.2,0.2,52.21,741.76,
2024-01-19,50.81,100.92,3.48,7.26,10.64,,14.61,0.67,,,,,,,,30.8,13.5,0.16,304.92,0.0,0.0,45.17,741.05,
