Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2021-01-01 00:00:00,120.83,212.83,19.55,7.74,26.87,8.40,43.62,1.69,32.39,10.15,144.93,1.56,NA,2.56,2.43,NA,71.60,1.97,177.22,0.00,0.00,327.93,NA,NA
2021-01-02 00:00:00,108.99,209.91,39.89,6.34,49.30,12.43,42.84,1.44,31.58,10.13,144.81,1.56,NA,2.57,2.41,NA,66.56,1.39,170.04,0.00,0.00,327.90,NA,NA
2021-01-03 00:00:00,97.90,164.97,285.33,NA,317.90,5.60,36.64,1.27,33.58,10.19,145.06,1.56,NA,2.56,2.42,NA,55.06,1.29,150.00,0.00,0.00,327.90,NA,NA
2021-01-04 00:00:00,124.97,213.70,25.81,6.18,33.28,8.90,39.73,1.63,36.39,10.10,144.86,1.57,NA,2.56,2.43,NA,63.23,1.60,178.31,0.00,0.00,327.90,NA,NA
2021-01-05 00:00:00,126.45,196.70,19.35,7.03,26.30,7.57,38.22,1.50,49.11,10.12,144.89,1.57,NA,2.57,2.43,NA,61.24,1.45,169.56,0.00,0.00,327.91,NA,NA
2021-01-06 00:00:00,140.93,200.64,17.92,7.48,24.84,4.96,38.47,1.63,54.06,10.07,145.10,1.56,NA,2.56,2.43,NA,67.29,1.43,69.92,0.00,0.00,327.92,NA,NA
2021-01-07 00:00:00,131.69,200.90,31.06,6.03,39.35,8.21,35.40,1.65,54.72,10.15,145.10,1.57,NA,2.58,2.43,NA,72.06,1.35,67.02,0.00,0.00,327.94,NA,NA
2021-01-08 00:00:00,120.95,179.61,30.07,7.53,38.20,39.88,22.51,1.52,54.30,10.14,145.06,1.56,NA,2.57,2.43,NA,80.02,1.65,188.38,0.00,0.00,327.91,NA,NA
2021-01-09 00:00:00,101.47,164.42,27.64,11.88,35.10,78.49,31.58,1.51,60.47,10.07,145.16,1.56,NA,2.58,2.43,NA,78.78,1.21,142.02,0.00,0.00,327.93,NA,NA
2021-01-10 00:00:00,100.46,159.46,31.08,14.35,38.87,80.55,19.94,1.56,70.21,10.11,144.78,1.57,NA,2.56,2.43,NA,83.27,1.74,87.10,0.00,0.00,327.92,NA,NA
