Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01,,,,,,,,,,0.0,,,,,,,22.61,,,,,,,1.69
2024-01-02,,,,,,,,4.66,,0.0,,,,,,,28.55,,,,,,,0.7
2024-01-03,,,6.03,13.07,,2.44,14.98,3.6,3.57,1.67,,,,,,,30.9,,,,,,,-0.78
2024-01-04,,,6.57,13.21,,2.48,42.58,5.06,9.99,1.42,,,,,,,33.85,,,,,,,-0.9
2024-01-05,,,6.33,13.22,,2.42,,5.73,1.56,2.35,,,,,,,31.3,,,,,,,-0.13
2024-01-06,,,6.5,13.26,,2.45,13.8,0.37,3.57,2.78,,,,,,,31.5,,,,,,,-0.68
2024-01-07,,,6.85,13.14,,2.5,8.8,3.0,,2.04,,,,,,,25.48,,,,,,,-0.23
2024-01-08,,,6.17,12.96,,2.51,12.25,0.43,12.66,1.25,,,,,,,33.94,,,,,,,-0.42
2024-01-09,,,6.53,13.29,,2.39,10.78,0.2,7.43,1.19,,,,,,,36.15,,,,,,,-0.45
2024-01-10,,,6.41,13.06,,2.48,11.92,0.4,12.66,1.82,,,,,,,37.11,,,,,,,-0.6
2024-01-11,,,5.23,12.86,,2.49,10.49,1.95,7.31,2.06,,,,,,,32.1,,,,,,,-0.77
2024-01-12,,,6.1,13.32,,2.41,15.97,0.0,11.37,4.4,,,,,,,35.41,,,,,,,-0.13
2024-01-13,,,,,,,11.15,1.79,2.89,0.0,,,,,,,26.37,,,,,,,0.2
2024-01-14,,,,,,,0.39,0.0,26.0,1.2,,,,,,,32.19,,,,,,,0.61
2024-01-15,,,6.25,13.02,,2.48,17.84,0.2,11.58,1.5,,,,,,,30.26,,,,,,,-0.03
2024-01-16,,,5.47,12.95,,2.43,24.39,0.46,13.2,0.52,,,,,,,33.6,,,,,,,0.16
2024-01-17,,,6.5,13.36,,2.48,13.62,1.44,0.71,1.9,,,,,,,25.17,,,,,,,-0.02
2024-01-18,,,6.29,13.15,,2.48,9.76,1.86,0.94,1.26,,,,,,,24.39,,,,,,,-0.45
2024-01-19,,,5.53,13.07,,2.51,17.66,1.12,3.83,1.35,,,,,,,32.64,,,,,,,-0.46
2024-01-20,,,6.36,13.1,,2.48,14.52,4.35,2.65,1.27,,,,,,,30.74,,,,,,,-0.58
2024-01-21,,,6.34,12.99,,2.56,5.49,0.06,13.1,0.78,,,,,,,32.42,,,,,,,0.51
2024-01-22,,,6.62,13.22,,2.49,17.29,3.03,13.33,2.06,,,,,,,33.91,,,,,,,-0.14
2024-01-23,,,6.36,13.23,,2.47,20.77,3.53,8.3,0.71,,,,,,,34.52,,,,,,,-0.11
2024-01-24,,,6.34,13.28,,2.43,17.15,0.2,3.64,1.26,,,,,,,32.2,,,,,,,-0.32
2024-01-25,,,6.35,13.13,,2.44,22.28,1.18,8.85,1.13,,,,,,,33.77,,,,,,,-0.09
2024-01-26,,,6.5,13.3,,2.46,7.91,1.72,10.75,0.93,,,,,,,28.52,,,,,,,0.51
2024-01-27,,,6.56,13.22,,2.53,9.38,2.58,7.97,0.93,,,,,,,29.27,,,,,,,0.4
2024-01-28,,,3.29,13.31,,2.35,26.09,0.2,0.81,0.0,,,,,,,25.82,,,,,,,0.9
2024-01-29,,,4.49,12.89,,2.35,42.33,2.04,10.56,0.5,,,,,,,36.15,,,,,,,-0.27
2024-01-30,,,5.12,13.38,,2.41,41.36,4.67,9.15,1.02,,,,,,,35.61,,,,,,,0.03
2024-01-31,,,6.51,13.17,,2.47,22.17,4.19,11.2,0.7,,,,,,,32.11,,,,,,,-0.19
2024-02-01,,,6.44,13.19,,2.44,21.71,1.38,25.66,0.43,,,,,,,26.48,,,,,,,-0.64
2024-02-02,,,6.44,13.2,,2.44,14.42,2.29,12.5,0.35,,,,,,,29.85,,,,,,,-0.63
2024-02-03,,,6.42,13.24,,2.42,12.98,1.27,8.55,0.41,,,,,,,30.09,,,,,,,-0.63
2024-02-04,,,6.54,13.27,,2.43,15.23,0.52,13.74,0.39,,,,,,,35.42,,,,,,,-0.54
2024-02-05,,,6.44,13.18,,2.44,16.43,2.12,3.86,1.19,,,,,,,33.77,,,,,,,-0.49
2024-02-06,,,6.36,13.24,,2.45,12.91,1.89,32.67,2.44,,,,,,,32.87,,,,,,,
2024-02-07,,,6.46,13.16,,2.45,12.87,0.79,19.28,1.51,,,,,,,30.85,,,,,,,
2024-02-08,,,6.39,13.14,,2.44,8.28,0.97,13.32,1.4,,,,,,,30.47,,,,,,,
2024-02-09,,,6.61,13.12,,2.45,18.08,1.51,8.99,1.1,,,,,,,29.41,,,,,,,
