Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2021-01-01 00:00:00,43.33,85.09,8.00,13.28,21.17,13.29,1.99,0.56,14.25,3.80,0.11,0.00,NA,3.80,0.40,30.29,82.20,1.68,318.43,0.00,0.00,166.94,NA,NA
2021-01-02 00:00:00,55.66,105.64,8.03,13.29,21.35,13.36,2.63,0.75,13.76,4.10,0.16,0.00,NA,4.10,0.19,30.29,82.20,1.71,318.74,0.00,0.00,166.74,NA,NA
2021-01-03 00:00:00,55.63,99.05,7.99,13.33,21.17,13.38,2.66,0.57,14.04,3.99,0.21,0.00,NA,3.99,0.90,30.42,82.20,1.79,320.46,0.00,0.00,183.95,NA,NA
2021-01-04 00:00:00,30.06,61.78,8.00,13.19,21.23,13.36,1.83,0.61,14.85,3.52,0.17,0.00,NA,3.52,0.63,30.36,82.20,1.67,321.65,0.12,11.20,175.22,NA,NA
2021-01-05 00:00:00,25.61,49.71,8.00,13.81,21.69,12.07,1.29,0.40,14.63,3.00,0.15,0.00,NA,3.00,0.52,30.65,82.20,1.83,324.83,0.00,0.00,214.09,NA,NA
2021-01-06 00:00:00,24.47,49.07,8.03,15.27,23.18,8.49,1.77,0.48,14.70,3.24,0.12,0.00,NA,3.24,1.37,30.45,82.20,1.64,322.33,0.29,28.00,187.92,NA,NA
2021-01-07 00:00:00,16.62,30.18,7.97,15.27,23.31,8.37,1.77,0.55,14.79,3.04,0.05,0.00,NA,3.04,0.46,30.49,82.20,1.68,322.54,0.04,3.80,192.87,NA,NA
2021-01-08 00:00:00,17.30,32.75,8.01,15.20,23.32,8.37,1.34,0.44,14.79,2.82,0.11,0.00,NA,2.82,0.17,30.42,82.20,1.53,323.31,0.03,2.40,183.43,NA,NA
2021-01-09 00:00:00,14.30,30.82,8.02,15.29,23.25,8.40,1.63,0.48,14.85,2.87,0.17,0.00,NA,2.87,NA,30.28,82.20,1.74,325.07,0.00,0.00,165.42,NA,NA
2021-01-10 00:00:00,25.01,41.38,8.03,15.24,23.24,8.35,1.40,0.52,14.71,3.08,0.13,0.00,NA,3.08,NA,30.17,82.20,1.66,326.05,0.00,0.00,151.01,NA,NA
2021-01-11 00:00:00,40.39,71.60,7.97,15.17,23.31,8.50,1.28,0.68,14.98,4.78,0.20,0.00,NA,4.77,NA,29.84,82.20,1.35,327.31,0.00,0.00,106.44,NA,NA
2021-01-12 00:00:00,42.75,83.02,8.07,15.26,23.18,8.40,1.16,0.73,14.83,4.85,0.20,0.00,NA,4.85,NA,29.90,82.20,1.61,328.10,0.00,0.00,114.70,NA,NA
2021-01-13 00:00:00,38.96,79.90,8.00,15.20,23.29,8.48,2.18,0.75,14.41,4.36,0.23,0.00,NA,4.36,NA,29.87,82.20,1.80,328.18,0.00,0.00,111.00,NA,NA
2021-01-14 00:00:00,39.62,81.72,7.98,15.24,23.10,8.45,2.09,0.59,14.47,3.69,0.12,0.00,NA,3.69,NA,30.32,82.20,1.81,328.55,0.00,0.00,169.86,NA,NA
2021-01-15 00:00:00,30.73,58.17,8.02,15.29,23.22,8.46,1.72,0.53,14.67,3.48,0.15,0.00,NA,3.48,NA,30.21,82.20,1.65,329.15,0.00,0.40,155.63,NA,NA
2021-01-16 00:00:00,33.36,63.87,8.03,15.26,23.25,8.41,2.34,0.59,14.50,3.45,0.21,0.00,NA,3.45,NA,30.33,82.20,1.60,329.45,0.00,0.00,171.27,NA,NA
2021-01-17 00:00:00,42.10,69.30,7.91,15.23,23.27,8.41,1.67,0.57,14.41,3.52,0.24,0.00,NA,3.52,NA,30.36,82.20,1.76,329.70,0.00,0.00,175.76,NA,NA
2021-01-18 00:00:00,44.52,81.56,7.94,15.31,23.16,8.42,2.68,0.42,13.86,3.33,0.08,0.00,NA,3.31,NA,30.42,82.20,1.95,330.07,0.00,0.00,174.56,NA,NA
2021-01-19 00:00:00,42.62,83.90,8.05,15.27,23.22,8.48,2.53,0.62,13.83,3.29,0.19,0.00,NA,3.29,NA,NA,82.20,1.82,330.96,0.00,0.00,172.04,NA,NA
2021-01-20 00:00:00,48.73,91.30,8.08,15.14,23.29,8.35,1.77,0.69,13.95,3.78,0.18,0.00,NA,3.78,NA,NA,82.20,1.80,332.13,0.00,0.00,161.78,NA,NA
2021-01-21 00:00:00,61.92,110.51,7.99,15.31,23.22,8.39,2.25,0.61,14.00,4.19,0.35,0.00,NA,4.19,0.12,30.28,82.20,1.75,333.37,0.00,0.00,167.54,NA,NA
2021-01-22 00:00:00,58.37,108.88,8.00,15.29,23.19,8.46,1.68,0.57,13.87,3.69,0.16,0.00,NA,3.69,0.43,30.29,82.20,1.87,333.62,0.00,0.00,166.44,NA,NA
2021-01-23 00:00:00,53.66,100.64,7.96,15.20,23.28,8.45,2.08,0.70,13.87,4.54,0.13,0.00,NA,4.54,NA,30.30,74.06,1.73,332.17,0.00,0.00,168.00,NA,NA
2021-01-24 00:00:00,56.06,96.87,7.92,15.28,23.37,8.26,1.97,0.41,13.54,2.71,0.13,0.00,NA,2.71,0.05,30.54,59.63,1.82,332.38,0.00,0.00,199.40,NA,NA
2021-01-25 00:00:00,66.91,107.61,8.03,15.29,23.13,8.51,2.39,0.77,13.79,3.62,0.28,0.00,NA,3.62,0.03,30.18,62.84,1.73,333.12,0.00,0.00,154.88,NA,NA
2021-01-26 00:00:00,58.09,77.32,8.07,15.25,23.30,8.41,3.62,0.54,13.14,3.74,0.12,0.01,NA,3.74,0.05,30.39,73.59,1.59,333.97,0.00,0.00,179.17,NA,NA
2021-01-27 00:00:00,57.85,84.25,8.03,15.37,23.14,8.36,4.18,0.55,12.71,3.24,0.13,0.00,NA,3.24,0.29,30.35,71.96,1.76,329.58,0.00,0.00,173.88,NA,NA
2021-01-28 00:00:00,56.16,83.74,7.92,15.24,23.22,8.57,2.69,0.71,12.73,3.77,0.12,0.00,NA,3.77,0.39,30.34,76.62,1.78,333.29,0.00,0.00,172.41,NA,NA
2021-01-29 00:00:00,60.28,91.85,7.96,15.26,23.33,8.51,2.89,0.65,12.60,3.91,0.35,0.00,NA,3.91,0.10,30.37,72.04,1.80,338.22,0.00,0.00,176.20,NA,NA
2021-01-30 00:00:00,67.13,102.32,8.02,15.30,23.08,8.34,2.82,0.71,12.76,3.47,0.14,0.00,NA,3.47,0.02,30.26,73.36,1.67,336.45,0.00,0.00,162.03,NA,NA
2021-01-31 00:00:00,64.60,93.81,8.05,15.16,23.29,8.43,2.89,0.54,13.30,3.40,0.24,0.00,NA,3.40,NA,30.32,78.63,1.83,338.31,0.00,0.00,170.13,NA,NA
2021-02-01 00:00:00,65.18,99.21,7.98,15.25,23.37,8.42,2.30,0.75,13.40,2.64,0.03,0.00,NA,2.64,NA,30.30,78.60,1.60,344.87,0.00,0.00,167.00,NA,NA
2021-02-02 00:00:00,50.46,77.75,8.04,15.17,23.25,8.32,2.80,0.54,13.41,0.00,1.10,0.00,NA,NA,NA,30.37,78.60,1.63,341.84,0.00,0.00,176.88,NA,NA
2021-02-03 00:00:00,56.75,88.15,7.97,15.24,23.25,8.51,3.16,0.66,12.90,0.00,1.10,0.00,NA,NA,NA,30.32,78.59,1.58,342.61,0.00,0.00,169.85,NA,NA
2021-02-04 00:00:00,62.38,96.83,7.99,15.20,23.34,8.43,3.40,0.80,12.66,0.00,1.10,0.00,NA,NA,NA,30.33,66.89,1.55,342.58,0.00,0.00,170.94,NA,NA
2021-02-05 00:00:00,64.52,96.34,8.01,15.21,23.31,8.38,2.85,0.52,13.33,0.00,1.10,0.00,NA,NA,NA,30.31,56.60,1.66,343.12,0.00,0.00,168.44,NA,NA
