Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2022-01-01 00:00:00,49.69,72.01,3.64,30.37,33.99,7.45,3.66,1.20,38.23,0.60,0.11,0.20,NA,0.50,0.40,28.38,64.99,3.41,189.19,0.00,0.00,131.24,NA,NA
2022-01-02 00:00:00,50.05,73.39,2.48,23.09,25.56,8.31,2.27,1.20,34.30,0.60,0.11,0.20,NA,0.50,0.40,28.42,62.33,4.26,220.26,0.00,0.00,139.90,NA,NA
2022-01-03 00:00:00,38.46,71.34,4.93,39.44,44.37,5.50,4.48,1.10,34.47,0.60,0.11,0.20,NA,0.49,0.40,28.62,59.04,3.18,196.10,0.00,0.00,133.62,NA,NA
2022-01-04 00:00:00,35.04,86.09,3.04,33.10,36.14,5.82,3.84,0.99,47.11,0.60,0.11,0.20,NA,0.50,0.40,27.79,65.38,2.72,231.70,0.00,0.00,122.67,NA,NA
2022-01-05 00:00:00,34.77,131.81,3.84,42.68,46.55,6.13,4.88,0.98,42.71,0.59,0.11,0.20,NA,0.49,0.40,27.24,67.34,2.59,148.73,0.00,0.00,119.62,NA,NA
2022-01-06 00:00:00,34.91,86.37,2.60,28.16,30.76,7.48,4.46,0.98,11.16,0.60,0.11,0.20,NA,0.50,0.39,27.32,74.55,2.59,270.69,0.00,0.00,130.46,NA,NA
2022-01-07 00:00:00,38.78,100.20,4.21,31.45,35.66,6.91,1.69,1.06,10.51,0.59,0.11,0.20,NA,0.50,0.40,27.30,78.49,2.21,150.11,0.00,0.00,126.44,NA,NA
2022-01-08 00:00:00,45.09,119.38,5.16,45.12,50.27,3.12,2.89,1.20,30.31,0.60,0.11,0.20,NA,0.50,0.40,27.65,77.68,2.02,139.36,0.00,0.00,107.31,NA,NA
2022-01-09 00:00:00,45.15,84.82,3.97,33.02,36.99,6.59,2.96,1.21,44.08,0.60,0.11,0.20,NA,0.50,0.40,27.34,74.54,2.48,162.53,0.00,0.00,127.64,NA,NA
2022-01-10 00:00:00,44.64,82.58,5.25,37.92,43.17,5.98,1.93,1.18,40.86,0.59,0.11,0.20,NA,0.50,0.39,27.16,79.06,2.06,122.15,0.00,0.00,121.54,NA,NA
