Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2020-01-01 00:00:00,34.09,63.48,9.93,22.32,19.91,13.06,10.12,1.38,44.52,NA,NA,NA,NA,NA,NA,29.08,75.49,1.33,180.16,0.00,0.00,186.90,NA,NA
2020-01-02 00:00:00,38.06,62.52,9.66,22.28,19.66,13.81,8.77,0.97,36.49,NA,NA,NA,NA,NA,NA,28.97,75.80,1.24,166.93,0.00,0.00,174.71,705.14,NA
2020-01-03 00:00:00,37.69,63.73,13.22,24.11,23.52,14.19,8.79,0.74,34.46,NA,NA,NA,NA,NA,NA,29.32,74.74,1.33,175.74,0.00,0.00,182.46,NA,NA
2020-01-04 00:00:00,29.45,54.30,10.64,19.77,19.12,13.75,7.54,0.93,46.18,NA,NA,NA,NA,NA,NA,29.14,76.71,1.45,153.14,0.51,47.00,187.46,717.82,NA
2020-01-05 00:00:00,29.29,49.09,8.62,17.69,16.31,13.83,8.41,0.85,43.18,NA,NA,NA,NA,NA,NA,29.16,77.29,1.38,198.99,0.00,0.00,168.04,739.04,NA
2020-01-06 00:00:00,35.18,73.27,12.42,28.35,25.14,13.57,9.73,1.13,36.19,NA,NA,NA,NA,NA,NA,29.43,76.02,1.23,179.49,0.00,0.00,185.17,749.18,NA
2020-01-07 00:00:00,30.72,59.52,14.72,28.81,27.25,11.45,9.37,1.10,35.78,NA,NA,NA,NA,NA,NA,29.52,73.92,1.21,168.89,0.00,0.00,208.66,748.75,NA
2020-01-08 00:00:00,13.72,38.80,7.52,15.12,14.12,10.52,7.58,0.82,35.72,NA,NA,NA,NA,NA,NA,28.85,76.76,1.21,212.22,0.41,37.50,146.70,751.41,NA
2020-01-09 00:00:00,33.62,58.74,11.54,24.61,22.42,10.38,8.13,1.00,40.21,NA,NA,NA,NA,NA,NA,28.80,75.43,1.24,200.42,0.00,0.00,195.84,766.88,NA
2020-01-10 00:00:00,47.25,70.63,9.71,25.70,20.77,10.44,8.53,1.07,34.86,NA,NA,NA,NA,NA,NA,28.23,77.11,1.02,170.47,0.00,0.00,141.94,748.33,NA
2020-01-11 00:00:00,36.00,55.19,11.83,29.94,25.49,10.50,9.97,1.00,47.67,NA,NA,NA,NA,NA,NA,28.63,66.70,1.22,180.89,0.00,0.00,220.47,750.25,NA
2020-01-12 00:00:00,33.49,52.84,9.16,21.11,18.56,11.44,10.63,0.79,51.55,NA,NA,NA,NA,NA,NA,28.65,63.58,1.44,145.06,0.00,0.00,210.01,747.17,NA
2020-01-13 00:00:00,45.67,72.90,10.28,27.68,23.04,13.35,9.04,0.99,51.20,NA,NA,NA,NA,NA,NA,28.09,70.52,1.24,176.13,0.00,0.00,185.47,NA,NA
2020-01-14 00:00:00,49.34,85.95,9.53,26.49,21.80,13.00,8.78,0.91,59.00,NA,NA,NA,NA,NA,NA,28.44,70.76,1.29,164.04,0.02,2.00,192.55,NA,NA
2020-01-15 00:00:00,62.94,91.32,8.20,25.47,20.17,13.86,8.64,1.06,58.39,NA,NA,NA,NA,NA,NA,27.98,71.97,1.27,147.89,0.00,0.00,176.26,NA,NA
2020-01-16 00:00:00,45.54,69.58,10.48,28.60,23.69,14.00,8.74,0.97,53.61,NA,NA,NA,NA,NA,NA,28.28,67.66,1.39,201.49,0.00,0.00,200.32,NA,NA
2020-01-17 00:00:00,26.83,68.33,9.48,22.89,19.85,14.24,8.53,0.92,55.23,NA,NA,NA,NA,NA,NA,28.54,69.62,1.50,185.22,0.00,0.00,203.85,NA,NA
2020-01-18 00:00:00,29.87,60.74,11.58,25.15,22.75,17.68,9.34,0.88,46.26,NA,NA,NA,NA,NA,NA,29.14,70.88,1.30,185.35,0.00,0.00,187.22,NA,NA
2020-01-19 00:00:00,30.60,57.43,9.83,23.22,20.30,17.20,8.62,0.96,37.36,NA,NA,NA,NA,NA,NA,29.54,73.61,1.04,247.97,0.00,0.00,132.74,NA,NA
2020-01-20 00:00:00,31.61,59.05,12.60,24.62,23.32,15.12,7.61,1.14,29.49,NA,NA,NA,NA,NA,NA,29.15,75.86,1.42,214.55,0.00,0.00,176.59,NA,NA
2020-01-21 00:00:00,24.98,51.87,11.45,22.83,21.31,12.66,8.07,1.04,35.67,NA,NA,NA,NA,NA,NA,29.21,75.99,1.32,211.59,0.00,0.00,189.52,NA,NA
2020-01-22 00:00:00,23.57,56.16,11.49,22.64,21.35,12.30,8.68,0.98,37.80,NA,NA,NA,NA,NA,NA,29.46,75.67,1.27,260.27,0.00,0.00,200.54,NA,NA
2020-01-23 00:00:00,25.99,53.69,12.84,23.96,22.91,11.73,8.73,1.07,33.36,NA,NA,NA,NA,NA,NA,29.52,75.27,1.35,242.47,0.00,0.00,196.14,NA,NA
2020-01-24 00:00:00,29.00,60.70,9.94,21.06,19.25,11.81,7.52,1.07,37.44,NA,NA,NA,NA,NA,NA,29.64,73.53,1.32,226.47,0.00,0.00,205.73,734.67,NA
2020-01-25 00:00:00,30.07,67.06,10.66,22.69,20.69,11.44,7.85,1.01,43.43,NA,NA,NA,NA,NA,NA,29.23,70.53,1.44,190.67,0.00,0.00,212.97,751.63,NA
2020-01-26 00:00:00,24.44,54.43,8.43,17.25,15.91,9.91,8.44,0.86,52.16,NA,NA,NA,NA,NA,NA,28.25,69.74,1.41,205.84,0.00,0.00,206.43,733.06,NA
2020-01-27 00:00:00,30.06,60.73,9.05,19.87,17.88,10.33,9.03,0.87,53.69,NA,NA,NA,NA,NA,NA,27.97,71.24,1.45,176.25,0.03,3.00,204.84,749.74,NA
2020-01-28 00:00:00,36.90,79.82,8.84,22.48,19.10,11.11,8.47,0.96,53.52,NA,NA,NA,NA,NA,NA,28.08,71.27,1.34,166.94,0.00,0.00,201.66,752.76,NA
2020-01-29 00:00:00,50.03,91.60,9.08,26.43,21.40,10.76,9.33,1.13,52.68,NA,NA,NA,NA,NA,NA,28.26,70.96,1.19,186.35,0.00,0.00,205.73,753.88,NA
2020-01-30 00:00:00,46.38,87.05,8.02,20.00,17.05,12.01,8.87,1.05,53.49,NA,NA,NA,NA,NA,NA,28.37,72.40,1.42,181.34,0.00,0.00,203.51,753.13,NA
2020-01-31 00:00:00,39.22,86.97,9.00,23.14,19.49,14.14,8.35,1.06,56.87,NA,NA,NA,NA,NA,NA,28.65,72.61,1.37,193.73,0.00,0.00,202.62,750.59,NA
2020-02-01 00:00:00,42.01,70.03,8.37,18.49,16.59,14.45,7.72,0.90,52.73,NA,NA,NA,NA,NA,NA,29.04,70.15,1.55,207.18,0.00,0.00,213.81,750.88,NA
2020-02-02 00:00:00,33.13,58.20,8.32,17.59,16.08,14.34,7.67,0.85,54.59,NA,NA,NA,NA,NA,NA,29.00,66.48,1.58,208.52,0.00,0.00,185.57,752.66,NA
2020-02-03 00:00:00,35.90,67.02,9.56,23.76,20.37,14.48,7.39,1.03,47.50,NA,NA,NA,NA,NA,NA,28.63,68.86,1.46,213.25,0.00,0.00,179.77,753.40,NA
2020-02-04 00:00:00,31.99,55.75,10.34,20.75,19.40,14.89,9.10,0.89,43.90,NA,NA,NA,NA,NA,NA,28.79,70.96,1.37,211.99,0.00,0.00,202.47,751.01,NA
2020-02-05 00:00:00,33.80,61.52,9.12,19.64,17.82,13.95,8.38,0.99,41.12,NA,NA,NA,NA,NA,NA,28.74,72.69,1.33,165.20,0.00,0.00,183.75,751.48,NA
2020-02-06 00:00:00,27.72,59.88,8.42,17.83,16.30,13.25,8.56,0.87,46.55,NA,NA,NA,NA,NA,NA,28.86,71.78,1.43,160.48,0.00,0.00,187.14,751.91,NA
2020-02-07 00:00:00,31.33,57.13,9.62,17.14,16.89,12.56,9.55,0.93,42.07,NA,NA,NA,NA,NA,NA,29.05,72.28,1.54,229.72,0.00,0.00,191.28,752.70,NA
2020-02-08 00:00:00,37.90,61.51,9.89,18.60,17.90,12.99,10.10,0.98,47.70,NA,NA,NA,NA,NA,NA,29.23,70.79,1.57,228.51,0.00,0.00,199.56,752.97,NA
2020-02-09 00:00:00,39.31,65.66,8.32,19.42,17.05,13.18,10.83,1.02,54.12,NA,NA,NA,NA,NA,NA,29.25,68.46,1.54,193.81,0.00,0.00,219.53,751.42,NA
2020-02-10 00:00:00,82.27,117.73,8.61,21.60,18.46,17.32,10.40,1.20,48.39,NA,NA,NA,NA,NA,NA,28.77,70.33,1.41,163.52,0.00,0.00,205.97,750.10,NA
2020-02-11 00:00:00,40.57,71.87,10.25,24.35,21.25,12.57,11.95,1.02,45.76,NA,NA,NA,NA,NA,NA,28.83,64.41,1.34,172.25,0.00,0.00,225.88,749.62,NA
2020-02-12 00:00:00,36.55,65.33,4.85,22.08,15.69,12.78,10.59,1.07,44.79,NA,NA,NA,NA,NA,NA,29.22,67.60,1.38,183.53,0.00,0.00,217.24,751.60,NA
2020-02-13 00:00:00,39.73,68.47,9.21,21.79,19.04,14.43,9.44,1.26,41.77,NA,NA,NA,NA,NA,NA,29.16,71.87,1.50,175.37,0.00,0.00,220.20,752.24,NA
