Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01,125.54,206.03,1.17,34.33,19.22,12.56,27.34,1.3,58.99,,,,,,,21.56,70.86,0.84,172.19,0.0,0.0,233.75,713.63,
2024-01-02,100.64,156.83,1.09,31.96,17.89,13.19,20.53,1.21,29.11,,,,,,,17.39,83.08,0.69,152.59,0.0,0.0,136.17,715.07,
2024-01-03,108.01,172.26,1.04,29.36,16.44,10.96,19.09,1.46,28.49,,,,,,,17.34,85.48,0.64,162.8,0.0,0.0,124.29,715.21,
2024-01-04,136.23,227.21,1.44,32.28,18.34,13.13,19.14,2.04,23.19,,,,,,,15.93,89.14,0.92,161.82,0.08,0.08,95.86,715.57,
2024-01-05,76.28,119.11,1.48,32.11,18.29,11.91,19.03,1.82,28.93,,,,,,,16.49,88.88,0.87,169.49,0.0,0.0,122.59,715.35,
2024-01-06,69.45,117.62,1.07,30.14,16.9,9.68,19.8,1.47,26.37,,,,,,,15.94,88.43,0.8,171.08,0.0,0.0,89.8,715.56,
2024-01-07,80.58,134.42,1.03,26.16,14.76,7.56,20.25,1.26,23.04,,,,,,,16.02,89.18,0.52,152.47,0.0,0.0,78.19,715.67,
2024-01-08,102.02,167.76,1.26,26.54,15.15,7.68,22.54,1.34,38.17,,,,,,,18.33,84.53,0.41,163.36,0.0,0.0,164.81,714.85,
2024-01-09,97.62,170.47,1.65,19.42,11.66,3.08,17.68,1.25,47.84,,,,,,,19.16,81.76,0.94,168.15,0.0,0.0,166.6,714.44,
2024-01-10,86.49,145.55,1.65,25.22,14.71,8.98,23.01,1.3,38.34,,,,,,,15.56,89.68,0.76,177.26,0.0,0.0,87.62,715.65,
