Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2019-01-01 00:00:00,51.23,115.18,9.97,33.64,25.99,15.48,9.25,1.03,100.80,2.26,7.79,NA,NA,1.64,NA,26.62,30.06,1.60,160.27,0.00,0.00,60.81,NA,NA
2019-01-02 00:00:00,68.68,147.57,4.78,40.12,25.21,16.39,34.96,0.72,104.25,2.50,10.58,NA,NA,1.71,NA,26.77,32.42,2.64,224.58,0.00,0.00,58.76,NA,NA
2019-01-03 00:00:00,48.30,116.24,2.15,37.98,21.94,22.30,4.75,0.54,30.51,2.04,12.98,NA,NA,1.10,NA,26.59,37.01,2.39,84.18,0.00,0.00,74.45,NA,NA
2019-01-04 00:00:00,56.55,121.33,2.99,42.31,24.93,24.46,5.36,0.39,21.00,1.59,19.08,NA,NA,0.88,NA,25.80,42.73,1.93,115.18,0.00,0.00,58.50,NA,NA
2019-01-05 00:00:00,78.02,174.19,6.55,44.10,28.78,26.92,5.44,0.64,21.88,2.89,54.71,NA,NA,2.16,NA,26.78,40.89,2.26,207.12,0.00,0.00,59.36,NA,NA
2019-01-06 00:00:00,68.08,168.98,3.54,40.30,24.32,24.95,5.44,0.56,24.52,2.78,53.03,NA,NA,3.02,NA,25.55,43.22,2.96,195.17,0.00,0.00,57.93,NA,NA
2019-01-07 00:00:00,159.26,246.82,2.60,36.96,21.77,28.98,5.73,0.63,23.19,3.20,15.64,NA,NA,0.99,NA,22.95,70.99,3.28,79.39,0.00,0.00,47.74,NA,NA
2019-01-08 00:00:00,110.89,166.30,2.95,38.79,23.04,30.20,6.31,0.55,25.58,2.62,19.33,NA,NA,45.13,NA,23.77,61.10,2.08,106.99,0.00,0.00,58.93,NA,NA
2019-01-09 00:00:00,83.73,154.10,2.62,38.30,22.51,29.02,5.24,0.52,24.82,2.24,15.09,NA,NA,0.96,NA,24.36,50.18,1.83,75.04,0.00,0.00,56.86,NA,NA
2019-01-10 00:00:00,67.50,154.49,5.25,38.15,24.52,28.71,3.89,0.61,17.96,2.03,15.48,NA,NA,1.17,NA,24.26,48.95,1.90,88.62,0.00,0.00,59.06,NA,NA
