Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2019-01-01 00:00:00,264.39,389.45,NA,3.85,NA,1.64,23.11,0.46,36.43,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-02 00:00:00,220.99,403.25,NA,3.45,NA,1.79,17.42,0.40,37.72,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-03 00:00:00,174.92,360.55,NA,2.68,NA,1.67,11.38,0.36,38.84,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-04 00:00:00,203.80,380.62,NA,2.50,NA,1.52,12.75,0.37,44.37,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-05 00:00:00,192.47,326.12,NA,3.21,NA,1.93,22.04,0.38,28.53,0.10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-06 00:00:00,137.23,252.72,NA,2.35,NA,2.09,17.61,0.31,68.63,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-07 00:00:00,177.89,297.21,NA,1.91,NA,1.69,12.82,0.27,70.57,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-08 00:00:00,145.26,230.40,NA,2.07,NA,1.69,11.47,0.26,55.74,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-09 00:00:00,130.18,255.51,NA,2.02,NA,1.81,10.42,0.29,51.50,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-10 00:00:00,143.32,289.31,NA,2.38,NA,1.74,35.80,0.80,42.19,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-11 00:00:00,159.42,325.26,NA,33.54,NA,10.36,65.43,1.54,36.74,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-12 00:00:00,206.76,391.89,NA,76.54,NA,22.40,66.69,1.76,27.51,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-13 00:00:00,176.01,344.79,NA,56.00,NA,20.39,59.85,1.57,50.90,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-14 00:00:00,143.66,257.01,NA,39.37,NA,17.33,30.57,0.95,76.86,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-15 00:00:00,96.17,246.11,NA,46.69,NA,15.12,34.77,1.01,48.05,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
