Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01,54.8,94.17,2.34,11.15,13.49,,10.89,1.3,,,,,,,,,,,,,,,,
2024-01-02,71.4,134.27,2.81,11.17,13.98,,10.34,1.52,,,,,,,,,,,,,,,,
2024-01-03,69.0,118.1,2.38,11.15,13.53,,9.71,1.53,,,,,,,,,,,,,,,,
2024-01-04,56.34,98.1,2.59,11.16,13.75,,9.73,1.46,,,,,,,,,,,,,,,,
2024-01-05,34.38,62.69,2.12,11.15,13.28,,9.55,1.46,,,,,,,,,,,,,,,,
2024-01-06,26.23,45.67,1.81,11.15,12.97,,9.29,1.65,,,,,,,,,,,,,,,,
2024-01-07,34.42,62.65,2.1,11.15,13.25,,9.52,1.42,,,,,,,,,,,,,,,,
2024-01-08,46.26,80.74,2.31,11.15,13.46,,9.76,1.28,,,,,,,,,,,,,,,,
2024-01-09,58.38,98.92,3.61,11.16,14.78,,10.22,1.25,,,,,,,,,,,,,,,,
2024-01-10,26.82,47.48,2.94,11.16,14.1,,10.09,1.22,,,,,,,,,,,,,,,,
2024-01-11,14.15,25.86,1.9,11.15,13.05,,9.87,0.95,,,,,,,,,,,,,,,,
2024-01-12,20.94,37.96,2.23,11.15,13.38,,10.66,0.89,,,,,,,,,,,,,,,,
2024-01-13,16.5,30.06,3.46,11.16,14.63,,9.95,0.68,,,,,,,,,,,,,,,,
2024-01-14,19.57,38.17,4.07,11.17,15.24,,9.89,0.79,,,,,,,,,,,,,,,,
2024-01-15,20.1,36.86,3.75,11.17,14.91,,9.45,0.8,,,,,,,,,,,,,,,,
2024-01-16,25.79,50.63,2.86,11.16,14.02,,9.56,0.94,,,,,,,,,,,,,,,,
2024-01-17,64.19,111.49,0.99,11.13,12.12,,10.25,1.69,,,,,,,,,,,,,,,,
2024-01-18,47.18,86.07,0.1,11.14,10.78,,10.39,1.66,,,,,,,,,,,,,,,,
2024-01-19,61.5,118.4,,11.13,9.5,,10.41,1.61,,,,,,,,,,,,,,,,
2024-01-20,78.24,135.07,,11.14,8.99,,11.18,1.66,,,,,,,,,,,,,,,,
2024-01-21,41.44,67.89,,11.13,9.53,,11.12,1.5,,,,,,,,,,,,,,,,
2024-01-22,33.69,55.89,0.57,11.13,10.93,,10.67,1.14,,,,,,,,,,,,,,,,
