Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01,89.09,140.8,1.18,8.32,5.38,10.12,10.63,1.01,44.88,0.65,5.38,,,4.94,,19.91,68.14,2.02,216.72,0.0,0.0,115.24,,
2024-01-02,85.18,149.21,1.21,7.55,5.01,10.08,9.92,0.72,41.59,1.0,9.05,,,3.59,,16.89,79.79,3.17,202.53,0.0,0.0,110.31,,
2024-01-03,91.75,178.46,1.23,8.61,5.58,9.86,10.53,0.71,34.34,1.41,11.68,,,2.72,,15.78,85.79,2.7,219.45,0.11,0.11,101.4,,
2024-01-04,108.57,206.51,1.32,9.98,6.38,9.45,9.81,0.98,31.15,1.8,10.68,,,1.55,,14.54,88.18,2.64,230.08,0.0,0.0,63.86,,
2024-01-05,101.72,189.08,1.24,8.21,5.38,9.56,9.55,0.84,31.38,1.47,9.12,,,1.77,,13.14,88.72,2.24,218.0,0.0,0.0,45.99,,
2024-01-06,87.61,162.4,1.25,9.77,6.2,9.35,9.37,1.05,33.14,1.69,9.79,,,1.42,,12.82,83.45,2.43,237.18,0.0,0.0,89.08,,
2024-01-07,65.48,112.07,1.29,10.16,6.43,9.12,9.81,0.83,30.36,1.3,8.7,,,1.79,,13.24,89.49,3.06,240.75,0.01,0.01,78.1,,
2024-01-08,84.38,146.21,1.26,11.29,7.02,9.11,10.57,0.96,36.02,0.85,9.84,,,12.54,,17.95,75.76,2.59,246.7,0.0,0.0,122.47,,
2024-01-09,93.72,166.41,1.28,11.2,6.99,9.46,10.56,0.63,42.91,1.26,10.77,,,8.15,,19.21,71.76,3.34,236.61,0.0,0.0,114.82,,
2024-01-10,105.66,210.69,1.24,9.68,6.16,9.41,10.51,1.3,32.57,1.94,11.17,,,2.33,,15.67,85.33,3.15,221.7,0.0,0.0,104.42,,
