Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01,52.88,122.95,9.11,7.16,15.29,8.23,19.41,2.21,2.47,0.0,,,,,,,,,,,,,,
2024-01-02,42.56,99.02,8.53,8.22,16.76,8.27,17.03,1.89,31.81,0.0,,,,,,,,,,,,,,
2024-01-03,48.83,113.56,9.51,7.83,17.34,8.01,17.66,1.72,29.77,0.0,,,,,,,,,,,,,,
2024-01-04,51.96,120.82,10.92,6.32,16.53,7.93,17.85,1.5,15.06,0.0,,,,,,20.99,,0.17,207.49,,,,,
2024-01-05,54.17,125.97,11.24,7.77,15.44,7.63,18.4,1.61,12.1,4.84,,,,,,21.78,,0.21,145.87,,,,,
2024-01-06,49.8,115.83,10.32,11.62,21.94,6.92,16.89,1.38,23.23,10.0,,,,,,21.42,,0.29,138.73,,,,,
2024-01-07,47.76,111.07,9.21,11.92,21.13,7.18,16.31,1.38,23.13,10.0,,,,,,21.45,,0.29,141.37,,,,,
2024-01-08,56.22,130.75,9.36,12.27,21.63,7.03,15.33,1.49,21.95,10.0,,,,,,21.65,,0.28,150.54,,,,,
2024-01-09,59.05,137.34,9.65,12.62,22.14,6.9,14.03,1.66,19.35,10.0,,,,,,22.36,,0.21,167.88,,,,,
2024-01-10,62.45,145.22,8.94,12.48,21.42,7.12,13.89,1.64,20.79,10.0,,,,,,23.01,,0.26,164.76,,,,,
2024-01-11,54.54,126.85,9.47,13.05,17.83,6.82,13.81,1.17,19.38,7.92,,,,,,24.1,,0.34,158.98,,,,,
2024-01-12,29.0,67.44,9.58,12.51,21.97,6.95,14.09,1.29,19.75,10.0,,,,,,21.7,,0.32,136.18,,,,,
2024-01-13,27.76,64.56,9.39,13.24,22.63,6.73,13.85,1.26,19.36,10.0,,,,,,20.79,,0.34,136.55,,,,,
2024-01-14,33.48,77.85,9.72,13.32,23.03,6.65,13.43,1.87,19.41,10.0,,,,,,19.95,,0.3,127.19,,,,,
2024-01-15,38.63,89.85,9.44,13.69,22.98,6.75,12.92,1.43,19.99,10.0,,,,,,19.81,,0.32,144.57,,,,,
2024-01-16,43.19,100.44,8.4,14.39,22.44,7.23,13.06,1.38,20.1,10.0,,,,,,20.22,,0.29,136.11,,,,,
2024-01-17,46.51,108.17,9.94,15.02,23.18,7.9,10.45,1.63,19.33,10.0,,,,,,21.38,,0.51,141.13,,,,,
2024-01-18,43.58,101.35,10.4,16.45,25.39,8.59,9.09,1.57,19.24,10.0,,,,,,22.08,,0.17,153.1,,,,,
2024-01-19,25.29,58.81,14.43,21.01,29.75,9.77,9.31,1.42,19.04,10.0,,,,,,22.08,,0.48,141.59,,,,,
2024-01-20,30.52,70.98,16.27,23.19,32.17,11.07,9.34,1.58,18.89,10.0,,,,,,21.91,,0.34,138.84,,,,,
2024-01-21,29.94,69.63,18.17,27.63,36.9,10.81,9.38,1.43,18.9,10.0,,,,,,20.84,,0.4,142.99,,,,,
2024-01-22,33.9,78.84,14.92,22.69,31.91,9.36,9.43,1.32,18.99,10.0,,,,,,20.12,,0.38,131.22,,,,,
2024-01-23,29.31,68.16,17.03,26.61,36.49,10.79,9.49,1.23,19.06,10.0,,,,,,17.88,,0.36,143.11,,,,,
2024-01-24,26.63,61.92,20.31,31.78,42.69,9.99,9.54,1.41,18.89,10.0,,,,,,18.84,,0.24,143.68,,,,,
2024-01-25,33.37,77.62,21.73,33.23,44.93,11.58,9.53,1.37,19.01,10.0,,,,,,19.37,,0.42,134.81,,,,,
2024-01-26,33.83,78.69,16.26,19.84,30.52,9.7,9.75,1.43,19.05,10.0,,,,,,18.02,,0.3,128.45,,,,,
2024-01-27,51.94,120.78,21.16,35.02,46.33,11.56,10.32,1.7,19.06,10.0,,,,,,18.0,,0.11,192.13,,,,,
2024-01-28,62.21,144.7,18.42,26.3,37.93,10.99,9.95,1.91,19.03,10.0,,,,,,19.21,,0.02,237.73,,,,,
2024-01-29,64.33,149.63,39.62,49.68,69.48,17.56,10.17,2.03,19.28,10.0,,,,,,19.85,,0.02,246.27,,,,,
2024-01-30,58.48,136.0,21.22,23.07,39.8,10.12,10.2,1.89,19.11,10.0,,,,,,21.15,,0.02,258.27,,,,,
2024-01-31,55.46,129.0,17.63,23.03,37.14,7.33,9.99,1.65,19.08,10.0,,,,,,21.5,,0.02,254.41,,,,,
2024-02-01,51.35,119.42,27.95,39.9,57.76,11.23,10.01,1.58,19.07,10.0,,,,,,22.34,,0.02,250.24,,,,,
2024-02-02,39.35,91.5,99.1,92.33,142.97,25.88,10.05,1.51,18.95,10.0,,,,,,23.62,,0.24,182.63,,,,,
2024-02-03,41.95,97.57,84.67,102.51,138.83,24.42,9.96,1.68,19.25,10.0,,,,,,22.25,,0.36,143.47,,,,,
2024-02-04,,,47.75,56.57,79.37,19.36,10.08,1.66,19.17,10.0,,,,,,22.07,,0.33,168.55,,,,,
2024-02-05,,,60.81,78.4,107.23,20.17,9.97,1.93,18.98,10.0,,,,,,20.3,,0.41,135.63,,,,,
2024-02-06,,,94.13,90.52,134.09,28.76,10.01,1.52,19.12,10.0,,,,,,25.21,,0.26,179.1,,,,,
2024-02-07,,,121.69,124.65,171.64,24.75,10.03,1.14,18.94,10.0,,,,,,25.07,,0.38,127.72,,,,,
2024-02-08,,,99.54,98.74,147.38,26.81,10.08,1.0,19.08,10.0,,,,,,22.25,,0.34,128.78,,,,,
2024-02-09,,,40.22,66.22,84.39,12.83,10.01,1.28,19.62,10.0,,,,,,20.25,,0.44,143.52,,,,,
2024-02-10,57.99,134.86,92.65,85.07,115.95,29.12,9.98,1.63,20.13,10.0,,,,,,21.27,,0.4,145.78,,,,,
2024-02-11,38.88,90.43,15.54,19.4,25.69,7.38,10.02,1.46,19.68,10.0,,,,,,22.45,,0.46,156.84,,,,,
2024-02-12,33.73,78.44,12.65,16.15,27.6,8.1,10.68,1.59,19.72,9.88,,,,,,24.36,,0.15,197.64,,,,,
2024-02-13,34.49,80.2,11.77,15.43,27.14,7.17,11.21,1.42,20.91,10.0,,,,,,24.5,,0.12,172.29,,,,,
2024-02-14,40.92,95.2,12.03,15.43,27.47,7.21,11.31,1.42,20.49,10.0,,,,,,24.2,,0.24,167.76,,,,,
2024-02-15,38.37,89.23,11.36,15.75,27.11,7.19,11.31,1.4,19.77,10.0,,,,,,25.32,,0.29,168.32,,,,,
2024-02-16,40.34,93.81,10.67,15.91,26.59,7.4,11.4,1.45,19.91,10.0,,,,,,25.35,,0.33,159.55,,,,,
2024-02-17,37.75,87.79,11.81,15.57,27.19,7.14,11.47,1.45,19.71,10.0,,,,,,25.06,,0.27,156.79,,,,,
2024-02-18,42.4,98.6,11.57,15.85,27.21,7.18,11.57,1.46,19.82,10.0,,,,,,25.45,,0.35,201.47,,,,,
2024-02-19,46.08,107.14,10.94,15.8,26.74,7.33,11.62,1.5,21.59,10.0,,,,,,27.09,,0.26,164.53,,,,,
2024-02-20,51.14,118.92,12.18,15.86,28.04,6.85,11.69,1.91,20.71,10.0,,,,,,27.37,,0.31,174.21,,,,,
2024-02-21,41.06,95.49,11.08,16.06,19.35,7.28,11.77,1.15,20.58,7.13,,,,,,26.97,,0.5,161.25,,,,,
2024-02-22,30.19,70.2,12.85,16.08,28.61,6.74,11.83,1.62,19.54,9.89,,,,,,14.44,,0.1,180.5,,,,,
2024-02-23,29.3,68.14,11.39,15.98,27.38,7.13,11.88,1.2,20.15,10.0,,,,,,25.52,,0.45,159.12,,,,,
2024-02-24,26.99,62.77,10.25,16.53,26.61,7.53,11.64,1.21,19.79,10.0,,,,,,24.89,,0.37,173.69,,,,,
2024-02-25,20.54,47.78,9.37,16.72,25.81,7.83,11.61,1.15,20.06,9.89,,,,,,21.41,,0.03,238.33,,,,,
2024-02-26,35.35,82.23,11.66,16.09,27.75,7.05,11.65,1.55,19.54,10.0,,,,,,,,,,,,,,
2024-02-27,35.83,83.32,11.1,15.7,26.8,7.55,11.7,1.35,19.35,10.0,,,,,,21.46,,0.35,203.29,,,,,
2024-02-28,27.65,64.3,11.19,15.63,26.82,7.46,11.7,1.42,19.45,10.0,,,,,,25.57,,0.31,160.7,,,,,
2024-02-29,37.26,86.66,11.85,15.68,27.53,7.17,11.73,1.35,19.8,10.0,,,,,,25.91,,0.33,176.97,,,,,
2024-03-01,42.73,99.38,11.85,16.36,28.21,6.94,11.77,1.54,20.22,10.0,,,,,,26.05,,0.34,174.17,,,,,
2024-03-02,46.25,107.55,11.4,16.22,27.62,7.21,11.78,1.44,20.4,10.0,,,,,,26.67,,0.38,158.5,,,,,
2024-03-03,28.48,66.23,10.16,16.41,26.23,7.73,11.83,1.17,19.96,10.0,,,,,,26.8,,0.34,149.7,,,,,
2024-03-04,31.16,72.46,11.71,15.04,26.69,7.44,11.81,1.44,19.56,10.0,,,,,,25.41,,0.26,152.97,,,,,
2024-03-05,32.61,75.83,27.87,12.92,40.58,2.91,11.69,1.52,19.3,10.0,,,,,,26.77,,0.32,151.98,,,,,
2024-03-06,34.82,80.97,29.07,12.86,41.92,3.25,11.79,1.48,19.37,10.0,,,,,,27.48,,0.32,170.15,,,,,
2024-03-07,30.14,70.07,24.75,12.54,37.29,3.15,11.86,1.38,19.4,10.0,,,,,,26.11,,0.44,176.06,,,,,
2024-03-08,25.59,59.52,23.44,13.36,36.8,4.52,11.88,1.41,19.43,6.77,,,,,,26.41,,0.41,157.38,,,,,
2024-03-09,29.55,68.73,31.54,13.24,44.28,2.94,12.02,1.42,19.3,0.0,,,,,,25.08,,0.45,162.62,,,,,
2024-03-10,37.88,88.09,31.86,12.9,44.76,3.37,12.04,1.63,19.33,0.0,,,,,,23.86,,0.05,272.12,,,,,
2024-03-11,47.62,110.75,24.31,12.96,36.81,3.59,12.15,1.62,19.13,0.0,,,,,,26.54,,0.26,226.18,,,,,
2024-03-12,57.14,132.85,23.34,13.16,36.5,3.19,12.13,1.82,19.42,0.0,,,,,,27.91,,0.04,207.27,,,,,
2024-03-13,50.6,117.67,22.77,13.19,35.96,3.44,12.17,1.98,19.41,0.0,,,,,,29.0,,0.01,190.61,,,,,
2024-03-14,39.35,91.51,23.7,13.14,36.84,3.08,12.2,1.69,19.31,0.0,,,,,,27.55,,0.24,201.75,,,,,
2024-03-15,52.99,123.21,27.25,13.11,40.05,2.68,12.24,1.67,19.28,0.0,,,,,,28.87,,0.28,163.34,,,,,
2024-03-16,35.44,82.42,21.82,13.25,35.07,3.81,12.26,1.58,19.38,0.0,,,,,,29.07,,0.43,185.28,,,,,
2024-03-17,23.31,54.19,21.38,12.61,33.57,4.34,12.39,1.5,18.55,0.0,,,,,,27.79,,0.27,202.23,,,,,
2024-03-18,21.64,50.98,19.5,12.52,31.67,5.31,13.34,1.6,19.29,0.0,,,,,,26.01,,0.34,190.23,,,,,
2024-03-19,21.77,50.6,27.68,11.89,38.79,2.22,15.64,1.72,19.5,0.0,,,,,,23.63,,0.26,175.08,,,,,
2024-03-20,8.72,20.28,24.13,11.59,35.11,4.1,16.21,1.31,19.34,0.0,,,,,,22.55,,0.51,241.01,,,,,
2024-03-21,26.19,60.9,33.01,11.03,43.57,3.78,16.23,1.6,19.26,0.0,,,,,,24.28,,0.42,150.14,,,,,
2024-03-22,31.62,73.55,30.78,12.09,42.85,3.28,16.26,1.72,19.45,0.0,,,,,,26.61,,0.4,158.04,,,,,
2024-03-23,48.23,112.18,25.42,12.54,37.95,5.13,16.32,1.65,19.49,0.0,,,,,,28.04,,0.52,229.4,,,,,
2024-03-24,47.68,110.87,21.34,12.37,33.52,4.31,16.31,1.9,19.41,0.0,,,,,,29.03,,0.28,195.3,,,,,
2024-03-25,35.11,81.64,19.17,12.9,31.42,5.49,16.31,1.8,19.18,0.0,,,,,,29.29,,0.48,193.39,,,,,
2024-03-26,36.66,85.26,19.68,12.4,32.08,4.9,16.31,1.68,19.35,0.0,,,,,,27.34,,0.02,245.18,,,,,
2024-03-27,51.11,118.85,21.08,12.73,33.76,4.39,16.32,1.78,19.41,0.0,,,,,,28.96,,0.02,222.74,,,,,
2024-03-28,55.09,128.11,21.03,12.56,33.71,4.6,16.48,2.01,19.21,0.0,,,,,,30.21,,0.37,244.04,,,,,
2024-03-29,58.08,135.08,19.18,13.17,32.2,5.22,16.47,1.9,19.44,0.0,,,,,,31.8,,0.38,218.62,,,,,
