Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2019-01-01 00:00:00,91.57,203.60,22.43,20.93,43.77,6.60,2.89,0.15,9.92,7.60,2.77,6.67,NA,NA,NA,NA,78.27,1.20,186.11,NA,NA,238.66,NA,NA
2019-01-02 00:00:00,74.46,171.78,40.65,21.02,57.36,9.83,3.41,0.05,5.89,5.64,2.87,10.22,NA,NA,NA,NA,87.87,1.33,237.41,NA,NA,197.05,NA,NA
2019-01-03 00:00:00,44.13,97.99,31.13,27.79,59.09,9.18,3.51,0.01,5.61,6.53,2.40,8.11,NA,NA,NA,NA,68.57,1.21,279.66,NA,NA,222.12,NA,NA
2019-01-04 00:00:00,34.80,77.26,29.94,32.32,62.25,9.37,3.49,0.00,5.18,6.91,1.74,8.44,NA,NA,NA,NA,71.19,1.24,258.90,NA,NA,239.50,NA,NA
2019-01-05 00:00:00,26.74,59.37,26.50,29.09,55.51,8.30,2.26,0.00,5.02,7.44,1.54,6.80,NA,NA,NA,NA,86.10,1.87,131.50,NA,NA,209.42,NA,NA
2019-01-06 00:00:00,14.83,32.98,28.12,31.60,59.72,9.00,1.61,0.00,5.46,7.79,0.76,6.18,NA,NA,NA,NA,86.72,1.35,186.02,NA,NA,213.59,NA,NA
2019-01-07 00:00:00,23.33,53.97,25.31,28.09,48.34,8.11,1.83,0.00,5.01,7.05,1.13,5.84,NA,NA,NA,NA,87.57,1.35,300.78,NA,NA,171.98,NA,NA
2019-01-08 00:00:00,28.09,62.43,22.70,25.90,47.55,7.36,2.94,0.02,9.13,6.41,1.23,5.31,NA,NA,NA,NA,67.78,1.29,302.36,NA,NA,248.29,NA,NA
2019-01-09 00:00:00,34.12,90.50,16.26,21.27,32.06,5.61,3.19,0.04,9.30,5.22,1.24,4.42,NA,NA,NA,NA,60.95,1.20,263.08,NA,NA,290.52,NA,NA
2019-01-10 00:00:00,45.74,101.71,19.38,24.98,43.89,6.45,2.86,0.03,8.84,6.05,1.76,6.03,NA,NA,NA,NA,59.62,1.16,272.45,NA,NA,263.65,NA,NA
2019-01-11 00:00:00,71.52,172.43,26.39,29.73,51.44,8.24,4.13,0.00,4.70,5.52,2.32,8.77,NA,NA,NA,NA,84.23,0.80,267.71,NA,NA,128.54,NA,NA
2019-01-12 00:00:00,46.12,102.52,22.44,23.75,45.41,8.71,3.37,0.00,8.69,5.98,1.22,4.11,NA,NA,NA,NA,73.53,1.37,205.82,NA,NA,279.04,NA,NA
2019-01-13 00:00:00,27.59,63.83,33.81,36.87,67.89,15.17,2.83,0.00,5.78,7.12,0.76,5.10,NA,NA,NA,NA,71.76,1.70,223.89,NA,NA,271.15,NA,NA
2019-01-14 00:00:00,28.66,71.03,24.13,27.82,46.46,12.25,NA,0.00,7.29,6.62,0.79,3.63,NA,NA,NA,NA,61.06,1.69,302.82,NA,NA,301.12,NA,NA
2019-01-15 00:00:00,51.90,125.73,25.57,30.98,51.69,12.94,NA,0.00,4.79,6.37,1.29,5.64,NA,NA,NA,NA,55.36,1.27,235.85,NA,NA,272.23,NA,NA
2019-01-16 00:00:00,68.04,158.07,30.84,36.09,63.96,14.54,NA,0.00,4.96,8.61,1.72,6.86,NA,NA,NA,NA,76.55,1.19,157.76,NA,NA,247.97,NA,NA
2019-01-17 00:00:00,64.37,149.82,24.58,27.95,50.16,9.79,NA,0.00,8.20,7.07,1.87,6.62,NA,NA,NA,NA,75.70,1.21,263.33,NA,NA,252.02,NA,NA
2019-01-18 00:00:00,29.66,74.22,17.43,25.59,40.96,6.54,NA,0.00,8.16,6.24,1.54,6.03,NA,NA,NA,NA,64.16,1.22,272.58,NA,NA,299.11,NA,NA
2019-01-19 00:00:00,3.33,12.56,17.89,26.87,41.93,6.53,NA,0.00,6.13,7.50,1.48,6.21,NA,NA,NA,NA,66.12,1.15,269.29,NA,NA,294.90,NA,NA
2019-01-20 00:00:00,15.87,56.31,18.98,25.67,41.37,7.31,NA,0.00,5.32,7.76,1.40,5.51,NA,NA,NA,NA,76.26,1.36,204.02,NA,NA,313.82,NA,NA
2019-01-21 00:00:00,13.61,33.82,17.95,18.08,32.16,9.36,NA,0.00,6.77,4.98,0.53,2.54,NA,NA,NA,NA,94.86,1.68,217.65,NA,NA,213.90,NA,NA
2019-01-22 00:00:00,9.01,24.37,19.73,18.29,38.02,6.73,NA,0.00,9.04,6.15,0.35,2.35,NA,NA,NA,NA,89.67,2.43,97.37,NA,NA,230.32,NA,NA
2019-01-23 00:00:00,9.39,26.58,18.62,21.48,40.11,4.60,NA,0.00,5.53,6.24,0.34,2.86,NA,NA,NA,NA,90.32,1.03,165.28,NA,NA,225.83,NA,NA
2019-01-24 00:00:00,41.98,72.04,14.80,21.01,35.80,6.73,NA,0.00,8.51,5.34,3.38,0.00,NA,NA,NA,NA,69.27,0.16,203.18,NA,NA,219.46,NA,NA
