Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01,61.3,106.84,24.99,26.17,48.31,,16.18,0.97,,,,,,,,,70.12,1.53,239.47,,0.0,10.37,918.03,
2024-01-02,62.47,113.38,24.89,26.11,48.28,,13.71,0.67,,,,,,,,,70.1,1.62,224.02,,0.0,16.3,916.71,
2024-01-03,48.83,90.83,24.92,26.33,48.42,,10.12,0.82,,,,,,,,,70.11,1.45,200.4,,0.0,11.91,916.91,
2024-01-04,72.14,115.93,24.91,26.27,48.38,,11.22,0.71,,,,,,,,,70.06,1.74,294.32,,0.0,34.59,917.19,
2024-01-05,64.29,126.7,24.97,26.33,48.46,,12.49,0.76,,,,,,,,,70.11,1.46,219.55,,0.0,15.28,917.05,
2024-01-06,40.89,72.09,25.08,26.17,48.43,,14.98,0.95,,,,,,,,,70.13,1.58,222.86,,0.0,10.55,919.99,
2024-01-07,42.9,,24.91,26.28,48.38,,11.75,0.85,,,,,,,,,70.13,1.67,242.55,,0.0,12.26,920.75,
2024-01-08,52.42,109.11,24.9,26.43,48.43,,9.44,0.83,,,,,,,,,70.12,1.61,194.63,,0.0,8.21,920.29,
2024-01-09,59.94,122.05,24.94,26.31,48.43,,16.76,0.55,,,,,,,,,70.13,1.87,300.87,,0.0,9.41,921.03,
2024-01-10,69.6,125.03,24.89,26.23,48.34,,11.72,0.33,,,,,,,,,70.12,2.03,314.76,,0.0,20.38,918.48,
2024-01-11,47.74,81.15,24.93,26.4,48.46,,18.63,0.59,,,,,,,,,70.11,1.38,245.71,,0.0,18.6,918.54,
2024-01-12,50.48,72.37,25.02,26.45,48.51,,12.59,0.44,,,,,,,,,70.16,1.45,245.71,,0.0,17.67,916.66,
2024-01-13,39.89,,24.9,26.36,48.41,,9.81,0.9,,,,,,,,,70.13,1.55,129.6,,0.0,26.76,915.19,
2024-01-14,,,,,,,,,,,,,,,,,70.13,1.89,299.28,,0.0,15.21,916.48,
2024-01-15,71.61,157.05,25.34,26.54,48.77,,12.97,0.76,,,,,,,,,70.15,1.55,203.23,,0.0,19.3,915.23,
2024-01-16,51.5,77.25,25.06,26.44,48.58,,9.78,0.5,,,,,,,,,70.14,1.44,107.9,,0.0,28.91,911.22,
2024-01-17,55.46,92.43,24.95,26.49,48.53,,10.86,0.37,,,,,,,,,70.14,1.69,164.0,,0.0,15.1,911.54,
2024-01-18,36.57,72.12,25.03,26.36,48.52,,11.38,0.6,,,,,,,,,70.15,1.45,234.88,,0.0,12.06,915.04,
2024-01-19,34.51,68.51,24.91,26.43,48.45,,22.55,0.62,,,,,,,,,70.12,1.76,131.14,,0.0,26.89,916.88,
2024-01-20,51.05,100.73,25.01,26.64,48.52,,36.1,1.0,,,,,,,,,70.11,1.89,177.73,,0.0,18.47,918.24,
2024-01-21,38.14,69.17,24.97,26.43,48.48,,37.28,0.9,,,,,,,,,70.14,2.06,308.65,,0.0,13.09,918.04,
2024-01-22,57.15,103.53,24.94,26.32,48.43,,23.38,0.65,,,,,,,,,69.93,1.67,125.29,,0.0,25.12,918.17,
2024-01-23,38.63,94.07,24.91,26.38,48.44,,17.0,0.83,,,,,,,,,70.14,1.78,198.26,,0.0,14.82,917.53,
2024-01-24,103.12,54.51,24.9,26.45,48.43,,22.17,0.45,,,,,,,,,70.16,1.62,267.68,,0.0,13.68,918.04,
2024-01-25,48.84,85.14,24.97,26.46,48.52,,43.57,0.87,,,,,,,,,70.12,1.57,182.79,,0.0,22.46,920.87,
2024-01-26,32.36,73.15,24.9,26.5,48.41,,24.03,0.58,,,,,,,,,70.1,1.71,204.98,,0.0,27.21,921.89,
2024-01-27,21.77,73.71,24.98,26.15,48.35,,35.42,0.64,,,,,,,,,67.04,1.69,209.56,,0.0,31.41,918.92,
2024-01-28,31.46,145.21,24.95,26.11,48.34,,21.65,0.55,,,,,,,,,65.96,2.03,108.9,,0.0,20.85,914.5,
2024-01-29,35.09,180.61,24.89,25.92,48.18,,27.89,0.68,,,,,,,,,70.1,1.74,214.71,,0.0,8.3,916.13,
2024-01-30,53.63,155.92,24.93,26.07,48.2,,24.39,0.51,,,,,,,,,70.09,1.48,212.43,,0.0,19.97,914.14,
2024-01-31,34.75,123.64,25.36,26.01,48.4,,33.19,0.28,,,,,,,,,70.01,2.35,132.98,,0.0,26.95,910.4,
2024-02-01,28.69,119.41,25.46,25.5,48.07,,24.31,0.39,,,,,,,,,69.76,2.15,157.09,,0.0,19.51,910.25,
2024-02-02,20.85,72.98,25.15,25.74,48.23,,23.38,0.33,,,,,,,,,70.04,1.81,211.79,,0.0,26.29,919.32,
