Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2021-01-01 00:00:00,60.21,132.71,5.46,11.37,16.83,24.97,10.70,0.54,13.36,NA,NA,NA,NA,NA,NA,NA,96.07,0.58,114.14,0.00,0.00,666.87,NA,NA
2021-01-02 00:00:00,51.81,113.13,5.32,11.38,16.70,24.82,10.06,0.61,12.19,NA,NA,NA,NA,NA,NA,NA,96.35,0.47,207.42,0.00,0.10,564.46,NA,NA
2021-01-03 00:00:00,51.79,113.17,5.26,11.38,16.62,24.67,7.01,0.62,14.50,NA,NA,NA,NA,NA,NA,NA,91.77,1.19,132.53,0.00,0.00,556.19,NA,NA
2021-01-04 00:00:00,40.24,92.05,5.32,11.36,16.69,24.80,6.15,0.51,9.62,NA,NA,NA,NA,NA,NA,NA,94.78,0.60,154.76,0.00,0.00,562.92,NA,NA
2021-01-05 00:00:00,28.74,67.20,5.30,11.39,16.69,24.78,6.56,0.38,11.75,NA,NA,NA,NA,NA,NA,NA,95.60,1.46,143.43,0.01,0.80,562.73,NA,NA
2021-01-06 00:00:00,51.46,122.54,5.32,11.38,16.70,24.80,5.95,0.46,3.57,NA,NA,NA,NA,NA,NA,NA,95.98,0.63,227.30,0.00,0.20,696.96,NA,NA
2021-01-07 00:00:00,59.76,142.39,5.31,11.37,16.68,24.78,13.83,0.34,6.20,NA,NA,NA,NA,NA,NA,NA,95.65,1.07,311.72,0.00,0.00,474.92,NA,NA
2021-01-08 00:00:00,109.71,222.30,5.72,11.36,17.04,25.24,10.34,0.49,10.10,NA,NA,NA,NA,NA,NA,NA,95.77,0.61,221.41,0.00,0.00,536.18,NA,NA
2021-01-09 00:00:00,54.48,123.32,5.34,11.36,16.70,24.81,10.34,0.47,11.46,NA,NA,NA,NA,NA,NA,NA,95.27,1.38,311.80,0.00,0.00,571.44,NA,NA
2021-01-10 00:00:00,66.92,150.68,5.55,11.52,17.07,25.45,14.76,0.44,15.35,NA,NA,NA,NA,NA,NA,NA,95.25,1.46,294.90,0.00,0.00,574.23,NA,NA
2021-01-11 00:00:00,52.48,118.57,5.98,11.88,17.86,26.84,15.02,0.45,15.70,NA,NA,NA,NA,NA,NA,NA,94.94,1.57,300.17,0.00,0.00,572.83,NA,NA
2021-01-12 00:00:00,37.30,84.18,5.97,11.91,17.88,26.84,10.04,0.45,10.10,NA,NA,NA,NA,NA,NA,NA,93.21,1.11,273.10,0.00,0.00,563.05,NA,NA
2021-01-13 00:00:00,72.04,163.52,5.98,11.94,17.92,26.92,7.15,0.61,2.61,NA,NA,NA,NA,NA,NA,NA,92.93,0.64,185.27,0.00,0.00,556.79,NA,NA
2021-01-14 00:00:00,53.98,121.99,5.97,11.97,17.94,26.98,5.98,0.62,5.27,NA,NA,NA,NA,NA,NA,NA,93.65,0.43,152.81,0.00,0.00,558.44,NA,NA
2021-01-15 00:00:00,94.24,220.20,6.00,11.94,17.94,26.98,9.02,0.72,4.37,NA,NA,NA,NA,NA,NA,NA,95.01,0.45,201.53,0.00,0.00,565.18,NA,NA
2021-01-16 00:00:00,103.12,245.13,5.98,11.91,17.90,26.94,11.52,0.59,9.82,NA,NA,NA,NA,NA,NA,NA,96.09,0.94,292.49,0.00,0.10,595.93,NA,NA
2021-01-17 00:00:00,64.75,155.12,6.02,11.91,17.93,26.97,7.57,0.60,8.96,NA,NA,NA,NA,NA,NA,NA,95.85,1.29,139.69,0.00,0.00,600.23,NA,NA
2021-01-18 00:00:00,65.18,155.18,5.97,11.96,17.93,26.97,7.16,0.62,5.45,NA,NA,NA,NA,NA,NA,NA,96.07,0.75,173.08,0.00,0.00,569.39,NA,NA
2021-01-19 00:00:00,78.02,182.14,6.00,11.96,17.95,27.00,27.75,0.55,6.24,NA,NA,NA,NA,NA,NA,NA,88.14,1.11,255.11,0.00,0.00,550.13,NA,NA
2021-01-20 00:00:00,95.97,218.58,6.26,11.95,18.18,27.20,60.61,0.47,12.63,NA,NA,NA,NA,NA,NA,NA,93.99,1.53,274.17,0.00,0.00,570.88,NA,NA
2021-01-21 00:00:00,85.96,201.69,5.99,11.94,17.93,26.97,37.76,0.54,6.57,NA,NA,NA,NA,NA,NA,NA,89.09,1.17,262.04,0.00,0.00,548.89,NA,NA
2021-01-22 00:00:00,70.08,166.64,6.03,11.95,17.97,27.02,22.65,0.46,7.85,NA,NA,NA,NA,NA,NA,NA,96.12,1.82,120.85,0.00,0.00,692.88,NA,NA
2021-01-23 00:00:00,65.76,156.56,5.98,11.96,17.94,26.98,12.24,0.50,5.10,NA,NA,NA,NA,NA,NA,NA,87.72,2.58,126.32,0.00,0.10,545.65,NA,NA
2021-01-24 00:00:00,128.04,306.83,5.98,11.90,17.88,26.92,30.10,0.41,12.16,NA,NA,NA,NA,NA,NA,NA,96.06,1.05,295.31,0.00,0.00,580.03,NA,NA
2021-01-25 00:00:00,101.06,235.73,6.09,11.85,17.93,27.01,21.21,0.37,9.14,NA,NA,NA,NA,NA,NA,NA,90.76,0.74,244.35,0.00,0.00,560.68,NA,NA
2021-01-26 00:00:00,82.04,184.36,6.00,11.88,17.85,26.86,19.04,0.60,8.26,NA,NA,NA,NA,NA,NA,NA,88.12,0.67,269.65,0.00,0.00,553.11,NA,NA
2021-01-27 00:00:00,129.95,292.66,5.99,11.96,17.95,27.00,28.01,0.51,12.47,NA,NA,NA,NA,NA,NA,NA,69.59,1.37,281.11,0.00,0.00,496.19,NA,NA
