Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2020-01-01 00:00:00,129.80,247.44,2.88,6.00,8.76,NA,9.56,0.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,NA,918.71,NA
2020-01-02 00:00:00,119.52,248.84,3.23,5.81,8.85,NA,9.87,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,NA,929.68,NA
2020-01-03 00:00:00,72.61,135.90,3.69,5.37,9.02,NA,10.56,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,NA,949.89,NA
2020-01-04 00:00:00,73.69,140.36,4.07,5.43,9.44,NA,10.36,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,NA,949.79,NA
2020-01-05 00:00:00,60.79,113.01,3.65,5.43,9.07,NA,10.65,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,NA,960.00,NA
2020-01-06 00:00:00,51.38,93.39,3.75,5.29,8.96,NA,10.40,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,NA,919.58,NA
2020-01-07 00:00:00,36.02,71.83,3.89,5.15,8.81,NA,10.18,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,NA,919.58,NA
2020-01-08 00:00:00,27.71,54.05,4.14,4.88,8.95,NA,9.74,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,NA,949.89,NA
2020-01-09 00:00:00,28.62,58.41,4.01,5.24,9.18,NA,10.37,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,NA,949.89,NA
2020-01-10 00:00:00,37.89,85.26,3.99,5.18,9.10,NA,10.36,0.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,NA,929.68,NA
2020-01-11 00:00:00,47.65,101.83,3.94,5.11,9.04,NA,10.24,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,NA,960.00,NA
2020-01-12 00:00:00,65.22,97.26,4.32,4.82,9.13,NA,10.35,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,NA,949.79,NA
2020-01-13 00:00:00,59.18,101.42,4.37,4.64,8.95,NA,8.87,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,NA,960.00,NA
2020-01-14 00:00:00,37.93,59.43,4.07,5.01,9.07,NA,10.32,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,NA,949.89,NA
2020-01-15 00:00:00,35.32,56.77,4.07,5.26,9.28,NA,10.29,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,NA,960.00,NA
2020-01-16 00:00:00,32.95,62.13,4.08,5.07,9.14,NA,9.84,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,NA,909.47,NA
2020-01-17 00:00:00,41.63,76.54,4.33,4.91,9.24,NA,9.80,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,NA,949.89,NA
2020-01-18 00:00:00,55.27,89.82,4.70,4.52,9.20,NA,9.98,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,NA,960.00,NA
2020-01-19 00:00:00,40.26,93.59,4.60,4.57,9.17,NA,10.71,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,NA,960.00,NA
2020-01-20 00:00:00,61.47,110.66,4.48,4.63,9.11,NA,9.93,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,NA,960.00,NA
2020-01-21 00:00:00,50.74,100.94,4.62,4.46,9.09,NA,9.67,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,NA,960.00,NA
2020-01-22 00:00:00,45.78,117.43,4.74,4.32,9.06,NA,10.31,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,NA,949.45,NA
2020-01-23 00:00:00,52.86,119.04,4.80,4.34,9.14,NA,9.34,0.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,NA,949.79,NA
2020-01-24 00:00:00,54.52,113.88,4.45,4.58,9.03,NA,12.11,0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,NA,939.79,NA
2020-01-25 00:00:00,64.90,106.04,3.86,5.26,9.11,NA,9.95,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,NA,929.68,NA
2020-01-26 00:00:00,62.63,115.47,3.86,5.26,9.06,NA,9.95,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,NA,939.79,NA
2020-01-27 00:00:00,69.24,111.48,4.16,5.45,9.43,NA,9.45,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,NA,960.00,NA
2020-01-28 00:00:00,36.46,69.53,3.91,5.22,9.07,NA,10.20,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,NA,949.89,NA
2020-01-29 00:00:00,30.17,54.83,4.35,5.49,9.58,NA,10.54,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,NA,960.00,NA
2020-01-30 00:00:00,39.51,99.98,3.92,5.22,9.07,NA,9.83,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,NA,949.89,NA
2020-01-31 00:00:00,42.97,95.29,3.86,5.24,9.05,NA,9.45,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,NA,939.79,NA
2020-02-01 00:00:00,41.77,86.42,3.73,5.44,9.08,NA,9.91,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,NA,939.57,NA
2020-02-02 00:00:00,40.63,77.58,3.68,5.39,9.07,NA,10.05,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,NA,949.89,NA
2020-02-03 00:00:00,46.97,94.05,3.51,5.45,8.85,NA,10.07,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,NA,939.79,NA
2020-02-04 00:00:00,51.95,110.79,3.69,5.47,9.15,NA,9.39,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,NA,960.00,NA
2020-02-05 00:00:00,57.28,118.18,3.71,5.30,8.96,NA,10.29,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,NA,949.89,NA
2020-02-06 00:00:00,52.29,106.79,3.74,5.31,9.05,NA,10.60,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,NA,960.00,NA
2020-02-07 00:00:00,61.69,143.23,3.85,5.27,9.12,NA,9.88,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,NA,960.00,NA
2020-02-08 00:00:00,52.37,102.30,3.91,5.24,9.14,NA,10.35,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,NA,949.79,NA
2020-02-09 00:00:00,59.75,130.92,3.83,5.39,9.21,NA,9.85,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,NA,960.00,NA
2020-02-10 00:00:00,52.19,112.37,3.94,5.27,9.21,NA,9.95,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,NA,919.58,NA
2020-02-11 00:00:00,53.25,116.10,4.01,5.14,9.15,NA,9.70,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,NA,960.00,NA
2020-02-12 00:00:00,49.12,90.78,4.38,4.78,9.15,NA,10.29,0.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,NA,949.89,NA
2020-02-13 00:00:00,46.09,89.48,4.92,4.47,9.33,NA,10.82,0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,NA,949.89,NA
2020-02-14 00:00:00,37.65,91.55,5.24,3.95,9.17,NA,10.19,0.30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,NA,939.79,NA
2020-02-15 00:00:00,44.22,116.66,5.17,4.29,9.34,NA,9.86,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,NA,949.89,NA
2020-02-16 00:00:00,42.17,104.12,4.95,4.21,9.10,NA,11.15,0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,NA,939.79,NA
2020-02-17 00:00:00,48.78,132.96,4.78,4.34,9.12,NA,9.21,0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,NA,949.89,NA
2020-02-18 00:00:00,45.86,120.40,5.05,4.10,9.16,NA,10.63,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,NA,929.68,NA
