Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01,77.91,123.91,13.17,10.33,16.11,7.53,9.13,0.68,24.8,3.35,4.33,,,0.55,1.55,18.44,95.19,0.72,163.81,0.0,0.0,138.27,1011.81,0.16
2024-01-02,87.43,156.56,8.63,10.22,12.14,7.07,8.46,0.48,25.2,3.35,4.29,,,0.55,1.55,17.32,83.56,0.51,182.05,0.0,0.0,137.89,1011.9,0.16
2024-01-03,79.49,143.05,12.09,11.18,15.69,7.16,7.38,0.62,26.27,3.37,4.25,,,0.54,1.55,18.16,85.74,0.83,123.43,0.0,0.0,157.93,1011.37,0.16
2024-01-04,80.07,145.26,10.81,10.72,14.43,6.94,8.74,0.63,30.4,3.39,4.29,,,0.55,1.55,18.95,86.79,0.89,108.27,0.0,0.0,135.97,1011.31,0.16
2024-01-05,99.04,151.14,11.7,11.34,15.46,6.98,9.94,0.74,31.77,3.36,4.25,,,0.55,1.55,19.45,80.14,0.9,97.31,0.0,0.0,136.41,1011.86,0.16
2024-01-06,100.01,251.32,8.44,12.04,13.21,6.88,8.41,0.62,27.73,2.49,3.07,,,0.42,1.15,19.85,82.69,0.71,107.45,0.0,0.0,126.26,1012.4,0.15
2024-01-07,103.32,177.52,12.74,11.27,16.26,7.22,10.14,0.63,28.93,0.5,0.39,,,0.11,0.2,20.07,89.77,0.9,110.31,0.0,0.0,125.32,1013.09,0.16
2024-01-08,108.3,181.36,9.52,10.2,13.12,7.27,7.73,0.52,23.38,1.09,0.82,,,0.22,0.5,19.4,95.43,0.98,152.57,0.0,0.0,128.51,1013.45,0.16
2024-01-09,94.36,155.85,12.07,11.02,15.59,7.37,8.9,0.64,26.68,2.66,2.45,,,0.55,1.55,19.02,92.23,0.73,128.88,0.0,0.0,136.73,1012.57,0.16
2024-01-10,124.25,219.86,11.12,14.29,16.31,7.35,9.14,0.95,22.33,2.65,2.43,,,0.55,1.54,19.68,81.42,0.7,118.32,0.0,0.0,127.78,1010.8,0.16
2024-01-11,108.93,190.81,11.17,11.68,15.22,7.37,10.83,0.56,34.48,2.64,2.45,,,0.55,1.55,19.67,85.95,0.9,133.76,0.0,0.0,127.09,1012.19,0.16
2024-01-12,96.98,170.44,10.87,10.15,14.18,7.33,7.79,0.54,29.5,2.64,2.43,,,0.55,1.55,16.88,87.31,0.98,149.65,0.0,0.0,135.45,1012.06,0.16
2024-01-13,95.49,173.18,11.83,10.46,15.1,7.11,9.91,0.59,30.05,2.66,2.47,,,0.55,1.55,16.15,80.78,0.72,148.94,0.0,0.0,144.95,1011.73,0.16
2024-01-14,135.31,225.64,11.14,9.78,14.2,7.14,10.3,0.61,40.38,2.66,2.43,,,0.55,1.55,16.17,86.07,1.16,126.81,0.0,0.0,132.34,1011.15,0.16
2024-01-15,114.61,200.08,10.99,8.34,13.33,7.41,8.63,0.66,27.97,2.67,2.46,,,0.55,1.55,14.49,96.77,1.64,103.74,0.0,0.0,94.52,1011.15,0.17
2024-01-16,102.39,184.4,10.09,10.27,13.61,7.5,8.41,0.62,30.14,2.68,2.45,,,0.55,1.55,15.84,98.68,1.21,129.04,0.0,0.0,126.33,1010.81,0.16
2024-01-17,82.2,144.99,8.26,15.37,15.26,11.77,8.44,0.65,22.54,2.63,2.44,,,0.55,1.55,15.18,99.38,1.95,84.79,0.0,0.0,115.2,1010.95,0.16
2024-01-18,80.83,143.49,3.65,31.51,20.5,19.5,8.95,0.63,21.59,2.65,2.43,,,0.55,1.55,16.4,99.37,1.88,85.63,0.0,0.0,44.78,1010.86,0.16
2024-01-19,74.87,122.07,5.75,30.55,20.61,18.81,8.85,0.63,20.52,2.67,2.47,,,0.55,1.55,18.03,99.28,0.87,184.37,0.0,0.0,106.17,1012.22,0.16
2024-01-20,100.01,180.61,12.17,28.54,24.73,19.04,9.59,0.75,27.74,2.63,2.45,,,0.55,1.55,15.83,95.51,1.01,129.33,0.0,0.0,107.71,1012.54,0.17
2024-01-21,137.83,251.6,20.49,32.9,23.17,17.2,11.34,0.79,26.97,2.64,2.43,,,0.55,1.55,16.74,92.43,0.75,118.67,0.0,0.0,79.29,1012.07,0.16
2024-01-22,108.74,194.78,7.63,27.92,16.53,17.47,8.68,0.59,27.24,2.68,2.43,,,0.55,1.55,14.66,90.65,1.32,118.41,0.0,0.0,127.46,1014.3,0.17
2024-01-23,119.95,243.17,8.85,25.12,21.07,14.46,9.58,0.73,28.29,2.66,2.43,,,0.55,1.55,16.64,80.7,0.74,127.68,0.0,0.0,156.22,1012.62,0.16
2024-01-24,108.31,190.92,13.38,30.93,29.06,24.33,7.56,0.63,35.3,2.63,2.45,,,0.55,1.55,17.76,88.57,1.01,136.71,0.0,0.0,81.56,1012.72,0.16
2024-01-25,93.52,170.66,10.52,28.91,26.05,23.1,9.16,0.63,32.11,2.65,2.45,,,0.55,1.54,17.14,87.74,0.79,144.72,0.0,0.0,130.52,1014.65,0.16
2024-01-26,101.86,188.7,6.6,29.84,23.39,22.8,9.76,0.65,38.86,2.65,2.43,,,0.55,1.55,17.35,81.04,0.98,128.2,0.0,0.0,163.36,1015.52,0.16
2024-01-27,76.56,150.68,15.86,33.34,32.61,22.78,9.96,0.6,34.47,2.65,2.47,,,0.55,1.55,17.6,69.82,0.4,134.06,0.0,0.0,153.36,1015.08,0.16
2024-01-28,97.98,176.07,13.63,17.06,21.88,14.31,9.86,0.65,41.06,2.66,2.45,,,0.55,1.55,17.41,72.93,1.02,124.53,0.0,0.0,149.33,1014.64,0.16
2024-01-29,98.09,194.62,21.95,33.16,37.36,23.15,9.1,0.74,36.52,2.66,2.44,,,0.55,1.55,18.77,75.04,0.69,109.55,0.0,0.0,151.55,1012.99,0.16
2024-01-30,77.58,156.77,11.63,33.82,31.81,21.3,8.82,0.47,38.68,6.05,5.11,,,1.02,1.97,21.15,90.26,0.93,170.92,0.0,0.0,143.96,1011.43,0.17
2024-01-31,62.94,116.15,14.33,26.53,30.16,21.12,8.94,0.53,37.32,8.61,6.92,,,0.84,1.15,21.7,99.19,0.99,108.25,0.02,0.02,109.39,1011.04,0.16
2024-02-01,60.96,116.24,14.62,32.63,32.41,19.87,8.88,0.53,11.78,12.33,12.56,,,1.58,2.07,21.0,99.37,0.58,116.55,0.03,0.03,49.6,1011.5,0.16
2024-02-02,74.9,139.69,18.62,29.57,35.08,21.65,10.61,0.58,22.43,12.1,9.47,,,1.51,2.05,22.12,92.25,0.64,165.29,0.02,0.02,140.76,1010.6,0.16
2024-02-03,82.24,162.78,25.23,26.84,38.06,25.41,8.87,0.63,24.65,12.96,8.49,,,1.85,2.43,21.79,72.63,0.73,221.06,0.0,0.0,167.15,1011.77,0.16
2024-02-04,89.44,173.41,19.07,31.83,37.01,22.95,10.26,0.55,29.51,11.0,7.38,,,1.43,2.05,21.33,72.51,0.7,184.72,0.0,0.0,177.5,1012.84,0.16
2024-02-05,80.97,162.8,25.37,25.52,36.76,22.2,9.95,0.51,31.9,13.87,8.2,,,1.24,2.17,22.19,76.02,0.83,140.32,0.0,0.0,172.0,1012.28,0.16
