Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2020-01-01 00:00:00,114.95,235.47,56.93,47.88,105.36,44.98,12.31,1.54,31.84,20.44,17.26,NA,NA,2.97,18.15,18.61,67.05,0.31,272.48,NA,0.00,65.91,NA,0.04
2020-01-02 00:00:00,125.01,193.70,39.30,37.61,77.27,40.46,9.47,1.26,25.97,22.23,20.18,NA,NA,3.30,19.85,19.76,69.86,0.37,255.40,NA,0.00,65.95,NA,0.04
2020-01-03 00:00:00,52.55,83.70,16.18,21.65,38.16,34.91,5.01,0.47,17.92,13.41,12.80,NA,NA,1.35,8.76,17.01,93.87,0.54,234.39,NA,0.00,43.14,NA,0.02
2020-01-04 00:00:00,42.87,73.82,57.26,23.45,81.04,34.23,3.55,1.13,9.20,16.27,15.85,NA,NA,1.79,12.96,16.91,94.95,0.20,243.23,NA,0.00,50.22,NA,0.04
2020-01-05 00:00:00,86.68,122.62,78.24,22.77,101.32,35.75,3.25,1.19,10.25,18.30,15.87,NA,NA,2.24,16.42,16.77,93.68,0.39,274.44,NA,0.00,56.44,NA,0.04
2020-01-06 00:00:00,75.08,159.58,73.29,32.38,106.01,34.95,4.91,1.29,24.19,25.09,19.93,NA,NA,2.58,19.40,16.97,75.98,0.36,271.64,NA,0.00,72.73,NA,0.04
2020-01-07 00:00:00,110.25,183.99,22.82,33.79,56.94,32.93,6.98,1.06,37.11,23.42,16.89,NA,NA,4.58,25.56,16.27,78.81,0.45,291.77,NA,0.00,68.77,NA,0.04
2020-01-08 00:00:00,131.34,190.69,37.37,35.57,73.27,37.53,4.59,1.09,32.59,24.45,20.11,NA,NA,2.75,18.89,18.23,74.74,0.24,252.88,NA,0.00,71.02,NA,0.04
2020-01-09 00:00:00,95.37,132.35,27.32,32.67,60.32,37.31,5.53,0.92,22.70,17.69,14.67,NA,NA,1.82,13.70,18.34,81.38,0.25,208.85,NA,0.00,56.79,NA,0.04
2020-01-10 00:00:00,89.09,124.89,20.05,32.86,53.25,33.57,12.51,0.84,21.72,17.20,11.24,NA,NA,3.53,16.94,18.16,71.33,0.70,325.92,NA,0.00,69.04,NA,0.05
