Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2022-01-01 00:00:00,72.93,146.93,34.73,22.44,57.17,37.30,4.42,0.66,29.57,13.96,3.86,NA,NA,NA,0.29,NA,79.71,1.83,237.27,0.00,0.20,129.26,999.44,-0.22
2022-01-02 00:00:00,49.59,107.64,13.31,14.89,28.19,35.09,3.48,0.68,30.41,9.34,1.05,NA,NA,NA,NA,NA,86.48,1.63,243.99,0.00,0.00,126.49,999.18,1.32
2022-01-03 00:00:00,42.81,110.28,11.55,17.53,29.04,36.74,3.10,0.63,22.69,9.75,1.31,NA,NA,NA,NA,NA,90.11,1.73,229.67,0.00,0.00,120.30,998.60,4.75
2022-01-04 00:00:00,45.89,96.04,20.20,19.50,39.69,36.06,3.79,0.77,27.33,12.17,2.29,NA,NA,NA,NA,NA,86.79,1.85,225.62,0.00,0.00,132.34,998.84,-0.13
2022-01-05 00:00:00,68.93,156.61,42.61,27.86,70.53,40.16,4.40,0.77,29.01,13.92,3.22,NA,NA,NA,NA,NA,81.73,1.89,220.45,0.00,0.20,133.90,998.52,-0.14
2022-01-06 00:00:00,72.55,164.27,42.11,28.20,70.30,37.62,4.77,0.82,30.15,14.52,3.93,NA,NA,NA,NA,NA,81.09,1.93,228.26,0.00,0.00,126.31,998.11,-0.13
2022-01-07 00:00:00,65.66,156.97,55.48,34.82,90.29,30.22,4.39,0.86,30.33,14.94,4.97,NA,NA,NA,NA,NA,76.16,1.84,218.38,0.00,0.00,115.02,998.49,-0.14
2022-01-08 00:00:00,53.64,129.76,58.21,33.38,91.59,29.56,4.12,0.81,31.38,12.33,5.40,NA,NA,NA,NA,NA,74.65,2.06,215.37,0.00,0.00,132.03,998.14,-0.15
2022-01-09 00:00:00,57.92,138.43,46.99,28.96,75.40,29.11,4.09,0.65,31.53,13.39,5.20,NA,NA,NA,NA,NA,79.62,1.86,214.39,0.00,0.00,108.76,996.61,-0.15
2022-01-10 00:00:00,76.54,170.87,43.25,29.88,73.12,31.67,4.02,0.81,31.97,13.80,5.84,NA,NA,NA,NA,NA,81.50,1.87,203.33,0.00,0.00,122.23,997.37,-0.15
2022-01-11 00:00:00,76.79,159.53,37.06,30.73,69.33,30.16,4.47,0.88,30.07,16.39,7.46,NA,NA,NA,0.41,NA,85.25,1.99,209.74,0.00,0.00,91.72,997.36,-0.14
2022-01-12 00:00:00,82.77,183.67,40.63,35.00,75.62,32.37,4.14,0.69,18.21,17.48,7.62,NA,NA,NA,0.82,NA,90.60,1.90,192.06,0.00,0.40,60.42,997.22,-0.15
2022-01-13 00:00:00,38.81,74.97,17.09,23.15,40.25,27.49,3.60,0.56,30.51,8.37,2.33,NA,NA,NA,0.08,NA,87.62,2.03,189.56,0.02,2.20,122.93,997.78,-0.14
2022-01-14 00:00:00,72.00,152.27,58.45,36.39,96.56,32.75,3.44,0.98,25.59,15.07,7.14,NA,NA,NA,0.75,NA,84.39,2.17,197.13,0.00,0.00,119.38,998.64,0.21
2022-01-15 00:00:00,64.64,125.88,42.44,30.09,72.52,29.41,3.83,0.89,30.92,12.47,5.24,NA,NA,NA,0.44,NA,80.67,1.98,235.32,0.00,0.00,131.82,998.38,-0.17
2022-01-16 00:00:00,61.97,118.36,26.80,26.42,53.22,27.10,3.26,0.82,29.79,11.64,3.06,NA,NA,NA,0.16,NA,78.59,1.96,219.12,0.00,0.00,142.79,998.69,-0.17
2022-01-17 00:00:00,65.09,138.28,39.24,35.58,73.76,27.13,3.19,1.07,20.31,15.49,4.00,NA,NA,NA,0.13,NA,87.79,2.05,215.14,0.00,0.00,69.90,999.40,0.09
2022-01-18 00:00:00,58.10,120.28,13.62,23.58,37.23,26.34,3.89,1.05,29.34,11.99,2.14,NA,NA,NA,0.04,NA,82.92,1.83,237.78,0.00,0.00,141.98,997.67,-0.16
2022-01-19 00:00:00,65.57,135.26,27.28,20.37,47.44,37.64,3.86,1.00,30.90,9.03,1.89,NA,NA,NA,0.16,NA,81.60,2.13,223.40,0.00,0.00,147.79,995.59,-0.16
2022-01-20 00:00:00,67.09,150.55,26.25,25.04,51.29,50.10,4.10,1.20,16.92,2.93,0.71,NA,NA,NA,0.27,NA,92.92,1.82,226.18,0.00,0.00,73.53,993.84,-0.15
2022-01-21 00:00:00,44.56,99.57,38.92,30.07,69.00,48.27,4.77,1.02,31.74,2.99,2.26,NA,NA,NA,1.70,NA,78.68,2.44,161.63,0.01,1.00,123.16,994.12,-0.18
2022-01-22 00:00:00,50.37,112.71,45.80,34.55,80.35,48.55,4.57,0.88,24.94,2.58,2.12,NA,NA,NA,1.66,NA,78.71,2.51,137.05,0.00,0.00,139.88,993.66,-0.17
2022-01-23 00:00:00,34.61,82.31,29.60,30.75,60.35,47.02,3.69,0.79,27.64,1.46,0.92,NA,NA,NA,0.52,NA,81.55,2.87,99.76,0.00,0.00,77.82,995.04,-0.17
2022-01-24 00:00:00,35.93,101.80,45.97,38.18,84.19,49.09,3.89,0.93,25.63,2.09,1.36,NA,NA,NA,1.06,NA,70.56,2.77,158.55,0.00,0.00,115.17,994.48,-0.18
2022-01-25 00:00:00,54.25,143.91,64.08,38.64,102.71,50.03,4.67,1.20,28.36,4.74,3.97,NA,NA,NA,3.08,NA,75.72,2.10,191.65,0.00,0.00,135.04,994.73,-0.18
2022-01-26 00:00:00,61.54,130.40,44.06,32.45,76.51,49.05,4.66,NA,25.91,2.97,2.45,NA,NA,NA,1.48,NA,84.47,1.91,197.18,0.00,0.00,129.96,995.32,-0.18
2022-01-27 00:00:00,57.95,138.45,15.72,19.13,34.84,46.63,4.09,0.80,41.86,1.53,0.38,NA,NA,NA,0.17,NA,80.30,1.81,202.32,0.00,0.00,126.16,995.79,-0.18
2022-01-28 00:00:00,78.37,186.77,14.24,24.47,38.75,45.85,3.85,1.06,42.21,3.18,0.68,NA,NA,NA,0.13,NA,86.52,2.11,193.23,0.00,0.00,125.37,997.57,-0.17
2022-01-29 00:00:00,76.53,176.83,34.57,25.58,60.61,46.87,3.55,1.00,43.59,3.12,0.88,NA,NA,NA,0.20,NA,74.65,1.73,227.13,0.00,0.00,145.72,997.04,-0.18
2022-01-30 00:00:00,74.76,170.87,49.68,31.18,80.85,48.07,3.91,1.18,45.41,4.12,1.74,NA,NA,NA,0.88,NA,73.99,2.18,217.45,0.00,0.00,147.15,994.52,-0.18
2022-01-31 00:00:00,97.00,218.01,80.83,46.42,127.22,53.10,4.01,1.44,38.17,5.69,3.27,NA,NA,NA,1.96,NA,77.24,1.99,220.40,0.00,0.00,126.31,994.45,-0.17
2022-02-01 00:00:00,85.82,188.85,47.09,35.60,82.69,50.74,3.60,1.00,45.58,4.30,2.71,NA,NA,NA,1.53,NA,83.84,2.78,160.62,0.00,0.00,80.84,992.84,-0.17
2022-02-02 00:00:00,57.31,141.98,47.88,46.06,93.94,49.82,3.79,1.13,34.15,4.01,4.11,NA,NA,NA,2.78,NA,80.60,2.52,103.37,0.00,0.00,86.91,995.85,-0.20
2022-02-03 00:00:00,51.19,129.84,30.15,43.61,73.76,48.57,4.15,0.87,38.46,4.59,4.34,NA,NA,NA,3.10,NA,67.03,2.77,97.08,0.00,0.00,146.83,996.40,-0.17
2022-02-04 00:00:00,29.46,69.53,16.73,27.39,44.12,49.55,3.76,0.67,40.16,2.27,1.51,NA,NA,NA,0.73,NA,85.33,3.80,72.75,0.11,10.20,26.53,995.29,0.09
2022-02-05 00:00:00,17.58,42.23,25.93,28.19,53.99,47.14,3.47,0.89,34.67,4.59,2.81,NA,NA,NA,1.87,NA,93.24,2.11,168.94,0.06,6.00,44.16,994.11,0.18
2022-02-06 00:00:00,41.27,82.17,38.81,23.51,62.51,46.95,3.44,0.81,36.02,5.48,2.89,NA,NA,NA,1.69,NA,81.87,1.83,217.70,0.00,0.20,182.35,997.78,0.14
2022-02-07 00:00:00,50.57,108.75,47.26,31.80,78.65,51.14,3.85,0.98,31.20,7.80,4.03,NA,NA,NA,2.79,NA,80.35,1.96,201.98,0.00,0.00,124.04,997.34,0.14
2022-02-08 00:00:00,41.36,109.84,33.26,29.49,62.76,48.53,3.48,0.98,41.09,6.41,4.31,NA,NA,NA,3.26,NA,80.98,1.88,227.76,0.00,0.00,121.92,996.80,0.17
2022-02-09 00:00:00,50.71,125.57,58.05,38.28,96.33,51.08,3.80,1.00,30.17,7.85,6.38,NA,NA,NA,5.01,NA,77.31,2.45,202.18,0.00,0.00,158.42,997.44,0.32
2022-02-10 00:00:00,54.58,137.42,32.56,40.84,73.40,49.50,4.39,0.86,33.90,6.24,4.49,NA,NA,NA,2.63,NA,81.12,2.41,153.67,0.02,1.80,117.87,996.19,0.29
2022-02-11 00:00:00,57.98,116.58,22.92,33.12,56.01,50.64,3.82,0.89,32.49,5.81,2.68,NA,NA,NA,0.84,NA,84.40,1.87,203.53,0.00,0.20,141.60,995.57,1.30
2022-02-12 00:00:00,78.01,150.97,52.54,36.45,88.98,51.28,4.48,1.04,41.01,7.08,4.96,NA,NA,NA,2.92,NA,74.07,2.02,221.11,0.00,0.00,180.98,995.98,2.55
2022-02-13 00:00:00,73.89,135.76,41.45,38.60,79.52,50.67,4.14,1.05,52.50,8.94,4.05,NA,NA,NA,3.22,NA,65.28,2.25,227.72,0.00,0.00,140.88,994.43,-0.31
2022-02-14 00:00:00,60.99,111.86,45.39,36.24,83.02,51.91,4.14,0.91,37.29,7.42,6.61,NA,NA,NA,4.86,NA,66.20,2.20,209.33,0.00,0.00,183.26,995.12,-0.25
