Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2019-01-01 00:00:00,117.08,171.65,21.60,57.78,79.38,29.03,9.69,0.90,15.28,9.88,NA,NA,NA,NA,NA,NA,57.38,0.84,270.52,0.00,0.00,119.20,1019.09,0.32
2019-01-02 00:00:00,125.84,201.19,27.02,66.34,93.35,25.27,14.17,1.26,12.74,11.75,NA,NA,NA,NA,NA,NA,57.13,0.80,280.97,0.00,0.00,114.00,1018.67,0.31
2019-01-03 00:00:00,168.57,261.00,28.38,72.08,100.45,29.90,17.52,1.11,11.67,13.67,NA,NA,NA,NA,NA,NA,59.69,0.85,301.02,0.00,0.00,99.24,1018.99,0.31
2019-01-04 00:00:00,143.95,237.01,29.80,71.51,101.25,35.05,14.40,1.18,10.30,17.70,NA,NA,NA,NA,NA,NA,61.00,0.79,259.11,0.00,0.00,103.35,1019.51,0.29
2019-01-05 00:00:00,119.60,205.20,28.27,67.72,95.98,32.47,8.74,0.86,9.53,15.31,NA,NA,NA,NA,NA,NA,59.23,0.86,252.15,0.00,0.00,114.49,1018.17,0.21
2019-01-06 00:00:00,105.95,163.86,36.14,64.92,101.05,38.48,9.73,1.23,9.02,12.26,NA,NA,NA,NA,NA,NA,61.48,0.77,227.30,0.00,0.00,124.61,1016.23,0.20
2019-01-07 00:00:00,97.40,167.20,31.98,62.46,94.46,32.71,10.14,0.72,8.07,15.51,NA,NA,NA,NA,NA,NA,58.50,0.88,242.87,0.00,0.00,124.64,1014.42,0.20
2019-01-08 00:00:00,86.38,158.20,26.67,49.95,76.62,48.20,12.10,0.77,12.09,8.16,NA,NA,NA,NA,NA,NA,64.45,0.95,304.84,0.00,0.00,100.71,1013.91,0.20
2019-01-09 00:00:00,106.61,177.11,32.33,54.65,86.98,43.95,14.69,0.93,12.49,12.91,NA,NA,NA,NA,NA,NA,62.71,0.74,267.71,0.00,0.00,106.46,1015.01,0.20
2019-01-10 00:00:00,106.64,177.79,38.69,62.17,100.86,44.75,11.67,0.82,12.39,12.56,NA,NA,NA,NA,NA,NA,56.09,0.82,271.48,0.00,0.00,115.09,1015.98,0.20
2019-01-11 00:00:00,103.22,182.72,33.44,64.78,98.22,40.87,10.51,0.78,13.06,10.91,NA,NA,NA,NA,NA,NA,55.83,0.73,288.71,0.00,0.00,114.20,1016.66,0.20
2019-01-12 00:00:00,116.90,190.89,37.70,67.28,105.26,45.25,14.01,1.14,15.04,12.43,NA,NA,NA,NA,NA,NA,58.52,0.78,245.21,0.00,0.00,109.60,1016.52,0.20
2019-01-13 00:00:00,151.71,259.54,44.33,76.36,120.69,45.88,17.78,1.18,14.74,18.35,NA,NA,NA,NA,NA,NA,58.85,0.78,241.22,0.00,0.00,102.18,1016.09,0.20
2019-01-14 00:00:00,144.31,237.46,29.43,64.41,93.83,50.91,17.06,0.78,14.58,10.67,NA,NA,NA,NA,NA,NA,58.22,0.92,274.34,0.00,0.00,92.18,1014.62,0.20
2019-01-15 00:00:00,85.99,146.72,23.96,53.24,77.20,45.55,15.98,0.60,12.16,9.17,NA,NA,NA,NA,NA,NA,48.96,0.99,302.40,0.00,0.00,120.56,1016.34,0.20
2019-01-16 00:00:00,78.59,152.92,32.07,60.78,92.85,43.00,12.04,1.00,10.19,12.41,NA,NA,NA,NA,NA,NA,52.80,0.83,260.63,0.00,0.00,120.78,1016.84,0.27
2019-01-17 00:00:00,105.32,177.00,31.66,68.03,99.69,48.67,14.87,0.88,9.88,15.28,NA,NA,NA,NA,NA,NA,55.07,0.82,272.41,0.00,0.00,120.71,1014.31,0.33
2019-01-18 00:00:00,109.33,197.66,24.74,64.72,89.46,47.34,15.76,0.83,9.92,13.10,NA,NA,NA,NA,NA,NA,54.72,0.88,285.55,0.00,0.00,118.44,1014.53,0.17
2019-01-19 00:00:00,115.02,202.86,30.78,68.39,99.16,49.45,14.30,1.11,9.17,13.65,NA,NA,NA,NA,NA,NA,58.42,0.79,262.12,0.00,0.00,110.08,1015.85,-0.00
