Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2020-01-01 00:00:00,112.17,220.16,136.34,57.16,189.13,36.69,6.52,1.82,7.63,124.73,139.60,3.53,NA,2.73,6.62,18.64,70.09,0.31,251.91,NA,0.00,105.29,NA,0.01
2020-01-02 00:00:00,85.37,190.38,79.80,50.09,127.07,33.56,6.17,1.29,13.29,107.78,114.73,2.11,NA,1.52,3.95,20.08,68.19,0.27,192.05,NA,0.00,87.89,NA,0.00
2020-01-03 00:00:00,41.22,75.65,32.20,34.36,66.00,30.22,6.43,0.67,5.58,100.95,105.40,1.44,NA,1.08,2.62,17.28,93.85,0.33,161.08,NA,0.00,35.46,NA,-0.01
2020-01-04 00:00:00,35.97,73.91,52.23,30.55,82.78,28.24,8.26,0.88,5.23,111.74,121.23,1.66,NA,1.41,3.09,17.36,93.80,0.18,235.50,NA,0.00,44.40,NA,0.01
2020-01-05 00:00:00,84.69,134.53,112.73,32.73,145.46,26.27,8.48,1.44,4.49,125.07,134.78,2.47,NA,2.13,4.73,17.15,92.88,0.39,240.86,NA,0.00,62.25,NA,0.01
2020-01-06 00:00:00,94.78,170.21,123.16,43.76,166.92,27.41,8.48,1.60,5.42,112.53,119.59,2.86,NA,2.01,5.46,17.10,77.30,0.28,215.83,NA,0.00,120.23,NA,0.00
2020-01-07 00:00:00,74.59,165.10,41.20,42.20,83.77,29.29,8.27,1.08,6.56,113.95,119.14,1.82,NA,1.59,3.32,16.68,77.30,0.45,248.24,NA,0.00,110.16,NA,-0.00
2020-01-08 00:00:00,47.30,180.44,89.25,43.44,132.69,32.31,8.62,1.41,6.71,129.40,139.55,2.56,NA,2.30,4.96,18.33,77.19,0.18,171.64,NA,0.00,115.64,NA,0.00
2020-01-09 00:00:00,53.92,133.11,56.06,39.51,95.57,31.71,8.15,1.09,6.94,109.48,113.95,1.83,NA,1.31,3.35,18.33,84.18,0.21,164.08,NA,0.00,61.64,NA,0.01
2020-01-10 00:00:00,70.82,126.61,19.06,40.96,60.02,27.78,8.01,0.83,6.17,110.57,111.96,1.30,NA,1.14,2.32,18.30,72.29,0.64,261.12,NA,0.00,105.46,NA,-0.02
2020-01-11 00:00:00,74.66,126.94,26.31,37.54,63.85,25.02,8.15,0.87,7.29,101.64,104.31,1.07,NA,0.85,1.80,16.36,74.57,0.54,267.02,NA,0.00,102.35,NA,-0.01
2020-01-12 00:00:00,82.77,144.93,62.10,42.65,104.75,26.46,8.51,1.05,7.83,104.12,108.32,1.41,NA,1.09,2.56,17.01,70.75,0.49,257.89,NA,0.00,125.68,NA,-0.01
2020-01-13 00:00:00,50.81,185.07,94.52,48.02,123.36,26.84,9.09,1.44,8.81,100.67,106.77,1.99,NA,1.50,3.82,17.36,65.80,0.40,243.07,NA,0.00,124.79,NA,-0.00
2020-01-14 00:00:00,89.50,254.14,183.56,59.42,215.77,38.67,10.38,2.43,11.20,124.86,135.49,4.29,NA,4.24,8.59,18.40,69.62,0.21,212.92,NA,0.00,118.68,NA,0.01
2020-01-15 00:00:00,152.02,282.00,201.81,74.67,244.22,36.80,11.51,2.60,13.21,116.25,118.83,4.23,NA,3.36,8.22,19.42,73.16,0.17,217.13,NA,0.00,98.96,NA,0.01
2020-01-16 00:00:00,119.52,206.68,156.85,61.42,208.11,36.95,10.15,1.95,11.50,124.22,128.41,3.87,NA,2.79,7.55,20.77,71.27,0.16,169.60,NA,0.00,121.20,NA,0.01
2020-01-17 00:00:00,85.37,178.37,144.82,50.73,195.56,38.03,10.11,1.67,14.46,104.38,107.02,2.55,NA,1.81,5.01,21.49,71.69,0.17,160.11,NA,0.00,124.01,NA,0.01
2020-01-18 00:00:00,38.65,124.89,77.04,52.23,129.27,34.78,9.61,1.14,13.02,93.38,96.78,2.02,NA,1.39,3.85,21.79,64.78,0.19,186.50,NA,0.00,132.96,NA,0.01
2020-01-19 00:00:00,42.94,146.71,54.11,46.68,100.80,43.65,9.44,0.95,10.53,82.39,78.50,1.65,NA,1.43,3.12,21.45,69.02,0.37,257.70,NA,0.00,121.85,NA,0.00
2020-01-20 00:00:00,26.26,118.12,26.28,38.53,64.80,35.45,8.02,0.75,8.57,65.56,63.01,0.94,NA,0.71,1.58,19.07,71.00,0.59,240.60,NA,0.00,110.15,NA,-0.02
2020-01-21 00:00:00,29.92,126.41,80.02,48.57,128.59,35.76,9.01,1.17,8.42,80.71,84.03,1.89,NA,1.93,3.75,18.69,67.22,0.26,226.54,NA,0.00,130.44,NA,0.00
2020-01-22 00:00:00,38.65,81.55,124.86,58.88,183.75,36.69,12.09,1.55,18.70,69.37,71.55,2.23,NA,1.84,4.41,19.31,72.45,0.17,165.75,NA,0.00,120.92,NA,0.01
2020-01-23 00:00:00,111.51,201.00,36.15,53.52,89.67,29.23,9.73,1.17,11.99,69.68,81.04,1.91,NA,3.98,4.06,19.93,75.40,0.28,208.71,NA,0.00,76.91,NA,0.00
2020-01-24 00:00:00,78.91,133.29,88.63,53.59,142.22,30.49,8.92,1.20,8.15,78.93,78.81,1.92,NA,1.79,3.70,18.93,57.66,0.45,229.06,NA,0.00,141.69,NA,-0.02
2020-01-25 00:00:00,33.08,83.71,76.51,54.45,130.96,28.50,8.83,1.03,9.00,74.77,75.25,1.68,NA,1.44,3.21,17.99,54.17,0.37,242.20,NA,0.00,140.36,NA,-0.00
2020-01-26 00:00:00,46.03,68.07,120.44,61.78,182.08,30.39,9.92,1.52,10.54,78.71,81.69,2.68,NA,2.69,5.31,18.37,64.88,0.31,236.52,NA,0.00,128.31,NA,0.01
2020-01-27 00:00:00,57.05,96.88,68.45,58.95,127.39,29.69,8.69,1.34,14.00,63.73,63.97,1.96,NA,1.44,3.68,18.38,65.48,0.36,249.34,NA,0.00,129.76,NA,0.00
2020-01-28 00:00:00,91.47,153.83,46.36,49.01,95.37,31.14,10.00,1.05,26.39,59.24,56.83,1.52,NA,1.10,2.84,20.01,68.60,0.25,122.83,NA,0.00,116.66,NA,0.00
2020-01-29 00:00:00,43.48,75.48,6.08,34.32,40.40,33.52,8.38,0.57,11.54,66.94,65.49,0.74,NA,0.50,1.15,20.57,86.75,0.43,85.44,NA,0.00,77.78,NA,-0.01
2020-01-30 00:00:00,55.30,90.55,28.42,36.71,64.55,32.60,7.96,0.87,5.95,80.40,76.11,1.05,NA,0.80,1.80,20.09,92.64,0.20,132.44,NA,0.00,47.60,NA,0.01
2020-01-31 00:00:00,75.88,151.62,79.46,48.78,128.24,31.27,8.79,1.22,11.76,65.75,63.02,1.60,NA,1.30,3.03,19.69,72.08,0.59,238.91,NA,0.00,135.03,NA,-0.03
2020-02-01 00:00:00,60.71,119.67,86.82,51.15,137.98,28.89,9.10,1.08,8.79,75.02,74.75,1.73,NA,1.46,3.32,19.39,61.50,0.26,220.24,NA,0.00,147.45,NA,-0.00
2020-02-02 00:00:00,68.99,140.55,117.03,54.50,171.55,26.71,9.16,1.26,9.41,70.28,69.39,1.93,NA,1.43,3.67,18.95,56.51,0.49,234.73,NA,0.00,142.14,NA,-0.01
2020-02-03 00:00:00,62.60,141.01,95.03,56.48,151.51,27.85,8.55,1.06,12.79,57.40,56.82,1.41,NA,0.96,2.67,18.46,52.02,0.38,241.98,NA,0.00,150.98,NA,-0.01
2020-02-04 00:00:00,77.69,153.82,75.38,58.83,134.22,26.48,9.46,1.20,10.08,69.99,67.95,1.77,NA,1.38,3.40,19.10,55.77,0.27,224.57,NA,0.00,142.45,NA,-0.00
2020-02-05 00:00:00,91.51,179.57,47.25,49.52,96.76,28.76,11.58,1.11,21.42,58.72,57.56,1.50,NA,1.48,2.91,20.82,63.16,0.25,191.62,NA,0.00,95.53,NA,0.01
2020-02-06 00:00:00,75.81,147.63,36.45,53.11,89.57,26.34,9.58,0.94,16.69,63.90,59.99,1.23,NA,0.94,2.30,20.89,65.53,0.21,163.49,NA,0.00,115.65,NA,0.00
2020-02-07 00:00:00,75.85,158.88,18.85,52.35,71.19,29.84,8.81,0.86,10.56,59.68,56.66,1.21,NA,1.03,2.33,20.25,56.88,0.24,176.10,NA,0.00,61.06,NA,0.00
2020-02-08 00:00:00,101.72,206.40,9.77,51.21,60.93,28.08,9.58,1.02,5.96,65.26,60.47,1.09,NA,1.10,2.03,18.77,65.08,0.53,257.48,NA,0.00,36.89,NA,-0.00
2020-02-09 00:00:00,88.15,170.59,32.08,48.68,80.76,28.83,9.40,0.93,10.80,60.11,54.69,0.87,NA,0.65,1.48,20.07,59.86,0.59,263.18,NA,0.00,132.09,NA,-0.01
2020-02-10 00:00:00,82.36,178.60,89.18,57.91,147.10,28.39,9.38,1.20,13.22,53.28,51.24,1.33,NA,0.89,2.48,19.42,53.04,0.50,248.85,NA,0.00,138.32,NA,-0.02
2020-02-11 00:00:00,104.19,219.03,118.03,63.40,159.71,27.61,11.49,1.73,24.95,55.14,56.60,2.37,NA,1.78,4.63,19.72,55.21,0.44,245.57,NA,0.00,137.44,NA,-0.01
2020-02-12 00:00:00,118.67,226.80,191.99,70.10,215.30,35.44,10.35,2.14,18.61,57.78,60.54,3.16,NA,2.60,6.04,19.69,57.32,0.48,234.86,NA,0.00,140.07,NA,-0.01
2020-02-13 00:00:00,97.05,181.88,102.66,64.09,166.76,36.45,6.85,1.48,12.63,65.17,62.17,2.11,NA,1.48,3.98,20.68,54.49,0.38,223.07,NA,0.00,136.62,NA,-0.01
2020-02-14 00:00:00,86.67,172.78,69.53,56.37,125.91,37.51,7.93,1.24,21.72,69.46,65.79,2.41,NA,1.50,4.44,21.99,60.43,0.39,204.75,NA,0.00,145.50,NA,-0.01
