Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01,51.26,92.04,13.06,29.35,26.06,50.99,6.98,0.91,16.39,10.32,3.64,,,0.6,1.24,,94.69,0.8,224.69,0.0,0.0,108.19,1006.22,-0.24
2024-01-02,60.77,111.51,16.11,29.87,28.77,48.35,7.24,1.15,21.72,10.17,3.49,,,0.68,1.47,,91.0,0.86,230.49,0.0,0.0,126.92,1006.36,-0.23
2024-01-03,65.73,111.73,27.15,25.43,35.29,52.54,8.45,0.65,28.48,7.98,3.74,,,0.84,2.1,,71.55,0.87,226.14,0.0,0.0,202.37,1006.22,-0.23
2024-01-04,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-01-05,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-01-06,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-01-07,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-01-08,112.79,243.71,32.04,35.35,43.76,54.89,9.42,1.32,22.53,15.15,6.14,,,1.17,2.94,,91.3,0.94,227.41,0.0,0.0,72.95,1006.71,-0.24
2024-01-09,79.85,148.78,40.37,35.65,51.25,70.48,10.18,0.95,15.89,15.02,6.61,,,1.44,3.42,,96.82,0.95,193.11,0.0,0.0,124.81,1006.62,-0.24
2024-01-10,54.62,108.86,11.33,30.39,25.2,41.72,10.01,0.88,16.26,10.45,5.31,,,1.17,2.49,,97.57,1.16,177.8,0.0,0.0,123.98,1005.28,-0.25
2024-01-11,64.9,120.81,6.71,19.95,16.02,43.19,9.72,0.94,21.32,9.09,3.57,,,0.4,0.82,,97.53,0.63,213.73,0.0,0.0,83.69,1006.67,-0.25
2024-01-12,91.63,168.06,22.1,30.15,33.71,36.43,10.11,1.26,18.23,13.39,7.63,,,2.35,3.6,,95.72,0.83,214.73,0.0,0.0,81.56,1006.37,-0.25
2024-01-13,71.78,155.77,17.04,32.57,30.92,45.64,9.98,1.01,18.86,14.6,6.24,,,1.43,2.68,,92.31,0.89,199.88,0.0,0.0,137.73,1005.92,-0.25
2024-01-14,68.83,136.71,18.88,30.5,31.32,42.53,10.52,1.19,21.17,15.03,6.67,,,1.44,3.2,,85.79,0.87,198.21,0.0,0.0,157.35,1005.36,-0.26
2024-01-15,76.87,160.41,10.02,29.65,23.77,41.69,10.45,1.18,24.7,15.0,4.85,,,0.77,1.76,,86.17,0.82,202.25,0.0,0.0,157.84,1004.72,-0.23
2024-01-16,76.53,134.54,7.71,24.44,19.18,41.43,9.92,1.15,12.46,14.01,4.51,,,0.65,1.37,,97.6,0.83,203.22,0.0,0.0,51.83,1005.23,-0.25
2024-01-17,75.88,141.69,13.57,31.31,27.47,39.08,9.97,1.16,16.14,13.62,5.99,,,1.15,2.24,,97.14,0.86,218.05,0.0,0.0,72.16,1005.43,-0.25
2024-01-18,59.88,140.09,14.12,30.85,27.64,40.18,9.99,0.97,24.43,10.37,4.93,,,0.78,1.84,,87.36,1.0,167.94,0.0,0.0,151.07,1005.86,-0.26
2024-01-19,73.84,151.95,22.29,29.94,33.73,44.97,10.22,1.03,20.51,13.03,5.54,,,1.16,2.53,,88.91,0.97,230.36,0.0,0.0,146.64,1007.03,-0.26
2024-01-20,71.43,139.5,11.71,26.07,23.23,41.93,10.15,1.04,21.46,11.28,4.18,,,0.87,1.72,,87.81,0.94,217.57,0.0,0.0,159.03,1006.18,-0.25
